team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Air Force,2026,1,no meet title,Jan-09-2026,Air Force,Anna Bacott,,,9.3000,9.0000
Air Force,2026,1,no meet title,Jan-09-2026,Air Force,Alyssa Bigler,9.7750,9.8250,9.5250,9.8250
Air Force,2026,1,no meet title,Jan-09-2026,Air Force,Chelsea Boyer,,9.6750,,
Air Force,2026,1,no meet title,Jan-09-2026,Air Force,Kylee Greene,9.7750,9.8500,9.6500,9.7000
Air Force,2026,1,no meet title,Jan-09-2026,Air Force,Gabriella Hartley,9.7000,9.7750,9.7250,
Air Force,2026,1,no meet title,Jan-09-2026,Air Force,Anna Kristianson,,8.5750,,
Air Force,2026,1,no meet title,Jan-09-2026,Air Force,Elizabeth Lassila,,,,9.6250
Air Force,2026,1,no meet title,Jan-09-2026,Air Force,Erin McDermott,,,9.4750,
Air Force,2026,1,no meet title,Jan-09-2026,Air Force,Olivia Raife,9.6500,,,
Air Force,2026,1,no meet title,Jan-09-2026,Air Force,Maggie Slife,9.7750,9.9000,9.8750,9.8750
Air Force,2026,1,no meet title,Jan-09-2026,Air Force,Sarah Willis,9.6250,,,9.7750
Air Force,2026,2,no meet title,Jan-18-2026,New Hampshire,Anna Bacott,,,8.8500,9.7000
Air Force,2026,2,no meet title,Jan-18-2026,New Hampshire,Alyssa Bigler,9.8000,9.5250,9.8500,9.9000
Air Force,2026,2,no meet title,Jan-18-2026,New Hampshire,Chelsea Boyer,,9.5250,,
Air Force,2026,2,no meet title,Jan-18-2026,New Hampshire,Kylee Greene,9.8000,9.0000,9.4000,9.8000
Air Force,2026,2,no meet title,Jan-18-2026,New Hampshire,Gabriella Hartley,9.6000,9.8000,9.1500,9.7000
Air Force,2026,2,no meet title,Jan-18-2026,New Hampshire,Erin McDermott,,,9.5750,
Air Force,2026,2,no meet title,Jan-18-2026,New Hampshire,Olivia Raife,9.6500,,,
Air Force,2026,2,no meet title,Jan-18-2026,New Hampshire,Maggie Slife,9.9000,9.8750,9.7500,9.9000
Air Force,2026,2,no meet title,Jan-18-2026,New Hampshire,Clara Wallace,,9.7250,,
Air Force,2026,2,no meet title,Jan-18-2026,New Hampshire,Sarah Willis,9.6250,,,9.6750
Air Force,2026,3,no meet title,Jan-23-2026,Air Force,Anna Bacott,,,9.4750,9.7250
Air Force,2026,3,no meet title,Jan-23-2026,Air Force,Alyssa Bigler,9.7750,9.7250,9.9250,9.8250
Air Force,2026,3,no meet title,Jan-23-2026,Air Force,Chelsea Boyer,,9.7500,,
Air Force,2026,3,no meet title,Jan-23-2026,Air Force,Kylee Greene,9.7750,9.8000,9.8000,9.6250
Air Force,2026,3,no meet title,Jan-23-2026,Air Force,Gabriella Hartley,9.6500,9.6750,9.7000,9.5750
Air Force,2026,3,no meet title,Jan-23-2026,Air Force,Erin McDermott,,,9.7500,
Air Force,2026,3,no meet title,Jan-23-2026,Air Force,Olivia Raife,9.6750,,,
Air Force,2026,3,no meet title,Jan-23-2026,Air Force,Maggie Slife,9.8000,9.9000,9.6750,9.8750
Air Force,2026,3,no meet title,Jan-23-2026,Air Force,Clara Wallace,,9.7250,,
Air Force,2026,3,no meet title,Jan-23-2026,Air Force,Sarah Willis,9.7000,,,9.7000
Air Force,2026,4,no meet title,Jan-30-2026,Boise State,Anna Bacott,,,,9.6250
Air Force,2026,4,no meet title,Jan-30-2026,Boise State,Alyssa Bigler,9.7250,9.2750,9.7750,9.4750
Air Force,2026,4,no meet title,Jan-30-2026,Boise State,Chelsea Boyer,,9.6750,,
Air Force,2026,4,no meet title,Jan-30-2026,Boise State,Kylee Greene,9.7750,9.3250,9.7000,9.8750
Air Force,2026,4,no meet title,Jan-30-2026,Boise State,Gabriella Hartley,9.5250,9.5500,9.0750,
Air Force,2026,4,no meet title,Jan-30-2026,Boise State,Elizabeth Lassila,,,,9.6750
