team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Alabama,2026,1,no meet title,Jan-09-2026,Clemson,Jasmine Cawley,9.9000,9.8000,9.9000,9.8750
Alabama,2026,1,no meet title,Jan-09-2026,Clemson,Ryan Fuller,,9.8500,9.8000,
Alabama,2026,1,no meet title,Jan-09-2026,Clemson,Gabby Gladieux,9.8500,9.8500,9.8250,9.9000
Alabama,2026,1,no meet title,Jan-09-2026,Clemson,Kylee Kvamme,9.8000,,9.8500,
Alabama,2026,1,no meet title,Jan-09-2026,Clemson,Chloe LaCoursiere,,9.9250,9.9250,9.9000
Alabama,2026,1,no meet title,Jan-09-2026,Clemson,Gabby Ladanyi,,,9.9250,
Alabama,2026,1,no meet title,Jan-09-2026,Clemson,McKenzie Matters,,,,9.7750
Alabama,2026,1,no meet title,Jan-09-2026,Clemson,Jordyn Paradise,9.7750,,,
Alabama,2026,1,no meet title,Jan-09-2026,Clemson,Natalia Pawlak,,9.8250,,
Alabama,2026,1,no meet title,Jan-09-2026,Clemson,Azaraya Ra-Akbar,9.8750,9.9750,,9.8500
Alabama,2026,1,no meet title,Jan-09-2026,Clemson,Jamison Sears,9.7750,,,9.9000
Alabama,2026,2,no meet title,Jan-16-2026,Florida,Jasmine Cawley,9.7750,,9.0750,9.8250
Alabama,2026,2,no meet title,Jan-16-2026,Florida,Ryan Fuller,,9.8250,,
Alabama,2026,2,no meet title,Jan-16-2026,Florida,Gabby Gladieux,9.8750,9.8750,9.7000,9.8500
Alabama,2026,2,no meet title,Jan-16-2026,Florida,Kylee Kvamme,9.8000,,9.9250,
Alabama,2026,2,no meet title,Jan-16-2026,Florida,Chloe LaCoursiere,,9.9750,9.8750,9.8750
Alabama,2026,2,no meet title,Jan-16-2026,Florida,Gabby Ladanyi,,,9.8500,
Alabama,2026,2,no meet title,Jan-16-2026,Florida,McKenzie Matters,,,,9.8250
Alabama,2026,2,no meet title,Jan-16-2026,Florida,Jordyn Paradise,9.8000,,,
Alabama,2026,2,no meet title,Jan-16-2026,Florida,Natalia Pawlak,,9.8750,,
Alabama,2026,2,no meet title,Jan-16-2026,Florida,Azaraya Ra-Akbar,9.9250,9.9500,9.8250,9.9000
Alabama,2026,2,no meet title,Jan-16-2026,Florida,Jamison Sears,9.8000,,,9.9000
Alabama,2026,2,no meet title,Jan-16-2026,Florida,Paityn Walker,,9.8750,,
Alabama,2026,3,no meet title,Jan-23-2026,Alabama,Jasmine Cawley,9.9250,,9.8250,9.8500
Alabama,2026,3,no meet title,Jan-23-2026,Alabama,Ryan Fuller,,9.8500,,
Alabama,2026,3,no meet title,Jan-23-2026,Alabama,Gabby Gladieux,9.8250,9.8750,9.9000,9.9750
Alabama,2026,3,no meet title,Jan-23-2026,Alabama,Kylee Kvamme,9.8750,,9.8000,
Alabama,2026,3,no meet title,Jan-23-2026,Alabama,Chloe LaCoursiere,,9.9750,9.9000,9.8250
Alabama,2026,3,no meet title,Jan-23-2026,Alabama,Gabby Ladanyi,,,9.8750,
Alabama,2026,3,no meet title,Jan-23-2026,Alabama,McKenzie Matters,,,,9.8000
Alabama,2026,3,no meet title,Jan-23-2026,Alabama,Jordyn Paradise,9.8750,,,
Alabama,2026,3,no meet title,Jan-23-2026,Alabama,Natalia Pawlak,,9.9000,,
Alabama,2026,3,no meet title,Jan-23-2026,Alabama,Azaraya Ra-Akbar,9.8500,9.8000,9.7000,9.6250
Alabama,2026,3,no meet title,Jan-23-2026,Alabama,Jamison Sears,9.8500,,,9.9250
Alabama,2026,3,no meet title,Jan-23-2026,Alabama,Paityn Walker,,9.8500,,
Alabama,2026,4,no meet title,Jan-30-2026,Alabama,Jasmine Cawley,9.8250,,9.7750,9.8750
Alabama,2026,4,no meet title,Jan-30-2026,Alabama,Ryan Fuller,,9.9000,9.7500,
Alabama,2026,4,no meet title,Jan-30-2026,Alabama,Gabby Gladieux,9.8750,9.8500,9.9000,9.9500
Alabama,2026,4,no meet title,Jan-30-2026,Alabama,Kylee Kvamme,9.7750,,9.9000,
Alabama,2026,4,no meet title,Jan-30-2026,Alabama,Chloe LaCoursiere,,9.9500,9.8250,9.9250
Alabama,2026,4,no meet title,Jan-30-2026,Alabama,Gabby Ladanyi,,,9.7750,
Alabama,2026,4,no meet title,Jan-30-2026,Alabama,Jordyn Paradise,9.8500,,,
Alabama,2026,4,no meet title,Jan-30-2026,Alabama,Natalia Pawlak,,9.8250,,
Alabama,2026,4,no meet title,Jan-30-2026,Alabama,Azaraya Ra-Akbar,9.7250,9.8750,,9.9250
Alabama,2026,4,no meet title,Jan-30-2026,Alabama,Rachel Rybicki,,,,9.9250
Alabama,2026,4,no meet title,Jan-30-2026,Alabama,Jamison Sears,9.8000,,,9.9500
