team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Alaska,2026,1,no meet title,Jan-11-2026,Sacramento State,Maribelle Albert,9.3500,,,
Alaska,2026,1,no meet title,Jan-11-2026,Sacramento State,Ariana DeSouza,9.4750,,9.5500,9.6250
Alaska,2026,1,no meet title,Jan-11-2026,Sacramento State,Jamilia Duffus,9.6250,9.4250,,9.6500
Alaska,2026,1,no meet title,Jan-11-2026,Sacramento State,Madelyn Gomez,,9.3750,,9.5500
Alaska,2026,1,no meet title,Jan-11-2026,Sacramento State,Jordan Grindol,9.4750,,9.5000,8.7000
Alaska,2026,1,no meet title,Jan-11-2026,Sacramento State,Alexandra Karkowski,,,9.5750,
Alaska,2026,1,no meet title,Jan-11-2026,Sacramento State,Claudia Lessig,9.2250,9.6000,9.5250,9.6500
Alaska,2026,1,no meet title,Jan-11-2026,Sacramento State,Jada Niles,,9.6250,,
Alaska,2026,1,no meet title,Jan-11-2026,Sacramento State,Tessa Richardson,,8.7500,,
Alaska,2026,1,no meet title,Jan-11-2026,Sacramento State,Breeann Spain,,,8.7000,9.1500
Alaska,2026,1,no meet title,Jan-11-2026,Sacramento State,Avery Tillmanns,,9.6750,,
Alaska,2026,1,no meet title,Jan-11-2026,Sacramento State,Verena Wong,9.6000,,9.0500,
Alaska,2026,2,no meet title,Jan-23-2026,Alaska,Maribelle Albert,9.5500,8.9250,,
Alaska,2026,2,no meet title,Jan-23-2026,Alaska,Ariana DeSouza,9.3250,,9.5250,9.5750
Alaska,2026,2,no meet title,Jan-23-2026,Alaska,Jamilia Duffus,9.6500,9.6750,,9.5750
Alaska,2026,2,no meet title,Jan-23-2026,Alaska,Madelyn Gomez,9.4750,9.6000,,9.5750
Alaska,2026,2,no meet title,Jan-23-2026,Alaska,Jordan Grindol,,,9.7750,9.2000
Alaska,2026,2,no meet title,Jan-23-2026,Alaska,Alexandra Karkowski,,,9.7250,
Alaska,2026,2,no meet title,Jan-23-2026,Alaska,Claudia Lessig,9.1750,9.3500,9.7500,9.3500
Alaska,2026,2,no meet title,Jan-23-2026,Alaska,Jada Niles,,8.8250,,
Alaska,2026,2,no meet title,Jan-23-2026,Alaska,Hannah Rojo,,,9.5500,
Alaska,2026,2,no meet title,Jan-23-2026,Alaska,Breeann Spain,,,9.7500,9.5000
Alaska,2026,2,no meet title,Jan-23-2026,Alaska,Avery Tillmanns,,9.3500,,
Alaska,2026,2,no meet title,Jan-23-2026,Alaska,Verena Wong,9.2500,,,
Alaska,2026,3,no meet title,Jan-25-2026,Alaska,Maribelle Albert,9.5250,8.1500,,
Alaska,2026,3,no meet title,Jan-25-2026,Alaska,Ariana DeSouza,9.4000,,9.3500,9.5000
Alaska,2026,3,no meet title,Jan-25-2026,Alaska,Jamilia Duffus,9.6750,9.7750,,9.6750
Alaska,2026,3,no meet title,Jan-25-2026,Alaska,Madelyn Gomez,9.3500,9.5500,,9.6500
Alaska,2026,3,no meet title,Jan-25-2026,Alaska,Jordan Grindol,,,8.9000,
Alaska,2026,3,no meet title,Jan-25-2026,Alaska,Alexandra Karkowski,,,9.7500,
Alaska,2026,3,no meet title,Jan-25-2026,Alaska,Claudia Lessig,9.2750,9.5750,9.5500,9.3000
Alaska,2026,3,no meet title,Jan-25-2026,Alaska,Jada Niles,,9.3250,,
Alaska,2026,3,no meet title,Jan-25-2026,Alaska,Hannah Rojo,,,9.4750,
Alaska,2026,3,no meet title,Jan-25-2026,Alaska,Breeann Spain,,,9.0000,9.4750
Alaska,2026,3,no meet title,Jan-25-2026,Alaska,Avery Tillmanns,,9.6000,,
Alaska,2026,3,no meet title,Jan-25-2026,Alaska,Verena Wong,9.5750,,,9.3250
Alaska,2026,4,no meet title,Feb-06-2026,Air Force,Maribelle Albert,9.6000,,,
Alaska,2026,4,no meet title,Feb-06-2026,Air Force,Ariana DeSouza,9.3250,,9.5000,9.6250
Alaska,2026,4,no meet title,Feb-06-2026,Air Force,Madelyn Gomez,9.6500,9.5000,,9.4500
Alaska,2026,4,no meet title,Feb-06-2026,Air Force,Jordan Grindol,,8.9250,9.7750,9.3000
Alaska,2026,4,no meet title,Feb-06-2026,Air Force,Alexandra Karkowski,,,9.8000,
Alaska,2026,4,no meet title,Feb-06-2026,Air Force,Claudia Lessig,9.3500,9.5750,9.8500,9.4750
Alaska,2026,4,no meet title,Feb-06-2026,Air Force,Jada Niles,9.5750,9.6250,,
Alaska,2026,4,no meet title,Feb-06-2026,Air Force,Tessa Richardson,,9.3250,,
Alaska,2026,4,no meet title,Feb-06-2026,Air Force,Hannah Rojo,,9.3750,8.5250,
Alaska,2026,4,no meet title,Feb-06-2026,Air Force,Breeann Spain,,,,9.4500
Alaska,2026,4,no meet title,Feb-06-2026,Air Force,Verena Wong,9.6250,,8.7750,9.4250
Alaska,2026,5,no meet title,Feb-09-2026,Utah State,Maribelle Albert,9.3500,,,
Alaska,2026,5,no meet title,Feb-09-2026,Utah State,Ariana DeSouza,9.1250,,9.3500,9.6000
Alaska,2026,5,no meet title,Feb-09-2026,Utah State,Madelyn Gomez,8.8500,9.4750,,9.5750
Alaska,2026,5,no meet title,Feb-09-2026,Utah State,Jordan Grindol,9.4750,9.0500,9.5500,9.5250
Alaska,2026,5,no meet title,Feb-09-2026,Utah State,Maria Jose Prieto,,,,9.4750
Alaska,2026,5,no meet title,Feb-09-2026,Utah State,Alexandra Karkowski,,,9.4750,
Alaska,2026,5,no meet title,Feb-09-2026,Utah State,Claudia Lessig,9.3500,9.6250,9.7250,9.0500
Alaska,2026,5,no meet title,Feb-09-2026,Utah State,Jada Niles,,9.5750,,
Alaska,2026,5,no meet title,Feb-09-2026,Utah State,Tessa Richardson,,9.5750,,
Alaska,2026,5,no meet title,Feb-09-2026,Utah State,Hannah Rojo,,8.8750,9.4500,
Alaska,2026,5,no meet title,Feb-09-2026,Utah State,Breeann Spain,,,8.2250,9.0750
Alaska,2026,6,no meet title,Feb-20-2026,Alaska,Maribelle Albert,9.5250,,,8.9000
Alaska,2026,6,no meet title,Feb-20-2026,Alaska,Ariana DeSouza,,,9.5750,9.7500
Alaska,2026,6,no meet title,Feb-20-2026,Alaska,Jamilia Duffus,9.7000,9.7000,,9.6500
Alaska,2026,6,no meet title,Feb-20-2026,Alaska,Madelyn Gomez,9.5000,9.5500,,9.4250
Alaska,2026,6,no meet title,Feb-20-2026,Alaska,Jordan Grindol,,8.7500,9.7750,9.5000
Alaska,2026,6,no meet title,Feb-20-2026,Alaska,Maria Jose Prieto,,,,9.5500
Alaska,2026,6,no meet title,Feb-20-2026,Alaska,Alexandra Karkowski,,,9.7500,
Alaska,2026,6,no meet title,Feb-20-2026,Alaska,Claudia Lessig,9.5000,9.6250,9.4500,
Alaska,2026,6,no meet title,Feb-20-2026,Alaska,Jada Niles,9.6000,9.4750,9.6750,
Alaska,2026,6,no meet title,Feb-20-2026,Alaska,Tessa Richardson,,9.7500,,
Alaska,2026,6,no meet title,Feb-20-2026,Alaska,Hannah Rojo,,,9.5500,
Alaska,2026,6,no meet title,Feb-20-2026,Alaska,Verena Wong,9.3500,,,
