team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Arizona State,2026,1,no meet title,Jan-11-2026,Arizona State,Kylee Bromley,9.7500,9.8250,9.6750,9.8750
Arizona State,2026,1,no meet title,Jan-11-2026,Arizona State,Safia El Mammann,9.8500,,9.5000,
Arizona State,2026,1,no meet title,Jan-11-2026,Arizona State,Halle Gregoire,9.8250,9.7500,,9.8250
Arizona State,2026,1,no meet title,Jan-11-2026,Arizona State,Reese Grolla,,9.8250,9.8500,
Arizona State,2026,1,no meet title,Jan-11-2026,Arizona State,Delanie Kelly,9.7750,,9.7000,9.7750
Arizona State,2026,1,no meet title,Jan-11-2026,Arizona State,Kayla Lee,,9.1000,9.8250,9.2000
Arizona State,2026,1,no meet title,Jan-11-2026,Arizona State,Adele Ossi,,9.0750,,
Arizona State,2026,1,no meet title,Jan-11-2026,Arizona State,Tiara Platkin,,,,9.7250
Arizona State,2026,1,no meet title,Jan-11-2026,Arizona State,Lilia Purler,9.8000,,,
Arizona State,2026,1,no meet title,Jan-11-2026,Arizona State,Kimberly Smith,9.7750,9.7750,9.6750,9.8750
Arizona State,2026,2,no meet title,Jan-16-2026,Kentucky,Kylee Bromley,9.7750,9.8500,9.8500,9.7500
Arizona State,2026,2,no meet title,Jan-16-2026,Kentucky,Safia El Mammann,9.7500,9.7500,9.6500,
Arizona State,2026,2,no meet title,Jan-16-2026,Kentucky,Halle Gregoire,9.8000,9.7500,,9.8500
Arizona State,2026,2,no meet title,Jan-16-2026,Kentucky,Reese Grolla,,9.6500,9.6750,
Arizona State,2026,2,no meet title,Jan-16-2026,Kentucky,Delanie Kelly,9.7500,,9.6750,9.8500
Arizona State,2026,2,no meet title,Jan-16-2026,Kentucky,Kayla Lee,,9.0000,9.8500,9.7750
Arizona State,2026,2,no meet title,Jan-16-2026,Kentucky,Tiara Platkin,,,,9.8000
Arizona State,2026,2,no meet title,Jan-16-2026,Kentucky,Lilia Purler,9.8000,,,
Arizona State,2026,2,no meet title,Jan-16-2026,Kentucky,Kimberly Smith,9.8250,9.8750,9.7750,9.8250
Arizona State,2026,3,no meet title,Jan-23-2026,Arizona State,Kylee Bromley,,9.8000,9.8000,9.5500
Arizona State,2026,3,no meet title,Jan-23-2026,Arizona State,Safia El Mammann,9.7250,,8.8500,
Arizona State,2026,3,no meet title,Jan-23-2026,Arizona State,Halle Gregoire,9.7250,,,9.9000
Arizona State,2026,3,no meet title,Jan-23-2026,Arizona State,Reese Grolla,,9.7750,9.8250,
Arizona State,2026,3,no meet title,Jan-23-2026,Arizona State,Delanie Kelly,9.7500,9.7500,,9.8750
Arizona State,2026,3,no meet title,Jan-23-2026,Arizona State,Nina Laurito,,9.4750,,
Arizona State,2026,3,no meet title,Jan-23-2026,Arizona State,Kayla Lee,,9.6500,9.8250,9.7500
Arizona State,2026,3,no meet title,Jan-23-2026,Arizona State,Tiara Platkin,,,,9.8000
Arizona State,2026,3,no meet title,Jan-23-2026,Arizona State,Lilia Purler,9.7750,,,
Arizona State,2026,3,no meet title,Jan-23-2026,Arizona State,Jessica Rosenberg,9.8000,,9.7750,
Arizona State,2026,3,no meet title,Jan-23-2026,Arizona State,Kimberly Smith,9.8500,9.8750,9.8500,9.9000
Arizona State,2026,4,no meet title,Jan-30-2026,Utah,Halle Braaflat,,9.6750,,9.6500
Arizona State,2026,4,no meet title,Jan-30-2026,Utah,Kylee Bromley,9.2750,9.7500,9.7750,9.6000
