team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Arizona,2026,1,no meet title,Jan-09-2026,Arizona,Riley Carman,,9.6250,,
Arizona,2026,1,no meet title,Jan-09-2026,Arizona,Sophie Derr,9.7750,9.7000,,9.8500
Arizona,2026,1,no meet title,Jan-09-2026,Arizona,Ainsley Greever,9.8250,,,
Arizona,2026,1,no meet title,Jan-09-2026,Arizona,Jessa Janicke,9.7250,,,
Arizona,2026,1,no meet title,Jan-09-2026,Arizona,Aubrey Krohnfeldt,,9.8500,9.6000,9.7250
Arizona,2026,1,no meet title,Jan-09-2026,Arizona,Elizabeth LaRusso,9.7750,,,9.1250
Arizona,2026,1,no meet title,Jan-09-2026,Arizona,Gianna Lenczner,,,9.8000,
Arizona,2026,1,no meet title,Jan-09-2026,Arizona,Abigayle Martin,9.7500,9.7750,9.8500,9.8500
Arizona,2026,1,no meet title,Jan-09-2026,Arizona,Hillary Puleo,,9.7250,9.1750,9.9000
Arizona,2026,1,no meet title,Jan-09-2026,Arizona,Sadie Smith,,8.8250,,
Arizona,2026,1,no meet title,Jan-09-2026,Arizona,Emma Strom,9.6750,,9.6500,9.9250
Arizona,2026,1,no meet title,Jan-09-2026,Arizona,Tirzah Wise,,,9.7500,
Arizona,2026,2,no meet title,Jan-16-2026,Texas Woman's,Riley Carman,,,,9.7000
Arizona,2026,2,no meet title,Jan-16-2026,Texas Woman's,Sophie Derr,9.7250,9.1000,,
Arizona,2026,2,no meet title,Jan-16-2026,Texas Woman's,Ainsley Greever,9.5000,,,
Arizona,2026,2,no meet title,Jan-16-2026,Texas Woman's,Jessa Janicke,9.8250,,,
Arizona,2026,2,no meet title,Jan-16-2026,Texas Woman's,Aubrey Krohnfeldt,,9.8000,9.1000,
Arizona,2026,2,no meet title,Jan-16-2026,Texas Woman's,Elizabeth LaRusso,9.7250,,,9.7250
Arizona,2026,2,no meet title,Jan-16-2026,Texas Woman's,Gianna Lenczner,,,9.6500,
Arizona,2026,2,no meet title,Jan-16-2026,Texas Woman's,Sophia Maisel,,9.7250,,
Arizona,2026,2,no meet title,Jan-16-2026,Texas Woman's,Abigayle Martin,9.8250,8.9750,9.9000,9.7250
Arizona,2026,2,no meet title,Jan-16-2026,Texas Woman's,Hillary Puleo,,9.7500,9.1500,9.7750
Arizona,2026,2,no meet title,Jan-16-2026,Texas Woman's,Sadie Smith,,9.2000,,
Arizona,2026,2,no meet title,Jan-16-2026,Texas Woman's,Emma Strom,9.8000,,9.5750,9.7250
Arizona,2026,2,no meet title,Jan-16-2026,Texas Woman's,Tirzah Wise,,,9.8500,9.8000
Arizona,2026,3,no meet title,Jan-23-2026,Arizona,Sophie Derr,9.8250,9.8500,,9.7750
Arizona,2026,3,no meet title,Jan-23-2026,Arizona,Ainsley Greever,9.7750,,,
Arizona,2026,3,no meet title,Jan-23-2026,Arizona,Jessa Janicke,9.8500,,9.6750,
Arizona,2026,3,no meet title,Jan-23-2026,Arizona,Aubrey Krohnfeldt,,9.9000,,
Arizona,2026,3,no meet title,Jan-23-2026,Arizona,Elizabeth LaRusso,9.7000,,,9.8500
Arizona,2026,3,no meet title,Jan-23-2026,Arizona,Gianna Lenczner,,,9.7500,
Arizona,2026,3,no meet title,Jan-23-2026,Arizona,Abigayle Martin,9.8000,9.8000,9.9000,9.9500
Arizona,2026,3,no meet title,Jan-23-2026,Arizona,Delaney Mead,,9.8500,,
Arizona,2026,3,no meet title,Jan-23-2026,Arizona,Hillary Puleo,,9.8000,,9.9000
Arizona,2026,3,no meet title,Jan-23-2026,Arizona,Sadie Smith,,9.8250,,
Arizona,2026,3,no meet title,Jan-23-2026,Arizona,Emma Strom,9.8250,,9.7000,9.9250
Arizona,2026,3,no meet title,Jan-23-2026,Arizona,Teagan White,,,9.8500,
Arizona,2026,3,no meet title,Jan-23-2026,Arizona,Tirzah Wise,,,9.8500,9.8250
Arizona,2026,4,no meet title,Jan-30-2026,BYU,Riley Carman,,,,9.6500
Arizona,2026,4,no meet title,Jan-30-2026,BYU,Sophie Derr,9.6750,9.8000,,
Arizona,2026,4,no meet title,Jan-30-2026,BYU,Ainsley Greever,9.7000,,,
Arizona,2026,4,no meet title,Jan-30-2026,BYU,Jessa Janicke,9.8250,,8.8500,
Arizona,2026,4,no meet title,Jan-30-2026,BYU,Aubrey Krohnfeldt,,9.7750,9.7500,9.6750
Arizona,2026,4,no meet title,Jan-30-2026,BYU,Gianna Lenczner,,,9.7750,
Arizona,2026,4,no meet title,Jan-30-2026,BYU,Abigayle Martin,9.7750,9.8000,9.9000,9.8500
Arizona,2026,4,no meet title,Jan-30-2026,BYU,Delaney Mead,,9.8000,,
Arizona,2026,4,no meet title,Jan-30-2026,BYU,Hillary Puleo,9.6500,9.7750,,9.6750
Arizona,2026,4,no meet title,Jan-30-2026,BYU,Sadie Smith,,9.8500,,
Arizona,2026,4,no meet title,Jan-30-2026,BYU,Emma Strom,9.6750,,,9.9250
Arizona,2026,4,no meet title,Jan-30-2026,BYU,Teagan White,,,9.5000,
Arizona,2026,4,no meet title,Jan-30-2026,BYU,Tirzah Wise,,,9.8250,9.7000
Arizona,2026,5,no meet title,Feb-06-2026,Arizona,Sophie Derr,9.8000,9.8000,,9.8000
Arizona,2026,5,no meet title,Feb-06-2026,Arizona,Ainsley Greever,9.8000,,,
Arizona,2026,5,no meet title,Feb-06-2026,Arizona,Jessa Janicke,9.9000,,9.8000,
Arizona,2026,5,no meet title,Feb-06-2026,Arizona,Aubrey Krohnfeldt,,9.7750,9.7500,9.8250
Arizona,2026,5,no meet title,Feb-06-2026,Arizona,Gianna Lenczner,,,9.8250,
Arizona,2026,5,no meet title,Feb-06-2026,Arizona,Abigayle Martin,9.8000,9.7750,9.9250,9.7750
Arizona,2026,5,no meet title,Feb-06-2026,Arizona,Delaney Mead,,9.6750,,
Arizona,2026,5,no meet title,Feb-06-2026,Arizona,Hillary Puleo,,9.6500,,9.7500
Arizona,2026,5,no meet title,Feb-06-2026,Arizona,Sadie Smith,,9.6250,,
Arizona,2026,5,no meet title,Feb-06-2026,Arizona,Emma Strom,9.7500,,,9.9000
Arizona,2026,5,no meet title,Feb-06-2026,Arizona,Teagan White,,,9.7750,
Arizona,2026,5,no meet title,Feb-06-2026,Arizona,Tirzah Wise,9.7000,,9.8750,9.7500
Arizona,2026,6,Metroplex Challenge,Feb-08-2026,,Sophie Derr,9.8250,9.5500,,9.8500
Arizona,2026,6,Metroplex Challenge,Feb-08-2026,,Ainsley Greever,9.5250,,,
Arizona,2026,6,Metroplex Challenge,Feb-08-2026,,Jessa Janicke,9.8250,,9.5000,
Arizona,2026,6,Metroplex Challenge,Feb-08-2026,,Aubrey Krohnfeldt,,9.8250,,9.8000
Arizona,2026,6,Metroplex Challenge,Feb-08-2026,,Gianna Lenczner,,,9.4000,
Arizona,2026,6,Metroplex Challenge,Feb-08-2026,,Abigayle Martin,9.8500,9.9250,9.7750,9.8250
Arizona,2026,6,Metroplex Challenge,Feb-08-2026,,Delaney Mead,,9.8750,,
Arizona,2026,6,Metroplex Challenge,Feb-08-2026,,Hillary Puleo,,9.8000,,9.8500
Arizona,2026,6,Metroplex Challenge,Feb-08-2026,,Sadie Smith,,9.8500,,
Arizona,2026,6,Metroplex Challenge,Feb-08-2026,,Emma Strom,9.8250,,9.4750,9.9500
Arizona,2026,6,Metroplex Challenge,Feb-08-2026,,Teagan White,,,9.5750,
Arizona,2026,6,Metroplex Challenge,Feb-08-2026,,Tirzah Wise,9.8500,,9.7750,9.7750
Arizona,2026,7,no meet title,Feb-14-2026,Denver,Sophie Derr,9.7500,9.7750,,9.8000
Arizona,2026,7,no meet title,Feb-14-2026,Denver,Ainsley Greever,9.8250,,,
Arizona,2026,7,no meet title,Feb-14-2026,Denver,Jessa Janicke,9.7000,,9.4500,
Arizona,2026,7,no meet title,Feb-14-2026,Denver,Aubrey Krohnfeldt,,9.8000,8.9750,9.8000
Arizona,2026,7,no meet title,Feb-14-2026,Denver,Elizabeth LaRusso,9.7500,,,9.7500
Arizona,2026,7,no meet title,Feb-14-2026,Denver,Gianna Lenczner,,,9.7750,
Arizona,2026,7,no meet title,Feb-14-2026,Denver,Abigayle Martin,9.7750,9.7250,9.8250,9.8250
Arizona,2026,7,no meet title,Feb-14-2026,Denver,Delaney Mead,,9.0750,,
Arizona,2026,7,no meet title,Feb-14-2026,Denver,Hillary Puleo,,9.7500,,
Arizona,2026,7,no meet title,Feb-14-2026,Denver,Sadie Smith,,9.7750,,
Arizona,2026,7,no meet title,Feb-14-2026,Denver,Emma Strom,9.8000,,,9.8750
Arizona,2026,7,no meet title,Feb-14-2026,Denver,Teagan White,,,9.7500,
Arizona,2026,7,no meet title,Feb-14-2026,Denver,Tirzah Wise,,,9.7250,9.8000
Arizona,2026,8,no meet title,Feb-21-2026,Arizona,Riley Carman,,,,9.8250
Arizona,2026,8,no meet title,Feb-21-2026,Arizona,Sophie Derr,9.7750,9.8500,9.7500,9.9000
Arizona,2026,8,no meet title,Feb-21-2026,Arizona,Ainsley Greever,9.7500,,,
Arizona,2026,8,no meet title,Feb-21-2026,Arizona,Jessa Janicke,9.8750,,,
Arizona,2026,8,no meet title,Feb-21-2026,Arizona,Aubrey Krohnfeldt,,9.8750,9.7750,
Arizona,2026,8,no meet title,Feb-21-2026,Arizona,Elizabeth LaRusso,9.7750,,,9.7250
Arizona,2026,8,no meet title,Feb-21-2026,Arizona,Gianna Lenczner,,,9.9000,
Arizona,2026,8,no meet title,Feb-21-2026,Arizona,Abigayle Martin,9.7750,9.9000,9.8750,9.8500
Arizona,2026,8,no meet title,Feb-21-2026,Arizona,Delaney Mead,,9.8000,,
Arizona,2026,8,no meet title,Feb-21-2026,Arizona,Hillary Puleo,,9.7750,,
Arizona,2026,8,no meet title,Feb-21-2026,Arizona,Sadie Smith,,9.8000,,
Arizona,2026,8,no meet title,Feb-21-2026,Arizona,Emma Strom,,,9.4500,9.9000
Arizona,2026,8,no meet title,Feb-21-2026,Arizona,Tirzah Wise,9.7500,,9.8250,9.8500
Arizona,2026,9,Purple & Gold,Mar-01-2026,,Riley Carman,,,,8.9750
Arizona,2026,9,Purple & Gold,Mar-01-2026,,Sophie Derr,9.7500,9.8250,9.6250,9.8000
