team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Arkansas,2026,1,no meet title,Jan-10-2026,Minnesota,Allison Cucci,9.9000,9.8250,9.8250,9.8000
Arkansas,2026,1,no meet title,Jan-10-2026,Minnesota,Madison Gustitus,,,9.8000,
Arkansas,2026,1,no meet title,Jan-10-2026,Minnesota,Hailey Klein,9.7250,9.7750,9.7500,9.8250
Arkansas,2026,1,no meet title,Jan-10-2026,Minnesota,Ja'Leigh Lang,9.8000,,,
Arkansas,2026,1,no meet title,Jan-10-2026,Minnesota,Morgan Price,9.8750,9.8500,9.4500,9.8750
Arkansas,2026,1,no meet title,Jan-10-2026,Minnesota,Joscelyn Roberson,,9.7750,9.9500,9.8250
Arkansas,2026,1,no meet title,Jan-10-2026,Minnesota,Leah Smith,9.7750,9.8750,,9.8500
Arkansas,2026,1,no meet title,Jan-10-2026,Minnesota,Cally Swaney,,9.7750,,
Arkansas,2026,1,no meet title,Jan-10-2026,Minnesota,Cami Weaver,,,9.8500,9.8000
Arkansas,2026,1,no meet title,Jan-10-2026,Minnesota,Lauren Williams,9.9000,,,
Arkansas,2026,2,no meet title,Jan-18-2026,Arkansas,Avalon Campbell,,9.8000,,
Arkansas,2026,2,no meet title,Jan-18-2026,Arkansas,Allison Cucci,9.8500,9.9000,9.8500,
Arkansas,2026,2,no meet title,Jan-18-2026,Arkansas,Madison Gustitus,,,9.8500,
Arkansas,2026,2,no meet title,Jan-18-2026,Arkansas,Hailey Klein,9.7250,9.8250,9.8250,9.8500
Arkansas,2026,2,no meet title,Jan-18-2026,Arkansas,Ja'Leigh Lang,9.7750,,,
Arkansas,2026,2,no meet title,Jan-18-2026,Arkansas,Frankie Price,,,,9.8750
Arkansas,2026,2,no meet title,Jan-18-2026,Arkansas,Morgan Price,9.9000,9.8500,9.9250,9.8000
Arkansas,2026,2,no meet title,Jan-18-2026,Arkansas,Joscelyn Roberson,,9.7750,9.9500,9.8500
Arkansas,2026,2,no meet title,Jan-18-2026,Arkansas,Leah Smith,9.8750,9.8750,,9.7250
Arkansas,2026,2,no meet title,Jan-18-2026,Arkansas,Cami Weaver,,,9.2750,
Arkansas,2026,2,no meet title,Jan-18-2026,Arkansas,Lauren Williams,9.9750,,,9.8500
Arkansas,2026,3,no meet title,Jan-23-2026,Arkansas,Avalon Campbell,,9.7750,,
Arkansas,2026,3,no meet title,Jan-23-2026,Arkansas,Allison Cucci,9.8750,9.7500,9.7000,9.8750
Arkansas,2026,3,no meet title,Jan-23-2026,Arkansas,Madison Gustitus,,,9.8250,
Arkansas,2026,3,no meet title,Jan-23-2026,Arkansas,Hailey Klein,9.8250,9.8750,9.8250,9.8250
Arkansas,2026,3,no meet title,Jan-23-2026,Arkansas,Frankie Price,,,,9.9250
Arkansas,2026,3,no meet title,Jan-23-2026,Arkansas,Morgan Price,9.9000,9.9000,9.9250,9.8750
Arkansas,2026,3,no meet title,Jan-23-2026,Arkansas,Joscelyn Roberson,,,9.9500,9.9250
Arkansas,2026,3,no meet title,Jan-23-2026,Arkansas,Leah Smith,9.8750,9.9000,,
Arkansas,2026,3,no meet title,Jan-23-2026,Arkansas,Cally Swaney,,9.7500,,
Arkansas,2026,3,no meet title,Jan-23-2026,Arkansas,Cami Weaver,9.8250,,9.8750,
Arkansas,2026,3,no meet title,Jan-23-2026,Arkansas,Lauren Williams,9.8750,,,9.9250
Arkansas,2026,4,no meet title,Jan-30-2026,Florida,Allison Cucci,9.8250,9.7750,9.8500,9.8250
Arkansas,2026,4,no meet title,Jan-30-2026,Florida,Madison Gustitus,,,9.8500,
Arkansas,2026,4,no meet title,Jan-30-2026,Florida,Hailey Klein,9.8750,9.8250,9.8250,
Arkansas,2026,4,no meet title,Jan-30-2026,Florida,Frankie Price,,,,9.0750
Arkansas,2026,4,no meet title,Jan-30-2026,Florida,Morgan Price,9.9250,9.9000,9.7250,9.1250
Arkansas,2026,4,no meet title,Jan-30-2026,Florida,Joscelyn Roberson,,9.7750,9.8250,9.8500
Arkansas,2026,4,no meet title,Jan-30-2026,Florida,Leah Smith,9.7500,9.8250,,9.8250
Arkansas,2026,4,no meet title,Jan-30-2026,Florida,Cally Swaney,,9.7750,,
Arkansas,2026,4,no meet title,Jan-30-2026,Florida,Cami Weaver,9.8500,,9.2250,
Arkansas,2026,4,no meet title,Jan-30-2026,Florida,Lauren Williams,9.8750,,,9.8250
Arkansas,2026,5,no meet title,Feb-06-2026,Arkansas,Avalon Campbell,,9.8250,,
