team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Auburn,2026,1,no meet title,Jan-09-2026,Auburn,Olivia Ahern,,,9.8500,9.8500
Auburn,2026,1,no meet title,Jan-09-2026,Auburn,Bryn Bartman,,9.5750,,9.8500
Auburn,2026,1,no meet title,Jan-09-2026,Auburn,Sophia Bell,9.9250,,,9.9500
Auburn,2026,1,no meet title,Jan-09-2026,Auburn,Charlotte Booth,,9.8000,,
Auburn,2026,1,no meet title,Jan-09-2026,Auburn,Olivia Greaves,9.6250,9.8000,9.8250,9.9500
Auburn,2026,1,no meet title,Jan-09-2026,Auburn,Hannah Hagle,,,9.8250,
Auburn,2026,1,no meet title,Jan-09-2026,Auburn,Julianne Huff,9.8750,9.7750,9.8250,9.9000
Auburn,2026,1,no meet title,Jan-09-2026,Auburn,Alex Irvine,,9.7500,,9.6250
Auburn,2026,1,no meet title,Jan-09-2026,Auburn,Mia Leverton,9.8500,,,
Auburn,2026,1,no meet title,Jan-09-2026,Auburn,Marissa Neal,9.8500,9.8750,9.8500,
Auburn,2026,1,no meet title,Jan-09-2026,Auburn,Emma Wehry,,,9.1500,
Auburn,2026,1,no meet title,Jan-09-2026,Auburn,Paige Zancan,9.9750,,,
Auburn,2026,2,no meet title,Jan-18-2026,Arkansas,Olivia Ahern,,,9.7750,9.8000
Auburn,2026,2,no meet title,Jan-18-2026,Arkansas,Bryn Bartman,,,,9.7500
Auburn,2026,2,no meet title,Jan-18-2026,Arkansas,Sophia Bell,9.9000,,,9.9250
Auburn,2026,2,no meet title,Jan-18-2026,Arkansas,Charlotte Booth,,9.5750,,
Auburn,2026,2,no meet title,Jan-18-2026,Arkansas,Emma Grace Boyd,,9.6000,,
Auburn,2026,2,no meet title,Jan-18-2026,Arkansas,Olivia Greaves,9.7250,9.6500,9.8000,9.7000
Auburn,2026,2,no meet title,Jan-18-2026,Arkansas,Hannah Hagle,,,9.6750,
Auburn,2026,2,no meet title,Jan-18-2026,Arkansas,Julianne Huff,9.7000,9.8000,9.7750,9.8750
Auburn,2026,2,no meet title,Jan-18-2026,Arkansas,Alex Irvine,,9.9000,9.9000,
Auburn,2026,2,no meet title,Jan-18-2026,Arkansas,Mia Leverton,9.8250,,,
Auburn,2026,2,no meet title,Jan-18-2026,Arkansas,Marissa Neal,9.7500,9.8000,9.8500,9.8500
Auburn,2026,2,no meet title,Jan-18-2026,Arkansas,Paige Zancan,9.8250,,,
Auburn,2026,3,no meet title,Jan-23-2026,Auburn,Olivia Ahern,,,9.8750,9.8000
Auburn,2026,3,no meet title,Jan-23-2026,Auburn,Bryn Bartman,,9.7750,,9.8500
Auburn,2026,3,no meet title,Jan-23-2026,Auburn,Sophia Bell,9.7500,,,9.8000
Auburn,2026,3,no meet title,Jan-23-2026,Auburn,Charlotte Booth,,9.8000,,
Auburn,2026,3,no meet title,Jan-23-2026,Auburn,Olivia Greaves,9.7500,9.8500,9.3750,9.8500
Auburn,2026,3,no meet title,Jan-23-2026,Auburn,Hannah Hagle,,,9.8500,
Auburn,2026,3,no meet title,Jan-23-2026,Auburn,Julianne Huff,9.8250,,9.6750,9.9000
Auburn,2026,3,no meet title,Jan-23-2026,Auburn,Alex Irvine,,9.8500,9.8000,
Auburn,2026,3,no meet title,Jan-23-2026,Auburn,Katelyn Jong,,9.8500,,
Auburn,2026,3,no meet title,Jan-23-2026,Auburn,Mia Leverton,9.8750,,,
Auburn,2026,3,no meet title,Jan-23-2026,Auburn,Marissa Neal,9.8250,9.7500,9.9000,9.9000
Auburn,2026,3,no meet title,Jan-23-2026,Auburn,Paige Zancan,9.9000,,,
Auburn,2026,4,no meet title,Feb-01-2026,Georgia,Olivia Ahern,,,9.7750,9.6750
Auburn,2026,4,no meet title,Feb-01-2026,Georgia,Bryn Bartman,,,,9.8250
Auburn,2026,4,no meet title,Feb-01-2026,Georgia,Sophia Bell,9.8250,,,9.8500
Auburn,2026,4,no meet title,Feb-01-2026,Georgia,Charlotte Booth,,9.7500,,
Auburn,2026,4,no meet title,Feb-01-2026,Georgia,Olivia Greaves,9.8250,9.7000,9.8000,8.9500
Auburn,2026,4,no meet title,Feb-01-2026,Georgia,Hannah Hagle,,9.5500,9.8250,
Auburn,2026,4,no meet title,Feb-01-2026,Georgia,Julianne Huff,9.8750,,,
Auburn,2026,4,no meet title,Feb-01-2026,Georgia,Alex Irvine,,9.8250,9.9000,9.7500
Auburn,2026,4,no meet title,Feb-01-2026,Georgia,Katelyn Jong,,9.7250,,
Auburn,2026,4,no meet title,Feb-01-2026,Georgia,Mia Leverton,9.8500,,,
Auburn,2026,4,no meet title,Feb-01-2026,Georgia,Marissa Neal,9.8250,9.7000,9.9000,9.8250
