team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
BYU,2026,1,no meet title,Jan-09-2026,BYU,Alilah Alvarado,,9.7750,,
BYU,2026,1,no meet title,Jan-09-2026,BYU,Brynlee Andersen-Broekman,,,9.8750,9.7000
BYU,2026,1,no meet title,Jan-09-2026,BYU,Kylie Eaquinto,9.8250,9.8500,,9.9000
BYU,2026,1,no meet title,Jan-09-2026,BYU,Addilyn Glazier,,9.7250,,
BYU,2026,1,no meet title,Jan-09-2026,BYU,Chloee Hoke,,,9.8250,9.6500
BYU,2026,1,no meet title,Jan-09-2026,BYU,Ava Jorgensen,9.8000,9.8750,9.7500,
BYU,2026,1,no meet title,Jan-09-2026,BYU,Mya Kirkham,9.7500,9.8000,,
BYU,2026,1,no meet title,Jan-09-2026,BYU,Deb Silva,9.7000,9.8500,8.6250,9.8000
BYU,2026,1,no meet title,Jan-09-2026,BYU,Hazel Smith,,,9.6500,
BYU,2026,1,no meet title,Jan-09-2026,BYU,Scarlett Sonnenberg,9.5500,,9.6250,9.8750
BYU,2026,1,no meet title,Jan-09-2026,BYU,Daisy Stephenson,9.8000,,,8.9500
BYU,2026,2,Best of Utah,Jan-12-2026,,Alilah Alvarado,,9.6500,9.7500,
BYU,2026,2,Best of Utah,Jan-12-2026,,Brynlee Andersen-Broekman,,,9.8500,9.8500
BYU,2026,2,Best of Utah,Jan-12-2026,,Kylie Eaquinto,9.8000,9.7750,,9.6500
BYU,2026,2,Best of Utah,Jan-12-2026,,Addilyn Glazier,,9.6750,,
BYU,2026,2,Best of Utah,Jan-12-2026,,Chloee Hoke,,,9.8000,9.8250
BYU,2026,2,Best of Utah,Jan-12-2026,,Ava Jorgensen,9.7500,9.7500,9.8000,9.7250
BYU,2026,2,Best of Utah,Jan-12-2026,,Mya Kirkham,9.7000,9.7500,,
BYU,2026,2,Best of Utah,Jan-12-2026,,Deb Silva,9.8000,9.8000,,9.7500
BYU,2026,2,Best of Utah,Jan-12-2026,,Hazel Smith,,,9.8000,
BYU,2026,2,Best of Utah,Jan-12-2026,,Scarlett Sonnenberg,9.8250,,9.0500,9.8500
BYU,2026,2,Best of Utah,Jan-12-2026,,Daisy Stephenson,9.8000,,,
BYU,2026,3,no meet title,Jan-16-2026,BYU,Alilah Alvarado,,9.7250,9.8250,
BYU,2026,3,no meet title,Jan-16-2026,BYU,Brynlee Andersen-Broekman,,,9.9250,9.9000
BYU,2026,3,no meet title,Jan-16-2026,BYU,Kylie Eaquinto,9.8000,9.9000,,9.9000
BYU,2026,3,no meet title,Jan-16-2026,BYU,Addilyn Glazier,,9.6250,,
