team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Ball State,2026,1,no meet title,Jan-11-2026,Ball State,Mary Rose Bellan,9.6000,9.7500,,
Ball State,2026,1,no meet title,Jan-11-2026,Ball State,Viviana Campuzano,,,,9.7750
Ball State,2026,1,no meet title,Jan-11-2026,Ball State,Lindsay Fuller,,,9.6000,
Ball State,2026,1,no meet title,Jan-11-2026,Ball State,Lindsay Girard,9.7000,,,9.5750
Ball State,2026,1,no meet title,Jan-11-2026,Ball State,Delaney McMahon,,9.6500,9.8500,
Ball State,2026,1,no meet title,Jan-11-2026,Ball State,Karli Mercer,9.6750,,,
Ball State,2026,1,no meet title,Jan-11-2026,Ball State,Zoe Middleton,,9.8250,9.9000,
Ball State,2026,1,no meet title,Jan-11-2026,Ball State,Ava Molina,,8.6500,9.6250,9.8750
Ball State,2026,1,no meet title,Jan-11-2026,Ball State,Jordanna Phillis,9.7500,8.9000,,
Ball State,2026,1,no meet title,Jan-11-2026,Ball State,Alauna Simms,,,,9.5750
Ball State,2026,1,no meet title,Jan-11-2026,Ball State,Carley Stalder,9.8500,,9.1250,9.7500
Ball State,2026,1,no meet title,Jan-11-2026,Ball State,Grace Suchecki,9.7250,,,9.8000
Ball State,2026,1,no meet title,Jan-11-2026,Ball State,Ashley Szymanski,,9.9000,9.8000,
Ball State,2026,2,no meet title,Jan-18-2026,Ball State,Mary Rose Bellan,9.6500,9.7000,,
Ball State,2026,2,no meet title,Jan-18-2026,Ball State,Viviana Campuzano,,,,9.5000
Ball State,2026,2,no meet title,Jan-18-2026,Ball State,Lindsay Fuller,,,9.8000,
Ball State,2026,2,no meet title,Jan-18-2026,Ball State,Lindsay Girard,9.7250,,,9.8250
Ball State,2026,2,no meet title,Jan-18-2026,Ball State,Avery Kantor,,,,9.7250
Ball State,2026,2,no meet title,Jan-18-2026,Ball State,Delaney McMahon,,9.5750,9.8000,
Ball State,2026,2,no meet title,Jan-18-2026,Ball State,Karli Mercer,9.8250,,,
Ball State,2026,2,no meet title,Jan-18-2026,Ball State,Zoe Middleton,,9.7500,9.7000,
Ball State,2026,2,no meet title,Jan-18-2026,Ball State,Ava Molina,,9.6500,9.6750,9.9000
Ball State,2026,2,no meet title,Jan-18-2026,Ball State,Jordanna Phillis,9.7750,9.6750,,
Ball State,2026,2,no meet title,Jan-18-2026,Ball State,Carley Stalder,9.7750,,9.6750,9.8000
Ball State,2026,2,no meet title,Jan-18-2026,Ball State,Grace Suchecki,9.6750,,,9.8000
Ball State,2026,2,no meet title,Jan-18-2026,Ball State,Ashley Szymanski,,9.7750,9.8750,
Ball State,2026,3,no meet title,Jan-24-2026,Northern Illinois,Mary Rose Bellan,,8.6750,,
Ball State,2026,3,no meet title,Jan-24-2026,Northern Illinois,Viviana Campuzano,,,,8.4500
Ball State,2026,3,no meet title,Jan-24-2026,Northern Illinois,Lindsay Fuller,,,9.8250,
Ball State,2026,3,no meet title,Jan-24-2026,Northern Illinois,Delaney McMahon,,9.6750,9.8750,
Ball State,2026,3,no meet title,Jan-24-2026,Northern Illinois,Karli Mercer,9.6500,,,
Ball State,2026,3,no meet title,Jan-24-2026,Northern Illinois,Zoe Middleton,9.8000,9.7500,9.8000,9.8250
Ball State,2026,3,no meet title,Jan-24-2026,Northern Illinois,Ava Molina,,9.7500,9.8250,9.6500
Ball State,2026,3,no meet title,Jan-24-2026,Northern Illinois,Jordanna Phillis,9.6250,9.1750,,
Ball State,2026,3,no meet title,Jan-24-2026,Northern Illinois,Alauna Simms,,,,8.7750
Ball State,2026,3,no meet title,Jan-24-2026,Northern Illinois,Carley Stalder,9.8500,,9.8750,9.7500
Ball State,2026,3,no meet title,Jan-24-2026,Northern Illinois,Grace Suchecki,9.7500,,,9.5750
Ball State,2026,3,no meet title,Jan-24-2026,Northern Illinois,Ashley Szymanski,,9.8000,9.8500,
Ball State,2026,3,no meet title,Jan-24-2026,Northern Illinois,Ava Thurston,9.7750,,,
Ball State,2026,4,no meet title,Feb-01-2026,S.E. Missouri,Mary Rose Bellan,,9.7500,,
Ball State,2026,4,no meet title,Feb-01-2026,S.E. Missouri,Lindsay Fuller,,,9.8250,
Ball State,2026,4,no meet title,Feb-01-2026,S.E. Missouri,Lindsay Girard,,,,9.6750
Ball State,2026,4,no meet title,Feb-01-2026,S.E. Missouri,Delaney McMahon,,9.7750,9.8000,
Ball State,2026,4,no meet title,Feb-01-2026,S.E. Missouri,Karli Mercer,9.8250,9.7000,,
Ball State,2026,4,no meet title,Feb-01-2026,S.E. Missouri,Zoe Middleton,9.9000,9.8500,9.7750,9.7500
Ball State,2026,4,no meet title,Feb-01-2026,S.E. Missouri,Ava Molina,,9.7250,9.7750,9.9000
Ball State,2026,4,no meet title,Feb-01-2026,S.E. Missouri,Jordanna Phillis,9.3500,,,
Ball State,2026,4,no meet title,Feb-01-2026,S.E. Missouri,Alauna Simms,,,,9.8250
Ball State,2026,4,no meet title,Feb-01-2026,S.E. Missouri,Carley Stalder,9.8000,,9.7000,9.7000
Ball State,2026,4,no meet title,Feb-01-2026,S.E. Missouri,Grace Suchecki,9.7000,,,9.0750
Ball State,2026,4,no meet title,Feb-01-2026,S.E. Missouri,Ashley Szymanski,,9.6750,9.8250,
Ball State,2026,4,no meet title,Feb-01-2026,S.E. Missouri,Ava Thurston,9.8000,,,
Ball State,2026,5,no meet title,Feb-08-2026,Ball State,Mary Rose Bellan,9.4250,9.8500,,
Ball State,2026,5,no meet title,Feb-08-2026,Ball State,Lindsay Fuller,,,9.6250,
Ball State,2026,5,no meet title,Feb-08-2026,Ball State,Lindsay Girard,,,,9.7750
Ball State,2026,5,no meet title,Feb-08-2026,Ball State,Avery Kantor,,,,9.7500
Ball State,2026,5,no meet title,Feb-08-2026,Ball State,Delaney McMahon,,9.8000,9.7500,
Ball State,2026,5,no meet title,Feb-08-2026,Ball State,Karli Mercer,9.7750,9.8750,,
Ball State,2026,5,no meet title,Feb-08-2026,Ball State,Zoe Middleton,8.9750,9.7750,9.7250,9.7000
Ball State,2026,5,no meet title,Feb-08-2026,Ball State,Ava Molina,,9.7750,9.7500,9.8750
Ball State,2026,5,no meet title,Feb-08-2026,Ball State,Jordanna Phillis,9.6500,,,
Ball State,2026,5,no meet title,Feb-08-2026,Ball State,Alauna Simms,,,,9.8000
Ball State,2026,5,no meet title,Feb-08-2026,Ball State,Carley Stalder,9.7750,,9.6750,9.8500
Ball State,2026,5,no meet title,Feb-08-2026,Ball State,Ashley Szymanski,,9.9500,9.8000,
Ball State,2026,5,no meet title,Feb-08-2026,Ball State,Ava Thurston,9.6750,,,
Ball State,2026,6,no meet title,Feb-15-2026,Ball State,Mary Rose Bellan,9.7250,9.8250,,
Ball State,2026,6,no meet title,Feb-15-2026,Ball State,Lindsay Fuller,,,8.8750,
Ball State,2026,6,no meet title,Feb-15-2026,Ball State,Lindsay Girard,,,,9.0750
Ball State,2026,6,no meet title,Feb-15-2026,Ball State,Avery Kantor,,,,9.7500
Ball State,2026,6,no meet title,Feb-15-2026,Ball State,Delaney McMahon,,9.7500,9.9000,
Ball State,2026,6,no meet title,Feb-15-2026,Ball State,Karli Mercer,9.8250,9.8500,9.7500,
Ball State,2026,6,no meet title,Feb-15-2026,Ball State,Zoe Middleton,9.7750,9.8250,9.2000,9.8000
Ball State,2026,6,no meet title,Feb-15-2026,Ball State,Ava Molina,,9.8000,,9.8000
Ball State,2026,6,no meet title,Feb-15-2026,Ball State,Jordanna Phillis,9.6750,,,
Ball State,2026,6,no meet title,Feb-15-2026,Ball State,Alauna Simms,,,,9.7500
Ball State,2026,6,no meet title,Feb-15-2026,Ball State,Carley Stalder,9.8000,,9.3250,9.7000
Ball State,2026,6,no meet title,Feb-15-2026,Ball State,Ashley Szymanski,,9.9500,9.9000,
Ball State,2026,6,no meet title,Feb-15-2026,Ball State,Ava Thurston,9.7750,,,
Ball State,2026,7,no meet title,Feb-20-2026,Missouri,Mary Rose Bellan,9.7250,9.8750,,
Ball State,2026,7,no meet title,Feb-20-2026,Missouri,Lindsay Fuller,,,9.7500,
Ball State,2026,7,no meet title,Feb-20-2026,Missouri,Lindsay Girard,,,,9.8000
Ball State,2026,7,no meet title,Feb-20-2026,Missouri,Avery Kantor,,,,9.8250
Ball State,2026,7,no meet title,Feb-20-2026,Missouri,Delaney McMahon,,9.5000,9.7250,
Ball State,2026,7,no meet title,Feb-20-2026,Missouri,Karli Mercer,9.7000,9.7250,9.5000,
Ball State,2026,7,no meet title,Feb-20-2026,Missouri,Zoe Middleton,9.8250,9.8000,9.6000,9.9000
Ball State,2026,7,no meet title,Feb-20-2026,Missouri,Ava Molina,,9.7250,,9.8250
Ball State,2026,7,no meet title,Feb-20-2026,Missouri,Jordanna Phillis,9.7000,,,
Ball State,2026,7,no meet title,Feb-20-2026,Missouri,Alauna Simms,,,,9.7500
Ball State,2026,7,no meet title,Feb-20-2026,Missouri,Carley Stalder,9.7750,,9.4500,9.7250
Ball State,2026,7,no meet title,Feb-20-2026,Missouri,Ashley Szymanski,,9.8250,9.8250,
Ball State,2026,7,no meet title,Feb-20-2026,Missouri,Ava Thurston,9.8000,,,
Ball State,2026,8,no meet title,Feb-22-2026,Western Michigan,Kinlee Bare,,,,
Ball State,2026,8,no meet title,Feb-22-2026,Western Michigan,Mary Rose Bellan,9.8000,9.8000,,
Ball State,2026,8,no meet title,Feb-22-2026,Western Michigan,Viviana Campuzano,,,,
Ball State,2026,8,no meet title,Feb-22-2026,Western Michigan,Lindsay Fuller,,,9.7750,
Ball State,2026,8,no meet title,Feb-22-2026,Western Michigan,Lindsay Girard,,,,9.7500
Ball State,2026,8,no meet title,Feb-22-2026,Western Michigan,Avery Kantor,,,,9.7250
Ball State,2026,8,no meet title,Feb-22-2026,Western Michigan,Delaney McMahon,,8.8500,9.9250,
Ball State,2026,8,no meet title,Feb-22-2026,Western Michigan,Karli Mercer,9.7500,9.7250,9.7250,
Ball State,2026,8,no meet title,Feb-22-2026,Western Michigan,Zoe Middleton,9.8500,9.7250,9.8250,9.8250
Ball State,2026,8,no meet title,Feb-22-2026,Western Michigan,Ava Molina,,9.6750,,9.8000
Ball State,2026,8,no meet title,Feb-22-2026,Western Michigan,Jordanna Phillis,9.6750,,,
Ball State,2026,8,no meet title,Feb-22-2026,Western Michigan,Alauna Simms,,,,9.7500
Ball State,2026,8,no meet title,Feb-22-2026,Western Michigan,Carley Stalder,9.8500,,9.8000,9.5000
Ball State,2026,8,no meet title,Feb-22-2026,Western Michigan,Ashley Szymanski,,9.5250,9.9250,
Ball State,2026,8,no meet title,Feb-22-2026,Western Michigan,Ava Thurston,9.7750,,,
Ball State,2026,9,no meet title,Feb-27-2026,Pittsburgh,Mary Rose Bellan,9.7750,9.7500,,
Ball State,2026,9,no meet title,Feb-27-2026,Pittsburgh,Lindsay Fuller,,,9.6500,
Ball State,2026,9,no meet title,Feb-27-2026,Pittsburgh,Lindsay Girard,,,,9.7500
Ball State,2026,9,no meet title,Feb-27-2026,Pittsburgh,Avery Kantor,,,,9.7750
Ball State,2026,9,no meet title,Feb-27-2026,Pittsburgh,Delaney McMahon,,9.7750,9.7500,
Ball State,2026,9,no meet title,Feb-27-2026,Pittsburgh,Karli Mercer,9.8250,9.7250,,
Ball State,2026,9,no meet title,Feb-27-2026,Pittsburgh,Zoe Middleton,9.7750,9.7750,9.8500,9.9000
Ball State,2026,9,no meet title,Feb-27-2026,Pittsburgh,Ava Molina,,9.7500,9.2500,9.8750
Ball State,2026,9,no meet title,Feb-27-2026,Pittsburgh,Jordanna Phillis,9.7000,,,
Ball State,2026,9,no meet title,Feb-27-2026,Pittsburgh,Alauna Simms,,,,9.8000
Ball State,2026,9,no meet title,Feb-27-2026,Pittsburgh,Carley Stalder,9.7000,,9.6250,9.8500
Ball State,2026,9,no meet title,Feb-27-2026,Pittsburgh,Ashley Szymanski,,9.9000,9.8250,
Ball State,2026,9,no meet title,Feb-27-2026,Pittsburgh,Ava Thurston,9.8250,,,
Ball State,2026,10,no meet title,Mar-07-2026,Maryland,Mary Rose Bellan,9.7500,9.9000,,
Ball State,2026,10,no meet title,Mar-07-2026,Maryland,Viviana Campuzano,,,,9.6750
Ball State,2026,10,no meet title,Mar-07-2026,Maryland,Lindsay Fuller,,,9.7750,
Ball State,2026,10,no meet title,Mar-07-2026,Maryland,Avery Kantor,,,,9.8250
Ball State,2026,10,no meet title,Mar-07-2026,Maryland,Delaney McMahon,,9.6250,9.8750,
Ball State,2026,10,no meet title,Mar-07-2026,Maryland,Karli Mercer,9.7750,9.8250,9.7500,
Ball State,2026,10,no meet title,Mar-07-2026,Maryland,Zoe Middleton,9.9250,9.9000,9.6500,9.4750
Ball State,2026,10,no meet title,Mar-07-2026,Maryland,Ava Molina,,9.0000,,9.7500
Ball State,2026,10,no meet title,Mar-07-2026,Maryland,Jordanna Phillis,9.6500,,,
Ball State,2026,10,no meet title,Mar-07-2026,Maryland,Alauna Simms,,,,9.6750
Ball State,2026,10,no meet title,Mar-07-2026,Maryland,Carley Stalder,9.7500,,9.8250,9.8750
Ball State,2026,10,no meet title,Mar-07-2026,Maryland,Ashley Szymanski,,9.9000,9.8750,
Ball State,2026,10,no meet title,Mar-07-2026,Maryland,Ava Thurston,9.7250,,,
Ball State,2026,11,no meet title,Mar-13-2026,Central Michigan,Mary Rose Bellan,9.6500,9.7750,,
Ball State,2026,11,no meet title,Mar-13-2026,Central Michigan,Viviana Campuzano,,,,9.8000
Ball State,2026,11,no meet title,Mar-13-2026,Central Michigan,Lindsay Fuller,,,9.7000,
Ball State,2026,11,no meet title,Mar-13-2026,Central Michigan,Avery Kantor,,,,9.7250
Ball State,2026,11,no meet title,Mar-13-2026,Central Michigan,Delaney McMahon,,9.7250,9.6500,
