team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Bowling Green,2026,1,no meet title,Jan-11-2026,Bowling Green,Charniya Brown,8.8500,,,
Bowling Green,2026,1,no meet title,Jan-11-2026,Bowling Green,Madison Coburn,9.7000,,,9.5250
Bowling Green,2026,1,no meet title,Jan-11-2026,Bowling Green,Faye Dubin,,,9.5750,
Bowling Green,2026,1,no meet title,Jan-11-2026,Bowling Green,Megan Dzialo,9.6500,8.7500,,9.6500
Bowling Green,2026,1,no meet title,Jan-11-2026,Bowling Green,Emily Gianfrancesco,9.6250,,9.7000,9.5750
Bowling Green,2026,1,no meet title,Jan-11-2026,Bowling Green,Natasha Lopez,,9.5750,9.6750,
Bowling Green,2026,1,no meet title,Jan-11-2026,Bowling Green,Teegan Milligan,,,8.8500,
Bowling Green,2026,1,no meet title,Jan-11-2026,Bowling Green,Nadia Parente,,9.7000,9.0000,9.5250
Bowling Green,2026,1,no meet title,Jan-11-2026,Bowling Green,Kayla Shaw,,9.6750,9.6750,9.7250
Bowling Green,2026,1,no meet title,Jan-11-2026,Bowling Green,Addie Tandeski,9.4000,9.5500,,
Bowling Green,2026,1,no meet title,Jan-11-2026,Bowling Green,Keira Thornton,9.6250,9.5500,,9.7500
Bowling Green,2026,2,no meet title,Jan-18-2026,Ball State,Charniya Brown,9.7250,,,
Bowling Green,2026,2,no meet title,Jan-18-2026,Ball State,Madison Coburn,9.6750,,,9.4750
Bowling Green,2026,2,no meet title,Jan-18-2026,Ball State,Faye Dubin,,,9.5750,
Bowling Green,2026,2,no meet title,Jan-18-2026,Ball State,Megan Dzialo,9.6750,9.5750,,9.7500
Bowling Green,2026,2,no meet title,Jan-18-2026,Ball State,Emily Gianfrancesco,9.5000,,9.7250,9.6500
Bowling Green,2026,2,no meet title,Jan-18-2026,Ball State,Natasha Lopez,,9.7000,9.4750,
Bowling Green,2026,2,no meet title,Jan-18-2026,Ball State,Teegan Milligan,,,9.6000,
Bowling Green,2026,2,no meet title,Jan-18-2026,Ball State,Nadia Parente,,9.4500,9.6500,
Bowling Green,2026,2,no meet title,Jan-18-2026,Ball State,Kayla Shaw,,9.6750,9.6750,9.8250
Bowling Green,2026,2,no meet title,Jan-18-2026,Ball State,Addie Tandeski,9.5750,9.6000,,
Bowling Green,2026,2,no meet title,Jan-18-2026,Ball State,Keira Thornton,9.6250,9.6500,,9.7750
Bowling Green,2026,2,no meet title,Jan-18-2026,Ball State,Landyn Williams,,,,9.5000
Bowling Green,2026,3,no meet title,Jan-27-2026,Cornell,Charniya Brown,9.5750,,,
Bowling Green,2026,3,no meet title,Jan-27-2026,Cornell,Madison Coburn,9.5500,,9.7500,9.7500
Bowling Green,2026,3,no meet title,Jan-27-2026,Cornell,Faye Dubin,,,9.6750,
Bowling Green,2026,3,no meet title,Jan-27-2026,Cornell,Megan Dzialo,9.6500,9.5750,,9.7750
Bowling Green,2026,3,no meet title,Jan-27-2026,Cornell,Emily Gianfrancesco,9.4250,,9.7250,9.7000
Bowling Green,2026,3,no meet title,Jan-27-2026,Cornell,Natasha Lopez,,9.6750,,
Bowling Green,2026,3,no meet title,Jan-27-2026,Cornell,Teegan Milligan,,,9.2750,
Bowling Green,2026,3,no meet title,Jan-27-2026,Cornell,Nadia Parente,,9.5500,8.6750,
Bowling Green,2026,3,no meet title,Jan-27-2026,Cornell,Kayla Shaw,,9.6500,9.7750,9.5000
Bowling Green,2026,3,no meet title,Jan-27-2026,Cornell,Addie Tandeski,9.5000,9.7000,,
Bowling Green,2026,3,no meet title,Jan-27-2026,Cornell,Keira Thornton,9.6000,9.6000,,9.7250
Bowling Green,2026,3,no meet title,Jan-27-2026,Cornell,Landyn Williams,,,,9.6750
Bowling Green,2026,4,no meet title,Feb-01-2026,Western Michigan,Charniya Brown,9.8000,,,
Bowling Green,2026,4,no meet title,Feb-01-2026,Western Michigan,Madison Coburn,9.8000,,9.6750,9.6250
Bowling Green,2026,4,no meet title,Feb-01-2026,Western Michigan,Faye Dubin,,,9.7000,
Bowling Green,2026,4,no meet title,Feb-01-2026,Western Michigan,Megan Dzialo,9.6750,9.5750,,9.8000
Bowling Green,2026,4,no meet title,Feb-01-2026,Western Michigan,Emily Gianfrancesco,9.7250,,9.7250,9.5750
Bowling Green,2026,4,no meet title,Feb-01-2026,Western Michigan,Natasha Lopez,,9.6250,,
Bowling Green,2026,4,no meet title,Feb-01-2026,Western Michigan,Teegan Milligan,,,9.7000,
Bowling Green,2026,4,no meet title,Feb-01-2026,Western Michigan,Nadia Parente,,9.1000,9.7500,9.7750
Bowling Green,2026,4,no meet title,Feb-01-2026,Western Michigan,Kayla Shaw,,9.7000,9.8000,
Bowling Green,2026,4,no meet title,Feb-01-2026,Western Michigan,Addie Tandeski,,9.6500,,
Bowling Green,2026,4,no meet title,Feb-01-2026,Western Michigan,Keira Thornton,9.7250,9.6750,,9.7250
Bowling Green,2026,4,no meet title,Feb-01-2026,Western Michigan,Landyn Williams,,,,9.7000
Bowling Green,2026,4,no meet title,Feb-01-2026,Western Michigan,Taylor Wurtz,9.7000,,,
Bowling Green,2026,5,no meet title,Feb-06-2026,S.E. Missouri,Madison Coburn,9.7250,,,9.7750
Bowling Green,2026,5,no meet title,Feb-06-2026,S.E. Missouri,Faye Dubin,,,9.7000,
Bowling Green,2026,5,no meet title,Feb-06-2026,S.E. Missouri,Megan Dzialo,9.7250,9.6750,,9.6750
Bowling Green,2026,5,no meet title,Feb-06-2026,S.E. Missouri,Emily Gianfrancesco,9.6500,,9.6000,9.7750
Bowling Green,2026,5,no meet title,Feb-06-2026,S.E. Missouri,Natasha Lopez,,9.7500,,
Bowling Green,2026,5,no meet title,Feb-06-2026,S.E. Missouri,Teegan Milligan,,,8.6750,
Bowling Green,2026,5,no meet title,Feb-06-2026,S.E. Missouri,Nadia Parente,,9.5000,9.6000,9.8250
Bowling Green,2026,5,no meet title,Feb-06-2026,S.E. Missouri,Kayla Shaw,,9.7000,8.7750,
Bowling Green,2026,5,no meet title,Feb-06-2026,S.E. Missouri,Addie Tandeski,9.4500,8.4250,,
Bowling Green,2026,5,no meet title,Feb-06-2026,S.E. Missouri,Keira Thornton,9.6500,9.8000,9.5750,9.8000
Bowling Green,2026,5,no meet title,Feb-06-2026,S.E. Missouri,Landyn Williams,,,,9.7250
Bowling Green,2026,5,no meet title,Feb-06-2026,S.E. Missouri,Taylor Wurtz,9.6250,,,
Bowling Green,2026,6,no meet title,Feb-08-2026,Bowling Green,Madison Coburn,9.5250,,9.5750,9.7250
Bowling Green,2026,6,no meet title,Feb-08-2026,Bowling Green,Faye Dubin,,,9.6750,
Bowling Green,2026,6,no meet title,Feb-08-2026,Bowling Green,Megan Dzialo,9.7250,9.5500,,9.8250
