team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Bridgeport,2026,1,no meet title,Jan-11-2026,Cornell,Lena Coxon,9.1000,,,
Bridgeport,2026,1,no meet title,Jan-11-2026,Cornell,Margaret Coyle,,,,8.8750
Bridgeport,2026,1,no meet title,Jan-11-2026,Cornell,Delphine Desjardins,,8.8750,,
Bridgeport,2026,1,no meet title,Jan-11-2026,Cornell,Emily Hernandez,,,8.8000,
Bridgeport,2026,1,no meet title,Jan-11-2026,Cornell,Xiomara Jennings,,,8.2500,9.2500
Bridgeport,2026,1,no meet title,Jan-11-2026,Cornell,Abigail Kenney,9.7250,9.8250,9.7500,9.4000
Bridgeport,2026,1,no meet title,Jan-11-2026,Cornell,Samantha Krenzel,,,9.2500,
Bridgeport,2026,1,no meet title,Jan-11-2026,Cornell,Gabrielle Lamb,,8.5500,,
Bridgeport,2026,1,no meet title,Jan-11-2026,Cornell,Molly McAleavey,,,8.1000,
Bridgeport,2026,1,no meet title,Jan-11-2026,Cornell,Samantha Nokes,,9.7750,,
Bridgeport,2026,1,no meet title,Jan-11-2026,Cornell,Nicole Pujals,,9.7500,,
Bridgeport,2026,1,no meet title,Jan-11-2026,Cornell,Tamyra Singletary,9.5500,,,9.4500
Bridgeport,2026,1,no meet title,Jan-11-2026,Cornell,Rae Solis,9.4750,9.6000,,
Bridgeport,2026,1,no meet title,Jan-11-2026,Cornell,Nova Staruk,9.7750,,,9.3500
Bridgeport,2026,1,no meet title,Jan-11-2026,Cornell,Emily Turner,,,,9.5750
Bridgeport,2026,1,no meet title,Jan-11-2026,Cornell,Brooklyn Weingardt,9.6500,,9.6250,
Bridgeport,2026,2,no meet title,Jan-18-2026,New Hampshire,Quinn Aiken,,,9.4500,
Bridgeport,2026,2,no meet title,Jan-18-2026,New Hampshire,Lena Coxon,9.4000,,,
Bridgeport,2026,2,no meet title,Jan-18-2026,New Hampshire,Margaret Coyle,,,,9.0500
Bridgeport,2026,2,no meet title,Jan-18-2026,New Hampshire,Delphine Desjardins,,9.6000,,
Bridgeport,2026,2,no meet title,Jan-18-2026,New Hampshire,Emily Hernandez,9.6500,,,
