team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Brockport,2026,1,no meet title,Jan-04-2026,Rutgers,Emma Brookins,,9.2750,8.2500,9.6250
Brockport,2026,1,no meet title,Jan-04-2026,Rutgers,Cali Czarcinski,,,8.8250,9.4500
Brockport,2026,1,no meet title,Jan-04-2026,Rutgers,Shannon Gibbs,9.4000,,,
Brockport,2026,1,no meet title,Jan-04-2026,Rutgers,Kiara Hockman,9.7500,,9.6750,9.7750
Brockport,2026,1,no meet title,Jan-04-2026,Rutgers,Lienna Kay,9.5500,9.5750,9.7500,9.4000
Brockport,2026,1,no meet title,Jan-04-2026,Rutgers,Emma Langdon,9.5000,,,
Brockport,2026,1,no meet title,Jan-04-2026,Rutgers,Maria Pell,8.7000,,,
Brockport,2026,1,no meet title,Jan-04-2026,Rutgers,Charlotte Raymond,,9.4000,,
Brockport,2026,1,no meet title,Jan-04-2026,Rutgers,Jamarie Saravia,,9.2500,,9.7250
Brockport,2026,1,no meet title,Jan-04-2026,Rutgers,Celina Satter,,9.3000,,
Brockport,2026,1,no meet title,Jan-04-2026,Rutgers,Alexis Schulman,,9.1750,,
Brockport,2026,1,no meet title,Jan-04-2026,Rutgers,Alyssa Strain,,,9.4250,
Brockport,2026,1,no meet title,Jan-04-2026,Rutgers,Gracie Weaver,9.3750,,,
Brockport,2026,1,no meet title,Jan-04-2026,Rutgers,Claire Wood,,,,9.6500
Brockport,2026,1,no meet title,Jan-04-2026,Rutgers,Amelia York,,,8.8250,
Brockport,2026,2,no meet title,Jan-10-2026,Brockport,Emma Brookins,,9.7500,8.2000,8.8750
Brockport,2026,2,no meet title,Jan-10-2026,Brockport,Cali Czarcinski,,,9.4250,9.6500
Brockport,2026,2,no meet title,Jan-10-2026,Brockport,Shannon Gibbs,9.4000,,,
Brockport,2026,2,no meet title,Jan-10-2026,Brockport,Kiara Hockman,9.7750,,9.8000,9.8000
Brockport,2026,2,no meet title,Jan-10-2026,Brockport,Lienna Kay,8.6500,8.5000,9.5250,9.5250
Brockport,2026,2,no meet title,Jan-10-2026,Brockport,Emma Langdon,9.4750,,,
Brockport,2026,2,no meet title,Jan-10-2026,Brockport,Calissa Nisson,9.5250,,,
Brockport,2026,2,no meet title,Jan-10-2026,Brockport,Charlotte Raymond,,9.6250,,
Brockport,2026,2,no meet title,Jan-10-2026,Brockport,Jamarie Saravia,,9.0750,,9.6750
Brockport,2026,2,no meet title,Jan-10-2026,Brockport,Celina Satter,,9.4250,,
Brockport,2026,2,no meet title,Jan-10-2026,Brockport,Alexis Schulman,,9.4500,,
Brockport,2026,2,no meet title,Jan-10-2026,Brockport,Alyssa Strain,,,9.7250,
Brockport,2026,2,no meet title,Jan-10-2026,Brockport,Gracie Weaver,9.3500,,,
Brockport,2026,2,no meet title,Jan-10-2026,Brockport,Claire Wood,,,,9.4250
Brockport,2026,2,no meet title,Jan-10-2026,Brockport,Amelia York,,,9.8000,
Brockport,2026,3,no meet title,Jan-17-2026,Eastern Michigan,Emma Brookins,,9.6500,,9.6750
Brockport,2026,3,no meet title,Jan-17-2026,Eastern Michigan,Cali Czarcinski,,,9.4000,9.6250
Brockport,2026,3,no meet title,Jan-17-2026,Eastern Michigan,Shannon Gibbs,9.6500,,,
Brockport,2026,3,no meet title,Jan-17-2026,Eastern Michigan,Kiara Hockman,9.8250,,9.8750,9.8000
Brockport,2026,3,no meet title,Jan-17-2026,Eastern Michigan,Lienna Kay,,8.6000,9.7250,
Brockport,2026,3,no meet title,Jan-17-2026,Eastern Michigan,Emma Langdon,9.6500,,,
Brockport,2026,3,no meet title,Jan-17-2026,Eastern Michigan,Calissa Nisson,9.5250,,,
Brockport,2026,3,no meet title,Jan-17-2026,Eastern Michigan,Charlotte Raymond,,7.9500,,
Brockport,2026,3,no meet title,Jan-17-2026,Eastern Michigan,Jamarie Saravia,9.5000,9.5500,,9.7500
Brockport,2026,3,no meet title,Jan-17-2026,Eastern Michigan,Celina Satter,,8.5000,,
Brockport,2026,3,no meet title,Jan-17-2026,Eastern Michigan,Alexis Schulman,,9.4000,9.7000,
Brockport,2026,3,no meet title,Jan-17-2026,Eastern Michigan,Alyssa Strain,,,9.7500,9.4250
Brockport,2026,3,no meet title,Jan-17-2026,Eastern Michigan,Gracie Weaver,9.4500,,,
Brockport,2026,3,no meet title,Jan-17-2026,Eastern Michigan,Claire Wood,,,,9.7250
Brockport,2026,3,no meet title,Jan-17-2026,Eastern Michigan,Amelia York,,,9.6250,
Brockport,2026,4,no meet title,Feb-01-2026,Ursinus College,Emma Brookins,,8.7250,,9.5500
Brockport,2026,4,no meet title,Feb-01-2026,Ursinus College,Cali Czarcinski,,,9.4500,9.6250
Brockport,2026,4,no meet title,Feb-01-2026,Ursinus College,Shannon Gibbs,9.5250,,,
Brockport,2026,4,no meet title,Feb-01-2026,Ursinus College,Kiara Hockman,9.7500,,9.8000,9.7500
Brockport,2026,4,no meet title,Feb-01-2026,Ursinus College,Lienna Kay,9.4250,9.0500,9.4500,9.6250
Brockport,2026,4,no meet title,Feb-01-2026,Ursinus College,Emma Langdon,8.8500,,,
Brockport,2026,4,no meet title,Feb-01-2026,Ursinus College,Calissa Nisson,8.9000,,,
Brockport,2026,4,no meet title,Feb-01-2026,Ursinus College,Charlotte Raymond,,8.7500,,
Brockport,2026,4,no meet title,Feb-01-2026,Ursinus College,Jamarie Saravia,9.4500,9.5000,,9.7250
Brockport,2026,4,no meet title,Feb-01-2026,Ursinus College,Alexis Schulman,,9.3000,8.9000,
Brockport,2026,4,no meet title,Feb-01-2026,Ursinus College,Alyssa Strain,,,9.2250,
Brockport,2026,4,no meet title,Feb-01-2026,Ursinus College,Eliana Wannall,,7.6250,,
Brockport,2026,4,no meet title,Feb-01-2026,Ursinus College,Claire Wood,,,,9.7250
Brockport,2026,4,no meet title,Feb-01-2026,Ursinus College,Amelia York,,,9.5000,
Brockport,2026,5,no meet title,Feb-08-2026,Ithaca College,Emma Brookins,,9.7250,,9.7500
Brockport,2026,5,no meet title,Feb-08-2026,Ithaca College,Cali Czarcinski,,,,9.7250
Brockport,2026,5,no meet title,Feb-08-2026,Ithaca College,Shannon Gibbs,9.5750,,,
Brockport,2026,5,no meet title,Feb-08-2026,Ithaca College,Kayla Gleason,,,9.4500,
Brockport,2026,5,no meet title,Feb-08-2026,Ithaca College,Kiara Hockman,9.7000,,9.7500,9.7500
Brockport,2026,5,no meet title,Feb-08-2026,Ithaca College,Lienna Kay,9.6250,9.7250,8.7750,9.5250
Brockport,2026,5,no meet title,Feb-08-2026,Ithaca College,Emma Langdon,9.7000,,,
Brockport,2026,5,no meet title,Feb-08-2026,Ithaca College,Charlotte Raymond,,9.2500,,
Brockport,2026,5,no meet title,Feb-08-2026,Ithaca College,Jamarie Saravia,9.6500,9.5000,,9.7750
Brockport,2026,5,no meet title,Feb-08-2026,Ithaca College,Celina Satter,,9.3500,,
Brockport,2026,5,no meet title,Feb-08-2026,Ithaca College,Alexis Schulman,,8.6500,9.4250,
Brockport,2026,5,no meet title,Feb-08-2026,Ithaca College,Alyssa Strain,,,9.4500,
Brockport,2026,5,no meet title,Feb-08-2026,Ithaca College,Gracie Weaver,9.4500,,,
Brockport,2026,5,no meet title,Feb-08-2026,Ithaca College,Claire Wood,,,,9.7000
Brockport,2026,5,no meet title,Feb-08-2026,Ithaca College,Amelia York,,,9.6000,
Brockport,2026,6,no meet title,Feb-14-2026,Cortland State,Emma Brookins,,9.5000,,9.6250
Brockport,2026,6,no meet title,Feb-14-2026,Cortland State,Cali Czarcinski,,,,9.8000
Brockport,2026,6,no meet title,Feb-14-2026,Cortland State,Shannon Gibbs,9.6750,,,
Brockport,2026,6,no meet title,Feb-14-2026,Cortland State,Kayla Gleason,,,9.7000,9.8250
Brockport,2026,6,no meet title,Feb-14-2026,Cortland State,Kiara Hockman,9.7750,,9.0500,9.8750
Brockport,2026,6,no meet title,Feb-14-2026,Cortland State,Lienna Kay,9.6750,9.1750,9.7250,
Brockport,2026,6,no meet title,Feb-14-2026,Cortland State,Emma Langdon,9.6000,,,
Brockport,2026,6,no meet title,Feb-14-2026,Cortland State,Maria Pell,9.5000,,,
Brockport,2026,6,no meet title,Feb-14-2026,Cortland State,Charlotte Raymond,,7.9500,,
Brockport,2026,6,no meet title,Feb-14-2026,Cortland State,Jamarie Saravia,9.5500,9.4750,,9.8250
Brockport,2026,6,no meet title,Feb-14-2026,Cortland State,Celina Satter,,9.6250,,
Brockport,2026,6,no meet title,Feb-14-2026,Cortland State,Alexis Schulman,,9.5500,9.6500,
Brockport,2026,6,no meet title,Feb-14-2026,Cortland State,Alyssa Strain,,,8.8250,
Brockport,2026,6,no meet title,Feb-14-2026,Cortland State,Claire Wood,,,,9.8250
Brockport,2026,6,no meet title,Feb-14-2026,Cortland State,Amelia York,,,9.1250,
Brockport,2026,7,no meet title,Feb-22-2026,Brockport,Emma Brookins,,9.6000,,9.8000
Brockport,2026,7,no meet title,Feb-22-2026,Brockport,Cali Czarcinski,,,,9.7000
Brockport,2026,7,no meet title,Feb-22-2026,Brockport,Shannon Gibbs,9.7250,,,
Brockport,2026,7,no meet title,Feb-22-2026,Brockport,Kayla Gleason,,,9.1000,9.8000
Brockport,2026,7,no meet title,Feb-22-2026,Brockport,Kiara Hockman,9.8250,,9.7250,9.8250
Brockport,2026,7,no meet title,Feb-22-2026,Brockport,Lienna Kay,9.4750,9.5750,9.6250,
Brockport,2026,7,no meet title,Feb-22-2026,Brockport,Emma Langdon,9.4000,,,
Brockport,2026,7,no meet title,Feb-22-2026,Brockport,Maria Pell,9.4000,,,
Brockport,2026,7,no meet title,Feb-22-2026,Brockport,Charlotte Raymond,,9.4500,,
Brockport,2026,7,no meet title,Feb-22-2026,Brockport,Jamarie Saravia,9.4750,9.2000,,9.7500
Brockport,2026,7,no meet title,Feb-22-2026,Brockport,Celina Satter,,9.3750,,
Brockport,2026,7,no meet title,Feb-22-2026,Brockport,Alexis Schulman,,9.4250,9.4000,
Brockport,2026,7,no meet title,Feb-22-2026,Brockport,Alyssa Strain,,,9.2250,
Brockport,2026,7,no meet title,Feb-22-2026,Brockport,Claire Wood,,,,9.7000
Brockport,2026,7,no meet title,Feb-22-2026,Brockport,Amelia York,,,9.0000,
Brockport,2026,8,no meet title,Feb-28-2026,Brockport,Cali Czarcinski,,,8.8750,9.7750
Brockport,2026,8,no meet title,Feb-28-2026,Brockport,Shannon Gibbs,9.5250,,,
Brockport,2026,8,no meet title,Feb-28-2026,Brockport,Kayla Gleason,,,9.7500,9.8500
Brockport,2026,8,no meet title,Feb-28-2026,Brockport,Kiara Hockman,9.7500,,9.8000,9.8000
Brockport,2026,8,no meet title,Feb-28-2026,Brockport,Lienna Kay,9.6000,9.7750,9.6500,
Brockport,2026,8,no meet title,Feb-28-2026,Brockport,Julia Klucinec,,9.2500,,
Brockport,2026,8,no meet title,Feb-28-2026,Brockport,Emma Langdon,9.5750,,,
Brockport,2026,8,no meet title,Feb-28-2026,Brockport,Maria Pell,9.5750,,,
Brockport,2026,8,no meet title,Feb-28-2026,Brockport,Charlotte Raymond,,9.5000,,
Brockport,2026,8,no meet title,Feb-28-2026,Brockport,Jamarie Saravia,9.0000,9.4500,,9.8000
Brockport,2026,8,no meet title,Feb-28-2026,Brockport,Celina Satter,,8.5250,,
Brockport,2026,8,no meet title,Feb-28-2026,Brockport,Alexis Schulman,,9.5000,8.7500,
Brockport,2026,8,no meet title,Feb-28-2026,Brockport,Alyssa Strain,,,9.7500,
Brockport,2026,8,no meet title,Feb-28-2026,Brockport,Claire Wood,,,,9.5500
Brockport,2026,8,no meet title,Feb-28-2026,Brockport,Amelia York,,,,9.8500
Brockport,2026,9,no meet title,Mar-07-2026,Rhode Island College,Emma Brookins,,9.6750,,9.8000
Brockport,2026,9,no meet title,Mar-07-2026,Rhode Island College,Cali Czarcinski,,,9.2500,9.3250
Brockport,2026,9,no meet title,Mar-07-2026,Rhode Island College,Shannon Gibbs,9.6750,,,
Brockport,2026,9,no meet title,Mar-07-2026,Rhode Island College,Kayla Gleason,,,9.8000,9.6500
Brockport,2026,9,no meet title,Mar-07-2026,Rhode Island College,Kiara Hockman,9.8000,,9.7500,9.8750
Brockport,2026,9,no meet title,Mar-07-2026,Rhode Island College,Lienna Kay,9.5250,9.6500,9.7500,
Brockport,2026,9,no meet title,Mar-07-2026,Rhode Island College,Emma Langdon,9.5250,,,
Brockport,2026,9,no meet title,Mar-07-2026,Rhode Island College,Maria Pell,9.6000,,,
Brockport,2026,9,no meet title,Mar-07-2026,Rhode Island College,Charlotte Raymond,,9.4500,,
Brockport,2026,9,no meet title,Mar-07-2026,Rhode Island College,Jamarie Saravia,9.4000,9.4750,,9.7750
Brockport,2026,9,no meet title,Mar-07-2026,Rhode Island College,Celina Satter,,9.6250,,
Brockport,2026,9,no meet title,Mar-07-2026,Rhode Island College,Alexis Schulman,,9.4250,9.6750,
Brockport,2026,9,no meet title,Mar-07-2026,Rhode Island College,Alyssa Strain,,,9.8000,
Brockport,2026,9,no meet title,Mar-07-2026,Rhode Island College,Claire Wood,,,,9.8000
Brockport,2026,10,NCGA Championships,Mar-20-2026,Cortland State,Emma Brookins,,9.7500,9.6000,9.5750
Brockport,2026,10,NCGA Championships,Mar-20-2026,Cortland State,Cali Czarcinski,,,,9.7250
Brockport,2026,10,NCGA Championships,Mar-20-2026,Cortland State,Shannon Gibbs,9.5250,,,
Brockport,2026,10,NCGA Championships,Mar-20-2026,Cortland State,Kayla Gleason,,,9.7750,9.8500
Brockport,2026,10,NCGA Championships,Mar-20-2026,Cortland State,Kiara Hockman,9.8000,,9.7750,9.8500
Brockport,2026,10,NCGA Championships,Mar-20-2026,Cortland State,Lienna Kay,9.6750,9.7500,9.6250,
Brockport,2026,10,NCGA Championships,Mar-20-2026,Cortland State,Julia Klucinec,,9.5250,,
Brockport,2026,10,NCGA Championships,Mar-20-2026,Cortland State,Emma Langdon,9.7000,,,
Brockport,2026,10,NCGA Championships,Mar-20-2026,Cortland State,Maria Pell,9.2750,,,
Brockport,2026,10,NCGA Championships,Mar-20-2026,Cortland State,Jamarie Saravia,9.5500,8.9000,,9.7750
Brockport,2026,10,NCGA Championships,Mar-20-2026,Cortland State,Celina Satter,,9.4500,,
Brockport,2026,10,NCGA Championships,Mar-20-2026,Cortland State,Alexis Schulman,,9.6500,8.9500,
Brockport,2026,10,NCGA Championships,Mar-20-2026,Cortland State,Alyssa Strain,,,9.7750,
Brockport,2026,10,NCGA Championships,Mar-20-2026,Cortland State,Claire Wood,,,,9.7500
