team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Brown,2026,1,no meet title,Jan-11-2026,Brown,Sophia Dewar,9.7250,,,9.8500
Brown,2026,1,no meet title,Jan-11-2026,Brown,Umi El Mammann,9.7750,,,
Brown,2026,1,no meet title,Jan-11-2026,Brown,Daisy Fallon,,9.5250,,9.7250
Brown,2026,1,no meet title,Jan-11-2026,Brown,Emily Ford,9.6000,8.8250,9.1500,
Brown,2026,1,no meet title,Jan-11-2026,Brown,Liza Marcus,,9.8000,9.8250,9.7750
Brown,2026,1,no meet title,Jan-11-2026,Brown,Gabby Mautner,9.5250,,9.3500,
Brown,2026,1,no meet title,Jan-11-2026,Brown,Maeve McIlroy,,,,9.6750
Brown,2026,1,no meet title,Jan-11-2026,Brown,Rehna Saalinger,,,9.8500,
Brown,2026,1,no meet title,Jan-11-2026,Brown,Lulu Ton-That,9.6500,9.4000,,
Brown,2026,1,no meet title,Jan-11-2026,Brown,Sophie Tressler,9.4500,9.4250,,
Brown,2026,1,no meet title,Jan-11-2026,Brown,Lindsay Van Eyk,,,9.5250,9.6250
Brown,2026,1,no meet title,Jan-11-2026,Brown,Addison Whiteside,,9.5500,9.6250,
Brown,2026,1,no meet title,Jan-11-2026,Brown,Lindsey Yang,,,,9.8500
Brown,2026,2,no meet title,Jan-18-2026,Yale,Sophia Dewar,9.7500,7.6500,,9.8500
Brown,2026,2,no meet title,Jan-18-2026,Yale,Umi El Mammann,9.6750,,,
Brown,2026,2,no meet title,Jan-18-2026,Yale,Daisy Fallon,,,,9.7000
Brown,2026,2,no meet title,Jan-18-2026,Yale,Emily Ford,9.7250,9.6500,9.7750,
Brown,2026,2,no meet title,Jan-18-2026,Yale,Liza Marcus,,9.7500,9.5750,9.7500
Brown,2026,2,no meet title,Jan-18-2026,Yale,Gabby Mautner,9.5250,,,
Brown,2026,2,no meet title,Jan-18-2026,Yale,Maeve McIlroy,,,,9.7000
Brown,2026,2,no meet title,Jan-18-2026,Yale,Rehna Saalinger,,,9.7500,
Brown,2026,2,no meet title,Jan-18-2026,Yale,Lulu Ton-That,9.6250,9.6750,,
Brown,2026,2,no meet title,Jan-18-2026,Yale,Sophie Tressler,,9.7000,,
Brown,2026,2,no meet title,Jan-18-2026,Yale,Lindsay Van Eyk,,,9.7250,9.7750
Brown,2026,2,no meet title,Jan-18-2026,Yale,Addison Whiteside,,9.5250,9.5500,
Brown,2026,2,no meet title,Jan-18-2026,Yale,Lindsey Yang,9.5250,,9.9250,9.8750
Brown,2026,3,no meet title,Jan-24-2026,Bridgeport,Sophia Dewar,9.7750,9.7500,,9.8500
Brown,2026,3,no meet title,Jan-24-2026,Bridgeport,Umi El Mammann,9.7500,,,
Brown,2026,3,no meet title,Jan-24-2026,Bridgeport,Daisy Fallon,,,9.1000,9.7500
Brown,2026,3,no meet title,Jan-24-2026,Bridgeport,Emily Ford,9.7250,9.5750,9.6750,
Brown,2026,3,no meet title,Jan-24-2026,Bridgeport,Liza Marcus,,8.4500,9.8000,9.6000
Brown,2026,3,no meet title,Jan-24-2026,Bridgeport,Gianna Martoccia,,,9.3000,
Brown,2026,3,no meet title,Jan-24-2026,Bridgeport,Gabby Mautner,9.5500,,,
Brown,2026,3,no meet title,Jan-24-2026,Bridgeport,Maeve McIlroy,,,,9.6500
Brown,2026,3,no meet title,Jan-24-2026,Bridgeport,Lulu Ton-That,9.7500,9.4500,,
Brown,2026,3,no meet title,Jan-24-2026,Bridgeport,Sophie Tressler,9.5500,8.9750,,
Brown,2026,3,no meet title,Jan-24-2026,Bridgeport,Lindsay Van Eyk,,,9.8500,9.6500
Brown,2026,3,no meet title,Jan-24-2026,Bridgeport,Addison Whiteside,,9.6000,9.2500,9.7000
Brown,2026,4,no meet title,Feb-01-2026,Brown,Sophia Dewar,9.7250,9.0000,,9.8750
Brown,2026,4,no meet title,Feb-01-2026,Brown,Daisy Fallon,,,,9.7750
Brown,2026,4,no meet title,Feb-01-2026,Brown,Emily Ford,9.5500,9.0500,9.7250,
Brown,2026,4,no meet title,Feb-01-2026,Brown,Liza Marcus,,9.4000,9.7000,9.8750
Brown,2026,4,no meet title,Feb-01-2026,Brown,Gabby Mautner,9.4750,,,
Brown,2026,4,no meet title,Feb-01-2026,Brown,Maeve McIlroy,,,,9.6750
Brown,2026,4,no meet title,Feb-01-2026,Brown,Rehna Saalinger,,,9.7750,
Brown,2026,4,no meet title,Feb-01-2026,Brown,Lulu Ton-That,9.7250,9.6750,,
Brown,2026,4,no meet title,Feb-01-2026,Brown,Sophie Tressler,9.4000,9.6500,,
Brown,2026,4,no meet title,Feb-01-2026,Brown,Lindsay Van Eyk,,,9.6250,
Brown,2026,4,no meet title,Feb-01-2026,Brown,Addison Whiteside,,9.6000,9.6000,9.8750
Brown,2026,4,no meet title,Feb-01-2026,Brown,Lindsey Yang,9.5250,,9.2000,9.6250
Brown,2026,5,no meet title,Feb-08-2026,Springfield College,Sophia Dewar,9.7750,9.6750,,9.8750
Brown,2026,5,no meet title,Feb-08-2026,Springfield College,Daisy Fallon,,9.6250,,9.6750
Brown,2026,5,no meet title,Feb-08-2026,Springfield College,Emily Ford,9.7500,,9.8250,
Brown,2026,5,no meet title,Feb-08-2026,Springfield College,Jessica Lin,9.5500,,,
Brown,2026,5,no meet title,Feb-08-2026,Springfield College,Liza Marcus,,9.7000,9.7750,9.7250
Brown,2026,5,no meet title,Feb-08-2026,Springfield College,Gabby Mautner,9.6750,,,
Brown,2026,5,no meet title,Feb-08-2026,Springfield College,Maeve McIlroy,,,,9.6500
Brown,2026,5,no meet title,Feb-08-2026,Springfield College,Rehna Saalinger,,,9.2750,
Brown,2026,5,no meet title,Feb-08-2026,Springfield College,Lulu Ton-That,9.8250,9.6500,,
Brown,2026,5,no meet title,Feb-08-2026,Springfield College,Sophie Tressler,,9.5750,,
Brown,2026,5,no meet title,Feb-08-2026,Springfield College,Lindsay Van Eyk,,,9.8500,
Brown,2026,5,no meet title,Feb-08-2026,Springfield College,Addison Whiteside,,9.4500,9.8500,9.8250
Brown,2026,5,no meet title,Feb-08-2026,Springfield College,Lindsey Yang,,,9.5750,9.7750
Brown,2026,6,no meet title,Feb-13-2026,Temple,Sophia Dewar,9.8500,9.5750,,9.7750
Brown,2026,6,no meet title,Feb-13-2026,Temple,Daisy Fallon,,9.7250,,9.7500
Brown,2026,6,no meet title,Feb-13-2026,Temple,Emily Ford,9.7250,8.9000,9.7750,
Brown,2026,6,no meet title,Feb-13-2026,Temple,Jessica Lin,9.6000,,,
Brown,2026,6,no meet title,Feb-13-2026,Temple,Gianna Martoccia,,,9.6750,
Brown,2026,6,no meet title,Feb-13-2026,Temple,Gabby Mautner,9.6500,,9.6500,
Brown,2026,6,no meet title,Feb-13-2026,Temple,Maeve McIlroy,,,,9.7000
Brown,2026,6,no meet title,Feb-13-2026,Temple,Rehna Saalinger,,,9.7250,9.8000
Brown,2026,6,no meet title,Feb-13-2026,Temple,Lulu Ton-That,9.7250,9.4000,,
Brown,2026,6,no meet title,Feb-13-2026,Temple,Sophie Tressler,9.5750,9.7250,,
Brown,2026,6,no meet title,Feb-13-2026,Temple,Lindsay Van Eyk,,,9.7500,9.6750
Brown,2026,6,no meet title,Feb-13-2026,Temple,Addison Whiteside,,9.6750,9.7250,9.7000
Brown,2026,7,no meet title,Feb-22-2026,Yale,Sophia Dewar,9.7750,9.7000,,9.8750
Brown,2026,7,no meet title,Feb-22-2026,Yale,Daisy Fallon,,9.7500,,9.8000
Brown,2026,7,no meet title,Feb-22-2026,Yale,Emily Ford,9.5500,8.9500,9.8250,
Brown,2026,7,no meet title,Feb-22-2026,Yale,Jessica Lin,9.5000,,,
Brown,2026,7,no meet title,Feb-22-2026,Yale,Gianna Martoccia,,,9.7000,
Brown,2026,7,no meet title,Feb-22-2026,Yale,Gabby Mautner,9.6750,,,
Brown,2026,7,no meet title,Feb-22-2026,Yale,Maeve McIlroy,,,,9.7250
Brown,2026,7,no meet title,Feb-22-2026,Yale,Rehna Saalinger,,,8.8250,9.6250
Brown,2026,7,no meet title,Feb-22-2026,Yale,Lulu Ton-That,9.7250,7.9000,,
Brown,2026,7,no meet title,Feb-22-2026,Yale,Sophie Tressler,,9.8250,,
Brown,2026,7,no meet title,Feb-22-2026,Yale,Lindsay Van Eyk,,,9.8000,9.7750
Brown,2026,7,no meet title,Feb-22-2026,Yale,Addison Whiteside,,8.7250,9.7750,9.6750
Brown,2026,7,no meet title,Feb-22-2026,Yale,Lindsey Yang,,,9.1250,
Brown,2026,8,no meet title,Mar-01-2026,Brown,Sophia Dewar,9.7500,9.7000,,9.8750
Brown,2026,8,no meet title,Mar-01-2026,Brown,Daisy Fallon,,9.7750,,9.7750
Brown,2026,8,no meet title,Mar-01-2026,Brown,Emily Ford,9.6750,9.7000,9.7500,
Brown,2026,8,no meet title,Mar-01-2026,Brown,Jessica Lin,9.5250,,,
Brown,2026,8,no meet title,Mar-01-2026,Brown,Liza Marcus,,9.8500,9.8500,
Brown,2026,8,no meet title,Mar-01-2026,Brown,Gabby Mautner,9.6000,,9.8500,
Brown,2026,8,no meet title,Mar-01-2026,Brown,Maeve McIlroy,,,,9.7000
Brown,2026,8,no meet title,Mar-01-2026,Brown,Rehna Saalinger,,,9.8250,
Brown,2026,8,no meet title,Mar-01-2026,Brown,Lulu Ton-That,9.7000,,,
Brown,2026,8,no meet title,Mar-01-2026,Brown,Sophie Tressler,,9.7750,,
Brown,2026,8,no meet title,Mar-01-2026,Brown,Lindsay Van Eyk,,,9.5500,9.7250
Brown,2026,8,no meet title,Mar-01-2026,Brown,Addison Whiteside,,9.7750,9.6500,9.7750
Brown,2026,8,no meet title,Mar-01-2026,Brown,Lindsey Yang,9.4250,,,9.0250
Brown,2026,9,no meet title,Mar-08-2026,Brown,Sophia Dewar,9.7750,9.7500,,9.8750
Brown,2026,9,no meet title,Mar-08-2026,Brown,Daisy Fallon,,9.8250,,9.7500
Brown,2026,9,no meet title,Mar-08-2026,Brown,Emily Ford,9.7500,8.9250,9.8750,
Brown,2026,9,no meet title,Mar-08-2026,Brown,Jessica Lin,9.5500,,,
Brown,2026,9,no meet title,Mar-08-2026,Brown,Liza Marcus,,9.8000,9.7750,9.7500
Brown,2026,9,no meet title,Mar-08-2026,Brown,Gabby Mautner,9.6000,,9.6000,
Brown,2026,9,no meet title,Mar-08-2026,Brown,Rehna Saalinger,,,9.2500,
Brown,2026,9,no meet title,Mar-08-2026,Brown,Lulu Ton-That,9.7500,,,
Brown,2026,9,no meet title,Mar-08-2026,Brown,Sophie Tressler,9.4250,9.7500,,
Brown,2026,9,no meet title,Mar-08-2026,Brown,Lindsay Van Eyk,,,9.7750,9.7250
Brown,2026,9,no meet title,Mar-08-2026,Brown,Addison Whiteside,,9.6500,9.6250,9.8250
Brown,2026,9,no meet title,Mar-08-2026,Brown,Lindsey Yang,,,,9.7750
Brown,2026,10,no meet title,Mar-15-2026,Michigan State,Sophia Dewar,9.7750,9.7500,,9.8500
Brown,2026,10,no meet title,Mar-15-2026,Michigan State,Umi El Mammann,9.7500,,,
Brown,2026,10,no meet title,Mar-15-2026,Michigan State,Daisy Fallon,,9.7000,,9.7250
Brown,2026,10,no meet title,Mar-15-2026,Michigan State,Emily Ford,9.7250,9.5000,9.8750,
Brown,2026,10,no meet title,Mar-15-2026,Michigan State,Jessica Lin,9.5000,,,
Brown,2026,10,no meet title,Mar-15-2026,Michigan State,Liza Marcus,,9.8250,9.7000,9.0500
Brown,2026,10,no meet title,Mar-15-2026,Michigan State,Gianna Martoccia,,,9.6500,
Brown,2026,10,no meet title,Mar-15-2026,Michigan State,Gabby Mautner,9.4500,,9.7750,
Brown,2026,10,no meet title,Mar-15-2026,Michigan State,Maeve McIlroy,,,,9.4750
Brown,2026,10,no meet title,Mar-15-2026,Michigan State,Lulu Ton-That,9.8250,,,
Brown,2026,10,no meet title,Mar-15-2026,Michigan State,Sophie Tressler,,8.6750,,
Brown,2026,10,no meet title,Mar-15-2026,Michigan State,Lindsay Van Eyk,,,9.8250,
