team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
California,2026,1,no meet title,Jan-03-2026,Washington,Miki Aderinto,,9.8500,9.7500,
California,2026,1,no meet title,Jan-03-2026,Washington,Casey Brown,9.6500,9.8500,,
California,2026,1,no meet title,Jan-03-2026,Washington,CJ Keuneke,,,,9.7000
California,2026,1,no meet title,Jan-03-2026,Washington,Sarah Lee,,,9.6000,
California,2026,1,no meet title,Jan-03-2026,Washington,Kyen Mayhew,9.7500,,9.7750,9.8500
California,2026,1,no meet title,Jan-03-2026,Washington,Sage Melkonian,9.8000,9.8500,9.8000,9.6750
California,2026,1,no meet title,Jan-03-2026,Washington,Annalise Newman-Achee,9.8500,9.8000,9.9000,9.6500
California,2026,1,no meet title,Jan-03-2026,Washington,Tonya Paulsson,9.7750,9.9250,,9.7500
California,2026,1,no meet title,Jan-03-2026,Washington,Abbey Scanlon,,,9.8000,
California,2026,1,no meet title,Jan-03-2026,Washington,Jayden Silvers,9.8000,,,9.7500
California,2026,1,no meet title,Jan-03-2026,Washington,Mya Wiley,,9.8000,,
California,2026,2,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Miki Aderinto,,9.7500,9.8250,
California,2026,2,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Casey Brown,9.7750,9.9250,,
California,2026,2,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,CJ Keuneke,,,,9.8250
California,2026,2,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Sarah Lee,,,9.8000,
California,2026,2,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Kyen Mayhew,9.8500,,9.7000,9.8500
California,2026,2,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Sage Melkonian,9.6750,9.8000,9.7250,9.7750
California,2026,2,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Annalise Newman-Achee,9.7500,9.8750,9.7000,9.7500
California,2026,2,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Tonya Paulsson,,9.9500,,9.8750
California,2026,2,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Abbey Scanlon,,,9.8000,
California,2026,2,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Jayden Silvers,9.8250,,,9.7500
California,2026,2,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Mya Wiley,9.8000,9.8750,,
California,2026,3,no meet title,Jan-18-2026,Pittsburgh,Miki Aderinto,,9.8250,9.8250,
California,2026,3,no meet title,Jan-18-2026,Pittsburgh,Casey Brown,9.8000,9.8750,,
California,2026,3,no meet title,Jan-18-2026,Pittsburgh,CJ Keuneke,,,,9.6750
California,2026,3,no meet title,Jan-18-2026,Pittsburgh,Sarah Lee,9.6750,,9.5250,9.5500
California,2026,3,no meet title,Jan-18-2026,Pittsburgh,Kyen Mayhew,9.8000,,9.6750,9.8250
California,2026,3,no meet title,Jan-18-2026,Pittsburgh,Sage Melkonian,,9.8000,9.7750,
California,2026,3,no meet title,Jan-18-2026,Pittsburgh,Annalise Newman-Achee,9.7250,9.8250,9.8750,9.7750
California,2026,3,no meet title,Jan-18-2026,Pittsburgh,Tonya Paulsson,9.7500,9.8000,,9.8250
California,2026,3,no meet title,Jan-18-2026,Pittsburgh,Abbey Scanlon,,,9.7250,
California,2026,3,no meet title,Jan-18-2026,Pittsburgh,Jayden Silvers,,,,9.1500
California,2026,3,no meet title,Jan-18-2026,Pittsburgh,Mya Wiley,9.7750,9.8500,,
California,2026,4,no meet title,Jan-24-2026,California,Miki Aderinto,,9.7500,9.8000,
California,2026,4,no meet title,Jan-24-2026,California,Casey Brown,9.8500,9.6250,,
California,2026,4,no meet title,Jan-24-2026,California,CJ Keuneke,,,,9.8500
California,2026,4,no meet title,Jan-24-2026,California,Sarah Lee,,,9.7500,9.7500
California,2026,4,no meet title,Jan-24-2026,California,Kyen Mayhew,9.8500,,,9.1500
