team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Centenary College,2026,1,no meet title,Jan-11-2026,Fisk,Peyton Burford,9.4000,,8.5000,
Centenary College,2026,1,no meet title,Jan-11-2026,Fisk,Hayden Cagle,,,9.4750,
Centenary College,2026,1,no meet title,Jan-11-2026,Fisk,Skyla Cruz,,,8.9250,
Centenary College,2026,1,no meet title,Jan-11-2026,Fisk,Lelia Dunlavy,,9.1750,,
Centenary College,2026,1,no meet title,Jan-11-2026,Fisk,Claire Flores,9.3750,8.4000,,8.5000
Centenary College,2026,1,no meet title,Jan-11-2026,Fisk,Amy Foret,9.5250,,9.3500,9.6750
Centenary College,2026,1,no meet title,Jan-11-2026,Fisk,Anna Ichiba,9.2250,,9.0500,9.3750
Centenary College,2026,1,no meet title,Jan-11-2026,Fisk,Olivia Montgomery,9.0250,,,
Centenary College,2026,1,no meet title,Jan-11-2026,Fisk,Brooke Murdock,,,,9.3500
Centenary College,2026,1,no meet title,Jan-11-2026,Fisk,Erin Pinder,,9.0000,,
Centenary College,2026,1,no meet title,Jan-11-2026,Fisk,Olivia Stratmann,,7.9000,,
Centenary College,2026,1,no meet title,Jan-11-2026,Fisk,Nyah Washington,9.3500,7.7000,8.8000,8.5000
Centenary College,2026,1,no meet title,Jan-11-2026,Fisk,Olivia Williams,,8.9750,,9.6750
Centenary College,2026,2,Windy City,Jan-16-2026,,Peyton Burford,9.4500,,9.2750,
Centenary College,2026,2,Windy City,Jan-16-2026,,Hayden Cagle,,,8.9250,
Centenary College,2026,2,Windy City,Jan-16-2026,,Skyla Cruz,,,9.4500,
Centenary College,2026,2,Windy City,Jan-16-2026,,Lelia Dunlavy,,8.7250,,
Centenary College,2026,2,Windy City,Jan-16-2026,,Claire Flores,9.4000,9.3750,,9.5000
Centenary College,2026,2,Windy City,Jan-16-2026,,Amy Foret,9.4250,,8.8750,9.5500
Centenary College,2026,2,Windy City,Jan-16-2026,,Chloe Gilbert,,,9.3000,
Centenary College,2026,2,Windy City,Jan-16-2026,,Anna Ichiba,,,9.5000,9.2000
Centenary College,2026,2,Windy City,Jan-16-2026,,Olivia Montgomery,9.4750,,,
Centenary College,2026,2,Windy City,Jan-16-2026,,Brooke Murdock,,,,9.2750
Centenary College,2026,2,Windy City,Jan-16-2026,,Erin Pinder,,9.3500,,
Centenary College,2026,2,Windy City,Jan-16-2026,,Olivia Stratmann,8.7500,8.2500,,
Centenary College,2026,2,Windy City,Jan-16-2026,,Nyah Washington,8.7250,8.7250,,9.3750
Centenary College,2026,2,Windy City,Jan-16-2026,,Olivia Williams,,9.1500,,9.7250
Centenary College,2026,3,no meet title,Jan-18-2026,Illinois State,Peyton Burford,9.5000,,8.8750,
Centenary College,2026,3,no meet title,Jan-18-2026,Illinois State,Hayden Cagle,,,8.6500,
Centenary College,2026,3,no meet title,Jan-18-2026,Illinois State,Skyla Cruz,,,8.8750,
Centenary College,2026,3,no meet title,Jan-18-2026,Illinois State,Lelia Dunlavy,9.1250,9.1500,,
Centenary College,2026,3,no meet title,Jan-18-2026,Illinois State,Claire Flores,9.1250,7.9750,,9.4500
Centenary College,2026,3,no meet title,Jan-18-2026,Illinois State,Amy Foret,9.5500,,9.5750,9.4000
Centenary College,2026,3,no meet title,Jan-18-2026,Illinois State,Chloe Gilbert,,,8.4750,
Centenary College,2026,3,no meet title,Jan-18-2026,Illinois State,Anna Ichiba,9.3750,,9.8000,9.4250
Centenary College,2026,3,no meet title,Jan-18-2026,Illinois State,Olivia Montgomery,9.4000,,,
Centenary College,2026,3,no meet title,Jan-18-2026,Illinois State,Brooke Murdock,,,,9.3750
Centenary College,2026,3,no meet title,Jan-18-2026,Illinois State,Erin Pinder,,8.8250,,
Centenary College,2026,3,no meet title,Jan-18-2026,Illinois State,Olivia Stratmann,,8.9000,,
Centenary College,2026,3,no meet title,Jan-18-2026,Illinois State,Nyah Washington,,9.4500,,9.2750
Centenary College,2026,3,no meet title,Jan-18-2026,Illinois State,Olivia Williams,,9.1500,,9.7250
Centenary College,2026,4,no meet title,Feb-06-2026,Centenary College,Peyton Burford,9.4000,,9.3750,
Centenary College,2026,4,no meet title,Feb-06-2026,Centenary College,Hayden Cagle,,,9.0500,
Centenary College,2026,4,no meet title,Feb-06-2026,Centenary College,Skyla Cruz,,,9.8000,
