team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Central Michigan,2026,1,no meet title,Jan-09-2026,S.E. Missouri,Luciana Alvarado-Reid,9.7500,9.9250,9.6250,9.9000
Central Michigan,2026,1,no meet title,Jan-09-2026,S.E. Missouri,Avah Bootz,9.5500,,,9.6750
Central Michigan,2026,1,no meet title,Jan-09-2026,S.E. Missouri,Jenna Germond,,,9.7000,9.5250
Central Michigan,2026,1,no meet title,Jan-09-2026,S.E. Missouri,Gabrielle Johnson,,9.6750,9.6250,
Central Michigan,2026,1,no meet title,Jan-09-2026,S.E. Missouri,Lia Kmieciak,9.8250,9.5500,,
Central Michigan,2026,1,no meet title,Jan-09-2026,S.E. Missouri,Zoie Pelfrey,,,9.6750,
Central Michigan,2026,1,no meet title,Jan-09-2026,S.E. Missouri,Alexandra Reddick,9.7250,,,
Central Michigan,2026,1,no meet title,Jan-09-2026,S.E. Missouri,Ashlyn Richards,,,9.6000,
Central Michigan,2026,1,no meet title,Jan-09-2026,S.E. Missouri,Kaitlyn Schwab,,9.7250,,
Central Michigan,2026,1,no meet title,Jan-09-2026,S.E. Missouri,Samantha Shannon,9.7000,9.8250,9.8000,9.5750
Central Michigan,2026,1,no meet title,Jan-09-2026,S.E. Missouri,Ava Wellmeier,9.8250,9.6500,,9.8000
Central Michigan,2026,1,no meet title,Jan-09-2026,S.E. Missouri,ZoÃ« Zimmerman,,,,9.7500
Central Michigan,2026,2,no meet title,Jan-18-2026,Central Michigan,Luciana Alvarado-Reid,9.7000,9.8500,9.6000,9.9000
Central Michigan,2026,2,no meet title,Jan-18-2026,Central Michigan,Avah Bootz,9.8000,,9.6500,8.9500
Central Michigan,2026,2,no meet title,Jan-18-2026,Central Michigan,Jenna Germond,,,,9.8000
Central Michigan,2026,2,no meet title,Jan-18-2026,Central Michigan,Gabrielle Johnson,,9.2000,9.5000,
Central Michigan,2026,2,no meet title,Jan-18-2026,Central Michigan,Lia Kmieciak,8.8000,9.9000,,
Central Michigan,2026,2,no meet title,Jan-18-2026,Central Michigan,Zoie Pelfrey,,,9.8000,
Central Michigan,2026,2,no meet title,Jan-18-2026,Central Michigan,Alexandra Reddick,9.5250,,,
Central Michigan,2026,2,no meet title,Jan-18-2026,Central Michigan,Ashlyn Richards,,,9.6750,
Central Michigan,2026,2,no meet title,Jan-18-2026,Central Michigan,Kaitlyn Schwab,,9.8250,,
Central Michigan,2026,2,no meet title,Jan-18-2026,Central Michigan,Samantha Shannon,9.7250,9.7500,9.7000,9.6500
Central Michigan,2026,2,no meet title,Jan-18-2026,Central Michigan,Ava Wellmeier,9.7000,9.8250,,9.8000
Central Michigan,2026,2,no meet title,Jan-18-2026,Central Michigan,ZoÃ« Zimmerman,,,,9.8250
Central Michigan,2026,3,no meet title,Jan-24-2026,Central Michigan,Luciana Alvarado-Reid,9.7000,9.8750,9.3250,9.8500
Central Michigan,2026,3,no meet title,Jan-24-2026,Central Michigan,Avah Bootz,9.7250,,9.8000,9.7250
Central Michigan,2026,3,no meet title,Jan-24-2026,Central Michigan,Jenna Germond,,,,9.8000
Central Michigan,2026,3,no meet title,Jan-24-2026,Central Michigan,Gabrielle Johnson,,9.5500,9.7250,
Central Michigan,2026,3,no meet title,Jan-24-2026,Central Michigan,Lia Kmieciak,9.8250,9.3000,,
Central Michigan,2026,3,no meet title,Jan-24-2026,Central Michigan,Zoie Pelfrey,,,9.8000,
Central Michigan,2026,3,no meet title,Jan-24-2026,Central Michigan,Alexandra Reddick,9.6000,,,
Central Michigan,2026,3,no meet title,Jan-24-2026,Central Michigan,Ashlyn Richards,,,8.9250,
Central Michigan,2026,3,no meet title,Jan-24-2026,Central Michigan,Kaitlyn Schwab,,9.8250,,
Central Michigan,2026,3,no meet title,Jan-24-2026,Central Michigan,Samantha Shannon,9.7750,9.8750,9.7750,9.7000
Central Michigan,2026,3,no meet title,Jan-24-2026,Central Michigan,Ava Wellmeier,9.7250,9.7500,,9.7750
Central Michigan,2026,3,no meet title,Jan-24-2026,Central Michigan,ZoÃ« Zimmerman,,,,9.5250
Central Michigan,2026,4,no meet title,Jan-30-2026,Georgia,Luciana Alvarado-Reid,9.8000,9.8750,9.8750,9.8750
Central Michigan,2026,4,no meet title,Jan-30-2026,Georgia,Avah Bootz,9.7500,,9.3500,8.9750
Central Michigan,2026,4,no meet title,Jan-30-2026,Georgia,Jenna Germond,,,9.7000,9.7000
Central Michigan,2026,4,no meet title,Jan-30-2026,Georgia,Paige Hasling,9.7500,,,
Central Michigan,2026,4,no meet title,Jan-30-2026,Georgia,Gabrielle Johnson,,9.7750,9.7250,
Central Michigan,2026,4,no meet title,Jan-30-2026,Georgia,Lia Kmieciak,9.8750,9.8500,,
Central Michigan,2026,4,no meet title,Jan-30-2026,Georgia,Zoie Pelfrey,,,9.8500,
Central Michigan,2026,4,no meet title,Jan-30-2026,Georgia,Kaitlyn Schwab,,9.8000,,
