team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Clemson,2026,1,no meet title,Jan-04-2026,Clemson,Molly Arnold,9.1000,,,
Clemson,2026,1,no meet title,Jan-04-2026,Clemson,Takoda Berry,,9.7750,,
Clemson,2026,1,no meet title,Jan-04-2026,Clemson,Ella Cesario,,9.8500,9.6500,
Clemson,2026,1,no meet title,Jan-04-2026,Clemson,Hannah Clark,,9.2500,9.8000,
Clemson,2026,1,no meet title,Jan-04-2026,Clemson,Brie Clark,9.8250,,9.8000,9.9000
Clemson,2026,1,no meet title,Jan-04-2026,Clemson,Maggie Holman,9.8000,,,9.8500
Clemson,2026,1,no meet title,Jan-04-2026,Clemson,Eve Jackson,9.6750,9.7250,,9.0500
Clemson,2026,1,no meet title,Jan-04-2026,Clemson,Quinn Kuhl,,9.9000,9.8250,
Clemson,2026,1,no meet title,Jan-04-2026,Clemson,Lilly Lippeatt,,9.8000,9.8250,9.8250
Clemson,2026,1,no meet title,Jan-04-2026,Clemson,Madison Minner,9.8500,,,9.8250
Clemson,2026,1,no meet title,Jan-04-2026,Clemson,Tara Walsh,9.8500,,9.7250,9.7250
Clemson,2026,2,no meet title,Jan-09-2026,Clemson,Molly Arnold,9.6750,,,
Clemson,2026,2,no meet title,Jan-09-2026,Clemson,Takoda Berry,,9.7750,,
Clemson,2026,2,no meet title,Jan-09-2026,Clemson,Ella Cesario,,9.8500,9.9000,
Clemson,2026,2,no meet title,Jan-09-2026,Clemson,Hannah Clark,,9.8500,9.7000,
Clemson,2026,2,no meet title,Jan-09-2026,Clemson,Brie Clark,9.7750,,9.3750,9.9250
Clemson,2026,2,no meet title,Jan-09-2026,Clemson,Maggie Holman,9.7500,,,9.8250
Clemson,2026,2,no meet title,Jan-09-2026,Clemson,Eve Jackson,9.8250,9.7500,,9.8000
Clemson,2026,2,no meet title,Jan-09-2026,Clemson,Quinn Kuhl,,9.8500,9.9000,
Clemson,2026,2,no meet title,Jan-09-2026,Clemson,Lilly Lippeatt,,9.8750,9.7250,9.8250
Clemson,2026,2,no meet title,Jan-09-2026,Clemson,Madison Minner,9.8250,,,9.8000
Clemson,2026,2,no meet title,Jan-09-2026,Clemson,Tara Walsh,9.8500,,9.8500,9.8750
Clemson,2026,3,no meet title,Jan-17-2026,North Carolina State,Ella Cesario,9.7750,9.8750,9.7000,
Clemson,2026,3,no meet title,Jan-17-2026,North Carolina State,Hannah Clark,,9.8000,9.6750,
Clemson,2026,3,no meet title,Jan-17-2026,North Carolina State,Brie Clark,9.7250,,9.8000,9.9250
Clemson,2026,3,no meet title,Jan-17-2026,North Carolina State,Maggie Holman,9.8000,,,9.0750
Clemson,2026,3,no meet title,Jan-17-2026,North Carolina State,Eve Jackson,9.1000,9.8500,,9.7750
Clemson,2026,3,no meet title,Jan-17-2026,North Carolina State,Quinn Kuhl,,9.8250,9.7250,
Clemson,2026,3,no meet title,Jan-17-2026,North Carolina State,Lilly Lippeatt,,9.8250,9.7500,9.8000
Clemson,2026,3,no meet title,Jan-17-2026,North Carolina State,Emma Malewski,,9.6750,,
Clemson,2026,3,no meet title,Jan-17-2026,North Carolina State,Madison Minner,9.7750,,,9.7250
Clemson,2026,3,no meet title,Jan-17-2026,North Carolina State,Tara Walsh,9.9000,,9.7000,9.8750
Clemson,2026,4,no meet title,Jan-25-2026,Stanford,Takoda Berry,,9.8250,,
Clemson,2026,4,no meet title,Jan-25-2026,Stanford,Ella Cesario,9.7250,9.8500,9.8000,9.9000
Clemson,2026,4,no meet title,Jan-25-2026,Stanford,Hannah Clark,,9.8750,,
Clemson,2026,4,no meet title,Jan-25-2026,Stanford,Brie Clark,9.6750,,9.9250,9.9500
Clemson,2026,4,no meet title,Jan-25-2026,Stanford,Maggie Holman,9.7750,,,9.7500
Clemson,2026,4,no meet title,Jan-25-2026,Stanford,Eve Jackson,9.7250,9.2000,,
Clemson,2026,4,no meet title,Jan-25-2026,Stanford,Quinn Kuhl,,,9.7750,
Clemson,2026,4,no meet title,Jan-25-2026,Stanford,Lilly Lippeatt,,9.7750,9.7500,9.7750
Clemson,2026,4,no meet title,Jan-25-2026,Stanford,Emma Malewski,,9.8250,9.1000,
Clemson,2026,4,no meet title,Jan-25-2026,Stanford,Madison Minner,9.7250,,,9.8000
Clemson,2026,4,no meet title,Jan-25-2026,Stanford,Tara Walsh,9.7750,,9.8750,9.8750
Clemson,2026,5,no meet title,Jan-30-2026,Clemson,Takoda Berry,,8.9500,,
Clemson,2026,5,no meet title,Jan-30-2026,Clemson,Ella Cesario,9.8000,9.9000,9.8750,9.8750
Clemson,2026,5,no meet title,Jan-30-2026,Clemson,Hannah Clark,,9.8500,9.7750,
Clemson,2026,5,no meet title,Jan-30-2026,Clemson,Brie Clark,9.7500,,9.8750,9.9500
Clemson,2026,5,no meet title,Jan-30-2026,Clemson,Maggie Holman,9.8500,,,9.8750
Clemson,2026,5,no meet title,Jan-30-2026,Clemson,Eve Jackson,9.3000,9.8250,,9.8250
Clemson,2026,5,no meet title,Jan-30-2026,Clemson,Quinn Kuhl,,,9.8750,
Clemson,2026,5,no meet title,Jan-30-2026,Clemson,Lilly Lippeatt,,9.8500,9.8250,9.7750
Clemson,2026,5,no meet title,Jan-30-2026,Clemson,Emma Malewski,,9.8750,,
Clemson,2026,5,no meet title,Jan-30-2026,Clemson,Madison Minner,9.8000,,,
Clemson,2026,5,no meet title,Jan-30-2026,Clemson,Tara Walsh,9.8750,,9.8750,9.8000
Clemson,2026,6,no meet title,Feb-07-2026,Clemson,Paige Anastasi,9.8000,,,
Clemson,2026,6,no meet title,Feb-07-2026,Clemson,Ella Cesario,9.7000,9.8750,9.8000,9.8250
Clemson,2026,6,no meet title,Feb-07-2026,Clemson,Hannah Clark,,9.9000,,
Clemson,2026,6,no meet title,Feb-07-2026,Clemson,Brie Clark,9.8250,,9.8750,9.9000
Clemson,2026,6,no meet title,Feb-07-2026,Clemson,Maggie Holman,9.8250,,,9.8250
Clemson,2026,6,no meet title,Feb-07-2026,Clemson,Eve Jackson,,9.7750,,
Clemson,2026,6,no meet title,Feb-07-2026,Clemson,Quinn Kuhl,,9.8500,9.8000,
Clemson,2026,6,no meet title,Feb-07-2026,Clemson,Lilly Lippeatt,,9.8500,9.8250,9.8250
Clemson,2026,6,no meet title,Feb-07-2026,Clemson,Emma Malewski,,9.8750,9.8000,
Clemson,2026,6,no meet title,Feb-07-2026,Clemson,Madison Minner,9.8250,,,9.8500
Clemson,2026,6,no meet title,Feb-07-2026,Clemson,Tara Walsh,9.9000,,9.8000,9.8750
Clemson,2026,7,no meet title,Feb-15-2026,Pittsburgh,Paige Anastasi,9.7750,,,
Clemson,2026,7,no meet title,Feb-15-2026,Pittsburgh,Ella Cesario,9.8250,9.8750,9.9250,9.8500
Clemson,2026,7,no meet title,Feb-15-2026,Pittsburgh,Hannah Clark,,9.8750,,
Clemson,2026,7,no meet title,Feb-15-2026,Pittsburgh,Brie Clark,9.7500,,9.8000,9.9250
Clemson,2026,7,no meet title,Feb-15-2026,Pittsburgh,Maggie Holman,9.8250,,,9.8500
Clemson,2026,7,no meet title,Feb-15-2026,Pittsburgh,Eve Jackson,,9.8000,,9.5500
Clemson,2026,7,no meet title,Feb-15-2026,Pittsburgh,Quinn Kuhl,,9.6750,9.8000,
Clemson,2026,7,no meet title,Feb-15-2026,Pittsburgh,Lilly Lippeatt,,9.9000,9.9000,
Clemson,2026,7,no meet title,Feb-15-2026,Pittsburgh,Emma Malewski,,9.9000,9.6500,
Clemson,2026,7,no meet title,Feb-15-2026,Pittsburgh,Madison Minner,9.8000,,,9.6000
Clemson,2026,7,no meet title,Feb-15-2026,Pittsburgh,Tara Walsh,9.9000,,9.8750,9.8750
Clemson,2026,8,no meet title,Feb-20-2026,Clemson,Paige Anastasi,9.7750,,,
Clemson,2026,8,no meet title,Feb-20-2026,Clemson,Molly Arnold,,,,9.7750
Clemson,2026,8,no meet title,Feb-20-2026,Clemson,Ella Cesario,9.8250,9.7250,9.8750,9.9000
