team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Cornell,2026,1,no meet title,Jan-11-2026,Cornell,Mikayla Burton,,,9.0500,
Cornell,2026,1,no meet title,Jan-11-2026,Cornell,Michaela DeFrancisco,9.7250,,,9.5000
Cornell,2026,1,no meet title,Jan-11-2026,Cornell,Ella Fox,,,9.4500,9.5000
Cornell,2026,1,no meet title,Jan-11-2026,Cornell,Sarah Goetter,,,,9.7750
Cornell,2026,1,no meet title,Jan-11-2026,Cornell,Dahlia Jhaveri,9.6750,9.7500,,
Cornell,2026,1,no meet title,Jan-11-2026,Cornell,Anne MacKenzie,,,9.0500,
Cornell,2026,1,no meet title,Jan-11-2026,Cornell,Grace McLean,9.7000,,9.6000,
Cornell,2026,1,no meet title,Jan-11-2026,Cornell,Josie Moylan,,9.0500,,9.7000
Cornell,2026,1,no meet title,Jan-11-2026,Cornell,Addy Rothstein,9.5750,9.5750,,9.7250
Cornell,2026,1,no meet title,Jan-11-2026,Cornell,Ava Schenck-Davis,,9.7250,,
Cornell,2026,1,no meet title,Jan-11-2026,Cornell,Morgen Shambo,,9.7250,,
Cornell,2026,1,no meet title,Jan-11-2026,Cornell,Nora Sherman,,,9.6500,
Cornell,2026,1,no meet title,Jan-11-2026,Cornell,Natalia Tehrani,,9.7250,9.7000,
Cornell,2026,1,no meet title,Jan-11-2026,Cornell,Cami Whitaker,9.8250,,,9.6250
Cornell,2026,1,no meet title,Jan-11-2026,Cornell,Noelle Wojcik,9.5750,,,
Cornell,2026,2,no meet title,Jan-18-2026,George Washington,Mikayla Burton,,,9.7000,
Cornell,2026,2,no meet title,Jan-18-2026,George Washington,Michaela DeFrancisco,,,,9.5750
Cornell,2026,2,no meet title,Jan-18-2026,George Washington,Ella Fox,,,,9.7000
Cornell,2026,2,no meet title,Jan-18-2026,George Washington,Sarah Goetter,9.6750,9.5000,,9.6750
Cornell,2026,2,no meet title,Jan-18-2026,George Washington,Dahlia Jhaveri,9.6250,9.6250,,
Cornell,2026,2,no meet title,Jan-18-2026,George Washington,Anne MacKenzie,,,9.5750,
Cornell,2026,2,no meet title,Jan-18-2026,George Washington,Grace McLean,9.6750,,9.6500,
Cornell,2026,2,no meet title,Jan-18-2026,George Washington,Josie Moylan,,9.4500,,9.8000
Cornell,2026,2,no meet title,Jan-18-2026,George Washington,Addy Rothstein,9.7000,8.8250,,9.7000
Cornell,2026,2,no meet title,Jan-18-2026,George Washington,Morgen Shambo,,9.7000,8.1250,
Cornell,2026,2,no meet title,Jan-18-2026,George Washington,Nora Sherman,,,8.7250,
Cornell,2026,2,no meet title,Jan-18-2026,George Washington,Natalia Tehrani,,8.6500,9.7250,
Cornell,2026,2,no meet title,Jan-18-2026,George Washington,Cami Whitaker,9.7000,,,9.5000
Cornell,2026,2,no meet title,Jan-18-2026,George Washington,Noelle Wojcik,9.6500,,,
Cornell,2026,3,no meet title,Jan-27-2026,Cornell,Mikayla Burton,,,8.8500,
Cornell,2026,3,no meet title,Jan-27-2026,Cornell,Michaela DeFrancisco,9.5750,,,9.5750
Cornell,2026,3,no meet title,Jan-27-2026,Cornell,Ella Fox,,,9.3750,9.7000
Cornell,2026,3,no meet title,Jan-27-2026,Cornell,Sarah Goetter,9.6500,,,9.7750
Cornell,2026,3,no meet title,Jan-27-2026,Cornell,Dahlia Jhaveri,9.6750,9.6500,,
Cornell,2026,3,no meet title,Jan-27-2026,Cornell,Anne MacKenzie,,,8.6500,
Cornell,2026,3,no meet title,Jan-27-2026,Cornell,Grace McLean,,,9.5000,
Cornell,2026,3,no meet title,Jan-27-2026,Cornell,Josie Moylan,,9.4750,,9.8000
Cornell,2026,3,no meet title,Jan-27-2026,Cornell,Addy Rothstein,9.7500,9.5750,,9.7000
Cornell,2026,3,no meet title,Jan-27-2026,Cornell,Ava Schenck-Davis,,9.7250,,
Cornell,2026,3,no meet title,Jan-27-2026,Cornell,Morgen Shambo,,9.7250,,
Cornell,2026,3,no meet title,Jan-27-2026,Cornell,Natalia Tehrani,,9.7000,9.7500,
Cornell,2026,3,no meet title,Jan-27-2026,Cornell,Cami Whitaker,9.2000,,,9.8000
Cornell,2026,3,no meet title,Jan-27-2026,Cornell,Noelle Wojcik,9.6750,,8.7000,
Cornell,2026,4,no meet title,Jan-30-2026,West Virginia,Mikayla Burton,,,9.9000,
Cornell,2026,4,no meet title,Jan-30-2026,West Virginia,Michaela DeFrancisco,9.6250,,,
Cornell,2026,4,no meet title,Jan-30-2026,West Virginia,Ella Fox,,,9.1500,9.4000
Cornell,2026,4,no meet title,Jan-30-2026,West Virginia,Sarah Goetter,,9.5500,,9.7500
Cornell,2026,4,no meet title,Jan-30-2026,West Virginia,Dahlia Jhaveri,8.7000,9.0250,,
Cornell,2026,4,no meet title,Jan-30-2026,West Virginia,Anne MacKenzie,,,9.7000,
Cornell,2026,4,no meet title,Jan-30-2026,West Virginia,Grace McLean,9.5000,,9.7250,9.7250
Cornell,2026,4,no meet title,Jan-30-2026,West Virginia,Josie Moylan,,9.5250,,9.8000
Cornell,2026,4,no meet title,Jan-30-2026,West Virginia,Addy Rothstein,9.7500,9.6500,,9.7750
Cornell,2026,4,no meet title,Jan-30-2026,West Virginia,Ava Schenck-Davis,,9.6750,,
Cornell,2026,4,no meet title,Jan-30-2026,West Virginia,Morgen Shambo,,9.7000,,
Cornell,2026,4,no meet title,Jan-30-2026,West Virginia,Nora Sherman,,,9.0000,
Cornell,2026,4,no meet title,Jan-30-2026,West Virginia,Natalia Tehrani,,,9.6000,
Cornell,2026,4,no meet title,Jan-30-2026,West Virginia,Cami Whitaker,9.6750,,,9.8250
Cornell,2026,4,no meet title,Jan-30-2026,West Virginia,Noelle Wojcik,9.6750,,,
Cornell,2026,5,no meet title,Feb-06-2026,Pennsylvania,Mikayla Burton,,,9.1750,
Cornell,2026,5,no meet title,Feb-06-2026,Pennsylvania,Michaela DeFrancisco,9.7500,,,
Cornell,2026,5,no meet title,Feb-06-2026,Pennsylvania,Ella Fox,,,8.9500,9.7500
Cornell,2026,5,no meet title,Feb-06-2026,Pennsylvania,Sarah Goetter,9.6750,9.4500,,9.8250
Cornell,2026,5,no meet title,Feb-06-2026,Pennsylvania,Anne MacKenzie,,,9.6000,
