team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Cortland State,2026,1,no meet title,Jan-11-2026,Ursinus College,Autumn Adkins,,9.4250,,9.3750
Cortland State,2026,1,no meet title,Jan-11-2026,Ursinus College,Rory Allan,9.3750,,,
Cortland State,2026,1,no meet title,Jan-11-2026,Ursinus College,Emily Baradic,,8.8750,,
Cortland State,2026,1,no meet title,Jan-11-2026,Ursinus College,Shyann Bootman,,,8.9250,
Cortland State,2026,1,no meet title,Jan-11-2026,Ursinus College,Kyleigh Brown,8.7000,9.2000,,
Cortland State,2026,1,no meet title,Jan-11-2026,Ursinus College,Olivia Chapman,9.5500,,,
Cortland State,2026,1,no meet title,Jan-11-2026,Ursinus College,Rylee Fishkin,,,,9.6500
Cortland State,2026,1,no meet title,Jan-11-2026,Ursinus College,Tayah Graham,9.4750,,9.5000,
Cortland State,2026,1,no meet title,Jan-11-2026,Ursinus College,Amy Hamilton,,,,9.1750
Cortland State,2026,1,no meet title,Jan-11-2026,Ursinus College,Samantha Meadows,8.8750,,9.5750,
Cortland State,2026,1,no meet title,Jan-11-2026,Ursinus College,Gianna Mirigliano,9.6500,,8.8250,8.8500
Cortland State,2026,1,no meet title,Jan-11-2026,Ursinus College,Aria Roberts,,8.5000,,9.7000
Cortland State,2026,1,no meet title,Jan-11-2026,Ursinus College,Alexa Rose Pahila,,8.5500,,
Cortland State,2026,1,no meet title,Jan-11-2026,Ursinus College,Tessa Sutton,,,8.9500,9.7500
Cortland State,2026,1,no meet title,Jan-11-2026,Ursinus College,Lexi Weber,,,8.9250,
Cortland State,2026,1,no meet title,Jan-11-2026,Ursinus College,Kiana Wong,,9.3500,,
Cortland State,2026,2,no meet title,Jan-23-2026,Utica,Autumn Adkins,,9.6000,,9.5250
Cortland State,2026,2,no meet title,Jan-23-2026,Utica,Emily Baradic,,9.5500,,
Cortland State,2026,2,no meet title,Jan-23-2026,Utica,Shyann Bootman,,,9.3750,9.6500
Cortland State,2026,2,no meet title,Jan-23-2026,Utica,Kyleigh Brown,9.4750,,,
Cortland State,2026,2,no meet title,Jan-23-2026,Utica,Olivia Chapman,9.4500,9.7000,,9.4250
Cortland State,2026,2,no meet title,Jan-23-2026,Utica,Rylee Fishkin,,,,9.4250
Cortland State,2026,2,no meet title,Jan-23-2026,Utica,Marisa Frascatore,9.4500,,,
Cortland State,2026,2,no meet title,Jan-23-2026,Utica,Tayah Graham,9.4000,,9.6250,
Cortland State,2026,2,no meet title,Jan-23-2026,Utica,Kathryn McSweeney,,8.9250,,
Cortland State,2026,2,no meet title,Jan-23-2026,Utica,Samantha Meadows,,,9.8000,
Cortland State,2026,2,no meet title,Jan-23-2026,Utica,Gianna Mirigliano,9.5500,,9.5250,
Cortland State,2026,2,no meet title,Jan-23-2026,Utica,Aria Roberts,,9.5750,,9.5500
