team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Denver,2026,1,no meet title,Jan-11-2026,Denver,Shyla Bhatia,9.9250,9.8000,,9.8750
Denver,2026,1,no meet title,Jan-11-2026,Denver,Mila Brusch,9.8500,9.8500,,9.8750
Denver,2026,1,no meet title,Jan-11-2026,Denver,Cecilia Cooley,9.7250,9.1750,9.8250,9.9750
Denver,2026,1,no meet title,Jan-11-2026,Denver,Ashley Gallen,,,9.6250,9.8250
Denver,2026,1,no meet title,Jan-11-2026,Denver,Sophia Hampp,,9.7500,,
Denver,2026,1,no meet title,Jan-11-2026,Denver,Amanda Hargraves,9.7250,,9.8000,9.7750
Denver,2026,1,no meet title,Jan-11-2026,Denver,Sevana Kasparian,9.8000,,9.8000,
Denver,2026,1,no meet title,Jan-11-2026,Denver,Kaitlynd Kastl,,9.8000,,
Denver,2026,1,no meet title,Jan-11-2026,Denver,Maddison Reidenbach,9.8000,9.8000,9.8000,9.8750
Denver,2026,1,no meet title,Jan-11-2026,Denver,Terra Rutter,,,9.8250,
Denver,2026,2,no meet title,Jan-16-2026,Texas Woman's,Megan Aamold,,,9.7250,
Denver,2026,2,no meet title,Jan-16-2026,Texas Woman's,Shyla Bhatia,9.8250,9.7750,9.8250,9.7500
Denver,2026,2,no meet title,Jan-16-2026,Texas Woman's,Mila Brusch,,9.7750,,
Denver,2026,2,no meet title,Jan-16-2026,Texas Woman's,Cecilia Cooley,9.6750,9.7750,9.8000,9.9250
Denver,2026,2,no meet title,Jan-16-2026,Texas Woman's,Ashley Gallen,,,9.7500,9.8250
Denver,2026,2,no meet title,Jan-16-2026,Texas Woman's,Sophia Hampp,,8.9750,,
Denver,2026,2,no meet title,Jan-16-2026,Texas Woman's,Amanda Hargraves,9.7750,,9.6500,9.8000
Denver,2026,2,no meet title,Jan-16-2026,Texas Woman's,Addie Hewitt,9.5500,,,8.8500
Denver,2026,2,no meet title,Jan-16-2026,Texas Woman's,Sevana Kasparian,9.7500,,,
Denver,2026,2,no meet title,Jan-16-2026,Texas Woman's,Kaitlynd Kastl,,9.8250,,
Denver,2026,2,no meet title,Jan-16-2026,Texas Woman's,Maddison Reidenbach,9.8500,9.7500,9.8000,9.8750
Denver,2026,3,no meet title,Jan-24-2026,West Virginia,Megan Aamold,,,9.8250,
Denver,2026,3,no meet title,Jan-24-2026,West Virginia,Shyla Bhatia,9.8250,9.6750,,9.8250
Denver,2026,3,no meet title,Jan-24-2026,West Virginia,Mila Brusch,,9.6500,,
Denver,2026,3,no meet title,Jan-24-2026,West Virginia,Cecilia Cooley,9.7250,9.7500,9.8750,9.8500
Denver,2026,3,no meet title,Jan-24-2026,West Virginia,Ashley Gallen,,,9.8500,9.7750
Denver,2026,3,no meet title,Jan-24-2026,West Virginia,Amanda Hargraves,9.8250,,,9.8000
Denver,2026,3,no meet title,Jan-24-2026,West Virginia,Addie Hewitt,,,,9.8250
Denver,2026,3,no meet title,Jan-24-2026,West Virginia,Sevana Kasparian,9.7500,,,
Denver,2026,3,no meet title,Jan-24-2026,West Virginia,Kaitlynd Kastl,,9.7750,,
Denver,2026,3,no meet title,Jan-24-2026,West Virginia,Maddison Reidenbach,9.8000,9.0500,9.9000,9.8500
Denver,2026,3,no meet title,Jan-24-2026,West Virginia,Kiley Rorich,9.7750,9.7750,,
Denver,2026,3,no meet title,Jan-24-2026,West Virginia,Terra Rutter,,,9.7500,
Denver,2026,3,no meet title,Jan-24-2026,West Virginia,Abby Steeley,,,9.8000,
Denver,2026,4,no meet title,Feb-01-2026,Denver,Megan Aamold,,,9.8750,
Denver,2026,4,no meet title,Feb-01-2026,Denver,Shyla Bhatia,9.8500,9.7500,,9.9000
Denver,2026,4,no meet title,Feb-01-2026,Denver,Mila Brusch,,9.8250,,
Denver,2026,4,no meet title,Feb-01-2026,Denver,Cecilia Cooley,9.7750,9.8500,9.8500,9.9250
Denver,2026,4,no meet title,Feb-01-2026,Denver,Ashley Gallen,,,9.7250,9.8500
Denver,2026,4,no meet title,Feb-01-2026,Denver,Amanda Hargraves,9.7500,,,9.8750
Denver,2026,4,no meet title,Feb-01-2026,Denver,Addie Hewitt,,,,9.8750
Denver,2026,4,no meet title,Feb-01-2026,Denver,Sevana Kasparian,9.7750,,,
Denver,2026,4,no meet title,Feb-01-2026,Denver,Kaitlynd Kastl,,9.8250,,
Denver,2026,4,no meet title,Feb-01-2026,Denver,Maddison Reidenbach,9.7750,9.1750,9.0500,9.9250
Denver,2026,4,no meet title,Feb-01-2026,Denver,Kiley Rorich,9.8000,9.9000,,
Denver,2026,4,no meet title,Feb-01-2026,Denver,Terra Rutter,,,9.7750,
Denver,2026,4,no meet title,Feb-01-2026,Denver,Abby Steeley,,,9.6750,
Denver,2026,5,no meet title,Feb-07-2026,Arizona State,Megan Aamold,,,9.9250,
Denver,2026,5,no meet title,Feb-07-2026,Arizona State,Shyla Bhatia,9.8250,9.8000,,9.8750
Denver,2026,5,no meet title,Feb-07-2026,Arizona State,Mila Brusch,,9.8000,,
Denver,2026,5,no meet title,Feb-07-2026,Arizona State,Cecilia Cooley,9.8000,9.8000,9.9250,9.9250
Denver,2026,5,no meet title,Feb-07-2026,Arizona State,Ashley Gallen,,,9.8250,9.8250
Denver,2026,5,no meet title,Feb-07-2026,Arizona State,Amanda Hargraves,9.7250,,,9.8500
Denver,2026,5,no meet title,Feb-07-2026,Arizona State,Addie Hewitt,,,,9.8250
Denver,2026,5,no meet title,Feb-07-2026,Arizona State,Sevana Kasparian,9.8000,,,
Denver,2026,5,no meet title,Feb-07-2026,Arizona State,Kaitlynd Kastl,,9.8750,,
Denver,2026,5,no meet title,Feb-07-2026,Arizona State,Maddison Reidenbach,9.8250,9.7750,9.9000,9.8750
Denver,2026,5,no meet title,Feb-07-2026,Arizona State,Kiley Rorich,9.7500,9.8750,,
Denver,2026,5,no meet title,Feb-07-2026,Arizona State,Terra Rutter,,,9.8750,
Denver,2026,5,no meet title,Feb-07-2026,Arizona State,Abby Steeley,,,9.7500,
Denver,2026,6,no meet title,Feb-14-2026,Denver,Megan Aamold,,,9.8000,
Denver,2026,6,no meet title,Feb-14-2026,Denver,Shyla Bhatia,9.7500,9.8750,,9.9250
Denver,2026,6,no meet title,Feb-14-2026,Denver,Mila Brusch,,9.8250,,
Denver,2026,6,no meet title,Feb-14-2026,Denver,Cecilia Cooley,9.8250,9.8500,9.9250,9.9000
Denver,2026,6,no meet title,Feb-14-2026,Denver,Ashley Gallen,,,9.7250,9.8750
Denver,2026,6,no meet title,Feb-14-2026,Denver,Amanda Hargraves,9.8500,,,9.8500
Denver,2026,6,no meet title,Feb-14-2026,Denver,Addie Hewitt,,,,9.8250
Denver,2026,6,no meet title,Feb-14-2026,Denver,Sevana Kasparian,9.8500,,,
Denver,2026,6,no meet title,Feb-14-2026,Denver,Kaitlynd Kastl,,9.7250,,
Denver,2026,6,no meet title,Feb-14-2026,Denver,Maddison Reidenbach,9.8500,9.8000,9.5250,9.8500
Denver,2026,6,no meet title,Feb-14-2026,Denver,Kiley Rorich,9.7750,9.8000,,
Denver,2026,6,no meet title,Feb-14-2026,Denver,Terra Rutter,,,9.0250,
Denver,2026,6,no meet title,Feb-14-2026,Denver,Abby Steeley,,,9.9250,
Denver,2026,7,no meet title,Feb-20-2026,BYU,Megan Aamold,,,9.7000,
Denver,2026,7,no meet title,Feb-20-2026,BYU,Shyla Bhatia,9.7750,9.8000,,9.9000
Denver,2026,7,no meet title,Feb-20-2026,BYU,Mila Brusch,,9.8000,,
Denver,2026,7,no meet title,Feb-20-2026,BYU,Cecilia Cooley,9.7000,9.8250,9.8750,9.8500
Denver,2026,7,no meet title,Feb-20-2026,BYU,Ashley Gallen,,,9.7250,9.8250
Denver,2026,7,no meet title,Feb-20-2026,BYU,Amanda Hargraves,9.6750,,9.6250,9.8750
Denver,2026,7,no meet title,Feb-20-2026,BYU,Addie Hewitt,9.8500,,,9.7750
Denver,2026,7,no meet title,Feb-20-2026,BYU,Sevana Kasparian,9.7750,,,
Denver,2026,7,no meet title,Feb-20-2026,BYU,Kaitlynd Kastl,,9.8000,,
Denver,2026,7,no meet title,Feb-20-2026,BYU,Maddison Reidenbach,9.6500,9.6500,9.8750,9.9000
Denver,2026,7,no meet title,Feb-20-2026,BYU,Kiley Rorich,,9.7750,,
Denver,2026,7,no meet title,Feb-20-2026,BYU,Abby Steeley,,,8.9750,
Denver,2026,8,no meet title,Mar-01-2026,Denver,Megan Aamold,,,9.8500,
Denver,2026,8,no meet title,Mar-01-2026,Denver,Shyla Bhatia,9.7500,9.8000,,9.8250
Denver,2026,8,no meet title,Mar-01-2026,Denver,Mila Brusch,9.9000,9.8000,,
Denver,2026,8,no meet title,Mar-01-2026,Denver,Cecilia Cooley,,9.9250,9.6500,9.7250
Denver,2026,8,no meet title,Mar-01-2026,Denver,Ashley Gallen,,,9.7250,9.8000
Denver,2026,8,no meet title,Mar-01-2026,Denver,Amanda Hargraves,9.8750,,9.6250,9.8000
Denver,2026,8,no meet title,Mar-01-2026,Denver,Addie Hewitt,9.8000,,,
Denver,2026,8,no meet title,Mar-01-2026,Denver,Sevana Kasparian,9.8250,9.2250,,
Denver,2026,8,no meet title,Mar-01-2026,Denver,Kaitlynd Kastl,,9.7750,,
Denver,2026,8,no meet title,Mar-01-2026,Denver,Maddison Reidenbach,9.7750,,,9.9000
Denver,2026,8,no meet title,Mar-01-2026,Denver,Kiley Rorich,,9.8500,,9.9000
Denver,2026,8,no meet title,Mar-01-2026,Denver,Terra Rutter,,,9.7000,
Denver,2026,8,no meet title,Mar-01-2026,Denver,Abby Steeley,,,9.1750,
Denver,2026,9,no meet title,Mar-06-2026,Air Force,Megan Aamold,,,9.7250,
Denver,2026,9,no meet title,Mar-06-2026,Air Force,Shyla Bhatia,9.8250,9.8500,,9.8750
Denver,2026,9,no meet title,Mar-06-2026,Air Force,Mila Brusch,9.8750,9.7000,,
Denver,2026,9,no meet title,Mar-06-2026,Air Force,Cecilia Cooley,,9.7250,9.9250,9.9000
Denver,2026,9,no meet title,Mar-06-2026,Air Force,Ashley Gallen,,,9.8250,9.8750
Denver,2026,9,no meet title,Mar-06-2026,Air Force,Amanda Hargraves,9.8250,,9.8000,9.6500
Denver,2026,9,no meet title,Mar-06-2026,Air Force,Addie Hewitt,9.8500,,,
Denver,2026,9,no meet title,Mar-06-2026,Air Force,Sevana Kasparian,9.8250,,,
Denver,2026,9,no meet title,Mar-06-2026,Air Force,Kaitlynd Kastl,,9.7250,,
Denver,2026,9,no meet title,Mar-06-2026,Air Force,Maddison Reidenbach,9.8750,9.8000,9.8750,9.8750
Denver,2026,9,no meet title,Mar-06-2026,Air Force,Kiley Rorich,,9.8250,,9.8750
Denver,2026,9,no meet title,Mar-06-2026,Air Force,Terra Rutter,,,9.3000,
Denver,2026,10,no meet title,Mar-09-2026,Denver,Megan Aamold,,,9.8000,
Denver,2026,10,no meet title,Mar-09-2026,Denver,Shyla Bhatia,9.9750,9.7750,,9.9000
Denver,2026,10,no meet title,Mar-09-2026,Denver,Mila Brusch,9.9000,9.9000,,
Denver,2026,10,no meet title,Mar-09-2026,Denver,Cecilia Cooley,,9.9250,9.9000,9.9500
Denver,2026,10,no meet title,Mar-09-2026,Denver,Ashley Gallen,,,9.8000,9.9000
Denver,2026,10,no meet title,Mar-09-2026,Denver,Amanda Hargraves,9.7250,,9.8750,9.9500
Denver,2026,10,no meet title,Mar-09-2026,Denver,Addie Hewitt,9.8250,,,
