team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Eastern Michigan,2026,1,no meet title,Jan-11-2026,Bowling Green,Abby Brushwood,9.7000,,,9.7500
Eastern Michigan,2026,1,no meet title,Jan-11-2026,Bowling Green,Gwendelyn Cantu,9.7750,,,
Eastern Michigan,2026,1,no meet title,Jan-11-2026,Bowling Green,Katin Childress,,,9.8000,
Eastern Michigan,2026,1,no meet title,Jan-11-2026,Bowling Green,Genae Daniel,,9.3500,,
Eastern Michigan,2026,1,no meet title,Jan-11-2026,Bowling Green,Savanna Dunwoody,9.7250,,,9.6000
Eastern Michigan,2026,1,no meet title,Jan-11-2026,Bowling Green,Priya Karle,,,,9.0500
Eastern Michigan,2026,1,no meet title,Jan-11-2026,Bowling Green,Keeley Kohler,,9.7750,8.9500,
Eastern Michigan,2026,1,no meet title,Jan-11-2026,Bowling Green,Kendall Landry,9.7250,,,
Eastern Michigan,2026,1,no meet title,Jan-11-2026,Bowling Green,Kyrie Lowe,9.7500,9.7500,9.6750,9.6000
Eastern Michigan,2026,1,no meet title,Jan-11-2026,Bowling Green,Brianna Lucas,,,,9.1000
Eastern Michigan,2026,1,no meet title,Jan-11-2026,Bowling Green,Macy Nihart,,,9.6000,9.4750
Eastern Michigan,2026,1,no meet title,Jan-11-2026,Bowling Green,Jacquelyn Patterson,,9.6000,9.8750,
Eastern Michigan,2026,1,no meet title,Jan-11-2026,Bowling Green,Georgia Slack,9.6500,9.4500,,
Eastern Michigan,2026,1,no meet title,Jan-11-2026,Bowling Green,Analiah Solorio,,8.9500,9.8500,
Eastern Michigan,2026,2,no meet title,Jan-17-2026,Eastern Michigan,Abby Brushwood,9.6750,,,9.6000
Eastern Michigan,2026,2,no meet title,Jan-17-2026,Eastern Michigan,Gwendelyn Cantu,9.7000,9.7000,,
Eastern Michigan,2026,2,no meet title,Jan-17-2026,Eastern Michigan,Katin Childress,,,9.8000,
Eastern Michigan,2026,2,no meet title,Jan-17-2026,Eastern Michigan,Genae Daniel,,9.6750,,
Eastern Michigan,2026,2,no meet title,Jan-17-2026,Eastern Michigan,Savanna Dunwoody,9.7750,,,9.7250
Eastern Michigan,2026,2,no meet title,Jan-17-2026,Eastern Michigan,Priya Karle,,,,9.7250
Eastern Michigan,2026,2,no meet title,Jan-17-2026,Eastern Michigan,Keeley Kohler,,9.2000,9.7000,
Eastern Michigan,2026,2,no meet title,Jan-17-2026,Eastern Michigan,Kendall Landry,9.7750,,,
Eastern Michigan,2026,2,no meet title,Jan-17-2026,Eastern Michigan,Kyrie Lowe,9.4500,9.8250,9.7500,9.8000
Eastern Michigan,2026,2,no meet title,Jan-17-2026,Eastern Michigan,Brianna Lucas,,,,8.9000
Eastern Michigan,2026,2,no meet title,Jan-17-2026,Eastern Michigan,Macy Nihart,,,9.6250,9.6500
Eastern Michigan,2026,2,no meet title,Jan-17-2026,Eastern Michigan,Jacquelyn Patterson,,8.8500,9.2250,
Eastern Michigan,2026,2,no meet title,Jan-17-2026,Eastern Michigan,Georgia Slack,9.7750,,,
Eastern Michigan,2026,2,no meet title,Jan-17-2026,Eastern Michigan,Analiah Solorio,,9.6500,9.7750,
Eastern Michigan,2026,3,no meet title,Jan-23-2026,Air Force,Abby Brushwood,9.7000,,,9.8750
Eastern Michigan,2026,3,no meet title,Jan-23-2026,Air Force,Gwendelyn Cantu,9.7250,9.6750,,
Eastern Michigan,2026,3,no meet title,Jan-23-2026,Air Force,Katin Childress,,,9.8750,
Eastern Michigan,2026,3,no meet title,Jan-23-2026,Air Force,Savanna Dunwoody,9.7000,,,9.5750
Eastern Michigan,2026,3,no meet title,Jan-23-2026,Air Force,Sanai Evans,,9.0500,,9.1500
Eastern Michigan,2026,3,no meet title,Jan-23-2026,Air Force,Priya Karle,,,,9.5750
Eastern Michigan,2026,3,no meet title,Jan-23-2026,Air Force,Keeley Kohler,,9.7250,9.8500,
Eastern Michigan,2026,3,no meet title,Jan-23-2026,Air Force,Kendall Landry,9.7250,,,
Eastern Michigan,2026,3,no meet title,Jan-23-2026,Air Force,Kyrie Lowe,9.6750,9.8000,9.6750,9.7750
Eastern Michigan,2026,3,no meet title,Jan-23-2026,Air Force,Macy Nihart,,,9.4500,9.6500
Eastern Michigan,2026,3,no meet title,Jan-23-2026,Air Force,Jacquelyn Patterson,,9.2000,9.6250,
Eastern Michigan,2026,3,no meet title,Jan-23-2026,Air Force,Georgia Slack,9.6750,,,
Eastern Michigan,2026,3,no meet title,Jan-23-2026,Air Force,Analiah Solorio,,9.5500,9.8000,
Eastern Michigan,2026,4,no meet title,Jan-29-2026,Eastern Michigan,Abby Brushwood,9.5750,,,9.8250
