team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Fisk,2026,1,no meet title,Jan-09-2026,S.E. Missouri,Allie Berkley,9.7250,,9.5500,9.5000
Fisk,2026,1,no meet title,Jan-09-2026,S.E. Missouri,Zyia Coleman,9.2500,8.8000,,9.5000
Fisk,2026,1,no meet title,Jan-09-2026,S.E. Missouri,Jordynn Cromartie,,,,8.3750
Fisk,2026,1,no meet title,Jan-09-2026,S.E. Missouri,Hadassah Diggs,,9.1750,9.3250,
Fisk,2026,1,no meet title,Jan-09-2026,S.E. Missouri,Kennedi Johnson,9.4250,8.8750,,
Fisk,2026,1,no meet title,Jan-09-2026,S.E. Missouri,Liberty Mora,,,9.6500,9.6500
Fisk,2026,1,no meet title,Jan-09-2026,S.E. Missouri,Sophia Pratt,,,9.2500,
Fisk,2026,1,no meet title,Jan-09-2026,S.E. Missouri,Aliyah Reed-Hammon,9.5000,,9.5250,9.6250
Fisk,2026,1,no meet title,Jan-09-2026,S.E. Missouri,Makia Rosado,9.7000,7.8500,,
Fisk,2026,1,no meet title,Jan-09-2026,S.E. Missouri,Ciniah Rosby,9.4500,9.2750,9.7000,9.7250
Fisk,2026,1,no meet title,Jan-09-2026,S.E. Missouri,Aiyana Thomas,,8.9250,,
Fisk,2026,2,no meet title,Jan-11-2026,Fisk,Allie Berkley,9.5500,,9.0500,8.5250
Fisk,2026,2,no meet title,Jan-11-2026,Fisk,Zyia Coleman,9.2250,8.0250,,9.0250
Fisk,2026,2,no meet title,Jan-11-2026,Fisk,Jordynn Cromartie,,,,9.0500
Fisk,2026,2,no meet title,Jan-11-2026,Fisk,Hadassah Diggs,,8.0750,9.2750,
Fisk,2026,2,no meet title,Jan-11-2026,Fisk,Kennedi Johnson,8.5500,9.0000,,
Fisk,2026,2,no meet title,Jan-11-2026,Fisk,Liberty Mora,,,9.3000,9.2250
Fisk,2026,2,no meet title,Jan-11-2026,Fisk,Sophia Pratt,,,9.3500,
Fisk,2026,2,no meet title,Jan-11-2026,Fisk,Aliyah Reed-Hammon,9.5000,,9.7250,9.4000
Fisk,2026,2,no meet title,Jan-11-2026,Fisk,Makia Rosado,9.4000,9.1750,,
Fisk,2026,2,no meet title,Jan-11-2026,Fisk,Ciniah Rosby,9.3500,9.0750,8.4500,9.6750
Fisk,2026,2,no meet title,Jan-11-2026,Fisk,Aiyana Thomas,,8.6000,,
Fisk,2026,3,Windy City,Jan-16-2026,,Zyia Coleman,9.3000,9.3750,9.4000,
Fisk,2026,3,Windy City,Jan-16-2026,,Jordynn Cromartie,,,,9.2750
Fisk,2026,3,Windy City,Jan-16-2026,,Hadassah Diggs,9.3500,8.5000,8.7500,
Fisk,2026,3,Windy City,Jan-16-2026,,Kennedi Johnson,9.2750,8.7000,,8.0000
Fisk,2026,3,Windy City,Jan-16-2026,,Liberty Mora,,,8.6500,9.5250
Fisk,2026,3,Windy City,Jan-16-2026,,Sophia Pratt,,,8.9250,
Fisk,2026,3,Windy City,Jan-16-2026,,Aliyah Reed-Hammon,9.5000,,9.7750,9.0250
Fisk,2026,3,Windy City,Jan-16-2026,,Makia Rosado,8.9000,8.2000,,9.3750
Fisk,2026,3,Windy City,Jan-16-2026,,Ciniah Rosby,9.4500,9.0750,9.7250,8.8250
Fisk,2026,3,Windy City,Jan-16-2026,,Aiyana Thomas,,8.4000,,
Fisk,2026,4,no meet title,Jan-18-2026,Kent State,Zyia Coleman,,9.4750,8.7500,9.2500
Fisk,2026,4,no meet title,Jan-18-2026,Kent State,Jordynn Cromartie,,,,9.6000
Fisk,2026,4,no meet title,Jan-18-2026,Kent State,Hadassah Diggs,9.5250,8.5250,9.5000,
Fisk,2026,4,no meet title,Jan-18-2026,Kent State,Kennedi Johnson,9.2750,9.1000,,
Fisk,2026,4,no meet title,Jan-18-2026,Kent State,Liberty Mora,,,9.6250,9.4500
Fisk,2026,4,no meet title,Jan-18-2026,Kent State,Sophia Pratt,,,9.3750,
Fisk,2026,4,no meet title,Jan-18-2026,Kent State,Aliyah Reed-Hammon,9.7000,,9.6750,9.5500
Fisk,2026,4,no meet title,Jan-18-2026,Kent State,Makia Rosado,9.5000,7.8500,,9.4000
Fisk,2026,4,no meet title,Jan-18-2026,Kent State,Ciniah Rosby,9.6750,9.7500,9.1250,9.6750
Fisk,2026,4,no meet title,Jan-18-2026,Kent State,Aiyana Thomas,,9.4750,,
Fisk,2026,5,no meet title,Jan-30-2026,Georgia,Allie Berkley,9.6500,,9.5250,
Fisk,2026,5,no meet title,Jan-30-2026,Georgia,Zyia Coleman,9.4250,9.5000,,9.7500
Fisk,2026,5,no meet title,Jan-30-2026,Georgia,Jordynn Cromartie,,,9.5250,9.4250
Fisk,2026,5,no meet title,Jan-30-2026,Georgia,Hadassah Diggs,9.3750,8.2500,9.3500,
