team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Florida,2026,1,no meet title,Jan-09-2026,Florida,Skye Blakely,,9.8750,9.8500,9.8750
Florida,2026,1,no meet title,Jan-09-2026,Florida,Jayla Booker,,,,9.9000
Florida,2026,1,no meet title,Jan-09-2026,Florida,Ly Bui,9.9250,,,
Florida,2026,1,no meet title,Jan-09-2026,Florida,Taylor Clark,,,,9.8500
Florida,2026,1,no meet title,Jan-09-2026,Florida,Kayla DiCello,9.8250,9.9000,9.9000,
Florida,2026,1,no meet title,Jan-09-2026,Florida,Amelia Disidore,9.8750,,,
Florida,2026,1,no meet title,Jan-09-2026,Florida,Danie Ferris,9.8500,,,9.8750
Florida,2026,1,no meet title,Jan-09-2026,Florida,eMjae Frazier,,9.8500,9.8500,9.9250
Florida,2026,1,no meet title,Jan-09-2026,Florida,Selena Harris-Miranda,9.9000,9.9500,9.9750,
Florida,2026,1,no meet title,Jan-09-2026,Florida,Riley McCusker,,9.9000,9.5750,
Florida,2026,1,no meet title,Jan-09-2026,Florida,Anya Pilgrim,9.8750,9.8500,9.8250,9.7250
Florida,2026,2,no meet title,Jan-16-2026,Florida,Alyssa Arana,,,9.8750,
Florida,2026,2,no meet title,Jan-16-2026,Florida,Skye Blakely,,9.9000,9.8250,9.7250
Florida,2026,2,no meet title,Jan-16-2026,Florida,Jayla Booker,,,,9.8750
Florida,2026,2,no meet title,Jan-16-2026,Florida,Ly Bui,9.7000,,,
Florida,2026,2,no meet title,Jan-16-2026,Florida,Taylor Clark,,,,9.9000
Florida,2026,2,no meet title,Jan-16-2026,Florida,Kayla DiCello,,9.8250,9.7750,
Florida,2026,2,no meet title,Jan-16-2026,Florida,Amelia Disidore,9.8250,,,9.9000
Florida,2026,2,no meet title,Jan-16-2026,Florida,Gabby Disidore,9.8250,,,
Florida,2026,2,no meet title,Jan-16-2026,Florida,Skylar Draser,9.8000,,9.9000,
Florida,2026,2,no meet title,Jan-16-2026,Florida,Danie Ferris,9.8000,,,8.9000
Florida,2026,2,no meet title,Jan-16-2026,Florida,eMjae Frazier,,9.9000,9.9250,9.8250
Florida,2026,2,no meet title,Jan-16-2026,Florida,Selena Harris-Miranda,9.9250,9.9000,9.9500,
Florida,2026,2,no meet title,Jan-16-2026,Florida,Riley McCusker,,9.9250,,
