team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
George Washington,2026,1,no meet title,Jan-09-2026,Maryland,Emma Garner,,,8.9000,
George Washington,2026,1,no meet title,Jan-09-2026,Maryland,Kylie Kazmierski,,,9.3250,8.8000
George Washington,2026,1,no meet title,Jan-09-2026,Maryland,Lola Montevago,9.8250,9.7750,9.7250,9.6750
George Washington,2026,1,no meet title,Jan-09-2026,Maryland,Alison Mun,9.8750,,,
George Washington,2026,1,no meet title,Jan-09-2026,Maryland,Catherine O'Rourke,,,,9.7750
George Washington,2026,1,no meet title,Jan-09-2026,Maryland,Maya Peters,,9.5000,9.3000,9.6000
George Washington,2026,1,no meet title,Jan-09-2026,Maryland,Zoe Safran,9.7250,9.5750,,
George Washington,2026,1,no meet title,Jan-09-2026,Maryland,Deana Sheremeta,9.6500,9.7000,9.8500,9.8250
George Washington,2026,1,no meet title,Jan-09-2026,Maryland,Aspen Tucker,9.7000,9.7250,9.0750,9.8000
George Washington,2026,1,no meet title,Jan-09-2026,Maryland,Alexia Zakaryan,9.7000,9.6500,,
George Washington,2026,2,no meet title,Jan-18-2026,George Washington,Brooke Izzo,,,9.7250,
George Washington,2026,2,no meet title,Jan-18-2026,George Washington,Kylie Kazmierski,,,9.5750,9.6250
George Washington,2026,2,no meet title,Jan-18-2026,George Washington,Lola Montevago,9.7500,8.8500,9.6750,9.5000
George Washington,2026,2,no meet title,Jan-18-2026,George Washington,Alison Mun,9.6750,,,
George Washington,2026,2,no meet title,Jan-18-2026,George Washington,Catherine O'Rourke,,,,9.6000
George Washington,2026,2,no meet title,Jan-18-2026,George Washington,Maya Peters,,8.7000,9.0000,9.8000
George Washington,2026,2,no meet title,Jan-18-2026,George Washington,Zoe Safran,9.7500,9.6500,,
George Washington,2026,2,no meet title,Jan-18-2026,George Washington,Deana Sheremeta,9.5250,9.6500,9.9000,9.7750
George Washington,2026,2,no meet title,Jan-18-2026,George Washington,Aspen Tucker,9.7000,8.5500,8.7000,9.6500
George Washington,2026,2,no meet title,Jan-18-2026,George Washington,Alexia Zakaryan,9.6250,9.7000,,
George Washington,2026,3,no meet title,Jan-23-2026,Temple,Brooke Izzo,,,9.5250,
George Washington,2026,3,no meet title,Jan-23-2026,Temple,Kylie Kazmierski,,,,9.7000
George Washington,2026,3,no meet title,Jan-23-2026,Temple,Nancy Kiner,,,9.6000,
George Washington,2026,3,no meet title,Jan-23-2026,Temple,Lola Montevago,9.7500,9.7250,9.6000,9.9000
George Washington,2026,3,no meet title,Jan-23-2026,Temple,Alison Mun,9.7500,,,
George Washington,2026,3,no meet title,Jan-23-2026,Temple,Catherine O'Rourke,,,,9.8750
George Washington,2026,3,no meet title,Jan-23-2026,Temple,Maya Peters,,9.8250,9.8500,9.8250
George Washington,2026,3,no meet title,Jan-23-2026,Temple,Zoe Safran,8.7500,9.6000,,
George Washington,2026,3,no meet title,Jan-23-2026,Temple,Deana Sheremeta,9.5250,9.7750,9.8750,9.9250
George Washington,2026,3,no meet title,Jan-23-2026,Temple,Aspen Tucker,9.2250,9.5500,9.6000,9.7750
George Washington,2026,3,no meet title,Jan-23-2026,Temple,Alexia Zakaryan,9.8000,9.4500,,
George Washington,2026,4,no meet title,Jan-31-2026,LIU,Brooke Izzo,,,9.6750,
George Washington,2026,4,no meet title,Jan-31-2026,LIU,Kylie Kazmierski,,,9.6500,9.6750
George Washington,2026,4,no meet title,Jan-31-2026,LIU,Nancy Kiner,,,9.3250,
George Washington,2026,4,no meet title,Jan-31-2026,LIU,Lola Montevago,9.6750,9.8000,9.7250,9.7250
George Washington,2026,4,no meet title,Jan-31-2026,LIU,Alison Mun,9.8000,,,
George Washington,2026,4,no meet title,Jan-31-2026,LIU,Catherine O'Rourke,,,,8.8500
George Washington,2026,4,no meet title,Jan-31-2026,LIU,Maya Peters,,9.6000,9.8000,9.8000
George Washington,2026,4,no meet title,Jan-31-2026,LIU,Zoe Safran,9.7250,8.5000,,
George Washington,2026,4,no meet title,Jan-31-2026,LIU,Deana Sheremeta,9.3750,9.0750,9.8250,9.8750
George Washington,2026,4,no meet title,Jan-31-2026,LIU,Aspen Tucker,9.5000,8.2750,,9.6250
George Washington,2026,4,no meet title,Jan-31-2026,LIU,Alexia Zakaryan,9.4250,8.5250,,
George Washington,2026,5,no meet title,Feb-06-2026,Pennsylvania,Brooke Izzo,,,9.7750,
George Washington,2026,5,no meet title,Feb-06-2026,Pennsylvania,Kylie Kazmierski,,,,9.7250
George Washington,2026,5,no meet title,Feb-06-2026,Pennsylvania,Nancy Kiner,,,9.7750,
George Washington,2026,5,no meet title,Feb-06-2026,Pennsylvania,Lola Montevago,9.8250,9.7000,9.8500,9.7500
George Washington,2026,5,no meet title,Feb-06-2026,Pennsylvania,Alison Mun,9.7500,,,
George Washington,2026,5,no meet title,Feb-06-2026,Pennsylvania,Catherine O'Rourke,,,,9.7250
George Washington,2026,5,no meet title,Feb-06-2026,Pennsylvania,Maya Peters,,9.6250,9.8000,9.7750
George Washington,2026,5,no meet title,Feb-06-2026,Pennsylvania,Zoe Safran,9.7000,9.3500,,
George Washington,2026,5,no meet title,Feb-06-2026,Pennsylvania,Deana Sheremeta,9.5000,9.7500,9.0000,9.9000
George Washington,2026,5,no meet title,Feb-06-2026,Pennsylvania,Aspen Tucker,9.4500,9.7000,9.6750,9.6500
George Washington,2026,5,no meet title,Feb-06-2026,Pennsylvania,Alexia Zakaryan,9.7000,9.6500,,
George Washington,2026,6,no meet title,Feb-15-2026,George Washington,Brooke Izzo,9.7000,,9.8500,
George Washington,2026,6,no meet title,Feb-15-2026,George Washington,Kylie Kazmierski,,,,9.7000
George Washington,2026,6,no meet title,Feb-15-2026,George Washington,Nancy Kiner,,,8.8750,
George Washington,2026,6,no meet title,Feb-15-2026,George Washington,Lola Montevago,9.6500,9.8750,9.8250,9.7250
George Washington,2026,6,no meet title,Feb-15-2026,George Washington,Alison Mun,9.7500,,,
George Washington,2026,6,no meet title,Feb-15-2026,George Washington,Catherine O'Rourke,,,,9.7250
George Washington,2026,6,no meet title,Feb-15-2026,George Washington,Maya Peters,,9.2000,8.8000,9.8250
George Washington,2026,6,no meet title,Feb-15-2026,George Washington,Zoe Safran,9.7750,9.6750,,
George Washington,2026,6,no meet title,Feb-15-2026,George Washington,Deana Sheremeta,9.8250,9.7750,9.7000,9.8750
George Washington,2026,6,no meet title,Feb-15-2026,George Washington,Aspen Tucker,,9.7250,8.9500,9.4250
George Washington,2026,6,no meet title,Feb-15-2026,George Washington,Sophia Tyeryar,,9.5250,,
George Washington,2026,6,no meet title,Feb-15-2026,George Washington,Alexia Zakaryan,9.7250,,,
George Washington,2026,7,no meet title,Feb-22-2026,George Washington,Brooke Izzo,,,9.8000,
George Washington,2026,7,no meet title,Feb-22-2026,George Washington,Kylie Kazmierski,,,8.7500,9.8250
George Washington,2026,7,no meet title,Feb-22-2026,George Washington,Nancy Kiner,,,9.4750,
George Washington,2026,7,no meet title,Feb-22-2026,George Washington,Lola Montevago,9.8000,9.8750,9.8250,9.5000
George Washington,2026,7,no meet title,Feb-22-2026,George Washington,Alison Mun,9.6250,,,
George Washington,2026,7,no meet title,Feb-22-2026,George Washington,Catherine O'Rourke,,,,9.8250
George Washington,2026,7,no meet title,Feb-22-2026,George Washington,Zoe Safran,9.7250,9.4750,,9.7500
George Washington,2026,7,no meet title,Feb-22-2026,George Washington,Deana Sheremeta,9.8000,9.8500,9.6750,9.9000
George Washington,2026,7,no meet title,Feb-22-2026,George Washington,Aspen Tucker,9.5500,9.6250,9.7500,9.8250
George Washington,2026,7,no meet title,Feb-22-2026,George Washington,Sophia Tyeryar,,9.7500,,
George Washington,2026,7,no meet title,Feb-22-2026,George Washington,Alexia Zakaryan,9.6500,9.1500,,
George Washington,2026,8,no meet title,Feb-27-2026,North Carolina State,Brooke Izzo,,,9.6500,
George Washington,2026,8,no meet title,Feb-27-2026,North Carolina State,Kylie Kazmierski,,,,9.7500
George Washington,2026,8,no meet title,Feb-27-2026,North Carolina State,Nancy Kiner,,,9.7000,
George Washington,2026,8,no meet title,Feb-27-2026,North Carolina State,Lola Montevago,9.7000,9.7500,9.6750,9.7750
George Washington,2026,8,no meet title,Feb-27-2026,North Carolina State,Alison Mun,9.8750,,,
George Washington,2026,8,no meet title,Feb-27-2026,North Carolina State,Catherine O'Rourke,,,,9.7000
George Washington,2026,8,no meet title,Feb-27-2026,North Carolina State,Maya Peters,,9.1750,9.7000,9.7750
George Washington,2026,8,no meet title,Feb-27-2026,North Carolina State,Zoe Safran,9.7250,9.6500,,
George Washington,2026,8,no meet title,Feb-27-2026,North Carolina State,Deana Sheremeta,9.7750,9.6500,9.7750,9.8000
George Washington,2026,8,no meet title,Feb-27-2026,North Carolina State,Aspen Tucker,9.6250,8.1750,9.6500,9.7500
George Washington,2026,8,no meet title,Feb-27-2026,North Carolina State,Alexia Zakaryan,9.8000,9.6750,,
George Washington,2026,9,no meet title,Mar-08-2026,New Hampshire,Brooke Izzo,,,9.8000,
George Washington,2026,9,no meet title,Mar-08-2026,New Hampshire,Kylie Kazmierski,,,,9.7250
George Washington,2026,9,no meet title,Mar-08-2026,New Hampshire,Nancy Kiner,,7.7500,9.5500,
George Washington,2026,9,no meet title,Mar-08-2026,New Hampshire,Lola Montevago,9.7750,9.8250,9.7250,9.7250
George Washington,2026,9,no meet title,Mar-08-2026,New Hampshire,Alison Mun,9.2500,,,
George Washington,2026,9,no meet title,Mar-08-2026,New Hampshire,Catherine O'Rourke,,,,9.7750
George Washington,2026,9,no meet title,Mar-08-2026,New Hampshire,Maya Peters,,8.3500,9.8250,9.7750
George Washington,2026,9,no meet title,Mar-08-2026,New Hampshire,Zoe Safran,9.6500,9.6250,,
George Washington,2026,9,no meet title,Mar-08-2026,New Hampshire,Deana Sheremeta,9.7250,9.8750,9.0500,9.8250
George Washington,2026,9,no meet title,Mar-08-2026,New Hampshire,Aspen Tucker,9.4750,,8.8250,9.6000
George Washington,2026,9,no meet title,Mar-08-2026,New Hampshire,Sophia Tyeryar,,8.4250,,
George Washington,2026,9,no meet title,Mar-08-2026,New Hampshire,Alexia Zakaryan,9.6250,,,
George Washington,2026,10,no meet title,Mar-13-2026,Towson,Alexa Chuy,,,,
George Washington,2026,10,no meet title,Mar-13-2026,Towson,Brooke Izzo,,,9.7000,
George Washington,2026,10,no meet title,Mar-13-2026,Towson,Kylie Kazmierski,,,9.6750,9.7000
George Washington,2026,10,no meet title,Mar-13-2026,Towson,Nancy Kiner,,,9.7250,
George Washington,2026,10,no meet title,Mar-13-2026,Towson,Lola Montevago,9.7500,9.7500,9.8000,9.7750
George Washington,2026,10,no meet title,Mar-13-2026,Towson,Alison Mun,9.6500,,,
George Washington,2026,10,no meet title,Mar-13-2026,Towson,Catherine O'Rourke,,,,9.8000
George Washington,2026,10,no meet title,Mar-13-2026,Towson,Maya Peters,,,9.6500,9.8250
George Washington,2026,10,no meet title,Mar-13-2026,Towson,Zoe Safran,9.7750,9.6250,,
George Washington,2026,10,no meet title,Mar-13-2026,Towson,Deana Sheremeta,9.7250,9.8000,9.3000,9.8750
George Washington,2026,10,no meet title,Mar-13-2026,Towson,Aspen Tucker,9.3750,9.7000,,8.9500
George Washington,2026,10,no meet title,Mar-13-2026,Towson,Sophia Tyeryar,,9.6750,,
George Washington,2026,10,no meet title,Mar-13-2026,Towson,Alexia Zakaryan,9.7250,9.5000,,
George Washington,2026,11,no meet title,Mar-15-2026,George Washington,Brooke Izzo,,,9.7000,
George Washington,2026,11,no meet title,Mar-15-2026,George Washington,Kylie Kazmierski,,,9.3250,9.7250
George Washington,2026,11,no meet title,Mar-15-2026,George Washington,Nancy Kiner,,,9.5000,
George Washington,2026,11,no meet title,Mar-15-2026,George Washington,Lola Montevago,9.6500,9.9000,9.2750,9.7750
George Washington,2026,11,no meet title,Mar-15-2026,George Washington,Alison Mun,9.7750,,,
George Washington,2026,11,no meet title,Mar-15-2026,George Washington,Catherine O'Rourke,,,,9.8000
George Washington,2026,11,no meet title,Mar-15-2026,George Washington,Maya Peters,,9.7500,9.2750,9.8000
George Washington,2026,11,no meet title,Mar-15-2026,George Washington,Zoe Safran,9.7500,9.7000,,
George Washington,2026,11,no meet title,Mar-15-2026,George Washington,Deana Sheremeta,9.8000,8.7750,9.6500,9.8500
George Washington,2026,11,no meet title,Mar-15-2026,George Washington,Aspen Tucker,9.6000,,,9.7250
George Washington,2026,11,no meet title,Mar-15-2026,George Washington,Sophia Tyeryar,,9.7500,,
George Washington,2026,11,no meet title,Mar-15-2026,George Washington,Alexia Zakaryan,9.8000,9.7750,,
George Washington,2026,12,EAGL Conference,Mar-21-2026,LIU,Brooke Izzo,9.6750,,8.3750,
George Washington,2026,12,EAGL Conference,Mar-21-2026,LIU,Kylie Kazmierski,,,9.3500,9.6750
George Washington,2026,12,EAGL Conference,Mar-21-2026,LIU,Nancy Kiner,,,9.6250,
George Washington,2026,12,EAGL Conference,Mar-21-2026,LIU,Lola Montevago,9.7500,9.9250,9.7500,9.8000
George Washington,2026,12,EAGL Conference,Mar-21-2026,LIU,Alison Mun,9.2750,,,
George Washington,2026,12,EAGL Conference,Mar-21-2026,LIU,Catherine O'Rourke,,,,9.0250
George Washington,2026,12,EAGL Conference,Mar-21-2026,LIU,Maya Peters,,9.7000,9.0000,9.8250
George Washington,2026,12,EAGL Conference,Mar-21-2026,LIU,Zoe Safran,9.7000,9.8000,,
George Washington,2026,12,EAGL Conference,Mar-21-2026,LIU,Deana Sheremeta,9.8000,9.8250,9.7000,9.8750
George Washington,2026,12,EAGL Conference,Mar-21-2026,LIU,Aspen Tucker,,,,9.7500
George Washington,2026,12,EAGL Conference,Mar-21-2026,LIU,Sophia Tyeryar,,9.7500,,
George Washington,2026,12,EAGL Conference,Mar-21-2026,LIU,Alexia Zakaryan,9.7500,9.8000,,
George Washington,2026,13,"Tempe Regional - Round 2, Session I",Apr-02-2026,,Lola Montevago,,9.8250,,
George Washington,2026,13,"Tempe Regional - Round 2, Session I",Apr-02-2026,,Deana Sheremeta,,,,9.9000
