team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Georgia,2026,1,no meet title,Jan-10-2026,Ohio State,Nyla Aquino,9.8500,,,9.9250
Georgia,2026,1,no meet title,Jan-10-2026,Ohio State,Csenge Bacskay,,9.7000,,
Georgia,2026,1,no meet title,Jan-10-2026,Ohio State,Jaydah Battle,9.4750,,,
Georgia,2026,1,no meet title,Jan-10-2026,Ohio State,Avery Moll,9.1500,,,
Georgia,2026,1,no meet title,Jan-10-2026,Ohio State,Brooke Pierson,9.7500,,,
Georgia,2026,1,no meet title,Jan-10-2026,Ohio State,Autumn Reingold,,9.8500,,
Georgia,2026,1,no meet title,Jan-10-2026,Ohio State,Ja' Free Scott,9.8500,9.8250,9.7500,
Georgia,2026,1,no meet title,Jan-10-2026,Ohio State,Lily Smith,,9.8750,9.9250,9.9500
Georgia,2026,1,no meet title,Jan-10-2026,Ohio State,Holly Snyder,,,9.9250,9.8500
Georgia,2026,1,no meet title,Jan-10-2026,Ohio State,Harley Tomlin,,,9.8750,9.8250
Georgia,2026,1,no meet title,Jan-10-2026,Ohio State,Anya Turner,,,9.8500,
Georgia,2026,1,no meet title,Jan-10-2026,Ohio State,Ady Wahl,9.9000,9.7750,,9.8500
Georgia,2026,1,no meet title,Jan-10-2026,Ohio State,CaMarah Williams,,,,9.9000
Georgia,2026,1,no meet title,Jan-10-2026,Ohio State,Kelise Woolford,,9.8750,9.9250,
Georgia,2026,2,no meet title,Jan-16-2026,Georgia,Nyla Aquino,9.9000,,,9.9250
Georgia,2026,2,no meet title,Jan-16-2026,Georgia,Jaydah Battle,9.7500,,,
Georgia,2026,2,no meet title,Jan-16-2026,Georgia,Avery Moll,9.9000,,,
Georgia,2026,2,no meet title,Jan-16-2026,Georgia,Autumn Reingold,,9.2000,,
Georgia,2026,2,no meet title,Jan-16-2026,Georgia,Ja' Free Scott,9.8250,9.9000,9.8750,
Georgia,2026,2,no meet title,Jan-16-2026,Georgia,Lily Smith,,9.9500,9.7250,9.9500
Georgia,2026,2,no meet title,Jan-16-2026,Georgia,Holly Snyder,,9.8750,9.9250,9.8500
Georgia,2026,2,no meet title,Jan-16-2026,Georgia,Harley Tomlin,,,9.8250,9.8250
Georgia,2026,2,no meet title,Jan-16-2026,Georgia,Anya Turner,,,9.0750,
Georgia,2026,2,no meet title,Jan-16-2026,Georgia,Ady Wahl,9.8500,9.7750,,9.8250
Georgia,2026,2,no meet title,Jan-16-2026,Georgia,CaMarah Williams,9.7750,,,9.9250
Georgia,2026,2,no meet title,Jan-16-2026,Georgia,Kelise Woolford,,9.7750,9.8500,
Georgia,2026,3,no meet title,Jan-23-2026,Oklahoma,Nyla Aquino,9.9000,,,9.9000
Georgia,2026,3,no meet title,Jan-23-2026,Oklahoma,Csenge Bacskay,,9.8000,,
Georgia,2026,3,no meet title,Jan-23-2026,Oklahoma,Jaydah Battle,9.9250,,,
Georgia,2026,3,no meet title,Jan-23-2026,Oklahoma,Avery Moll,9.8500,,,
Georgia,2026,3,no meet title,Jan-23-2026,Oklahoma,Autumn Reingold,,9.8250,,
Georgia,2026,3,no meet title,Jan-23-2026,Oklahoma,Ja' Free Scott,9.7500,9.9000,9.8000,
Georgia,2026,3,no meet title,Jan-23-2026,Oklahoma,Lily Smith,,9.8750,9.6250,9.9500
Georgia,2026,3,no meet title,Jan-23-2026,Oklahoma,Harley Tomlin,,,8.9000,9.8750
Georgia,2026,3,no meet title,Jan-23-2026,Oklahoma,Anya Turner,,,9.6000,
Georgia,2026,3,no meet title,Jan-23-2026,Oklahoma,Ady Wahl,9.8750,9.7750,9.7500,9.8500
Georgia,2026,3,no meet title,Jan-23-2026,Oklahoma,Eryn  Williams,,,,9.8750
Georgia,2026,3,no meet title,Jan-23-2026,Oklahoma,CaMarah Williams,9.8500,,,9.9500
Georgia,2026,3,no meet title,Jan-23-2026,Oklahoma,Kelise Woolford,,9.9000,9.8500,
Georgia,2026,4,no meet title,Jan-30-2026,Georgia,Nyla Aquino,9.8250,,,9.8500
Georgia,2026,4,no meet title,Jan-30-2026,Georgia,Csenge Bacskay,,9.8250,,
Georgia,2026,4,no meet title,Jan-30-2026,Georgia,Jaydah Battle,9.8250,,,
Georgia,2026,4,no meet title,Jan-30-2026,Georgia,Brooke Gleichowski,,,9.8500,
Georgia,2026,4,no meet title,Jan-30-2026,Georgia,Avery Moll,9.8250,,,
Georgia,2026,4,no meet title,Jan-30-2026,Georgia,Autumn Reingold,,9.9500,,
Georgia,2026,4,no meet title,Jan-30-2026,Georgia,Ja' Free Scott,9.8250,9.9000,9.8250,
Georgia,2026,4,no meet title,Jan-30-2026,Georgia,Lily Smith,,9.3500,9.9750,10.0000
Georgia,2026,4,no meet title,Jan-30-2026,Georgia,Harley Tomlin,,,9.9000,9.8750
Georgia,2026,4,no meet title,Jan-30-2026,Georgia,Ady Wahl,9.8000,9.8750,,9.8750
Georgia,2026,4,no meet title,Jan-30-2026,Georgia,Eryn  Williams,,,,9.8000
Georgia,2026,4,no meet title,Jan-30-2026,Georgia,CaMarah Williams,9.8750,,9.9000,9.9500
Georgia,2026,4,no meet title,Jan-30-2026,Georgia,Kelise Woolford,,9.8500,9.9250,
