team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Greenville,2026,1,no meet title,Jan-03-2026,UW-Oshkosh,Emma Brannon,,9.0500,,
Greenville,2026,1,no meet title,Jan-03-2026,UW-Oshkosh,Madison Carter,,9.5500,8.8250,
Greenville,2026,1,no meet title,Jan-03-2026,UW-Oshkosh,Reese Clapper,9.4250,,,9.1500
Greenville,2026,1,no meet title,Jan-03-2026,UW-Oshkosh,Chris Cutler,,,8.3250,
Greenville,2026,1,no meet title,Jan-03-2026,UW-Oshkosh,Isabella Feltman,8.7000,,9.3250,8.8000
Greenville,2026,1,no meet title,Jan-03-2026,UW-Oshkosh,Madison Ford,,9.1500,,
Greenville,2026,1,no meet title,Jan-03-2026,UW-Oshkosh,Ellery Gilmer,9.4500,,,9.5000
Greenville,2026,1,no meet title,Jan-03-2026,UW-Oshkosh,Aubrey Kenimer,,,8.8750,9.5500
Greenville,2026,1,no meet title,Jan-03-2026,UW-Oshkosh,Amara Nelson,9.6000,8.2750,9.6750,9.6750
Greenville,2026,1,no meet title,Jan-03-2026,UW-Oshkosh,Reagan Rodriguez,9.2250,8.3750,,
Greenville,2026,1,no meet title,Jan-03-2026,UW-Oshkosh,Izabella Yanis,,,9.2000,9.3500
Greenville,2026,1,no meet title,Jan-03-2026,UW-Oshkosh,Roya Zehtab,9.4750,,,
Greenville,2026,2,no meet title,Jan-11-2026,Fisk,Emma Brannon,,7.4000,,
Greenville,2026,2,no meet title,Jan-11-2026,Fisk,Madison Carter,,8.7000,9.0000,
Greenville,2026,2,no meet title,Jan-11-2026,Fisk,Reese Clapper,9.5250,,,9.4250
Greenville,2026,2,no meet title,Jan-11-2026,Fisk,Isabella Feltman,9.4500,,9.3000,9.4250
Greenville,2026,2,no meet title,Jan-11-2026,Fisk,Madison Ford,,8.9500,,
Greenville,2026,2,no meet title,Jan-11-2026,Fisk,Ellery Gilmer,9.4000,,,9.7250
Greenville,2026,2,no meet title,Jan-11-2026,Fisk,Aubrey Kenimer,,8.8500,9.5750,8.5000
Greenville,2026,2,no meet title,Jan-11-2026,Fisk,Laila Manley,,8.8250,,
Greenville,2026,2,no meet title,Jan-11-2026,Fisk,Amara Nelson,9.5500,9.2500,9.5750,9.6500
Greenville,2026,2,no meet title,Jan-11-2026,Fisk,Reagan Rodriguez,8.6500,,,
Greenville,2026,2,no meet title,Jan-11-2026,Fisk,Izabella Yanis,,,9.0750,8.7000
Greenville,2026,2,no meet title,Jan-11-2026,Fisk,Roya Zehtab,9.3000,,9.6500,
Greenville,2026,3,no meet title,Jan-16-2026,UW-La Crosse,Emma Brannon,,9.2750,,
Greenville,2026,3,no meet title,Jan-16-2026,UW-La Crosse,Madison Carter,,9.5250,,
Greenville,2026,3,no meet title,Jan-16-2026,UW-La Crosse,Reese Clapper,9.6250,,,9.2750
Greenville,2026,3,no meet title,Jan-16-2026,UW-La Crosse,Chris Cutler,,,8.3250,
Greenville,2026,3,no meet title,Jan-16-2026,UW-La Crosse,Isabella Feltman,9.4000,,9.2250,9.0000
Greenville,2026,3,no meet title,Jan-16-2026,UW-La Crosse,Madison Ford,,9.3750,,
Greenville,2026,3,no meet title,Jan-16-2026,UW-La Crosse,Ellery Gilmer,9.6500,,,9.7500
Greenville,2026,3,no meet title,Jan-16-2026,UW-La Crosse,Aubrey Kenimer,,9.4750,9.4750,8.9250
Greenville,2026,3,no meet title,Jan-16-2026,UW-La Crosse,Amara Nelson,9.6750,9.4750,9.3500,9.6250
Greenville,2026,3,no meet title,Jan-16-2026,UW-La Crosse,Reagan Rodriguez,9.4000,8.8750,,
Greenville,2026,3,no meet title,Jan-16-2026,UW-La Crosse,Olivia Tocco,,,9.3500,
Greenville,2026,3,no meet title,Jan-16-2026,UW-La Crosse,Izabella Yanis,,,,9.4250
Greenville,2026,3,no meet title,Jan-16-2026,UW-La Crosse,Roya Zehtab,8.3750,,9.3000,
