team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Gustavus Adolphus,2026,1,no meet title,Jan-09-2026,UW-Eau Claire,Makenna Aldrich,,8.8000,,9.5500
Gustavus Adolphus,2026,1,no meet title,Jan-09-2026,UW-Eau Claire,Cecilia Athie,8.2000,,,
Gustavus Adolphus,2026,1,no meet title,Jan-09-2026,UW-Eau Claire,Kate Clairmont,9.3250,,9.5750,
Gustavus Adolphus,2026,1,no meet title,Jan-09-2026,UW-Eau Claire,Megan Gille,,,9.4250,9.2000
Gustavus Adolphus,2026,1,no meet title,Jan-09-2026,UW-Eau Claire,Rocio Madalena Gora,,8.1500,,
Gustavus Adolphus,2026,1,no meet title,Jan-09-2026,UW-Eau Claire,Malia Narciso,9.1250,,8.0750,
Gustavus Adolphus,2026,1,no meet title,Jan-09-2026,UW-Eau Claire,Ella Nash,9.1500,,,9.3750
Gustavus Adolphus,2026,1,no meet title,Jan-09-2026,UW-Eau Claire,Zara Reboks,9.2750,7.5000,,9.3250
Gustavus Adolphus,2026,1,no meet title,Jan-09-2026,UW-Eau Claire,Mollie Ruch,,,9.4000,8.8250
Gustavus Adolphus,2026,1,no meet title,Jan-09-2026,UW-Eau Claire,Autumn Schmidt,,9.3250,9.2750,
Gustavus Adolphus,2026,1,no meet title,Jan-09-2026,UW-Eau Claire,Mariah Sikon,,7.9000,,
Gustavus Adolphus,2026,1,no meet title,Jan-09-2026,UW-Eau Claire,Cara Wong,9.3250,9.3500,9.6000,9.2500
Gustavus Adolphus,2026,2,no meet title,Jan-16-2026,Winona State,Makenna Aldrich,,8.8500,,9.4000
Gustavus Adolphus,2026,2,no meet title,Jan-16-2026,Winona State,Cecilia Athie,8.8000,,,
Gustavus Adolphus,2026,2,no meet title,Jan-16-2026,Winona State,Kate Clairmont,9.4500,7.8250,9.5000,
Gustavus Adolphus,2026,2,no meet title,Jan-16-2026,Winona State,Megan Gille,,,9.2000,9.3000
Gustavus Adolphus,2026,2,no meet title,Jan-16-2026,Winona State,Malia Narciso,9.2500,,,
Gustavus Adolphus,2026,2,no meet title,Jan-16-2026,Winona State,Ella Nash,9.2000,,,8.0500
Gustavus Adolphus,2026,2,no meet title,Jan-16-2026,Winona State,Zara Reboks,9.2000,9.0000,7.1750,9.5000
Gustavus Adolphus,2026,2,no meet title,Jan-16-2026,Winona State,Mollie Ruch,,,8.7750,8.8000
Gustavus Adolphus,2026,2,no meet title,Jan-16-2026,Winona State,Autumn Schmidt,,9.5000,8.5500,
Gustavus Adolphus,2026,2,no meet title,Jan-16-2026,Winona State,Mariah Sikon,,8.4750,,
Gustavus Adolphus,2026,2,no meet title,Jan-16-2026,Winona State,Cara Wong,9.4750,9.5500,8.5000,9.1750
Gustavus Adolphus,2026,3,no meet title,Jan-23-2026,Gustavus Adolphus,Makenna Aldrich,,7.9750,,9.5250
Gustavus Adolphus,2026,3,no meet title,Jan-23-2026,Gustavus Adolphus,Cecilia Athie,8.6500,,,
Gustavus Adolphus,2026,3,no meet title,Jan-23-2026,Gustavus Adolphus,Kate Clairmont,9.6500,8.5750,9.7000,
Gustavus Adolphus,2026,3,no meet title,Jan-23-2026,Gustavus Adolphus,Megan Gille,,,8.8250,9.5250
Gustavus Adolphus,2026,3,no meet title,Jan-23-2026,Gustavus Adolphus,Malia Narciso,9.3750,,,
Gustavus Adolphus,2026,3,no meet title,Jan-23-2026,Gustavus Adolphus,Ella Nash,9.2750,,,9.3500
Gustavus Adolphus,2026,3,no meet title,Jan-23-2026,Gustavus Adolphus,Zara Reboks,9.2750,9.0500,9.4750,9.3750
Gustavus Adolphus,2026,3,no meet title,Jan-23-2026,Gustavus Adolphus,Mollie Ruch,,,8.2250,9.2000
Gustavus Adolphus,2026,3,no meet title,Jan-23-2026,Gustavus Adolphus,Autumn Schmidt,,9.5000,8.5250,
Gustavus Adolphus,2026,3,no meet title,Jan-23-2026,Gustavus Adolphus,Mariah Sikon,,7.7000,,
Gustavus Adolphus,2026,3,no meet title,Jan-23-2026,Gustavus Adolphus,Cara Wong,9.6250,9.1500,8.1750,9.6000
Gustavus Adolphus,2026,4,no meet title,Jan-31-2026,UW-Whitewater,Makenna Aldrich,,8.9250,,9.0250
Gustavus Adolphus,2026,4,no meet title,Jan-31-2026,UW-Whitewater,Kate Clairmont,9.2000,9.1250,9.7000,
Gustavus Adolphus,2026,4,no meet title,Jan-31-2026,UW-Whitewater,Megan Gille,,,9.4250,8.8000
Gustavus Adolphus,2026,4,no meet title,Jan-31-2026,UW-Whitewater,Taylor Hall,9.3000,,,
Gustavus Adolphus,2026,4,no meet title,Jan-31-2026,UW-Whitewater,Jenna Huikko,,,,9.3750
Gustavus Adolphus,2026,4,no meet title,Jan-31-2026,UW-Whitewater,Malia Narciso,9.3500,,9.3500,
Gustavus Adolphus,2026,4,no meet title,Jan-31-2026,UW-Whitewater,Ella Nash,9.2000,,,8.6250
Gustavus Adolphus,2026,4,no meet title,Jan-31-2026,UW-Whitewater,Zara Reboks,9.2000,9.0500,9.0750,9.1000
Gustavus Adolphus,2026,4,no meet title,Jan-31-2026,UW-Whitewater,Mollie Ruch,,,8.9250,9.0000
Gustavus Adolphus,2026,4,no meet title,Jan-31-2026,UW-Whitewater,Autumn Schmidt,,9.2000,9.3250,
Gustavus Adolphus,2026,4,no meet title,Jan-31-2026,UW-Whitewater,Mariah Sikon,,8.7750,,
Gustavus Adolphus,2026,4,no meet title,Jan-31-2026,UW-Whitewater,Cara Wong,9.6500,8.4250,,
Gustavus Adolphus,2026,5,no meet title,Feb-06-2026,Hamline,Makenna Aldrich,,8.5250,,
Gustavus Adolphus,2026,5,no meet title,Feb-06-2026,Hamline,Cecilia Athie,8.7250,,,
Gustavus Adolphus,2026,5,no meet title,Feb-06-2026,Hamline,Lacey Belcher,,,8.4250,
Gustavus Adolphus,2026,5,no meet title,Feb-06-2026,Hamline,Kate Clairmont,9.6000,8.5000,9.5500,
Gustavus Adolphus,2026,5,no meet title,Feb-06-2026,Hamline,Megan Gille,,,9.4250,9.2750
Gustavus Adolphus,2026,5,no meet title,Feb-06-2026,Hamline,Taylor Hall,9.4750,,,
Gustavus Adolphus,2026,5,no meet title,Feb-06-2026,Hamline,Jenna Huikko,,,,8.6250
Gustavus Adolphus,2026,5,no meet title,Feb-06-2026,Hamline,Malia Narciso,9.4500,,,
Gustavus Adolphus,2026,5,no meet title,Feb-06-2026,Hamline,Ella Nash,,,,8.4500
Gustavus Adolphus,2026,5,no meet title,Feb-06-2026,Hamline,Zara Reboks,9.3000,8.4250,8.9750,9.5500
Gustavus Adolphus,2026,5,no meet title,Feb-06-2026,Hamline,Mollie Ruch,,,,9.0000
Gustavus Adolphus,2026,5,no meet title,Feb-06-2026,Hamline,Autumn Schmidt,,6.9000,8.9250,
Gustavus Adolphus,2026,5,no meet title,Feb-06-2026,Hamline,Mariah Sikon,,8.7750,,
Gustavus Adolphus,2026,5,no meet title,Feb-06-2026,Hamline,Cara Wong,9.4000,9.2000,9.1500,9.4500
Gustavus Adolphus,2026,6,no meet title,Feb-13-2026,Gustavus Adolphus,Makenna Aldrich,,,,8.8000
Gustavus Adolphus,2026,6,no meet title,Feb-13-2026,Gustavus Adolphus,Lacey Belcher,,,8.2500,
Gustavus Adolphus,2026,6,no meet title,Feb-13-2026,Gustavus Adolphus,Kate Clairmont,9.5000,9.1500,9.3000,
Gustavus Adolphus,2026,6,no meet title,Feb-13-2026,Gustavus Adolphus,Megan Gille,,,9.6000,9.4000
Gustavus Adolphus,2026,6,no meet title,Feb-13-2026,Gustavus Adolphus,Rocio Madalena Gora,,8.4500,,
Gustavus Adolphus,2026,6,no meet title,Feb-13-2026,Gustavus Adolphus,Taylor Hall,9.4500,,,
Gustavus Adolphus,2026,6,no meet title,Feb-13-2026,Gustavus Adolphus,Jenna Huikko,,,,8.9500
Gustavus Adolphus,2026,6,no meet title,Feb-13-2026,Gustavus Adolphus,Malia Narciso,9.4000,,8.5000,
Gustavus Adolphus,2026,6,no meet title,Feb-13-2026,Gustavus Adolphus,Ella Nash,8.8250,,,
Gustavus Adolphus,2026,6,no meet title,Feb-13-2026,Gustavus Adolphus,Zara Reboks,8.8500,8.7750,,9.4500
Gustavus Adolphus,2026,6,no meet title,Feb-13-2026,Gustavus Adolphus,Mollie Ruch,,,,9.3750
Gustavus Adolphus,2026,6,no meet title,Feb-13-2026,Gustavus Adolphus,Autumn Schmidt,,9.3500,9.4750,
Gustavus Adolphus,2026,6,no meet title,Feb-13-2026,Gustavus Adolphus,Mariah Sikon,,8.3250,,
Gustavus Adolphus,2026,6,no meet title,Feb-13-2026,Gustavus Adolphus,Cara Wong,9.6500,8.7500,8.3250,9.5250
Gustavus Adolphus,2026,7,no meet title,Feb-20-2026,UW-Stout,Makenna Aldrich,,,,9.2250
Gustavus Adolphus,2026,7,no meet title,Feb-20-2026,UW-Stout,Kate Clairmont,9.6500,8.3500,9.7750,
Gustavus Adolphus,2026,7,no meet title,Feb-20-2026,UW-Stout,Megan Gille,,,8.7250,9.4250
Gustavus Adolphus,2026,7,no meet title,Feb-20-2026,UW-Stout,Rocio Madalena Gora,,6.9500,,
Gustavus Adolphus,2026,7,no meet title,Feb-20-2026,UW-Stout,Taylor Hall,9.4500,,,
Gustavus Adolphus,2026,7,no meet title,Feb-20-2026,UW-Stout,Malia Narciso,9.3750,,,
Gustavus Adolphus,2026,7,no meet title,Feb-20-2026,UW-Stout,Ella Nash,9.2000,,,8.5750
Gustavus Adolphus,2026,7,no meet title,Feb-20-2026,UW-Stout,Zara Reboks,9.4500,7.9000,8.3750,9.4250
Gustavus Adolphus,2026,7,no meet title,Feb-20-2026,UW-Stout,Mollie Ruch,,,9.2000,9.2250
Gustavus Adolphus,2026,7,no meet title,Feb-20-2026,UW-Stout,Autumn Schmidt,,8.7500,9.4250,
Gustavus Adolphus,2026,7,no meet title,Feb-20-2026,UW-Stout,Mariah Sikon,,7.3500,,
Gustavus Adolphus,2026,7,no meet title,Feb-20-2026,UW-Stout,Cara Wong,9.4500,9.3250,9.2500,9.4500
