team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Hamline,2026,1,no meet title,Jan-11-2026,Hamline,Elena Bailey,,,,7.8500
Hamline,2026,1,no meet title,Jan-11-2026,Hamline,Carly Banta,,9.0750,9.5750,8.5250
Hamline,2026,1,no meet title,Jan-11-2026,Hamline,Katie Chai-Mulkerin,,8.1500,,
Hamline,2026,1,no meet title,Jan-11-2026,Hamline,Zoey Danzinger,,,,8.3500
Hamline,2026,1,no meet title,Jan-11-2026,Hamline,RyLe Foldhazi,,,,9.4750
Hamline,2026,1,no meet title,Jan-11-2026,Hamline,Clara Gilles,9.2000,8.5750,,
Hamline,2026,1,no meet title,Jan-11-2026,Hamline,Jozlynn Jansen,,,9.0250,
Hamline,2026,1,no meet title,Jan-11-2026,Hamline,Anna Johnson,9.0250,,,
Hamline,2026,1,no meet title,Jan-11-2026,Hamline,Kaitlyn Morgan,,,8.8000,
Hamline,2026,1,no meet title,Jan-11-2026,Hamline,Cailey Price,9.2250,,8.6250,
Hamline,2026,1,no meet title,Jan-11-2026,Hamline,Laurel Raymond,9.2250,,,
Hamline,2026,1,no meet title,Jan-11-2026,Hamline,Brooke Reardon,,,8.9000,
Hamline,2026,1,no meet title,Jan-11-2026,Hamline,Ashley Savell,9.1500,,,
Hamline,2026,1,no meet title,Jan-11-2026,Hamline,Annelise Smaby,,7.3250,,
Hamline,2026,1,no meet title,Jan-11-2026,Hamline,Sydney Stoenner,9.2500,,,8.3250
Hamline,2026,1,no meet title,Jan-11-2026,Hamline,Ava Walters,,7.2500,,
Hamline,2026,1,no meet title,Jan-11-2026,Hamline,Emma Witterstaetter,,8.0250,9.3500,
Hamline,2026,1,no meet title,Jan-11-2026,Hamline,Catelyn Zack,,,,8.9500
Hamline,2026,2,no meet title,Jan-15-2026,UW-Oshkosh,Elena Bailey,9.5250,,,
Hamline,2026,2,no meet title,Jan-15-2026,UW-Oshkosh,Carly Banta,,8.1250,9.5000,9.4000
Hamline,2026,2,no meet title,Jan-15-2026,UW-Oshkosh,RyLe Foldhazi,,,,9.5500
Hamline,2026,2,no meet title,Jan-15-2026,UW-Oshkosh,Clara Gilles,9.3000,8.7250,,8.2000
Hamline,2026,2,no meet title,Jan-15-2026,UW-Oshkosh,Lizzie Green,,,9.0500,9.2250
Hamline,2026,2,no meet title,Jan-15-2026,UW-Oshkosh,Jozlynn Jansen,,,9.2000,
Hamline,2026,2,no meet title,Jan-15-2026,UW-Oshkosh,Kaitlyn Morgan,,,8.9000,
Hamline,2026,2,no meet title,Jan-15-2026,UW-Oshkosh,Cailey Price,9.3500,,,
Hamline,2026,2,no meet title,Jan-15-2026,UW-Oshkosh,Laurel Raymond,9.1500,,,
Hamline,2026,2,no meet title,Jan-15-2026,UW-Oshkosh,Brooke Reardon,,,8.2250,
Hamline,2026,2,no meet title,Jan-15-2026,UW-Oshkosh,Ashley Savell,8.4500,6.9750,,
Hamline,2026,2,no meet title,Jan-15-2026,UW-Oshkosh,Annelise Smaby,,7.3250,,
Hamline,2026,2,no meet title,Jan-15-2026,UW-Oshkosh,Sydney Stoenner,8.7000,,,8.8500
Hamline,2026,2,no meet title,Jan-15-2026,UW-Oshkosh,Ava Walters,,6.7500,,
Hamline,2026,2,no meet title,Jan-15-2026,UW-Oshkosh,Emma Witterstaetter,,7.2000,8.4000,
Hamline,2026,2,no meet title,Jan-15-2026,UW-Oshkosh,Catelyn Zack,,,,9.0750
Hamline,2026,3,no meet title,Jan-23-2026,Hamline,Elena Bailey,9.1500,8.8500,,
Hamline,2026,3,no meet title,Jan-23-2026,Hamline,Carly Banta,,8.4750,8.9500,9.7000
Hamline,2026,3,no meet title,Jan-23-2026,Hamline,RyLe Foldhazi,,,8.8250,9.6750
Hamline,2026,3,no meet title,Jan-23-2026,Hamline,Clara Gilles,8.6500,9.0750,8.5750,8.3250
Hamline,2026,3,no meet title,Jan-23-2026,Hamline,Lizzie Green,,,9.2000,9.3250
Hamline,2026,3,no meet title,Jan-23-2026,Hamline,Jozlynn Jansen,,,8.8750,
Hamline,2026,3,no meet title,Jan-23-2026,Hamline,Kaitlyn Morgan,,,9.0500,
Hamline,2026,3,no meet title,Jan-23-2026,Hamline,Cailey Price,7.2500,,,
Hamline,2026,3,no meet title,Jan-23-2026,Hamline,Lily Ramsdell,,8.8250,,
Hamline,2026,3,no meet title,Jan-23-2026,Hamline,Laurel Raymond,9.1250,,,
Hamline,2026,3,no meet title,Jan-23-2026,Hamline,Ashley Savell,9.0500,8.7500,,
Hamline,2026,3,no meet title,Jan-23-2026,Hamline,Annelise Smaby,,7.8500,,
Hamline,2026,3,no meet title,Jan-23-2026,Hamline,Sydney Stoenner,9.1000,,,8.1500
Hamline,2026,3,no meet title,Jan-23-2026,Hamline,Catelyn Zack,,,,9.1250
Hamline,2026,4,no meet title,Jan-30-2026,UW-Stout,Elena Bailey,9.4250,,,9.0750
Hamline,2026,4,no meet title,Jan-30-2026,UW-Stout,Carly Banta,9.1750,8.9000,9.6750,9.4500
Hamline,2026,4,no meet title,Jan-30-2026,UW-Stout,Katie Chai-Mulkerin,,8.6500,,
Hamline,2026,4,no meet title,Jan-30-2026,UW-Stout,RyLe Foldhazi,,,,8.8750
