team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Illinois State,2026,1,no meet title,Jan-10-2026,Iowa,Madyson Baucom,9.7000,9.7750,,
Illinois State,2026,1,no meet title,Jan-10-2026,Iowa,Jada Beswick,,9.7750,,
Illinois State,2026,1,no meet title,Jan-10-2026,Iowa,Leah Davis,,,9.0500,
Illinois State,2026,1,no meet title,Jan-10-2026,Iowa,Mackenzie Flutman,,,,9.5500
Illinois State,2026,1,no meet title,Jan-10-2026,Iowa,Abbey Harris,,,,
Illinois State,2026,1,no meet title,Jan-10-2026,Iowa,Julia Heiner,,9.6500,,
Illinois State,2026,1,no meet title,Jan-10-2026,Iowa,Audrey Hiatt,,,,9.5250
Illinois State,2026,1,no meet title,Jan-10-2026,Iowa,Jaly Jones,,,9.7500,9.7500
Illinois State,2026,1,no meet title,Jan-10-2026,Iowa,Jercy Koliego,9.5500,9.2250,,
Illinois State,2026,1,no meet title,Jan-10-2026,Iowa,Ally Lau,,,8.8000,
Illinois State,2026,1,no meet title,Jan-10-2026,Iowa,Mia LeBlanc,9.5750,9.1000,,9.6750
Illinois State,2026,1,no meet title,Jan-10-2026,Iowa,Mia Oh,9.6250,,,
Illinois State,2026,1,no meet title,Jan-10-2026,Iowa,Savannah Ray,9.7000,9.6750,9.4750,
Illinois State,2026,1,no meet title,Jan-10-2026,Iowa,Sammie Wolff,9.8250,,9.4750,9.6000
Illinois State,2026,1,no meet title,Jan-10-2026,Iowa,Courtney Woods,,,9.4000,9.6500
Illinois State,2026,2,Windy City,Jan-16-2026,,Madyson Baucom,9.7250,8.8000,,
Illinois State,2026,2,Windy City,Jan-16-2026,,Jada Beswick,,9.8000,,
Illinois State,2026,2,Windy City,Jan-16-2026,,Leah Davis,9.6500,,9.8000,9.7250
Illinois State,2026,2,Windy City,Jan-16-2026,,Mackenzie Flutman,,,,9.5250
Illinois State,2026,2,Windy City,Jan-16-2026,,Abbey Harris,,,,9.7500
Illinois State,2026,2,Windy City,Jan-16-2026,,Julia Heiner,,7.5250,,
Illinois State,2026,2,Windy City,Jan-16-2026,,Jaly Jones,9.6750,,9.7500,9.7500
Illinois State,2026,2,Windy City,Jan-16-2026,,Jercy Koliego,,9.1000,,
Illinois State,2026,2,Windy City,Jan-16-2026,,Ally Lau,,,9.7500,
Illinois State,2026,2,Windy City,Jan-16-2026,,Mia LeBlanc,,9.4500,,
Illinois State,2026,2,Windy City,Jan-16-2026,,Mia Oh,9.5250,,,
Illinois State,2026,2,Windy City,Jan-16-2026,,Savannah Ray,9.1750,9.6750,9.7250,
Illinois State,2026,2,Windy City,Jan-16-2026,,Sammie Wolff,9.8000,,9.5750,9.4250
Illinois State,2026,2,Windy City,Jan-16-2026,,Courtney Woods,,,9.6250,9.7000
Illinois State,2026,3,no meet title,Jan-18-2026,Illinois State,Madyson Baucom,9.6250,9.4500,,
Illinois State,2026,3,no meet title,Jan-18-2026,Illinois State,Jada Beswick,,9.7500,,
Illinois State,2026,3,no meet title,Jan-18-2026,Illinois State,Leah Davis,9.7250,,9.6500,9.8250
Illinois State,2026,3,no meet title,Jan-18-2026,Illinois State,Abbey Harris,,,,9.7250
Illinois State,2026,3,no meet title,Jan-18-2026,Illinois State,Julia Heiner,,9.7000,,
Illinois State,2026,3,no meet title,Jan-18-2026,Illinois State,Jaly Jones,9.5500,,9.7250,9.8250
Illinois State,2026,3,no meet title,Jan-18-2026,Illinois State,Jercy Koliego,,9.5750,,
Illinois State,2026,3,no meet title,Jan-18-2026,Illinois State,Ally Lau,,,9.7000,
Illinois State,2026,3,no meet title,Jan-18-2026,Illinois State,Mia LeBlanc,,9.0500,,9.7500
Illinois State,2026,3,no meet title,Jan-18-2026,Illinois State,Mia Oh,9.6250,,,
Illinois State,2026,3,no meet title,Jan-18-2026,Illinois State,Savannah Ray,9.7500,9.6000,9.6750,
Illinois State,2026,3,no meet title,Jan-18-2026,Illinois State,Sammie Wolff,9.7250,,9.5750,9.7000
Illinois State,2026,3,no meet title,Jan-18-2026,Illinois State,Courtney Woods,,,9.5250,9.7250
Illinois State,2026,4,no meet title,Jan-24-2026,Central Michigan,Madyson Baucom,,8.8000,,
