team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Illinois,2026,1,no meet title,Jan-10-2026,Iowa,Ava Banks,,,,
Illinois,2026,1,no meet title,Jan-10-2026,Iowa,Kennedy Brown,9.6500,9.7000,,9.6000
Illinois,2026,1,no meet title,Jan-10-2026,Iowa,Alea Byrne,9.6750,,,
Illinois,2026,1,no meet title,Jan-10-2026,Iowa,Chloe Cho,9.8250,9.9500,9.9000,9.8500
Illinois,2026,1,no meet title,Jan-10-2026,Iowa,Summer Clancy,9.7250,,9.8000,
Illinois,2026,1,no meet title,Jan-10-2026,Iowa,Olivia Coppola,9.7250,,9.7750,
Illinois,2026,1,no meet title,Jan-10-2026,Iowa,Destiny Denning,,9.8250,,
Illinois,2026,1,no meet title,Jan-10-2026,Iowa,Skylar Ray Dixon,,9.6500,,9.6000
Illinois,2026,1,no meet title,Jan-10-2026,Iowa,Rachel Goldstein,,9.2500,9.0250,
Illinois,2026,1,no meet title,Jan-10-2026,Iowa,Tali Joelson,,,,9.7000
Illinois,2026,1,no meet title,Jan-10-2026,Iowa,Callie Kauffman,9.7000,,9.6000,9.7000
Illinois,2026,1,no meet title,Jan-10-2026,Iowa,Lyden Saltness,,9.9250,9.7250,
Illinois,2026,1,no meet title,Jan-10-2026,Iowa,Hayden Seymour,,,,9.4500
Illinois,2026,2,no meet title,Jan-16-2026,Illinois,Ava Banks,,,,9.6500
Illinois,2026,2,no meet title,Jan-16-2026,Illinois,Kennedy Brown,,9.7000,,9.6500
Illinois,2026,2,no meet title,Jan-16-2026,Illinois,Alea Byrne,9.7000,,,
Illinois,2026,2,no meet title,Jan-16-2026,Illinois,Chloe Cho,9.8000,9.9500,9.6750,9.8250
Illinois,2026,2,no meet title,Jan-16-2026,Illinois,Summer Clancy,8.7500,9.6500,,
Illinois,2026,2,no meet title,Jan-16-2026,Illinois,Olivia Coppola,9.7500,,9.6750,
Illinois,2026,2,no meet title,Jan-16-2026,Illinois,Destiny Denning,,9.7250,,
Illinois,2026,2,no meet title,Jan-16-2026,Illinois,Skylar Ray Dixon,,9.5500,,9.6500
Illinois,2026,2,no meet title,Jan-16-2026,Illinois,Rachel Goldstein,9.6000,,9.5500,
Illinois,2026,2,no meet title,Jan-16-2026,Illinois,Tali Joelson,,,9.0750,9.4750
Illinois,2026,2,no meet title,Jan-16-2026,Illinois,Callie Kauffman,9.7750,,9.7250,9.4000
Illinois,2026,2,no meet title,Jan-16-2026,Illinois,Lyden Saltness,,9.9000,9.6750,
Illinois,2026,3,no meet title,Jan-24-2026,Ohio State,Ava Banks,,,,9.8000
Illinois,2026,3,no meet title,Jan-24-2026,Ohio State,Kennedy Brown,,9.6000,,9.7750
Illinois,2026,3,no meet title,Jan-24-2026,Ohio State,Alea Byrne,9.7250,,9.2000,
