team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Iowa,2026,1,no meet title,Jan-02-2026,Utah,Maggie Ball,,,9.6250,
Iowa,2026,1,no meet title,Jan-02-2026,Utah,Daisy Bowles,,9.7250,,
Iowa,2026,1,no meet title,Jan-02-2026,Utah,Hanna Castillo,9.7250,,,9.6500
Iowa,2026,1,no meet title,Jan-02-2026,Utah,Avery Chambers,9.6500,,,
Iowa,2026,1,no meet title,Jan-02-2026,Utah,Stella DePoala,,,,9.7250
Iowa,2026,1,no meet title,Jan-02-2026,Utah,Emily Erb,,,,9.8000
Iowa,2026,1,no meet title,Jan-02-2026,Utah,JerQuavia Henderson,9.8500,9.7000,9.7000,9.8750
Iowa,2026,1,no meet title,Jan-02-2026,Utah,Gianna Masella,,9.8000,,
Iowa,2026,1,no meet title,Jan-02-2026,Utah,Marissa Rojas,,,9.6000,
Iowa,2026,1,no meet title,Jan-02-2026,Utah,Sophie Schriever,9.8000,9.7500,9.3500,
Iowa,2026,1,no meet title,Jan-02-2026,Utah,Aurelie Tran,9.7750,9.8500,9.8000,9.7000
Iowa,2026,1,no meet title,Jan-02-2026,Utah,Sydney Turner,9.8000,9.8000,9.4000,9.7250
Iowa,2026,2,no meet title,Jan-10-2026,Iowa,Maggie Ball,,,9.7000,
Iowa,2026,2,no meet title,Jan-10-2026,Iowa,Daisy Bowles,,9.9000,,
Iowa,2026,2,no meet title,Jan-10-2026,Iowa,Hanna Castillo,9.7750,,,9.7000
Iowa,2026,2,no meet title,Jan-10-2026,Iowa,Avery Chambers,9.7500,,,
Iowa,2026,2,no meet title,Jan-10-2026,Iowa,Emily Erb,,,,9.7750
Iowa,2026,2,no meet title,Jan-10-2026,Iowa,JerQuavia Henderson,9.8000,9.8250,9.7750,9.7500
Iowa,2026,2,no meet title,Jan-10-2026,Iowa,Alyse Karenbauer,,,,
Iowa,2026,2,no meet title,Jan-10-2026,Iowa,Gianna Masella,,9.7750,,
Iowa,2026,2,no meet title,Jan-10-2026,Iowa,Sophie Schriever,9.7750,9.8500,,9.7000
Iowa,2026,2,no meet title,Jan-10-2026,Iowa,Aurelie Tran,9.8500,9.9000,9.8250,9.8750
Iowa,2026,2,no meet title,Jan-10-2026,Iowa,Sydney Turner,9.8000,9.8000,9.7000,9.9250
Iowa,2026,2,no meet title,Jan-10-2026,Iowa,Haley Tyson,,,9.5750,
Iowa,2026,2,no meet title,Jan-10-2026,Iowa,Eva Volpe,,,9.7000,
Iowa,2026,3,no meet title,Jan-17-2026,Iowa,Maggie Ball,,,9.7750,
