team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Ithaca College,2026,1,no meet title,Jan-10-2026,Brockport,Taylor Arias,,,,9.4500
Ithaca College,2026,1,no meet title,Jan-10-2026,Brockport,Lauren Babineaux,8.8250,9.7000,,
Ithaca College,2026,1,no meet title,Jan-10-2026,Brockport,Sienna Blake,,9.4000,9.1500,
Ithaca College,2026,1,no meet title,Jan-10-2026,Brockport,Leanne Desjardins,,,9.7500,
Ithaca College,2026,1,no meet title,Jan-10-2026,Brockport,Madelynn Farragher,9.1500,,,8.7250
Ithaca College,2026,1,no meet title,Jan-10-2026,Brockport,Corey Foster,,,8.8750,
Ithaca College,2026,1,no meet title,Jan-10-2026,Brockport,Jillian Freyman,,,9.3500,9.5750
Ithaca College,2026,1,no meet title,Jan-10-2026,Brockport,Mya John,9.5250,9.6750,8.9250,
Ithaca College,2026,1,no meet title,Jan-10-2026,Brockport,Lucy Kaupp,,8.9500,,9.4000
Ithaca College,2026,1,no meet title,Jan-10-2026,Brockport,Emily Kobusky,,,8.8500,
Ithaca College,2026,1,no meet title,Jan-10-2026,Brockport,Olivia Lane,,8.1750,,
Ithaca College,2026,1,no meet title,Jan-10-2026,Brockport,Grace Murray,9.8000,,,9.8000
Ithaca College,2026,1,no meet title,Jan-10-2026,Brockport,Natalie Steed,9.6000,,,
Ithaca College,2026,1,no meet title,Jan-10-2026,Brockport,Sh'Nai Thompson,9.4250,8.9500,,9.1500
Ithaca College,2026,2,no meet title,Jan-18-2026,Ithaca College,Taylor Arias,,,,9.7750
Ithaca College,2026,2,no meet title,Jan-18-2026,Ithaca College,Lauren Babineaux,9.5250,8.6500,,
Ithaca College,2026,2,no meet title,Jan-18-2026,Ithaca College,Sienna Blake,,9.2750,,
Ithaca College,2026,2,no meet title,Jan-18-2026,Ithaca College,Leanne Desjardins,,,9.6000,
Ithaca College,2026,2,no meet title,Jan-18-2026,Ithaca College,Madelynn Farragher,9.3250,,,9.6250
Ithaca College,2026,2,no meet title,Jan-18-2026,Ithaca College,Corey Foster,,,9.6500,
Ithaca College,2026,2,no meet title,Jan-18-2026,Ithaca College,Jillian Freyman,,,9.6250,9.7000
Ithaca College,2026,2,no meet title,Jan-18-2026,Ithaca College,Emili Horike,,,9.5500,
Ithaca College,2026,2,no meet title,Jan-18-2026,Ithaca College,Mya John,9.4000,9.6000,9.7000,
Ithaca College,2026,2,no meet title,Jan-18-2026,Ithaca College,Lucy Kaupp,,9.0750,,9.6250
Ithaca College,2026,2,no meet title,Jan-18-2026,Ithaca College,Emily Kobusky,,,9.2000,
Ithaca College,2026,2,no meet title,Jan-18-2026,Ithaca College,Olivia Lane,,8.1000,,
Ithaca College,2026,2,no meet title,Jan-18-2026,Ithaca College,Grace Murray,9.7000,,,9.8500
Ithaca College,2026,2,no meet title,Jan-18-2026,Ithaca College,Natalie Steed,9.4750,,,
Ithaca College,2026,2,no meet title,Jan-18-2026,Ithaca College,Sh'Nai Thompson,9.3000,9.1000,,9.7500
Ithaca College,2026,3,no meet title,Feb-01-2026,Ithaca College,Taylor Arias,,,,9.5250
Ithaca College,2026,3,no meet title,Feb-01-2026,Ithaca College,Lauren Babineaux,9.5250,9.6750,,
Ithaca College,2026,3,no meet title,Feb-01-2026,Ithaca College,Sienna Blake,,9.3000,,
Ithaca College,2026,3,no meet title,Feb-01-2026,Ithaca College,Leanne Desjardins,,,8.4000,
