team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Kent State,2026,1,no meet title,Jan-11-2026,Kent State,Sophia Balko,9.5000,9.7000,,
Kent State,2026,1,no meet title,Jan-11-2026,Kent State,Charlie Behner,9.8500,9.7750,,9.8500
Kent State,2026,1,no meet title,Jan-11-2026,Kent State,Jersey Bingman,9.8750,,,9.7500
Kent State,2026,1,no meet title,Jan-11-2026,Kent State,Avery Compson,9.7250,,,
Kent State,2026,1,no meet title,Jan-11-2026,Kent State,Dani Fuertez,,9.7250,9.6500,
Kent State,2026,1,no meet title,Jan-11-2026,Kent State,Isabella Marques,,9.8000,,
Kent State,2026,1,no meet title,Jan-11-2026,Kent State,Lana Mast,,,,9.6500
Kent State,2026,1,no meet title,Jan-11-2026,Kent State,Mya Migliore,,9.8000,9.7750,
Kent State,2026,1,no meet title,Jan-11-2026,Kent State,Ashley Morgan,9.8000,,9.4750,9.7500
Kent State,2026,1,no meet title,Jan-11-2026,Kent State,Zoe Rankin,9.7000,,9.7250,9.8750
Kent State,2026,1,no meet title,Jan-11-2026,Kent State,Gabby Riley,,,9.6000,
Kent State,2026,1,no meet title,Jan-11-2026,Kent State,Nastia Rudnitskaya,,9.7750,,9.7500
Kent State,2026,1,no meet title,Jan-11-2026,Kent State,Heidi Schultz,,,9.8000,
Kent State,2026,2,no meet title,Jan-18-2026,Kent State,Taylor Archambeau,9.8500,,,
Kent State,2026,2,no meet title,Jan-18-2026,Kent State,Charlie Behner,9.9000,9.0750,,9.8750
Kent State,2026,2,no meet title,Jan-18-2026,Kent State,Jersey Bingman,9.8250,,,9.7500
Kent State,2026,2,no meet title,Jan-18-2026,Kent State,Avery Compson,9.7250,,,
Kent State,2026,2,no meet title,Jan-18-2026,Kent State,Dani Fuertez,,9.7000,8.9500,9.5750
Kent State,2026,2,no meet title,Jan-18-2026,Kent State,Isabella Marques,,9.4500,,
Kent State,2026,2,no meet title,Jan-18-2026,Kent State,Mya Migliore,,9.7000,9.7500,
Kent State,2026,2,no meet title,Jan-18-2026,Kent State,Ashley Morgan,9.7000,,9.8000,9.8000
Kent State,2026,2,no meet title,Jan-18-2026,Kent State,Zoe Rankin,9.7000,,9.6500,9.8500
Kent State,2026,2,no meet title,Jan-18-2026,Kent State,Gabby Riley,,,9.5500,
Kent State,2026,2,no meet title,Jan-18-2026,Kent State,Nastia Rudnitskaya,,9.8000,,9.7500
Kent State,2026,2,no meet title,Jan-18-2026,Kent State,Heidi Schultz,,9.6500,9.8500,
Kent State,2026,3,no meet title,Jan-23-2026,Air Force,Taylor Archambeau,9.7250,,,
Kent State,2026,3,no meet title,Jan-23-2026,Air Force,Sophia Balko,,9.5750,,
Kent State,2026,3,no meet title,Jan-23-2026,Air Force,Charlie Behner,9.8000,9.7500,,9.7500
Kent State,2026,3,no meet title,Jan-23-2026,Air Force,Jersey Bingman,9.7000,,,9.7500
Kent State,2026,3,no meet title,Jan-23-2026,Air Force,Avery Compson,9.5750,,,
Kent State,2026,3,no meet title,Jan-23-2026,Air Force,Dani Fuertez,,9.7250,8.8500,9.6250
Kent State,2026,3,no meet title,Jan-23-2026,Air Force,Mya Migliore,,9.0000,9.6500,
Kent State,2026,3,no meet title,Jan-23-2026,Air Force,Ashley Morgan,9.5750,,9.6250,9.7250
Kent State,2026,3,no meet title,Jan-23-2026,Air Force,Zoe Rankin,9.6250,,9.2500,9.6500
Kent State,2026,3,no meet title,Jan-23-2026,Air Force,Gabby Riley,,,9.6500,
Kent State,2026,3,no meet title,Jan-23-2026,Air Force,Nastia Rudnitskaya,,9.4750,,9.5250
Kent State,2026,3,no meet title,Jan-23-2026,Air Force,Heidi Schultz,,9.7500,9.7750,
Kent State,2026,4,no meet title,Jan-30-2026,West Virginia,Taylor Archambeau,9.1750,,,
Kent State,2026,4,no meet title,Jan-30-2026,West Virginia,Sophia Balko,,9.8250,,
Kent State,2026,4,no meet title,Jan-30-2026,West Virginia,Charlie Behner,9.8000,9.9000,,9.8000
Kent State,2026,4,no meet title,Jan-30-2026,West Virginia,Jersey Bingman,9.8250,,,9.7250
Kent State,2026,4,no meet title,Jan-30-2026,West Virginia,Allie Call,9.7000,,,
Kent State,2026,4,no meet title,Jan-30-2026,West Virginia,Avery Compson,9.6750,,,
Kent State,2026,4,no meet title,Jan-30-2026,West Virginia,Dani Fuertez,,8.9500,9.8000,9.8000
Kent State,2026,4,no meet title,Jan-30-2026,West Virginia,Lana Mast,,,9.1250,9.7500
Kent State,2026,4,no meet title,Jan-30-2026,West Virginia,Mya Migliore,,9.4000,9.7000,
Kent State,2026,4,no meet title,Jan-30-2026,West Virginia,Zoe Rankin,9.7250,,9.6750,9.7500
Kent State,2026,4,no meet title,Jan-30-2026,West Virginia,Gabby Riley,,,9.7250,
Kent State,2026,4,no meet title,Jan-30-2026,West Virginia,Nastia Rudnitskaya,,9.8500,,9.6500
Kent State,2026,4,no meet title,Jan-30-2026,West Virginia,Heidi Schultz,,9.8000,9.8750,
Kent State,2026,5,no meet title,Feb-08-2026,Ball State,Taylor Archambeau,9.7000,9.4250,,
Kent State,2026,5,no meet title,Feb-08-2026,Ball State,Sophia Balko,9.7250,9.7500,,
Kent State,2026,5,no meet title,Feb-08-2026,Ball State,Charlie Behner,9.8500,9.8750,,9.8750
Kent State,2026,5,no meet title,Feb-08-2026,Ball State,Jersey Bingman,9.7000,,,9.5500
Kent State,2026,5,no meet title,Feb-08-2026,Ball State,Avery Compson,9.7000,,,
Kent State,2026,5,no meet title,Feb-08-2026,Ball State,Dani Fuertez,,,9.7000,9.7750
Kent State,2026,5,no meet title,Feb-08-2026,Ball State,Lana Mast,,9.6750,,
Kent State,2026,5,no meet title,Feb-08-2026,Ball State,Mya Migliore,9.6500,,9.7000,
Kent State,2026,5,no meet title,Feb-08-2026,Ball State,Anika Most,,,9.5250,
Kent State,2026,5,no meet title,Feb-08-2026,Ball State,Zoe Rankin,,,9.5500,9.7250
Kent State,2026,5,no meet title,Feb-08-2026,Ball State,Gabby Riley,,,9.5500,
Kent State,2026,5,no meet title,Feb-08-2026,Ball State,Nastia Rudnitskaya,,9.6750,,9.7250
Kent State,2026,5,no meet title,Feb-08-2026,Ball State,Heidi Schultz,,9.8000,9.7250,9.8750
Kent State,2026,6,no meet title,Feb-13-2026,Central Michigan,Nene Alvine,,,9.6500,
Kent State,2026,6,no meet title,Feb-13-2026,Central Michigan,Taylor Archambeau,9.8750,9.8250,,
Kent State,2026,6,no meet title,Feb-13-2026,Central Michigan,Sophia Balko,9.7750,9.8000,,
