team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Kentucky,2026,1,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Chesney Bennett,,9.6500,9.7250,9.6750
Kentucky,2026,1,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Anna Flynn Cashion,9.8750,,,
Kentucky,2026,1,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Callie Gardner,9.6000,,,9.6750
Kentucky,2026,1,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Cadence Gormley,,,9.4500,
Kentucky,2026,1,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Addisyn Hofseth,9.7500,,,
Kentucky,2026,1,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Sharon Lee,,,8.5500,
Kentucky,2026,1,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Ryan Noonan,9.8500,9.8000,,
Kentucky,2026,1,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Isabella Rivelli,,9.8500,,9.6250
Kentucky,2026,1,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Cecily Rizo,9.8250,9.0000,9.8000,9.6500
Kentucky,2026,1,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Delaynee Rodriguez,9.8000,9.9000,9.8750,9.8250
Kentucky,2026,1,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Gabby Van Frayen,,9.3500,9.8500,9.7500
Kentucky,2026,2,no meet title,Jan-16-2026,Kentucky,Chesney Bennett,,9.8250,9.2500,9.8000
Kentucky,2026,2,no meet title,Jan-16-2026,Kentucky,Anna Flynn Cashion,9.9500,,,
Kentucky,2026,2,no meet title,Jan-16-2026,Kentucky,Callie Gardner,9.7750,,,9.7750
Kentucky,2026,2,no meet title,Jan-16-2026,Kentucky,Cadence Gormley,,,8.9000,
Kentucky,2026,2,no meet title,Jan-16-2026,Kentucky,Addisyn Hofseth,9.7750,,,
Kentucky,2026,2,no meet title,Jan-16-2026,Kentucky,Sharon Lee,,,9.7500,
Kentucky,2026,2,no meet title,Jan-16-2026,Kentucky,Ryan Noonan,9.8250,9.7750,,
Kentucky,2026,2,no meet title,Jan-16-2026,Kentucky,Isabella Rivelli,,9.1500,,9.6000
Kentucky,2026,2,no meet title,Jan-16-2026,Kentucky,Cecily Rizo,9.8500,9.8250,9.2500,9.7750
Kentucky,2026,2,no meet title,Jan-16-2026,Kentucky,Delaynee Rodriguez,9.8500,9.8250,9.8500,9.8750
Kentucky,2026,2,no meet title,Jan-16-2026,Kentucky,Gabby Van Frayen,,9.7500,8.9000,9.8500
Kentucky,2026,3,no meet title,Jan-23-2026,LSU,Chesney Bennett,,9.7750,9.8250,9.8250
Kentucky,2026,3,no meet title,Jan-23-2026,LSU,Creslyn Brose,,,9.8250,9.9000
Kentucky,2026,3,no meet title,Jan-23-2026,LSU,Anna Flynn Cashion,9.8750,,,
Kentucky,2026,3,no meet title,Jan-23-2026,LSU,Callie Gardner,9.8250,,,9.7250
Kentucky,2026,3,no meet title,Jan-23-2026,LSU,Addisyn Hofseth,9.6500,,,
Kentucky,2026,3,no meet title,Jan-23-2026,LSU,Sharon Lee,,,9.0750,
Kentucky,2026,3,no meet title,Jan-23-2026,LSU,Ryan Noonan,9.8750,9.8750,,
Kentucky,2026,3,no meet title,Jan-23-2026,LSU,Isabella Rivelli,,9.2750,,
Kentucky,2026,3,no meet title,Jan-23-2026,LSU,Cecily Rizo,9.8250,9.7250,9.1250,9.7250
Kentucky,2026,3,no meet title,Jan-23-2026,LSU,Delaynee Rodriguez,9.7750,9.8750,9.9250,9.8500
Kentucky,2026,3,no meet title,Jan-23-2026,LSU,Gabby Van Frayen,,9.7250,9.8500,9.7750
Kentucky,2026,4,no meet title,Jan-30-2026,Kentucky,Chesney Bennett,,9.8000,9.8250,9.8750
Kentucky,2026,4,no meet title,Jan-30-2026,Kentucky,Creslyn Brose,,,9.8750,9.9500
Kentucky,2026,4,no meet title,Jan-30-2026,Kentucky,Anna Flynn Cashion,9.7500,,,
Kentucky,2026,4,no meet title,Jan-30-2026,Kentucky,Callie Gardner,9.7750,,,9.8500
Kentucky,2026,4,no meet title,Jan-30-2026,Kentucky,Addisyn Hofseth,9.7750,,,
Kentucky,2026,4,no meet title,Jan-30-2026,Kentucky,Sharon Lee,,,9.5250,
Kentucky,2026,4,no meet title,Jan-30-2026,Kentucky,Ryan Noonan,9.8250,9.8500,,
Kentucky,2026,4,no meet title,Jan-30-2026,Kentucky,Isabella Rivelli,,9.7750,,
Kentucky,2026,4,no meet title,Jan-30-2026,Kentucky,Cecily Rizo,9.8000,9.7500,9.7500,9.7750
Kentucky,2026,4,no meet title,Jan-30-2026,Kentucky,Delaynee Rodriguez,9.9250,9.8500,9.9000,9.8750
Kentucky,2026,4,no meet title,Jan-30-2026,Kentucky,Gabby Van Frayen,,9.7500,9.6500,9.8000
Kentucky,2026,5,no meet title,Feb-06-2026,Auburn,Chesney Bennett,,9.8500,9.7000,9.8500
Kentucky,2026,5,no meet title,Feb-06-2026,Auburn,Creslyn Brose,,,9.8250,9.9500
Kentucky,2026,5,no meet title,Feb-06-2026,Auburn,Anna Flynn Cashion,9.8250,,,
Kentucky,2026,5,no meet title,Feb-06-2026,Auburn,Callie Gardner,9.7500,,,9.9000
Kentucky,2026,5,no meet title,Feb-06-2026,Auburn,Cadence Gormley,9.7000,,,
Kentucky,2026,5,no meet title,Feb-06-2026,Auburn,Sharon Lee,,,9.8250,
Kentucky,2026,5,no meet title,Feb-06-2026,Auburn,Sabrina Nemcek,,9.9000,,
Kentucky,2026,5,no meet title,Feb-06-2026,Auburn,Ryan Noonan,9.9000,9.8250,,
Kentucky,2026,5,no meet title,Feb-06-2026,Auburn,Isabella Rivelli,,9.7750,,
Kentucky,2026,5,no meet title,Feb-06-2026,Auburn,Cecily Rizo,9.9000,,9.7750,9.8500
Kentucky,2026,5,no meet title,Feb-06-2026,Auburn,Delaynee Rodriguez,9.9250,9.9500,9.8750,9.9000
Kentucky,2026,5,no meet title,Feb-06-2026,Auburn,Gabby Van Frayen,,9.8500,9.9000,9.8000
Kentucky,2026,6,no meet title,Feb-13-2026,Kentucky,Chesney Bennett,,9.8500,9.9000,9.8000
Kentucky,2026,6,no meet title,Feb-13-2026,Kentucky,Creslyn Brose,,,9.8750,9.9500
Kentucky,2026,6,no meet title,Feb-13-2026,Kentucky,Anna Flynn Cashion,9.8750,,,
Kentucky,2026,6,no meet title,Feb-13-2026,Kentucky,Callie Gardner,9.8250,,,9.8500
Kentucky,2026,6,no meet title,Feb-13-2026,Kentucky,Addisyn Hofseth,9.8000,,,
Kentucky,2026,6,no meet title,Feb-13-2026,Kentucky,Sharon Lee,,,9.1000,
Kentucky,2026,6,no meet title,Feb-13-2026,Kentucky,Sabrina Nemcek,,9.9250,,
Kentucky,2026,6,no meet title,Feb-13-2026,Kentucky,Ryan Noonan,9.7750,9.9000,,
Kentucky,2026,6,no meet title,Feb-13-2026,Kentucky,Isabella Rivelli,,9.2750,,
Kentucky,2026,6,no meet title,Feb-13-2026,Kentucky,Cecily Rizo,9.8250,,9.7500,9.7500
Kentucky,2026,6,no meet title,Feb-13-2026,Kentucky,Delaynee Rodriguez,9.8250,9.9500,9.7750,9.9500
Kentucky,2026,6,no meet title,Feb-13-2026,Kentucky,Gabby Van Frayen,,9.4250,9.9000,9.8500
Kentucky,2026,7,no meet title,Feb-20-2026,Arkansas,Chesney Bennett,,9.8250,9.9000,9.8500
Kentucky,2026,7,no meet title,Feb-20-2026,Arkansas,Creslyn Brose,,,9.8250,9.9250
Kentucky,2026,7,no meet title,Feb-20-2026,Arkansas,Anna Flynn Cashion,9.8750,,,
Kentucky,2026,7,no meet title,Feb-20-2026,Arkansas,Callie Gardner,9.8000,,,9.8500
Kentucky,2026,7,no meet title,Feb-20-2026,Arkansas,Addisyn Hofseth,9.7750,,,
Kentucky,2026,7,no meet title,Feb-20-2026,Arkansas,Sharon Lee,,,9.9000,
Kentucky,2026,7,no meet title,Feb-20-2026,Arkansas,Sabrina Nemcek,,9.8500,,
Kentucky,2026,7,no meet title,Feb-20-2026,Arkansas,Ryan Noonan,9.8500,9.8500,,
Kentucky,2026,7,no meet title,Feb-20-2026,Arkansas,Cecily Rizo,9.8000,9.7750,9.8000,9.8000
Kentucky,2026,7,no meet title,Feb-20-2026,Arkansas,Delaynee Rodriguez,9.8500,9.9250,9.9000,9.9000
Kentucky,2026,7,no meet title,Feb-20-2026,Arkansas,Gabby Van Frayen,,9.8250,9.8250,9.7750
Kentucky,2026,8,no meet title,Feb-27-2026,Kentucky,Chesney Bennett,,9.8500,9.8750,9.8250
Kentucky,2026,8,no meet title,Feb-27-2026,Kentucky,Creslyn Brose,,,9.8500,9.9250
Kentucky,2026,8,no meet title,Feb-27-2026,Kentucky,Anna Flynn Cashion,9.8250,,,
Kentucky,2026,8,no meet title,Feb-27-2026,Kentucky,Callie Gardner,9.8000,,,9.5250
Kentucky,2026,8,no meet title,Feb-27-2026,Kentucky,Cadence Gormley,9.8000,,,
