team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
LIU,2026,1,no meet title,Jan-09-2026,Maryland,Kady Bills-McCoy,,,9.5500,
LIU,2026,1,no meet title,Jan-09-2026,Maryland,Brooke Burkhart,9.3250,,,
LIU,2026,1,no meet title,Jan-09-2026,Maryland,Ellorie Cane,,,9.5500,
LIU,2026,1,no meet title,Jan-09-2026,Maryland,Brisa Carraro,,9.6750,,
LIU,2026,1,no meet title,Jan-09-2026,Maryland,Kaira Cartwright,9.5500,,9.0000,8.9000
LIU,2026,1,no meet title,Jan-09-2026,Maryland,Zoe Claiborne,9.0000,,,9.5500
LIU,2026,1,no meet title,Jan-09-2026,Maryland,Alina Danilchenko,,,9.5250,9.6250
LIU,2026,1,no meet title,Jan-09-2026,Maryland,Danyella Holmes,,8.1250,,9.7250
LIU,2026,1,no meet title,Jan-09-2026,Maryland,Carly Kliewer,,9.0750,,
LIU,2026,1,no meet title,Jan-09-2026,Maryland,Camille Lund Rasmussen,,9.5500,9.4500,
LIU,2026,1,no meet title,Jan-09-2026,Maryland,Annalisa Page,9.6750,,,
LIU,2026,1,no meet title,Jan-09-2026,Maryland,Raphaelle Perreault,9.6250,9.3250,9.6000,9.6500
LIU,2026,1,no meet title,Jan-09-2026,Maryland,Isabella Savino,,9.3250,,
LIU,2026,1,no meet title,Jan-09-2026,Maryland,Eden Stippick,9.7750,,,9.2750
LIU,2026,2,no meet title,Jan-17-2026,Temple,Kady Bills-McCoy,,,9.6750,
LIU,2026,2,no meet title,Jan-17-2026,Temple,Brooke Burkhart,9.6500,,,
LIU,2026,2,no meet title,Jan-17-2026,Temple,Ellorie Cane,,,9.2750,
LIU,2026,2,no meet title,Jan-17-2026,Temple,Brisa Carraro,,8.0000,,
LIU,2026,2,no meet title,Jan-17-2026,Temple,Kaira Cartwright,9.7000,,9.6000,9.5250
LIU,2026,2,no meet title,Jan-17-2026,Temple,Zoe Claiborne,9.5250,,,9.6500
LIU,2026,2,no meet title,Jan-17-2026,Temple,Alina Danilchenko,,,9.5500,9.6000
LIU,2026,2,no meet title,Jan-17-2026,Temple,Angelina Hogan,,9.6000,,
LIU,2026,2,no meet title,Jan-17-2026,Temple,Carly Kliewer,,8.9500,,
LIU,2026,2,no meet title,Jan-17-2026,Temple,Camille Lund Rasmussen,,9.6250,9.4250,
LIU,2026,2,no meet title,Jan-17-2026,Temple,Annalisa Page,9.6000,,,9.6500
