team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
LSU,2026,1,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Nina Ballou,,,,9.8250
LSU,2026,1,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Courtney Blackson,9.8250,9.9500,,
LSU,2026,1,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Kailin Chio,9.9000,9.8500,9.9500,9.9000
LSU,2026,1,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Kylie Coen,,,9.9000,
LSU,2026,1,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Ashley Cowan,,9.9000,,
LSU,2026,1,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Amari Drayton,9.2500,,,9.0250
LSU,2026,1,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Emily Innes,,,,9.8750
LSU,2026,1,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Kaliya Lincoln,,,9.8250,9.8500
LSU,2026,1,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Konnor McClain,,9.9250,9.6500,
LSU,2026,1,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Victoria Roberts,9.8500,,,
LSU,2026,1,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Madison Ulrich,9.9000,9.9000,9.8250,9.8250
LSU,2026,1,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Lexi Zeiss,9.8500,9.8750,9.8500,
LSU,2026,2,no meet title,Jan-16-2026,Georgia,Courtney Blackson,,9.8500,,
LSU,2026,2,no meet title,Jan-16-2026,Georgia,Kailin Chio,9.9250,9.3000,9.9500,9.8500
LSU,2026,2,no meet title,Jan-16-2026,Georgia,Kylie Coen,,,9.8500,
LSU,2026,2,no meet title,Jan-16-2026,Georgia,Ashley Cowan,,9.8500,,
LSU,2026,2,no meet title,Jan-16-2026,Georgia,Amari Drayton,9.8500,,9.9250,9.5750
LSU,2026,2,no meet title,Jan-16-2026,Georgia,Emily Innes,,,,9.8000
LSU,2026,2,no meet title,Jan-16-2026,Georgia,Kaliya Lincoln,,,,9.9250
LSU,2026,2,no meet title,Jan-16-2026,Georgia,Konnor McClain,,9.9500,9.8000,8.9750
LSU,2026,2,no meet title,Jan-16-2026,Georgia,Victoria Roberts,9.6500,,,
LSU,2026,2,no meet title,Jan-16-2026,Georgia,Madison Ulrich,9.8000,9.8250,9.8500,9.8000
LSU,2026,2,no meet title,Jan-16-2026,Georgia,Kathryn Weilbacher,9.5250,,,
LSU,2026,2,no meet title,Jan-16-2026,Georgia,Lexi Zeiss,9.8500,9.9000,9.8750,
LSU,2026,3,no meet title,Jan-23-2026,LSU,Nina Ballou,9.7500,,,9.9000
LSU,2026,3,no meet title,Jan-23-2026,LSU,Courtney Blackson,,9.9500,,
LSU,2026,3,no meet title,Jan-23-2026,LSU,Kailin Chio,9.9500,9.9000,10.0000,9.9250
LSU,2026,3,no meet title,Jan-23-2026,LSU,Kylie Coen,,,9.8500,9.8250
LSU,2026,3,no meet title,Jan-23-2026,LSU,Ashley Cowan,,9.8750,,
LSU,2026,3,no meet title,Jan-23-2026,LSU,Amari Drayton,9.7000,,9.9250,9.9000
LSU,2026,3,no meet title,Jan-23-2026,LSU,Emily Innes,,,,9.9250
LSU,2026,3,no meet title,Jan-23-2026,LSU,Kaliya Lincoln,9.8250,,9.9250,9.9500
LSU,2026,3,no meet title,Jan-23-2026,LSU,Konnor McClain,9.8250,9.9000,9.9500,
LSU,2026,3,no meet title,Jan-23-2026,LSU,Madison Ulrich,,9.8500,,
LSU,2026,3,no meet title,Jan-23-2026,LSU,Lexi Zeiss,9.9000,9.9250,9.8250,
LSU,2026,4,no meet title,Jan-30-2026,Missouri,Nina Ballou,,,,9.9000
LSU,2026,4,no meet title,Jan-30-2026,Missouri,Courtney Blackson,9.9000,9.9250,,
LSU,2026,4,no meet title,Jan-30-2026,Missouri,Kailin Chio,9.9500,9.7250,9.9750,9.9500
LSU,2026,4,no meet title,Jan-30-2026,Missouri,Kylie Coen,,,9.8500,9.9000
LSU,2026,4,no meet title,Jan-30-2026,Missouri,Amari Drayton,9.9500,,9.9250,9.7750
LSU,2026,4,no meet title,Jan-30-2026,Missouri,Emily Innes,,,,9.8500
LSU,2026,4,no meet title,Jan-30-2026,Missouri,Kaliya Lincoln,9.8000,,9.7500,9.9500
LSU,2026,4,no meet title,Jan-30-2026,Missouri,Konnor McClain,9.8250,9.8250,9.5500,
LSU,2026,4,no meet title,Jan-30-2026,Missouri,Haley Mustari,,9.9000,,
LSU,2026,4,no meet title,Jan-30-2026,Missouri,Madison Ulrich,,9.9250,,
LSU,2026,4,no meet title,Jan-30-2026,Missouri,Lexi Zeiss,9.7750,9.8000,9.8250,
LSU,2026,5,no meet title,Feb-06-2026,LSU,Nina Ballou,,,,9.8750
LSU,2026,5,no meet title,Feb-06-2026,LSU,Courtney Blackson,9.7250,9.8250,,
LSU,2026,5,no meet title,Feb-06-2026,LSU,Kailin Chio,9.9750,9.9000,9.9250,9.8000
LSU,2026,5,no meet title,Feb-06-2026,LSU,Kylie Coen,,,9.7750,9.9250
LSU,2026,5,no meet title,Feb-06-2026,LSU,Amari Drayton,9.9250,,9.8000,9.9500
LSU,2026,5,no meet title,Feb-06-2026,LSU,Emily Innes,,,,9.8750
LSU,2026,5,no meet title,Feb-06-2026,LSU,Alexis Jeffrey,,9.6750,,
LSU,2026,5,no meet title,Feb-06-2026,LSU,Kaliya Lincoln,9.8750,,9.7500,9.9250
LSU,2026,5,no meet title,Feb-06-2026,LSU,Konnor McClain,9.8250,9.8250,9.8500,
LSU,2026,5,no meet title,Feb-06-2026,LSU,Madison Ulrich,,9.9500,,
LSU,2026,5,no meet title,Feb-06-2026,LSU,Lexi Zeiss,9.8750,9.7750,9.8750,
LSU,2026,6,no meet title,Feb-13-2026,LSU,Nina Ballou,,9.9000,,9.9250
LSU,2026,6,no meet title,Feb-13-2026,LSU,Courtney Blackson,9.6250,,,
LSU,2026,6,no meet title,Feb-13-2026,LSU,Kailin Chio,9.9750,9.9250,9.9750,10.0000
LSU,2026,6,no meet title,Feb-13-2026,LSU,Kylie Coen,,,,9.9250
LSU,2026,6,no meet title,Feb-13-2026,LSU,Ashley Cowan,,9.8750,,
LSU,2026,6,no meet title,Feb-13-2026,LSU,Amari Drayton,9.9000,,9.9000,9.9500
LSU,2026,6,no meet title,Feb-13-2026,LSU,Emily Innes,,,9.8250,9.9250
LSU,2026,6,no meet title,Feb-13-2026,LSU,Kaliya Lincoln,9.9500,,9.8750,9.9750
LSU,2026,6,no meet title,Feb-13-2026,LSU,Konnor McClain,,9.9750,9.6750,
LSU,2026,6,no meet title,Feb-13-2026,LSU,Victoria Roberts,9.8750,,,
LSU,2026,6,no meet title,Feb-13-2026,LSU,Madison Ulrich,,9.9000,,
LSU,2026,6,no meet title,Feb-13-2026,LSU,Lexi Zeiss,9.8500,9.8750,9.8500,
LSU,2026,7,no meet title,Feb-20-2026,Oklahoma,Nina Ballou,,,,9.8500
LSU,2026,7,no meet title,Feb-20-2026,Oklahoma,Courtney Blackson,9.7750,9.8000,,
LSU,2026,7,no meet title,Feb-20-2026,Oklahoma,Kailin Chio,10.0000,9.9250,10.0000,9.9250
LSU,2026,7,no meet title,Feb-20-2026,Oklahoma,Kylie Coen,,,9.8750,9.8500
LSU,2026,7,no meet title,Feb-20-2026,Oklahoma,Ashley Cowan,,9.9000,,
LSU,2026,7,no meet title,Feb-20-2026,Oklahoma,Amari Drayton,9.8250,,9.8500,9.9250
LSU,2026,7,no meet title,Feb-20-2026,Oklahoma,Emily Innes,,,9.9000,9.8500
