team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Maryland,2026,1,no meet title,Jan-09-2026,Maryland,Megan Bingham,,,9.7750,
Maryland,2026,1,no meet title,Jan-09-2026,Maryland,Logan Buckmon,9.8500,9.7750,,
Maryland,2026,1,no meet title,Jan-09-2026,Maryland,Emily DeFrees,,,9.7250,9.8500
Maryland,2026,1,no meet title,Jan-09-2026,Maryland,Chelsey Dennis,,9.8250,9.7500,
Maryland,2026,1,no meet title,Jan-09-2026,Maryland,Rayna Engelmayer,9.7250,,9.2750,
Maryland,2026,1,no meet title,Jan-09-2026,Maryland,Josephine Kogler,9.7000,,,9.7000
Maryland,2026,1,no meet title,Jan-09-2026,Maryland,Madeline Komoroski,,9.6750,9.8500,9.8500
Maryland,2026,1,no meet title,Jan-09-2026,Maryland,Katrina Mendez-Abolnik,9.8500,,,
Maryland,2026,1,no meet title,Jan-09-2026,Maryland,Aine Reade,9.8000,9.7750,9.5250,9.7750
Maryland,2026,1,no meet title,Jan-09-2026,Maryland,Taylor Rech,9.7750,,,9.8000
Maryland,2026,1,no meet title,Jan-09-2026,Maryland,Gianna Ruffing,,9.8500,,9.8000
Maryland,2026,1,no meet title,Jan-09-2026,Maryland,Sarah Saville,,9.7750,,
Maryland,2026,2,no meet title,Jan-17-2026,Maryland,Megan Bingham,,,9.7000,
Maryland,2026,2,no meet title,Jan-17-2026,Maryland,Logan Buckmon,9.7500,8.1750,,
Maryland,2026,2,no meet title,Jan-17-2026,Maryland,Emily DeFrees,,,9.8750,9.2500
Maryland,2026,2,no meet title,Jan-17-2026,Maryland,Chelsey Dennis,,9.7000,9.7750,
Maryland,2026,2,no meet title,Jan-17-2026,Maryland,Rayna Engelmayer,9.8250,,,
Maryland,2026,2,no meet title,Jan-17-2026,Maryland,Josephine Kogler,9.8000,,9.7000,9.7250
Maryland,2026,2,no meet title,Jan-17-2026,Maryland,Madeline Komoroski,,9.7250,9.8250,9.8750
Maryland,2026,2,no meet title,Jan-17-2026,Maryland,Katrina Mendez-Abolnik,9.8500,,,
Maryland,2026,2,no meet title,Jan-17-2026,Maryland,Aine Reade,9.8000,9.7250,9.7750,9.2500
Maryland,2026,2,no meet title,Jan-17-2026,Maryland,Taylor Rech,9.8250,,,9.8500
Maryland,2026,2,no meet title,Jan-17-2026,Maryland,Gianna Ruffing,,9.6750,,9.3500
Maryland,2026,2,no meet title,Jan-17-2026,Maryland,Sarah Saville,,9.7000,,
Maryland,2026,3,no meet title,Jan-24-2026,Penn State,Megan Bingham,,,9.8000,
Maryland,2026,3,no meet title,Jan-24-2026,Penn State,Logan Buckmon,9.7750,9.7250,,
Maryland,2026,3,no meet title,Jan-24-2026,Penn State,Emily DeFrees,,,9.1000,9.9000
Maryland,2026,3,no meet title,Jan-24-2026,Penn State,Chelsey Dennis,,9.8250,9.8000,
Maryland,2026,3,no meet title,Jan-24-2026,Penn State,Rayna Engelmayer,9.7750,,,
Maryland,2026,3,no meet title,Jan-24-2026,Penn State,Josephine Kogler,9.7750,,9.8750,9.9000
Maryland,2026,3,no meet title,Jan-24-2026,Penn State,Madeline Komoroski,,9.7750,9.8000,9.9750
Maryland,2026,3,no meet title,Jan-24-2026,Penn State,Katrina Mendez-Abolnik,9.8000,,,
Maryland,2026,3,no meet title,Jan-24-2026,Penn State,Aine Reade,9.7250,9.8500,9.7750,9.9750
Maryland,2026,3,no meet title,Jan-24-2026,Penn State,Taylor Rech,9.8500,,,9.8250
Maryland,2026,3,no meet title,Jan-24-2026,Penn State,Gianna Ruffing,,9.8000,,9.5000
Maryland,2026,3,no meet title,Jan-24-2026,Penn State,Sarah Saville,,9.8250,,
Maryland,2026,4,no meet title,Feb-01-2026,Illinois,Megan Bingham,,,9.8000,
Maryland,2026,4,no meet title,Feb-01-2026,Illinois,Logan Buckmon,9.8750,9.3250,,
Maryland,2026,4,no meet title,Feb-01-2026,Illinois,Emily DeFrees,,,9.9000,9.7750
Maryland,2026,4,no meet title,Feb-01-2026,Illinois,Chelsey Dennis,,9.7750,9.2500,
Maryland,2026,4,no meet title,Feb-01-2026,Illinois,Rayna Engelmayer,9.7000,,,9.7750
Maryland,2026,4,no meet title,Feb-01-2026,Illinois,Josephine Kogler,9.8500,,9.8750,9.8500
Maryland,2026,4,no meet title,Feb-01-2026,Illinois,Madeline Komoroski,,9.8250,9.6250,9.7500
Maryland,2026,4,no meet title,Feb-01-2026,Illinois,Katrina Mendez-Abolnik,9.8250,,,
Maryland,2026,4,no meet title,Feb-01-2026,Illinois,Syndey Mullen,,,,
Maryland,2026,4,no meet title,Feb-01-2026,Illinois,Aine Reade,9.7750,9.9000,9.7750,9.9000
Maryland,2026,4,no meet title,Feb-01-2026,Illinois,Taylor Rech,9.7500,,,9.8500
Maryland,2026,4,no meet title,Feb-01-2026,Illinois,Gianna Ruffing,,9.7500,,
Maryland,2026,4,no meet title,Feb-01-2026,Illinois,Sarah Saville,,9.8250,,
Maryland,2026,5,no meet title,Feb-07-2026,Maryland,Megan Bingham,,,9.8500,
Maryland,2026,5,no meet title,Feb-07-2026,Maryland,Logan Buckmon,9.8500,9.7750,,
Maryland,2026,5,no meet title,Feb-07-2026,Maryland,Emily DeFrees,,,9.1750,9.7500
Maryland,2026,5,no meet title,Feb-07-2026,Maryland,Chelsey Dennis,,9.7750,8.5000,
Maryland,2026,5,no meet title,Feb-07-2026,Maryland,Rayna Engelmayer,9.8000,,,9.7750
Maryland,2026,5,no meet title,Feb-07-2026,Maryland,Josephine Kogler,9.8250,,9.7250,9.8000
Maryland,2026,5,no meet title,Feb-07-2026,Maryland,Madeline Komoroski,,9.9000,9.9500,9.0000
Maryland,2026,5,no meet title,Feb-07-2026,Maryland,Katrina Mendez-Abolnik,9.8500,,,
Maryland,2026,5,no meet title,Feb-07-2026,Maryland,Aine Reade,9.7500,9.8250,9.7750,9.8500
Maryland,2026,5,no meet title,Feb-07-2026,Maryland,Taylor Rech,9.7500,,,9.7750
Maryland,2026,5,no meet title,Feb-07-2026,Maryland,Gianna Ruffing,,9.8250,,
Maryland,2026,5,no meet title,Feb-07-2026,Maryland,Sarah Saville,,9.7000,,
Maryland,2026,6,no meet title,Feb-15-2026,Michigan State,Megan Bingham,,,9.6750,
Maryland,2026,6,no meet title,Feb-15-2026,Michigan State,Logan Buckmon,9.8250,9.6500,,
Maryland,2026,6,no meet title,Feb-15-2026,Michigan State,Emily DeFrees,,,9.7750,9.8750
Maryland,2026,6,no meet title,Feb-15-2026,Michigan State,Chelsey Dennis,,9.7500,,
Maryland,2026,6,no meet title,Feb-15-2026,Michigan State,Rayna Engelmayer,9.8250,,9.7750,9.8250
Maryland,2026,6,no meet title,Feb-15-2026,Michigan State,Josephine Kogler,9.8250,,9.6250,9.8250
Maryland,2026,6,no meet title,Feb-15-2026,Michigan State,Madeline Komoroski,,9.8000,9.8750,9.9000
Maryland,2026,6,no meet title,Feb-15-2026,Michigan State,Katrina Mendez-Abolnik,9.8750,,,
Maryland,2026,6,no meet title,Feb-15-2026,Michigan State,Aine Reade,9.7250,9.7250,9.7250,9.9250
Maryland,2026,6,no meet title,Feb-15-2026,Michigan State,Taylor Rech,9.8750,,,9.7750
Maryland,2026,6,no meet title,Feb-15-2026,Michigan State,Gianna Ruffing,,9.7750,,
Maryland,2026,6,no meet title,Feb-15-2026,Michigan State,Sarah Saville,,9.7500,,
Maryland,2026,7,no meet title,Feb-20-2026,Maryland,Megan Bingham,,,9.7750,
Maryland,2026,7,no meet title,Feb-20-2026,Maryland,Logan Buckmon,9.8000,9.7000,,
Maryland,2026,7,no meet title,Feb-20-2026,Maryland,Emily DeFrees,,,9.7750,9.8500
Maryland,2026,7,no meet title,Feb-20-2026,Maryland,Chelsey Dennis,,8.7250,,
Maryland,2026,7,no meet title,Feb-20-2026,Maryland,Rayna Engelmayer,9.9000,,9.8000,9.8750
Maryland,2026,7,no meet title,Feb-20-2026,Maryland,Josephine Kogler,9.8500,,9.8000,9.8500
Maryland,2026,7,no meet title,Feb-20-2026,Maryland,Madeline Komoroski,,9.8000,9.7000,9.9000
Maryland,2026,7,no meet title,Feb-20-2026,Maryland,Katrina Mendez-Abolnik,9.8500,,,
Maryland,2026,7,no meet title,Feb-20-2026,Maryland,Aine Reade,9.7750,9.7750,9.6000,9.8750
Maryland,2026,7,no meet title,Feb-20-2026,Maryland,Taylor Rech,9.7750,,,9.8500
Maryland,2026,7,no meet title,Feb-20-2026,Maryland,Gianna Ruffing,,9.6750,,
Maryland,2026,7,no meet title,Feb-20-2026,Maryland,Sarah Saville,,9.7250,,
Maryland,2026,8,no meet title,Feb-27-2026,UCLA,Megan Bingham,,9.6500,9.6750,
Maryland,2026,8,no meet title,Feb-27-2026,UCLA,Logan Buckmon,9.7000,,,
Maryland,2026,8,no meet title,Feb-27-2026,UCLA,Emily DeFrees,,,9.7750,9.2750
Maryland,2026,8,no meet title,Feb-27-2026,UCLA,Chelsey Dennis,,9.6500,,
Maryland,2026,8,no meet title,Feb-27-2026,UCLA,Rayna Engelmayer,9.7250,,9.7500,9.7750
Maryland,2026,8,no meet title,Feb-27-2026,UCLA,Josephine Kogler,9.7250,,9.5500,9.8250
Maryland,2026,8,no meet title,Feb-27-2026,UCLA,Madeline Komoroski,,9.7500,9.8500,9.7750
Maryland,2026,8,no meet title,Feb-27-2026,UCLA,Katrina Mendez-Abolnik,9.8500,,,
Maryland,2026,8,no meet title,Feb-27-2026,UCLA,Aine Reade,9.7750,9.6750,9.6250,9.8500
Maryland,2026,8,no meet title,Feb-27-2026,UCLA,Taylor Rech,9.6250,,,9.7750
Maryland,2026,8,no meet title,Feb-27-2026,UCLA,Gianna Ruffing,,9.7750,,
Maryland,2026,8,no meet title,Feb-27-2026,UCLA,Sarah Saville,,9.7250,,
Maryland,2026,9,no meet title,Mar-05-2026,Temple,Megan Bingham,9.5750,,9.0750,
Maryland,2026,9,no meet title,Mar-05-2026,Temple,Logan Buckmon,,9.1250,,
Maryland,2026,9,no meet title,Mar-05-2026,Temple,Emily DeFrees,,,9.8750,9.8500
Maryland,2026,9,no meet title,Mar-05-2026,Temple,Chelsey Dennis,,9.8250,,
Maryland,2026,9,no meet title,Mar-05-2026,Temple,Rayna Engelmayer,9.7750,,9.7000,9.8000
Maryland,2026,9,no meet title,Mar-05-2026,Temple,Josephine Kogler,9.7750,,9.8000,9.8000
Maryland,2026,9,no meet title,Mar-05-2026,Temple,Madeline Komoroski,,9.8250,9.9250,9.8750
Maryland,2026,9,no meet title,Mar-05-2026,Temple,Katrina Mendez-Abolnik,9.8250,,,
Maryland,2026,9,no meet title,Mar-05-2026,Temple,Aine Reade,9.0000,9.8000,9.7000,9.8500
Maryland,2026,9,no meet title,Mar-05-2026,Temple,Taylor Rech,9.7250,,,9.6750
Maryland,2026,9,no meet title,Mar-05-2026,Temple,Gianna Ruffing,,9.7750,,
Maryland,2026,9,no meet title,Mar-05-2026,Temple,Sarah Saville,,9.8250,,
Maryland,2026,10,no meet title,Mar-07-2026,Maryland,Megan Bingham,9.8250,9.7750,9.8000,
Maryland,2026,10,no meet title,Mar-07-2026,Maryland,Emily DeFrees,,,9.8500,9.8500
Maryland,2026,10,no meet title,Mar-07-2026,Maryland,Chelsey Dennis,,9.6500,,
Maryland,2026,10,no meet title,Mar-07-2026,Maryland,Rayna Engelmayer,9.7750,,9.8750,9.8000
Maryland,2026,10,no meet title,Mar-07-2026,Maryland,Josephine Kogler,9.7500,,9.8500,9.8750
Maryland,2026,10,no meet title,Mar-07-2026,Maryland,Madeline Komoroski,,9.7500,9.7500,9.8500
Maryland,2026,10,no meet title,Mar-07-2026,Maryland,Katrina Mendez-Abolnik,9.8250,,,
Maryland,2026,10,no meet title,Mar-07-2026,Maryland,Aine Reade,9.7500,9.7500,9.8250,9.8750
Maryland,2026,10,no meet title,Mar-07-2026,Maryland,Taylor Rech,9.7750,,,9.8500
Maryland,2026,10,no meet title,Mar-07-2026,Maryland,Gianna Ruffing,,9.7250,,
Maryland,2026,10,no meet title,Mar-07-2026,Maryland,Sarah Saville,,9.7750,,
Maryland,2026,11,no meet title,Mar-13-2026,Towson,Megan Bingham,,9.7500,9.8250,
Maryland,2026,11,no meet title,Mar-13-2026,Towson,Logan Buckmon,9.8250,,,
Maryland,2026,11,no meet title,Mar-13-2026,Towson,Nicollette Crochet,,9.7000,,
Maryland,2026,11,no meet title,Mar-13-2026,Towson,Emily DeFrees,,,9.8250,9.8500
Maryland,2026,11,no meet title,Mar-13-2026,Towson,Chelsey Dennis,,9.8000,,
Maryland,2026,11,no meet title,Mar-13-2026,Towson,Rayna Engelmayer,9.8000,,9.7500,9.6250
Maryland,2026,11,no meet title,Mar-13-2026,Towson,Madeline Gershuny,,,,
Maryland,2026,11,no meet title,Mar-13-2026,Towson,Josephine Kogler,9.8500,,9.8750,9.8250
Maryland,2026,11,no meet title,Mar-13-2026,Towson,Madeline Komoroski,,9.7500,9.8750,9.8500
Maryland,2026,11,no meet title,Mar-13-2026,Towson,Katrina Mendez-Abolnik,9.7000,,,
Maryland,2026,11,no meet title,Mar-13-2026,Towson,Aine Reade,9.7000,9.7500,9.6750,9.1500
Maryland,2026,11,no meet title,Mar-13-2026,Towson,Taylor Rech,9.7250,,,9.8500
Maryland,2026,11,no meet title,Mar-13-2026,Towson,Gianna Ruffing,,9.8250,,
Maryland,2026,12,no meet title,Mar-15-2026,George Washington,Megan Bingham,,9.8500,9.6750,
