team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Michigan State,2026,1,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Kendall Abney,,9.5500,9.8750,
Michigan State,2026,1,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Lilia Cosman,,9.8000,9.3750,9.7000
Michigan State,2026,1,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Cady Duplissis,9.8500,,9.7500,9.7500
Michigan State,2026,1,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Naya Howard,,9.8750,,
Michigan State,2026,1,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Sage Kellerman,9.1500,9.9250,,
Michigan State,2026,1,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Stephanie Lebster,,,,9.8250
Michigan State,2026,1,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Korynne Marquart,9.7750,,,
Michigan State,2026,1,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Emma Misenheimer,9.7500,,,
Michigan State,2026,1,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Gabi Ortiz,,,,9.8000
Michigan State,2026,1,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Nikki Smith,9.8500,9.1250,9.8750,9.8500
Michigan State,2026,1,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Isabella Trostel,,,9.9250,
Michigan State,2026,1,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,MaKayla Tucker,9.7250,9.8750,9.8500,9.7500
Michigan State,2026,2,no meet title,Jan-17-2026,Iowa,Kendall Abney,,,9.7500,
Michigan State,2026,2,no meet title,Jan-17-2026,Iowa,Lilia Cosman,,9.7750,9.8250,9.7750
Michigan State,2026,2,no meet title,Jan-17-2026,Iowa,Cady Duplissis,9.7000,,9.6250,9.8250
Michigan State,2026,2,no meet title,Jan-17-2026,Iowa,Naya Howard,,9.7750,,
Michigan State,2026,2,no meet title,Jan-17-2026,Iowa,Sage Kellerman,9.8500,9.8500,,
Michigan State,2026,2,no meet title,Jan-17-2026,Iowa,Stephanie Lebster,,,,9.8000
Michigan State,2026,2,no meet title,Jan-17-2026,Iowa,Korynne Marquart,9.5500,,,
Michigan State,2026,2,no meet title,Jan-17-2026,Iowa,Gabi Ortiz,,,,9.8250
Michigan State,2026,2,no meet title,Jan-17-2026,Iowa,Nikki Smith,9.8250,9.2250,9.8000,9.9250
Michigan State,2026,2,no meet title,Jan-17-2026,Iowa,Isabella Trostel,,,9.8000,
Michigan State,2026,2,no meet title,Jan-17-2026,Iowa,MaKayla Tucker,9.8250,9.8000,9.8000,9.7500
Michigan State,2026,2,no meet title,Jan-17-2026,Iowa,Olivia Zsarmani,9.8250,9.3250,,
Michigan State,2026,3,no meet title,Jan-25-2026,Michigan State,Kendall Abney,,,9.8250,
Michigan State,2026,3,no meet title,Jan-25-2026,Michigan State,Lilia Cosman,,9.7250,9.9000,9.8500
Michigan State,2026,3,no meet title,Jan-25-2026,Michigan State,Cady Duplissis,9.9000,,9.7500,9.7750
Michigan State,2026,3,no meet title,Jan-25-2026,Michigan State,Naya Howard,,9.8000,,
Michigan State,2026,3,no meet title,Jan-25-2026,Michigan State,Sage Kellerman,9.9250,9.8750,,
Michigan State,2026,3,no meet title,Jan-25-2026,Michigan State,Stephanie Lebster,,,,9.8750
Michigan State,2026,3,no meet title,Jan-25-2026,Michigan State,Korynne Marquart,9.7750,,,
Michigan State,2026,3,no meet title,Jan-25-2026,Michigan State,Gabi Ortiz,,,,9.7750
Michigan State,2026,3,no meet title,Jan-25-2026,Michigan State,Nikki Smith,9.8250,9.7250,9.9250,9.9250
Michigan State,2026,3,no meet title,Jan-25-2026,Michigan State,Isabella Trostel,,,9.1000,
Michigan State,2026,3,no meet title,Jan-25-2026,Michigan State,MaKayla Tucker,9.7500,9.0000,9.8750,9.9250
Michigan State,2026,3,no meet title,Jan-25-2026,Michigan State,Olivia Zsarmani,9.8750,9.8500,,
Michigan State,2026,4,no meet title,Feb-01-2026,Michigan,Kendall Abney,,,9.8500,
Michigan State,2026,4,no meet title,Feb-01-2026,Michigan,Lilia Cosman,,9.7750,9.8500,9.8000
Michigan State,2026,4,no meet title,Feb-01-2026,Michigan,Cady Duplissis,9.2750,,,9.9000
Michigan State,2026,4,no meet title,Feb-01-2026,Michigan,Naya Howard,,9.7750,,
Michigan State,2026,4,no meet title,Feb-01-2026,Michigan,Sage Kellerman,9.9750,9.9250,,
Michigan State,2026,4,no meet title,Feb-01-2026,Michigan,Stephanie Lebster,,,,9.7250
Michigan State,2026,4,no meet title,Feb-01-2026,Michigan,Korynne Marquart,9.8500,,,
Michigan State,2026,4,no meet title,Feb-01-2026,Michigan,Gabi Ortiz,,,,9.9000
Michigan State,2026,4,no meet title,Feb-01-2026,Michigan,Nikki Smith,9.8250,9.8500,9.8500,9.9500
Michigan State,2026,4,no meet title,Feb-01-2026,Michigan,Isabella Trostel,,,9.8500,
Michigan State,2026,4,no meet title,Feb-01-2026,Michigan,MaKayla Tucker,9.8500,9.8250,9.9000,9.9250
Michigan State,2026,4,no meet title,Feb-01-2026,Michigan,Olivia Zsarmani,9.9250,9.9000,9.9000,
Michigan State,2026,5,no meet title,Feb-08-2026,Penn State,Kendall Abney,,9.7750,9.8250,
