team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Michigan,2026,1,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Carly Bauman,,9.9250,9.9250,9.8500
Michigan,2026,1,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Kayli Boozer,,,9.9500,
Michigan,2026,1,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Lily Clapper,9.5750,9.8500,,
Michigan,2026,1,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Peyton Davis,9.7500,,,
Michigan,2026,1,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Sophia Diaz,9.8250,9.9250,,9.8500
Michigan,2026,1,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Reyna Guggino,9.8250,,,
Michigan,2026,1,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Ava Jordan,9.7500,9.8250,9.9500,
Michigan,2026,1,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Myli Lew,,9.8750,,
Michigan,2026,1,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Sophie Parenti,,9.8500,9.5500,9.7750
Michigan,2026,1,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Jahzara Ranger,9.8500,,9.8750,9.7750
Michigan,2026,1,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Audrey Sanger,,,,9.8000
Michigan,2026,1,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Quincy Walters,,,9.9500,9.8750
Michigan,2026,2,no meet title,Jan-17-2026,Minnesota,Carly Bauman,,9.8500,9.8250,9.8500
Michigan,2026,2,no meet title,Jan-17-2026,Minnesota,Kayli Boozer,,,9.9500,
Michigan,2026,2,no meet title,Jan-17-2026,Minnesota,Lily Clapper,,9.8000,,
Michigan,2026,2,no meet title,Jan-17-2026,Minnesota,Peyton Davis,9.7500,,,
Michigan,2026,2,no meet title,Jan-17-2026,Minnesota,Sophia Diaz,9.7750,9.6750,,9.8250
Michigan,2026,2,no meet title,Jan-17-2026,Minnesota,Reyna Guggino,9.8000,,,
Michigan,2026,2,no meet title,Jan-17-2026,Minnesota,Ava Jordan,9.8250,9.7500,9.6500,
Michigan,2026,2,no meet title,Jan-17-2026,Minnesota,Myli Lew,9.7250,9.8500,,
Michigan,2026,2,no meet title,Jan-17-2026,Minnesota,Sophie Parenti,,9.8000,9.9000,9.8250
Michigan,2026,2,no meet title,Jan-17-2026,Minnesota,Jahzara Ranger,9.8250,,9.8500,9.6250
Michigan,2026,2,no meet title,Jan-17-2026,Minnesota,Audrey Sanger,,,,9.5500
Michigan,2026,2,no meet title,Jan-17-2026,Minnesota,Quincy Walters,,,9.8500,9.8500
Michigan,2026,3,no meet title,Jan-24-2026,Michigan,Carly Bauman,,9.8500,9.8750,9.9500
Michigan,2026,3,no meet title,Jan-24-2026,Michigan,Kayli Boozer,9.8000,,9.9000,
Michigan,2026,3,no meet title,Jan-24-2026,Michigan,Lily Clapper,,9.8500,,
Michigan,2026,3,no meet title,Jan-24-2026,Michigan,Peyton Davis,9.7750,,,
