team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Minnesota,2026,1,no meet title,Jan-02-2026,Utah,Teryn Crump,9.7500,9.6750,,
Minnesota,2026,1,no meet title,Jan-02-2026,Utah,Gianna Gerdes,9.8250,9.7250,9.7250,9.8000
Minnesota,2026,1,no meet title,Jan-02-2026,Utah,Leah Gonsiorowski,,,,9.7750
Minnesota,2026,1,no meet title,Jan-02-2026,Utah,Jordyn Lyden,,9.8500,9.8000,9.8250
Minnesota,2026,1,no meet title,Jan-02-2026,Utah,Sarah Moraw,9.8500,,9.7750,
Minnesota,2026,1,no meet title,Jan-02-2026,Utah,Arianna Ostrum,9.7500,9.5500,,9.8250
Minnesota,2026,1,no meet title,Jan-02-2026,Utah,Lauren Pearl,,,9.8250,
Minnesota,2026,1,no meet title,Jan-02-2026,Utah,Brooklyn Rowray,,,9.6500,
Minnesota,2026,1,no meet title,Jan-02-2026,Utah,Lacie Saltzmann,,9.7750,,9.7250
Minnesota,2026,1,no meet title,Jan-02-2026,Utah,Emma Slevin,9.6500,9.7750,,
Minnesota,2026,1,no meet title,Jan-02-2026,Utah,Megan Steensland,9.6250,,,
Minnesota,2026,1,no meet title,Jan-02-2026,Utah,Ava Stewart,,,9.4750,
Minnesota,2026,1,no meet title,Jan-02-2026,Utah,Sophie Swartzmiller,,,,9.8500
Minnesota,2026,2,no meet title,Jan-10-2026,Minnesota,Teryn Crump,9.8000,9.7750,,
Minnesota,2026,2,no meet title,Jan-10-2026,Minnesota,Gianna Gerdes,9.8500,9.8000,9.9250,9.6000
Minnesota,2026,2,no meet title,Jan-10-2026,Minnesota,Leah Gonsiorowski,,,,9.8250
Minnesota,2026,2,no meet title,Jan-10-2026,Minnesota,Jordyn Lyden,,9.8500,9.9000,9.8500
Minnesota,2026,2,no meet title,Jan-10-2026,Minnesota,Sarah Moraw,9.7500,,9.9000,
Minnesota,2026,2,no meet title,Jan-10-2026,Minnesota,Arianna Ostrum,9.7000,9.6000,9.8500,9.8750
Minnesota,2026,2,no meet title,Jan-10-2026,Minnesota,Lauren Pearl,,,9.7750,
Minnesota,2026,2,no meet title,Jan-10-2026,Minnesota,Brooklyn Rowray,,,9.8500,
Minnesota,2026,2,no meet title,Jan-10-2026,Minnesota,Lacie Saltzmann,,9.8250,,9.8250
Minnesota,2026,2,no meet title,Jan-10-2026,Minnesota,Emma Slevin,9.8500,9.7750,,
Minnesota,2026,2,no meet title,Jan-10-2026,Minnesota,Ava Stewart,9.8250,,,
Minnesota,2026,2,no meet title,Jan-10-2026,Minnesota,Sophie Swartzmiller,,,,9.8750
Minnesota,2026,3,no meet title,Jan-17-2026,Minnesota,Teryn Crump,9.9000,9.7750,,
Minnesota,2026,3,no meet title,Jan-17-2026,Minnesota,Gianna Gerdes,9.8250,9.8250,9.8000,
Minnesota,2026,3,no meet title,Jan-17-2026,Minnesota,Leah Gonsiorowski,,,,9.9000
Minnesota,2026,3,no meet title,Jan-17-2026,Minnesota,Jordyn Lyden,,9.9250,9.9250,9.8000
Minnesota,2026,3,no meet title,Jan-17-2026,Minnesota,Sarah Moraw,9.8000,,9.8750,
Minnesota,2026,3,no meet title,Jan-17-2026,Minnesota,Sophia Nguyen,,8.5500,,
Minnesota,2026,3,no meet title,Jan-17-2026,Minnesota,Arianna Ostrum,9.8750,,9.8250,9.4000
Minnesota,2026,3,no meet title,Jan-17-2026,Minnesota,Lauren Pearl,,,9.7750,9.8750
Minnesota,2026,3,no meet title,Jan-17-2026,Minnesota,Brooklyn Rowray,,,9.9250,
Minnesota,2026,3,no meet title,Jan-17-2026,Minnesota,Lacie Saltzmann,,9.8250,,9.8500
Minnesota,2026,3,no meet title,Jan-17-2026,Minnesota,Emma Slevin,9.8000,9.9000,,
Minnesota,2026,3,no meet title,Jan-17-2026,Minnesota,Ava Stewart,9.8500,,,
Minnesota,2026,3,no meet title,Jan-17-2026,Minnesota,Sophie Swartzmiller,,,,9.8750
Minnesota,2026,4,no meet title,Jan-24-2026,Nebraska,Teryn Crump,9.8250,9.3250,,
Minnesota,2026,4,no meet title,Jan-24-2026,Nebraska,Gianna Gerdes,9.6000,9.7500,9.7000,
Minnesota,2026,4,no meet title,Jan-24-2026,Nebraska,Leah Gonsiorowski,,,,9.8500
Minnesota,2026,4,no meet title,Jan-24-2026,Nebraska,Jordyn Lyden,,9.8000,9.8250,9.8750
Minnesota,2026,4,no meet title,Jan-24-2026,Nebraska,Sarah Moraw,9.4000,,9.7000,
Minnesota,2026,4,no meet title,Jan-24-2026,Nebraska,Isabella Nguyen,,9.5750,,
Minnesota,2026,4,no meet title,Jan-24-2026,Nebraska,Arianna Ostrum,9.7250,,9.8500,9.9000
Minnesota,2026,4,no meet title,Jan-24-2026,Nebraska,Lauren Pearl,,,8.9750,9.7500
Minnesota,2026,4,no meet title,Jan-24-2026,Nebraska,Brooklyn Rowray,,,9.4000,
Minnesota,2026,4,no meet title,Jan-24-2026,Nebraska,Lacie Saltzmann,,9.9000,,9.8750
