team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Missouri,2026,1,no meet title,Jan-04-2026,Missouri,Ayla Acevedo,,,,9.9000
Missouri,2026,1,no meet title,Jan-04-2026,Missouri,Kimarra Echols,9.8500,9.9000,9.1500,9.7500
Missouri,2026,1,no meet title,Jan-04-2026,Missouri,Makayla Green,,9.8500,,
Missouri,2026,1,no meet title,Jan-04-2026,Missouri,Kennedy Griffin,9.7750,,,9.8750
Missouri,2026,1,no meet title,Jan-04-2026,Missouri,Hannah Horton,9.8750,9.9250,,9.9250
Missouri,2026,1,no meet title,Jan-04-2026,Missouri,Railey Jackson,9.8750,,9.8500,
Missouri,2026,1,no meet title,Jan-04-2026,Missouri,Addison Lawrence,,9.9000,9.9500,
Missouri,2026,1,no meet title,Jan-04-2026,Missouri,Rayna Light,,9.2500,,
Missouri,2026,1,no meet title,Jan-04-2026,Missouri,Lauren Macpherson,,9.8750,9.9000,
Missouri,2026,1,no meet title,Jan-04-2026,Missouri,Kaia Tanskanen,9.8000,,9.0000,9.8500
Missouri,2026,1,no meet title,Jan-04-2026,Missouri,Elise Tisler,9.8000,,,9.9000
Missouri,2026,1,no meet title,Jan-04-2026,Missouri,Amy Wier,,,9.9000,
Missouri,2026,2,no meet title,Jan-10-2026,Nebraska,Ayla Acevedo,,,,9.8750
Missouri,2026,2,no meet title,Jan-10-2026,Nebraska,Kimarra Echols,9.8250,9.9250,,
Missouri,2026,2,no meet title,Jan-10-2026,Nebraska,Makayla Green,,9.8250,,
Missouri,2026,2,no meet title,Jan-10-2026,Nebraska,Kennedy Griffin,9.8250,,9.5750,9.8750
Missouri,2026,2,no meet title,Jan-10-2026,Nebraska,Hannah Horton,9.9750,9.8500,,9.9250
Missouri,2026,2,no meet title,Jan-10-2026,Nebraska,Railey Jackson,9.8000,,9.8750,9.8250
Missouri,2026,2,no meet title,Jan-10-2026,Nebraska,Olivia Kelly,,9.8500,9.8500,
Missouri,2026,2,no meet title,Jan-10-2026,Nebraska,Addison Lawrence,,9.7750,9.9500,
Missouri,2026,2,no meet title,Jan-10-2026,Nebraska,Lauren Macpherson,,9.7500,9.8750,
Missouri,2026,2,no meet title,Jan-10-2026,Nebraska,Kaia Tanskanen,9.7250,,,9.8250
Missouri,2026,2,no meet title,Jan-10-2026,Nebraska,Elise Tisler,9.8750,,,9.8500
Missouri,2026,2,no meet title,Jan-10-2026,Nebraska,Amy Wier,,,9.8500,
Missouri,2026,3,no meet title,Jan-16-2026,Missouri,Ayla Acevedo,,,,9.9000
Missouri,2026,3,no meet title,Jan-16-2026,Missouri,Kimarra Echols,9.8500,9.8250,,
Missouri,2026,3,no meet title,Jan-16-2026,Missouri,Makayla Green,,9.7250,,
Missouri,2026,3,no meet title,Jan-16-2026,Missouri,Kennedy Griffin,9.8500,,,9.9250
Missouri,2026,3,no meet title,Jan-16-2026,Missouri,Hannah Horton,9.9000,9.8000,,9.9250
Missouri,2026,3,no meet title,Jan-16-2026,Missouri,Railey Jackson,9.8500,,9.8000,9.8250
Missouri,2026,3,no meet title,Jan-16-2026,Missouri,Olivia Kelly,,9.7500,9.9000,
Missouri,2026,3,no meet title,Jan-16-2026,Missouri,Addison Lawrence,,9.5000,9.8750,
Missouri,2026,3,no meet title,Jan-16-2026,Missouri,Lauren Macpherson,,9.7250,9.9000,
Missouri,2026,3,no meet title,Jan-16-2026,Missouri,Kaia Tanskanen,9.8000,,9.8750,9.8250
Missouri,2026,3,no meet title,Jan-16-2026,Missouri,Elise Tisler,9.8500,,,9.8500
Missouri,2026,3,no meet title,Jan-16-2026,Missouri,Amy Wier,,,9.8250,
Missouri,2026,4,no meet title,Jan-23-2026,Alabama,Ayla Acevedo,9.8000,,,9.8250
Missouri,2026,4,no meet title,Jan-23-2026,Alabama,Kimarra Echols,9.9000,9.9500,,
Missouri,2026,4,no meet title,Jan-23-2026,Alabama,Makayla Green,,9.8250,,
Missouri,2026,4,no meet title,Jan-23-2026,Alabama,Kennedy Griffin,9.7750,,9.7750,9.9250
Missouri,2026,4,no meet title,Jan-23-2026,Alabama,Hannah Horton,9.8750,9.8250,,9.8000
Missouri,2026,4,no meet title,Jan-23-2026,Alabama,Railey Jackson,9.7750,,9.9500,9.8500
Missouri,2026,4,no meet title,Jan-23-2026,Alabama,Olivia Kelly,,9.8250,9.9000,
Missouri,2026,4,no meet title,Jan-23-2026,Alabama,Addison Lawrence,,,9.9500,
