team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Nebraska,2026,1,no meet title,Jan-10-2026,Nebraska,Reese Baechle,9.8500,,,9.7500
Nebraska,2026,1,no meet title,Jan-10-2026,Nebraska,Olivia Burns,,9.7250,9.8000,
Nebraska,2026,1,no meet title,Jan-10-2026,Nebraska,Allie Gard,,,9.0750,8.7250
Nebraska,2026,1,no meet title,Jan-10-2026,Nebraska,Karys Griffin,9.7500,9.6500,,
Nebraska,2026,1,no meet title,Jan-10-2026,Nebraska,Lauren Homecillo,,,9.8000,9.8250
Nebraska,2026,1,no meet title,Jan-10-2026,Nebraska,Whitney Jencks,9.7750,9.8000,9.1750,9.8250
Nebraska,2026,1,no meet title,Jan-10-2026,Nebraska,Nya Kraus,,9.7750,9.5750,9.6000
Nebraska,2026,1,no meet title,Jan-10-2026,Nebraska,Payton Pech,9.6750,,,
Nebraska,2026,1,no meet title,Jan-10-2026,Nebraska,Molly Peterson,,9.8000,,
Nebraska,2026,1,no meet title,Jan-10-2026,Nebraska,Tegan Shaver,9.8000,,,
Nebraska,2026,1,no meet title,Jan-10-2026,Nebraska,Isabel Sikon,9.8500,9.1250,9.6500,9.8250
Nebraska,2026,2,no meet title,Jan-17-2026,UCLA,Reese Baechle,9.8000,,,9.6500
Nebraska,2026,2,no meet title,Jan-17-2026,UCLA,Olivia Burns,,9.7500,9.0750,
Nebraska,2026,2,no meet title,Jan-17-2026,UCLA,Allie Gard,,,9.7500,9.7000
Nebraska,2026,2,no meet title,Jan-17-2026,UCLA,Karys Griffin,9.6750,9.6000,,
Nebraska,2026,2,no meet title,Jan-17-2026,UCLA,Lauren Homecillo,,,9.8250,9.8500
Nebraska,2026,2,no meet title,Jan-17-2026,UCLA,Whitney Jencks,9.6750,9.8500,9.7250,9.7000
Nebraska,2026,2,no meet title,Jan-17-2026,UCLA,Nya Kraus,,9.7750,9.8250,9.6500
Nebraska,2026,2,no meet title,Jan-17-2026,UCLA,Payton Pech,9.7500,,,
Nebraska,2026,2,no meet title,Jan-17-2026,UCLA,Molly Peterson,,9.8750,,
Nebraska,2026,2,no meet title,Jan-17-2026,UCLA,Tegan Shaver,9.7500,,,
Nebraska,2026,2,no meet title,Jan-17-2026,UCLA,Isabel Sikon,9.7000,9.8000,9.7750,9.7250
Nebraska,2026,3,no meet title,Jan-24-2026,Nebraska,Reese Baechle,9.7250,,,9.7500
Nebraska,2026,3,no meet title,Jan-24-2026,Nebraska,Olivia Burns,,9.8500,9.7250,8.0000
Nebraska,2026,3,no meet title,Jan-24-2026,Nebraska,Allie Gard,,,9.7750,9.7250
Nebraska,2026,3,no meet title,Jan-24-2026,Nebraska,Karys Griffin,9.8000,9.7250,,
Nebraska,2026,3,no meet title,Jan-24-2026,Nebraska,Lauren Homecillo,,,9.8250,9.8500
Nebraska,2026,3,no meet title,Jan-24-2026,Nebraska,Whitney Jencks,,9.8000,9.7750,9.7750
Nebraska,2026,3,no meet title,Jan-24-2026,Nebraska,Nya Kraus,,9.7000,9.8750,
Nebraska,2026,3,no meet title,Jan-24-2026,Nebraska,Payton Pech,9.7750,,,
Nebraska,2026,3,no meet title,Jan-24-2026,Nebraska,Molly Peterson,9.8000,9.7750,,
Nebraska,2026,3,no meet title,Jan-24-2026,Nebraska,Tegan Shaver,9.7250,,,
Nebraska,2026,3,no meet title,Jan-24-2026,Nebraska,Isabel Sikon,9.7500,9.8250,9.8250,9.6000
Nebraska,2026,4,no meet title,Jan-31-2026,Nebraska,Reese Baechle,9.7500,,,9.8000
Nebraska,2026,4,no meet title,Jan-31-2026,Nebraska,Olivia Burns,,9.7250,9.8250,
