team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
New Hampshire,2026,1,no meet title,Jan-09-2026,Maryland,Zoe Arthur,,9.8000,,
New Hampshire,2026,1,no meet title,Jan-09-2026,Maryland,Stacy Boss,,,,9.6250
New Hampshire,2026,1,no meet title,Jan-09-2026,Maryland,Mady Harvey,9.6750,9.6750,9.7750,
New Hampshire,2026,1,no meet title,Jan-09-2026,Maryland,Riley Himes,,,9.0250,9.7250
New Hampshire,2026,1,no meet title,Jan-09-2026,Maryland,Amelia Lannon,9.7000,,9.7250,
New Hampshire,2026,1,no meet title,Jan-09-2026,Maryland,McCall McMullen,,,,9.7250
New Hampshire,2026,1,no meet title,Jan-09-2026,Maryland,Poulina Minaev,9.6250,9.7000,9.5500,9.8000
New Hampshire,2026,1,no meet title,Jan-09-2026,Maryland,Leah Moreno,9.7000,9.7500,,
New Hampshire,2026,1,no meet title,Jan-09-2026,Maryland,Serena Mullin,9.5750,9.8000,9.6750,9.8250
New Hampshire,2026,1,no meet title,Jan-09-2026,Maryland,Peyton Novinger,,9.7250,,
New Hampshire,2026,1,no meet title,Jan-09-2026,Maryland,Gwen Ockerbloom,9.7750,,9.8250,9.6000
New Hampshire,2026,2,no meet title,Jan-18-2026,New Hampshire,Zoe Arthur,,9.7750,,
New Hampshire,2026,2,no meet title,Jan-18-2026,New Hampshire,Stacy Boss,,,,9.6500
New Hampshire,2026,2,no meet title,Jan-18-2026,New Hampshire,Mady Harvey,9.7500,9.7250,9.9250,
New Hampshire,2026,2,no meet title,Jan-18-2026,New Hampshire,Riley Himes,,,9.7500,9.7500
New Hampshire,2026,2,no meet title,Jan-18-2026,New Hampshire,Amelia Lannon,9.8250,,9.6500,
New Hampshire,2026,2,no meet title,Jan-18-2026,New Hampshire,McCall McMullen,,,,9.8500
New Hampshire,2026,2,no meet title,Jan-18-2026,New Hampshire,Poulina Minaev,9.6500,9.6500,9.6500,9.9000
New Hampshire,2026,2,no meet title,Jan-18-2026,New Hampshire,Leah Moreno,9.7000,9.7750,,
New Hampshire,2026,2,no meet title,Jan-18-2026,New Hampshire,Serena Mullin,9.7250,9.8000,9.6500,9.8500
New Hampshire,2026,2,no meet title,Jan-18-2026,New Hampshire,Peyton Novinger,,9.7750,,
New Hampshire,2026,2,no meet title,Jan-18-2026,New Hampshire,Gwen Ockerbloom,9.7250,,9.7250,9.6250
New Hampshire,2026,3,no meet title,Jan-27-2026,Yale,Zoe Arthur,,9.0500,,
New Hampshire,2026,3,no meet title,Jan-27-2026,Yale,Stacy Boss,,,,9.7500
New Hampshire,2026,3,no meet title,Jan-27-2026,Yale,Mady Harvey,9.7750,9.8000,9.8750,
New Hampshire,2026,3,no meet title,Jan-27-2026,Yale,Riley Himes,,,9.8000,9.6750
New Hampshire,2026,3,no meet title,Jan-27-2026,Yale,Amelia Lannon,9.4750,,9.2500,
New Hampshire,2026,3,no meet title,Jan-27-2026,Yale,McCall McMullen,,,,9.8500
New Hampshire,2026,3,no meet title,Jan-27-2026,Yale,Poulina Minaev,9.5500,9.6000,9.6500,9.6750
New Hampshire,2026,3,no meet title,Jan-27-2026,Yale,Leah Moreno,9.3750,9.7000,,
New Hampshire,2026,3,no meet title,Jan-27-2026,Yale,Serena Mullin,9.8000,9.8250,9.7250,9.8750
New Hampshire,2026,3,no meet title,Jan-27-2026,Yale,Peyton Novinger,,8.9000,,
New Hampshire,2026,3,no meet title,Jan-27-2026,Yale,Gwen Ockerbloom,9.8000,,9.7750,9.8000
New Hampshire,2026,4,no meet title,Feb-01-2026,New Hampshire,Zoe Arthur,,9.7250,,
New Hampshire,2026,4,no meet title,Feb-01-2026,New Hampshire,Stacy Boss,9.5750,,,9.8000
New Hampshire,2026,4,no meet title,Feb-01-2026,New Hampshire,Mady Harvey,9.7000,9.0000,9.8750,
New Hampshire,2026,4,no meet title,Feb-01-2026,New Hampshire,Riley Himes,,,9.8500,9.7500
New Hampshire,2026,4,no meet title,Feb-01-2026,New Hampshire,Amelia Lannon,9.7250,,,
New Hampshire,2026,4,no meet title,Feb-01-2026,New Hampshire,McCall McMullen,9.7000,,9.7500,9.9250
New Hampshire,2026,4,no meet title,Feb-01-2026,New Hampshire,Poulina Minaev,,9.7000,9.0250,9.8250
New Hampshire,2026,4,no meet title,Feb-01-2026,New Hampshire,Leah Moreno,,9.8000,,
New Hampshire,2026,4,no meet title,Feb-01-2026,New Hampshire,Serena Mullin,9.7000,9.7250,9.7500,9.8750
New Hampshire,2026,4,no meet title,Feb-01-2026,New Hampshire,Peyton Novinger,,9.8250,,
New Hampshire,2026,4,no meet title,Feb-01-2026,New Hampshire,Gwen Ockerbloom,9.7750,,9.8250,9.8500
New Hampshire,2026,5,no meet title,Feb-08-2026,New Hampshire,Zoe Arthur,,9.7750,,
New Hampshire,2026,5,no meet title,Feb-08-2026,New Hampshire,Stacy Boss,9.7750,,,9.7750
New Hampshire,2026,5,no meet title,Feb-08-2026,New Hampshire,Mady Harvey,9.8250,9.7250,9.8500,
New Hampshire,2026,5,no meet title,Feb-08-2026,New Hampshire,Riley Himes,,,9.0000,9.6500
