team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
North Carolina State,2026,1,no meet title,Jan-09-2026,Auburn,Emerson Fisk,,,,9.8250
North Carolina State,2026,1,no meet title,Jan-09-2026,Auburn,Elle Hadrick,,9.7750,,9.8750
North Carolina State,2026,1,no meet title,Jan-09-2026,Auburn,Maddie Hall,9.7750,,9.4750,
North Carolina State,2026,1,no meet title,Jan-09-2026,Auburn,Katie Harper,,9.8000,9.7750,9.7750
North Carolina State,2026,1,no meet title,Jan-09-2026,Auburn,Ashley Knight,9.9250,,,
North Carolina State,2026,1,no meet title,Jan-09-2026,Auburn,Ava Myers,9.7500,9.7250,,
North Carolina State,2026,1,no meet title,Jan-09-2026,Auburn,Autumn Rardin,9.7250,,9.5000,9.8500
North Carolina State,2026,1,no meet title,Jan-09-2026,Auburn,Madeline Reid,,9.8750,,
North Carolina State,2026,1,no meet title,Jan-09-2026,Auburn,Jenna Rusk,,9.7750,,9.7500
North Carolina State,2026,1,no meet title,Jan-09-2026,Auburn,Adasyn Tackett,,,9.7500,
North Carolina State,2026,1,no meet title,Jan-09-2026,Auburn,Syniya Thomas,9.8500,,9.8500,9.9250
North Carolina State,2026,1,no meet title,Jan-09-2026,Auburn,Caroline Volk,,9.0000,9.8500,
North Carolina State,2026,1,no meet title,Jan-09-2026,Auburn,Lauren Wright,9.8500,,,
North Carolina State,2026,2,no meet title,Jan-17-2026,North Carolina State,Meg Adler,,,9.5750,9.0000
North Carolina State,2026,2,no meet title,Jan-17-2026,North Carolina State,Emerson Fisk,,,,9.8000
North Carolina State,2026,2,no meet title,Jan-17-2026,North Carolina State,Elle Hadrick,,9.8750,,9.9000
North Carolina State,2026,2,no meet title,Jan-17-2026,North Carolina State,Maddie Hall,9.8750,,,
North Carolina State,2026,2,no meet title,Jan-17-2026,North Carolina State,Katie Harper,,9.8500,9.7750,
North Carolina State,2026,2,no meet title,Jan-17-2026,North Carolina State,Ashley Knight,9.8500,,,
North Carolina State,2026,2,no meet title,Jan-17-2026,North Carolina State,Ava Myers,9.7250,9.7250,,
North Carolina State,2026,2,no meet title,Jan-17-2026,North Carolina State,Autumn Rardin,9.7500,,9.7250,9.8500
North Carolina State,2026,2,no meet title,Jan-17-2026,North Carolina State,Madeline Reid,,9.7750,,
North Carolina State,2026,2,no meet title,Jan-17-2026,North Carolina State,Jenna Rusk,,9.7250,,9.8500
North Carolina State,2026,2,no meet title,Jan-17-2026,North Carolina State,Adasyn Tackett,,,9.7250,
North Carolina State,2026,2,no meet title,Jan-17-2026,North Carolina State,Syniya Thomas,9.8000,,9.8000,9.9000
North Carolina State,2026,2,no meet title,Jan-17-2026,North Carolina State,Caroline Volk,,9.6250,9.7750,
North Carolina State,2026,2,no meet title,Jan-17-2026,North Carolina State,Lauren Wright,9.8000,,,
North Carolina State,2026,3,no meet title,Jan-24-2026,California,Emerson Fisk,9.6500,,,9.5250
North Carolina State,2026,3,no meet title,Jan-24-2026,California,Elle Hadrick,,9.8750,,9.8250
North Carolina State,2026,3,no meet title,Jan-24-2026,California,Maddie Hall,,,9.7250,
North Carolina State,2026,3,no meet title,Jan-24-2026,California,Katie Harper,,9.7500,9.2250,9.7750
North Carolina State,2026,3,no meet title,Jan-24-2026,California,Ashley Knight,9.8000,,,
North Carolina State,2026,3,no meet title,Jan-24-2026,California,Ava Myers,9.8250,9.7750,,
North Carolina State,2026,3,no meet title,Jan-24-2026,California,Autumn Rardin,9.7000,,9.8000,9.8250
North Carolina State,2026,3,no meet title,Jan-24-2026,California,Madeline Reid,,9.8000,,
North Carolina State,2026,3,no meet title,Jan-24-2026,California,Jenna Rusk,,9.6500,,9.8000
North Carolina State,2026,3,no meet title,Jan-24-2026,California,Adasyn Tackett,,,9.8500,
North Carolina State,2026,3,no meet title,Jan-24-2026,California,Syniya Thomas,9.8250,,9.7750,9.8500
North Carolina State,2026,3,no meet title,Jan-24-2026,California,Caroline Volk,,9.6750,9.5750,
North Carolina State,2026,3,no meet title,Jan-24-2026,California,Lauren Wright,9.7500,,,
North Carolina State,2026,4,no meet title,Feb-01-2026,Pittsburgh,Emerson Fisk,9.6000,,,9.7250
North Carolina State,2026,4,no meet title,Feb-01-2026,Pittsburgh,Elle Hadrick,9.6500,9.8750,,9.9000
North Carolina State,2026,4,no meet title,Feb-01-2026,Pittsburgh,Maddie Hall,,,9.7750,
North Carolina State,2026,4,no meet title,Feb-01-2026,Pittsburgh,Katie Harper,,9.1500,9.6000,9.4750
