team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
North Carolina,2026,1,no meet title,Jan-09-2026,Florida,Hannah Aoki,,,9.8500,9.8250
North Carolina,2026,1,no meet title,Jan-09-2026,Florida,Gwen Fink,9.8750,9.8750,9.8750,9.8500
North Carolina,2026,1,no meet title,Jan-09-2026,Florida,Kaya Forbes,9.9250,9.7750,,9.8500
North Carolina,2026,1,no meet title,Jan-09-2026,Florida,Elly King,9.8000,,,9.6750
North Carolina,2026,1,no meet title,Jan-09-2026,Florida,Neve King,,9.7500,9.5750,
North Carolina,2026,1,no meet title,Jan-09-2026,Florida,Jessica Naranjo,,,9.5000,9.8750
North Carolina,2026,1,no meet title,Jan-09-2026,Florida,Paige Prejean,9.8500,9.8000,,
North Carolina,2026,1,no meet title,Jan-09-2026,Florida,Sydney Seabrooks,9.8000,,9.8000,9.9500
North Carolina,2026,1,no meet title,Jan-09-2026,Florida,Anna Pearl Stanley,,9.8250,,
North Carolina,2026,1,no meet title,Jan-09-2026,Florida,Claire Stippich,,9.7750,,
North Carolina,2026,1,no meet title,Jan-09-2026,Florida,JoJo Valahovic,9.8750,,9.8500,
North Carolina,2026,2,no meet title,Jan-18-2026,North Carolina,Hannah Aoki,,,9.1000,9.7750
North Carolina,2026,2,no meet title,Jan-18-2026,North Carolina,Gwen Fink,9.8000,9.8250,9.9000,9.8500
North Carolina,2026,2,no meet title,Jan-18-2026,North Carolina,Kaya Forbes,9.8750,9.7500,,9.8750
North Carolina,2026,2,no meet title,Jan-18-2026,North Carolina,Elly King,9.7250,,,9.5250
North Carolina,2026,2,no meet title,Jan-18-2026,North Carolina,Neve King,,9.7000,9.8500,
North Carolina,2026,2,no meet title,Jan-18-2026,North Carolina,Jessica Naranjo,,,9.8500,9.8500
North Carolina,2026,2,no meet title,Jan-18-2026,North Carolina,Paige Prejean,9.8000,9.0500,,
North Carolina,2026,2,no meet title,Jan-18-2026,North Carolina,Sydney Seabrooks,9.7500,,9.7500,9.9500
North Carolina,2026,2,no meet title,Jan-18-2026,North Carolina,Anna Pearl Stanley,,9.8000,,
North Carolina,2026,2,no meet title,Jan-18-2026,North Carolina,Claire Stippich,,9.7000,,
North Carolina,2026,2,no meet title,Jan-18-2026,North Carolina,JoJo Valahovic,9.9000,,9.8500,
North Carolina,2026,3,no meet title,Jan-23-2026,North Carolina,Hannah Aoki,,,,9.8250
North Carolina,2026,3,no meet title,Jan-23-2026,North Carolina,Gwen Fink,,9.8500,9.7250,9.8250
North Carolina,2026,3,no meet title,Jan-23-2026,North Carolina,Kaya Forbes,9.8750,,,9.8500
North Carolina,2026,3,no meet title,Jan-23-2026,North Carolina,Elly King,9.8250,,,9.8000
North Carolina,2026,3,no meet title,Jan-23-2026,North Carolina,Neve King,9.7750,9.6750,9.7250,
North Carolina,2026,3,no meet title,Jan-23-2026,North Carolina,Jessica Naranjo,,,9.8500,9.8750
North Carolina,2026,3,no meet title,Jan-23-2026,North Carolina,Paige Prejean,9.8500,9.8250,,
North Carolina,2026,3,no meet title,Jan-23-2026,North Carolina,Sydney Seabrooks,9.8250,9.7250,9.8750,9.8500
North Carolina,2026,3,no meet title,Jan-23-2026,North Carolina,Anna Pearl Stanley,,9.7500,,
