team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Northern Illinois,2026,1,no meet title,Jan-11-2026,Kent State,Deziray Boykin,,9.4750,,
Northern Illinois,2026,1,no meet title,Jan-11-2026,Kent State,Audrey Brenner,9.7500,,,
Northern Illinois,2026,1,no meet title,Jan-11-2026,Kent State,Makenna Brooks,,,9.6500,
Northern Illinois,2026,1,no meet title,Jan-11-2026,Kent State,Mikayla Brown,,,9.6250,9.7500
Northern Illinois,2026,1,no meet title,Jan-11-2026,Kent State,Jocelyn Harbeck,9.6750,,9.7250,9.5750
Northern Illinois,2026,1,no meet title,Jan-11-2026,Kent State,Maria King,,9.0000,,
Northern Illinois,2026,1,no meet title,Jan-11-2026,Kent State,Ashlie Leage,,9.7500,,
Northern Illinois,2026,1,no meet title,Jan-11-2026,Kent State,Samantha Nickle,9.5750,,9.4250,9.7000
Northern Illinois,2026,1,no meet title,Jan-11-2026,Kent State,Elizabeth Poncin,,8.2500,,
Northern Illinois,2026,1,no meet title,Jan-11-2026,Kent State,Avery Riiff,,8.8750,9.8000,9.6750
Northern Illinois,2026,1,no meet title,Jan-11-2026,Kent State,Dawsyn Sallee,9.7500,,,
Northern Illinois,2026,1,no meet title,Jan-11-2026,Kent State,Alanah Wallace,9.7250,,,9.7250
Northern Illinois,2026,1,no meet title,Jan-11-2026,Kent State,Drake White,9.5500,9.1000,9.5750,9.7750
Northern Illinois,2026,2,no meet title,Jan-17-2026,Eastern Michigan,Deziray Boykin,,9.6500,,
Northern Illinois,2026,2,no meet title,Jan-17-2026,Eastern Michigan,Audrey Brenner,9.5750,,,
Northern Illinois,2026,2,no meet title,Jan-17-2026,Eastern Michigan,Makenna Brooks,,9.5750,9.2250,
Northern Illinois,2026,2,no meet title,Jan-17-2026,Eastern Michigan,Mikayla Brown,,,9.7250,9.7500
Northern Illinois,2026,2,no meet title,Jan-17-2026,Eastern Michigan,Jocelyn Harbeck,9.7500,,9.0750,9.6750
Northern Illinois,2026,2,no meet title,Jan-17-2026,Eastern Michigan,Maria King,,8.9000,,
Northern Illinois,2026,2,no meet title,Jan-17-2026,Eastern Michigan,Samantha Nickle,9.7000,,9.6250,9.7500
Northern Illinois,2026,2,no meet title,Jan-17-2026,Eastern Michigan,Elizabeth Poncin,,9.7500,,
Northern Illinois,2026,2,no meet title,Jan-17-2026,Eastern Michigan,Avery Riiff,,9.5500,9.5000,9.5500
Northern Illinois,2026,2,no meet title,Jan-17-2026,Eastern Michigan,Dawsyn Sallee,9.7750,,,
Northern Illinois,2026,2,no meet title,Jan-17-2026,Eastern Michigan,Alanah Wallace,9.8000,,,9.8000
Northern Illinois,2026,2,no meet title,Jan-17-2026,Eastern Michigan,Drake White,9.7500,9.6250,9.4250,9.8000
Northern Illinois,2026,3,no meet title,Jan-24-2026,Northern Illinois,Deziray Boykin,,8.7500,9.0000,
Northern Illinois,2026,3,no meet title,Jan-24-2026,Northern Illinois,Audrey Brenner,9.7000,,,
Northern Illinois,2026,3,no meet title,Jan-24-2026,Northern Illinois,Mikayla Brown,,,9.0500,9.7750
Northern Illinois,2026,3,no meet title,Jan-24-2026,Northern Illinois,Jocelyn Harbeck,9.7000,,9.7000,9.7250
Northern Illinois,2026,3,no meet title,Jan-24-2026,Northern Illinois,Maria King,,9.4500,,
Northern Illinois,2026,3,no meet title,Jan-24-2026,Northern Illinois,Samantha Nickle,9.6000,,9.6500,9.5750
Northern Illinois,2026,3,no meet title,Jan-24-2026,Northern Illinois,Elizabeth Poncin,,8.5000,,
Northern Illinois,2026,3,no meet title,Jan-24-2026,Northern Illinois,Avery Riiff,,9.7000,9.8250,9.6500
Northern Illinois,2026,3,no meet title,Jan-24-2026,Northern Illinois,Isabella Ross,,8.3000,,
Northern Illinois,2026,3,no meet title,Jan-24-2026,Northern Illinois,Dawsyn Sallee,9.8250,,9.7750,
Northern Illinois,2026,3,no meet title,Jan-24-2026,Northern Illinois,Alanah Wallace,9.7250,,,9.7500
Northern Illinois,2026,3,no meet title,Jan-24-2026,Northern Illinois,Drake White,9.7000,9.4000,,9.7000
Northern Illinois,2026,4,no meet title,Feb-01-2026,Northern Illinois,Deziray Boykin,,8.8250,,
Northern Illinois,2026,4,no meet title,Feb-01-2026,Northern Illinois,Audrey Brenner,9.7250,,,
Northern Illinois,2026,4,no meet title,Feb-01-2026,Northern Illinois,Makenna Brooks,,9.6500,9.6750,
Northern Illinois,2026,4,no meet title,Feb-01-2026,Northern Illinois,Mikayla Brown,,,9.8000,9.8000
Northern Illinois,2026,4,no meet title,Feb-01-2026,Northern Illinois,Jocelyn Harbeck,9.5250,,9.5000,9.7250
Northern Illinois,2026,4,no meet title,Feb-01-2026,Northern Illinois,Maria King,,9.7500,,
Northern Illinois,2026,4,no meet title,Feb-01-2026,Northern Illinois,Samantha Nickle,9.4500,,9.6000,9.6500
Northern Illinois,2026,4,no meet title,Feb-01-2026,Northern Illinois,Elizabeth Poncin,,9.7750,,
Northern Illinois,2026,4,no meet title,Feb-01-2026,Northern Illinois,Avery Riiff,,9.1000,9.5500,9.7000
