team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Ohio State,2026,1,no meet title,Jan-10-2026,Ohio State,JJ Coleman,9.1500,,,9.9250
Ohio State,2026,1,no meet title,Jan-10-2026,Ohio State,Mary Green,,,,
Ohio State,2026,1,no meet title,Jan-10-2026,Ohio State,Kaitlyn Grimes,9.7500,9.7750,,9.9250
Ohio State,2026,1,no meet title,Jan-10-2026,Ohio State,Rylee Guevara,,,9.8250,9.8250
Ohio State,2026,1,no meet title,Jan-10-2026,Ohio State,Payton Harris,,9.8750,,
Ohio State,2026,1,no meet title,Jan-10-2026,Ohio State,Ava Jackson,,9.6000,9.7500,9.7500
Ohio State,2026,1,no meet title,Jan-10-2026,Ohio State,Natalie Martin,9.7750,,9.8000,9.8500
Ohio State,2026,1,no meet title,Jan-10-2026,Ohio State,Courtney McCann,,9.7500,9.8250,
Ohio State,2026,1,no meet title,Jan-10-2026,Ohio State,Jaylyn Pomager,9.7500,9.8000,,
Ohio State,2026,1,no meet title,Jan-10-2026,Ohio State,Cameron Smith,9.8500,,,
Ohio State,2026,1,no meet title,Jan-10-2026,Ohio State,Tory Vetter,9.8500,9.7750,9.1250,9.8500
Ohio State,2026,1,no meet title,Jan-10-2026,Ohio State,Grace Walker,,,9.7250,
Ohio State,2026,2,no meet title,Jan-17-2026,Rutgers,Samara Buchanan,,9.7250,,
Ohio State,2026,2,no meet title,Jan-17-2026,Rutgers,JJ Coleman,9.8000,,,9.9000
Ohio State,2026,2,no meet title,Jan-17-2026,Rutgers,Kaitlyn Grimes,9.7500,9.6750,,9.8500
Ohio State,2026,2,no meet title,Jan-17-2026,Rutgers,Rylee Guevara,,,9.8500,9.8250
Ohio State,2026,2,no meet title,Jan-17-2026,Rutgers,Ava Jackson,,9.0250,9.7250,9.6750
Ohio State,2026,2,no meet title,Jan-17-2026,Rutgers,Natalie Martin,9.7750,,9.7500,9.8250
Ohio State,2026,2,no meet title,Jan-17-2026,Rutgers,Courtney McCann,,9.7500,9.8500,
Ohio State,2026,2,no meet title,Jan-17-2026,Rutgers,Jaylyn Pomager,9.8000,9.7250,,
Ohio State,2026,2,no meet title,Jan-17-2026,Rutgers,Cameron Smith,9.7250,,,
Ohio State,2026,2,no meet title,Jan-17-2026,Rutgers,Tory Vetter,9.8500,9.8250,9.7250,9.7750
Ohio State,2026,2,no meet title,Jan-17-2026,Rutgers,Grace Walker,,,9.6500,
Ohio State,2026,3,no meet title,Jan-24-2026,Ohio State,Baylie Belman,,,,9.9000
Ohio State,2026,3,no meet title,Jan-24-2026,Ohio State,JJ Coleman,9.3250,,,9.9000
Ohio State,2026,3,no meet title,Jan-24-2026,Ohio State,Kaitlyn Grimes,9.8000,9.7500,,9.8500
Ohio State,2026,3,no meet title,Jan-24-2026,Ohio State,Rylee Guevara,,,9.8500,9.8500
Ohio State,2026,3,no meet title,Jan-24-2026,Ohio State,Ava Jackson,,9.7750,9.8000,
Ohio State,2026,3,no meet title,Jan-24-2026,Ohio State,Natalie Martin,9.2000,,9.8000,9.8250
Ohio State,2026,3,no meet title,Jan-24-2026,Ohio State,Courtney McCann,,9.7000,9.0000,
Ohio State,2026,3,no meet title,Jan-24-2026,Ohio State,Jaylyn Pomager,9.8250,9.8250,,
Ohio State,2026,3,no meet title,Jan-24-2026,Ohio State,Maisyn Rader,,9.8000,,
Ohio State,2026,3,no meet title,Jan-24-2026,Ohio State,Cameron Smith,9.8250,,9.7750,
Ohio State,2026,3,no meet title,Jan-24-2026,Ohio State,Tory Vetter,9.7500,9.8750,9.8750,9.8500
Ohio State,2026,4,no meet title,Jan-31-2026,Nebraska,Baylie Belman,,,,9.8000
Ohio State,2026,4,no meet title,Jan-31-2026,Nebraska,Sadie Jane Berry,,9.7750,,
Ohio State,2026,4,no meet title,Jan-31-2026,Nebraska,JJ Coleman,9.8750,,,9.9250
Ohio State,2026,4,no meet title,Jan-31-2026,Nebraska,Kaitlyn Grimes,9.8500,9.7250,,9.8000
Ohio State,2026,4,no meet title,Jan-31-2026,Nebraska,Rylee Guevara,,,9.9250,9.8500
Ohio State,2026,4,no meet title,Jan-31-2026,Nebraska,Ava Jackson,,9.4000,9.9250,
Ohio State,2026,4,no meet title,Jan-31-2026,Nebraska,Natalie Martin,9.8500,,9.8500,9.6250
Ohio State,2026,4,no meet title,Jan-31-2026,Nebraska,Courtney McCann,,,9.8250,
Ohio State,2026,4,no meet title,Jan-31-2026,Nebraska,Jaylyn Pomager,9.7750,9.7750,,
Ohio State,2026,4,no meet title,Jan-31-2026,Nebraska,Maisyn Rader,,9.8250,,
Ohio State,2026,4,no meet title,Jan-31-2026,Nebraska,Cameron Smith,9.8500,,9.7250,
Ohio State,2026,4,no meet title,Jan-31-2026,Nebraska,Tory Vetter,9.8750,9.7500,9.9000,9.6750
Ohio State,2026,5,no meet title,Feb-07-2026,Ohio State,Baylie Belman,,,,9.8500
Ohio State,2026,5,no meet title,Feb-07-2026,Ohio State,Sadie Jane Berry,,9.7750,,
Ohio State,2026,5,no meet title,Feb-07-2026,Ohio State,JJ Coleman,9.9000,,,9.8750
Ohio State,2026,5,no meet title,Feb-07-2026,Ohio State,Mary Green,,,,9.7250
Ohio State,2026,5,no meet title,Feb-07-2026,Ohio State,Kaitlyn Grimes,9.8250,9.0000,,9.8750
Ohio State,2026,5,no meet title,Feb-07-2026,Ohio State,Rylee Guevara,,,9.8500,9.8750
Ohio State,2026,5,no meet title,Feb-07-2026,Ohio State,Ava Jackson,,9.8500,9.6000,
Ohio State,2026,5,no meet title,Feb-07-2026,Ohio State,Natalie Martin,9.8750,,9.9000,
Ohio State,2026,5,no meet title,Feb-07-2026,Ohio State,Courtney McCann,,,9.8500,
Ohio State,2026,5,no meet title,Feb-07-2026,Ohio State,Jaylyn Pomager,9.8000,9.7750,,
Ohio State,2026,5,no meet title,Feb-07-2026,Ohio State,Maisyn Rader,,9.7500,,
Ohio State,2026,5,no meet title,Feb-07-2026,Ohio State,Cameron Smith,9.8500,,9.8750,
Ohio State,2026,5,no meet title,Feb-07-2026,Ohio State,Tory Vetter,9.8500,9.9000,9.8750,9.9000
Ohio State,2026,6,no meet title,Feb-14-2026,Ohio State,Baylie Belman,,,,9.9250
Ohio State,2026,6,no meet title,Feb-14-2026,Ohio State,Sadie Jane Berry,,9.7500,,
Ohio State,2026,6,no meet title,Feb-14-2026,Ohio State,Samara Buchanan,,,,
