team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Oklahoma,2026,1,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Elizabeth Blessey,9.8000,,,
Oklahoma,2026,1,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Mackenzie Estep,9.9000,9.9000,,9.9250
Oklahoma,2026,1,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Addison Fatta,9.8750,9.9250,9.8500,9.8000
Oklahoma,2026,1,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Elle Mueller,,,,9.8750
Oklahoma,2026,1,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Ella Murphy,,9.9250,9.9250,
Oklahoma,2026,1,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Kamila Pawlak,,,,9.7750
Oklahoma,2026,1,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Lily Pederson,9.8250,9.8250,9.8250,9.7750
Oklahoma,2026,1,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Hannah Scheible,,9.9000,9.9500,
Oklahoma,2026,1,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Kelsey Slade,,,,9.8000
Oklahoma,2026,1,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Faith Torrez,9.9250,9.8250,9.9500,
Oklahoma,2026,1,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Keira Wells,9.8250,,9.8000,
Oklahoma,2026,2,no meet title,Jan-16-2026,Missouri,Elizabeth Blessey,9.9250,,,
Oklahoma,2026,2,no meet title,Jan-16-2026,Missouri,Mackenzie Estep,9.9250,9.8250,,9.8750
Oklahoma,2026,2,no meet title,Jan-16-2026,Missouri,Addison Fatta,9.9000,9.1000,9.9000,9.8750
Oklahoma,2026,2,no meet title,Jan-16-2026,Missouri,Elle Mueller,,,,9.8500
Oklahoma,2026,2,no meet title,Jan-16-2026,Missouri,Ella Murphy,,9.8500,9.9250,9.8750
Oklahoma,2026,2,no meet title,Jan-16-2026,Missouri,Kamila Pawlak,,,,9.8000
Oklahoma,2026,2,no meet title,Jan-16-2026,Missouri,Lily Pederson,9.8000,9.8250,9.8000,
Oklahoma,2026,2,no meet title,Jan-16-2026,Missouri,Hannah Scheible,,9.7750,8.8750,
Oklahoma,2026,2,no meet title,Jan-16-2026,Missouri,Kelsey Slade,,,,9.8000
Oklahoma,2026,2,no meet title,Jan-16-2026,Missouri,Faith Torrez,9.9000,9.8250,9.9500,
Oklahoma,2026,2,no meet title,Jan-16-2026,Missouri,Keira Wells,9.9250,,9.9000,
Oklahoma,2026,3,no meet title,Jan-23-2026,Oklahoma,Elizabeth Blessey,9.9000,,,
Oklahoma,2026,3,no meet title,Jan-23-2026,Oklahoma,Mackenzie Estep,9.9750,9.9250,,9.9250
Oklahoma,2026,3,no meet title,Jan-23-2026,Oklahoma,Addison Fatta,9.9500,9.9250,9.9500,9.9250
Oklahoma,2026,3,no meet title,Jan-23-2026,Oklahoma,Elle Mueller,9.9000,,9.8250,9.9250
Oklahoma,2026,3,no meet title,Jan-23-2026,Oklahoma,Ella Murphy,,9.8000,9.9500,9.9250
Oklahoma,2026,3,no meet title,Jan-23-2026,Oklahoma,Kamila Pawlak,,,,9.9500
Oklahoma,2026,3,no meet title,Jan-23-2026,Oklahoma,Lily Pederson,9.8500,9.8250,9.8500,9.9250
Oklahoma,2026,3,no meet title,Jan-23-2026,Oklahoma,Hannah Scheible,,9.9250,,
Oklahoma,2026,3,no meet title,Jan-23-2026,Oklahoma,Faith Torrez,,9.8750,9.9750,
Oklahoma,2026,3,no meet title,Jan-23-2026,Oklahoma,Keira Wells,9.9000,,9.9500,
