team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Oregon State,2026,1,no meet title,Jan-03-2026,Washington,Olivia Buckner,9.6750,,9.7000,
Oregon State,2026,1,no meet title,Jan-03-2026,Washington,Francesca Caso,,9.7000,,
Oregon State,2026,1,no meet title,Jan-03-2026,Washington,Kaylee Cheek,,8.4000,9.8500,
Oregon State,2026,1,no meet title,Jan-03-2026,Washington,Kyanna Crabb,9.7500,,,
Oregon State,2026,1,no meet title,Jan-03-2026,Washington,Taylor DeVries,,9.9250,,9.6500
Oregon State,2026,1,no meet title,Jan-03-2026,Washington,Sophia Esposito,9.8500,,9.8250,9.8000
Oregon State,2026,1,no meet title,Jan-03-2026,Washington,Mia Heather,,,9.8000,
Oregon State,2026,1,no meet title,Jan-03-2026,Washington,Sophia Kaloudis,,,,9.7750
Oregon State,2026,1,no meet title,Jan-03-2026,Washington,Lauren Letzsch,,,9.8500,
Oregon State,2026,1,no meet title,Jan-03-2026,Washington,Reina Marchal,,,,9.7000
Oregon State,2026,1,no meet title,Jan-03-2026,Washington,Savannah Miller,9.7250,9.7500,,9.7000
Oregon State,2026,1,no meet title,Jan-03-2026,Washington,Camryn Richardson,9.8500,9.8250,,
Oregon State,2026,1,no meet title,Jan-03-2026,Washington,Katie Rude,9.3750,,,
Oregon State,2026,1,no meet title,Jan-03-2026,Washington,Paulina Vargas,,,,9.7000
Oregon State,2026,1,no meet title,Jan-03-2026,Washington,Ellie Weaver,,9.7500,9.7500,
Oregon State,2026,2,no meet title,Jan-09-2026,BYU,Olivia Buckner,9.8000,,9.5000,
Oregon State,2026,2,no meet title,Jan-09-2026,BYU,Francesca Caso,,9.7500,,
Oregon State,2026,2,no meet title,Jan-09-2026,BYU,Kaylee Cheek,,9.6750,9.6500,
Oregon State,2026,2,no meet title,Jan-09-2026,BYU,Kyanna Crabb,9.6750,,,
Oregon State,2026,2,no meet title,Jan-09-2026,BYU,Taylor DeVries,,9.1750,,
Oregon State,2026,2,no meet title,Jan-09-2026,BYU,Sophia Esposito,9.8000,,9.6500,9.9000
Oregon State,2026,2,no meet title,Jan-09-2026,BYU,Mia Heather,,,9.7750,
Oregon State,2026,2,no meet title,Jan-09-2026,BYU,Sophia Kaloudis,,,,9.7250
Oregon State,2026,2,no meet title,Jan-09-2026,BYU,Lauren Letzsch,,,9.8000,
Oregon State,2026,2,no meet title,Jan-09-2026,BYU,Reina Marchal,,,,9.8500
Oregon State,2026,2,no meet title,Jan-09-2026,BYU,Savannah Miller,9.6750,9.6750,,9.8750
Oregon State,2026,2,no meet title,Jan-09-2026,BYU,Camryn Richardson,8.9500,9.8000,,9.7500
Oregon State,2026,2,no meet title,Jan-09-2026,BYU,Katie Rude,8.9250,,,
Oregon State,2026,2,no meet title,Jan-09-2026,BYU,Paulina Vargas,,,,9.8250
Oregon State,2026,2,no meet title,Jan-09-2026,BYU,Ellie Weaver,,9.8000,9.8500,
Oregon State,2026,3,no meet title,Jan-16-2026,Oregon State,Olivia Buckner,9.6750,,9.8750,9.8750
Oregon State,2026,3,no meet title,Jan-16-2026,Oregon State,Francesca Caso,,9.2000,,
Oregon State,2026,3,no meet title,Jan-16-2026,Oregon State,Kaylee Cheek,,9.7250,,
Oregon State,2026,3,no meet title,Jan-16-2026,Oregon State,Kyanna Crabb,9.8750,,,
Oregon State,2026,3,no meet title,Jan-16-2026,Oregon State,Sophia Esposito,9.8500,9.9000,9.8250,9.9250
Oregon State,2026,3,no meet title,Jan-16-2026,Oregon State,Mia Heather,,,9.7750,
Oregon State,2026,3,no meet title,Jan-16-2026,Oregon State,Sophia Kaloudis,,9.6750,9.6500,9.8500
Oregon State,2026,3,no meet title,Jan-16-2026,Oregon State,Lauren Letzsch,,,9.8750,
Oregon State,2026,3,no meet title,Jan-16-2026,Oregon State,Reina Marchal,9.7000,,,9.7000
Oregon State,2026,3,no meet title,Jan-16-2026,Oregon State,Savannah Miller,9.7500,9.8000,,9.8750
Oregon State,2026,3,no meet title,Jan-16-2026,Oregon State,Katie Rude,8.9000,,,
Oregon State,2026,3,no meet title,Jan-16-2026,Oregon State,Paulina Vargas,,,,9.8250
Oregon State,2026,3,no meet title,Jan-16-2026,Oregon State,Ellie Weaver,,9.9500,9.7750,
Oregon State,2026,4,no meet title,Jan-25-2026,Oregon State,Olivia Buckner,9.8500,,9.8000,9.7000
Oregon State,2026,4,no meet title,Jan-25-2026,Oregon State,Francesca Caso,,9.9000,,
Oregon State,2026,4,no meet title,Jan-25-2026,Oregon State,Kaylee Cheek,,9.8750,9.6250,
Oregon State,2026,4,no meet title,Jan-25-2026,Oregon State,Kyanna Crabb,9.8000,,,
Oregon State,2026,4,no meet title,Jan-25-2026,Oregon State,Sophia Esposito,9.8250,9.8000,9.8500,9.7500
Oregon State,2026,4,no meet title,Jan-25-2026,Oregon State,Mia Heather,,,9.9000,
Oregon State,2026,4,no meet title,Jan-25-2026,Oregon State,Lauren Letzsch,,,9.7750,
Oregon State,2026,4,no meet title,Jan-25-2026,Oregon State,Reina Marchal,9.6500,,,9.8250
Oregon State,2026,4,no meet title,Jan-25-2026,Oregon State,Savannah Miller,9.7750,9.7750,,9.9000
Oregon State,2026,4,no meet title,Jan-25-2026,Oregon State,Camryn Richardson,9.7000,9.9250,,9.7750
Oregon State,2026,4,no meet title,Jan-25-2026,Oregon State,Paulina Vargas,,,,9.8750
Oregon State,2026,4,no meet title,Jan-25-2026,Oregon State,Ellie Weaver,,9.9250,9.7750,
Oregon State,2026,5,no meet title,Jan-30-2026,Alabama,Olivia Buckner,9.8250,,9.8250,8.9500
Oregon State,2026,5,no meet title,Jan-30-2026,Alabama,Kaylee Cheek,,9.8500,9.8500,
Oregon State,2026,5,no meet title,Jan-30-2026,Alabama,Kyanna Crabb,9.7500,,,9.7250
Oregon State,2026,5,no meet title,Jan-30-2026,Alabama,Taylor DeVries,,9.7500,,
Oregon State,2026,5,no meet title,Jan-30-2026,Alabama,Sophia Esposito,9.8000,9.8000,9.8500,9.8750
Oregon State,2026,5,no meet title,Jan-30-2026,Alabama,Mia Heather,,,9.7500,
Oregon State,2026,5,no meet title,Jan-30-2026,Alabama,Lauren Letzsch,,,9.7500,
Oregon State,2026,5,no meet title,Jan-30-2026,Alabama,Reina Marchal,9.7000,,,9.6500
Oregon State,2026,5,no meet title,Jan-30-2026,Alabama,Savannah Miller,9.7500,9.7500,,9.8500
Oregon State,2026,5,no meet title,Jan-30-2026,Alabama,Camryn Richardson,9.7750,9.7500,,
Oregon State,2026,5,no meet title,Jan-30-2026,Alabama,Paulina Vargas,,,,9.8000
Oregon State,2026,5,no meet title,Jan-30-2026,Alabama,Ellie Weaver,,9.7750,9.8250,
Oregon State,2026,6,no meet title,Feb-06-2026,Boise State,Olivia Buckner,9.7750,,9.6750,9.7750
