team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Penn State,2026,1,no meet title,Jan-11-2026,Penn State,Ava Cash,9.8500,9.8500,,
Penn State,2026,1,no meet title,Jan-11-2026,Penn State,Amani Herring,,,9.7250,
Penn State,2026,1,no meet title,Jan-11-2026,Penn State,Jessica Johanson,9.8000,9.7500,,
Penn State,2026,1,no meet title,Jan-11-2026,Penn State,Allison Kaempfer,9.8250,9.8250,,
Penn State,2026,1,no meet title,Jan-11-2026,Penn State,Alyssa Kramer,,,9.7750,9.8750
Penn State,2026,1,no meet title,Jan-11-2026,Penn State,Dani Latronica,9.7500,9.8250,9.8250,
Penn State,2026,1,no meet title,Jan-11-2026,Penn State,Elizabeth Leary,9.7500,9.8500,,9.6500
Penn State,2026,1,no meet title,Jan-11-2026,Penn State,Ashley Maul,,,9.7750,9.8000
Penn State,2026,1,no meet title,Jan-11-2026,Penn State,Kalea McElligott,,,9.7500,9.9000
Penn State,2026,1,no meet title,Jan-11-2026,Penn State,Bella Misiura,,,,9.7750
Penn State,2026,1,no meet title,Jan-11-2026,Penn State,Ellie Monahan,,9.7750,9.8250,9.8000
Penn State,2026,1,no meet title,Jan-11-2026,Penn State,Ava Piedrahita,9.7750,,,
Penn State,2026,2,no meet title,Jan-16-2026,Illinois,Kayla Bender,,,,
Penn State,2026,2,no meet title,Jan-16-2026,Illinois,Ava Cash,9.7000,8.9000,,
Penn State,2026,2,no meet title,Jan-16-2026,Illinois,Jessica Johanson,9.8250,9.7750,,9.8000
Penn State,2026,2,no meet title,Jan-16-2026,Illinois,Allison Kaempfer,9.7750,,,
Penn State,2026,2,no meet title,Jan-16-2026,Illinois,Alyssa Kramer,,,9.7750,9.8250
Penn State,2026,2,no meet title,Jan-16-2026,Illinois,Dani Latronica,9.7750,9.8750,9.8750,
Penn State,2026,2,no meet title,Jan-16-2026,Illinois,Elizabeth Leary,9.7000,9.8500,9.7750,
Penn State,2026,2,no meet title,Jan-16-2026,Illinois,Ashley Maul,,,9.8500,9.6250
Penn State,2026,2,no meet title,Jan-16-2026,Illinois,Kalea McElligott,,,9.8500,9.8250
Penn State,2026,2,no meet title,Jan-16-2026,Illinois,Bella Misiura,,,,9.4750
Penn State,2026,2,no meet title,Jan-16-2026,Illinois,Ellie Monahan,,9.7750,9.8000,9.8000
Penn State,2026,2,no meet title,Jan-16-2026,Illinois,Ava Piedrahita,9.7750,9.9250,,
Penn State,2026,3,no meet title,Jan-24-2026,Penn State,Ava Cash,9.8000,9.8750,,
Penn State,2026,3,no meet title,Jan-24-2026,Penn State,Jessica Johanson,9.7250,9.8000,,9.8250
Penn State,2026,3,no meet title,Jan-24-2026,Penn State,Allison Kaempfer,9.8500,,,
Penn State,2026,3,no meet title,Jan-24-2026,Penn State,Alyssa Kramer,,,9.8500,9.9750
Penn State,2026,3,no meet title,Jan-24-2026,Penn State,Dani Latronica,9.7750,9.9500,9.8750,
Penn State,2026,3,no meet title,Jan-24-2026,Penn State,Elizabeth Leary,9.8250,9.8750,9.6750,
Penn State,2026,3,no meet title,Jan-24-2026,Penn State,Ashley Maul,,,9.7750,9.8500
Penn State,2026,3,no meet title,Jan-24-2026,Penn State,Kalea McElligott,,,9.8250,9.9000
Penn State,2026,3,no meet title,Jan-24-2026,Penn State,Bella Misiura,,,,9.9000
Penn State,2026,3,no meet title,Jan-24-2026,Penn State,Ellie Monahan,,9.8500,9.8500,9.8500
Penn State,2026,3,no meet title,Jan-24-2026,Penn State,Ava Piedrahita,9.9000,9.9000,,
Penn State,2026,4,no meet title,Feb-01-2026,Rutgers,Ava Cash,9.8500,9.8750,,
Penn State,2026,4,no meet title,Feb-01-2026,Rutgers,Jessica Johanson,9.8000,9.8000,,
Penn State,2026,4,no meet title,Feb-01-2026,Rutgers,Allison Kaempfer,9.7500,,,
Penn State,2026,4,no meet title,Feb-01-2026,Rutgers,Alyssa Kramer,,,9.8250,9.7500
Penn State,2026,4,no meet title,Feb-01-2026,Rutgers,Dani Latronica,9.8000,9.9250,9.8000,
Penn State,2026,4,no meet title,Feb-01-2026,Rutgers,Elizabeth Leary,9.7500,9.8250,9.6250,9.8500
Penn State,2026,4,no meet title,Feb-01-2026,Rutgers,Ashley Maul,,,9.8750,9.0000
Penn State,2026,4,no meet title,Feb-01-2026,Rutgers,Kalea McElligott,,,9.7500,9.8500
Penn State,2026,4,no meet title,Feb-01-2026,Rutgers,Bella Misiura,,,,9.7750
Penn State,2026,4,no meet title,Feb-01-2026,Rutgers,Ellie Monahan,,9.7750,9.7750,9.8000
Penn State,2026,4,no meet title,Feb-01-2026,Rutgers,Ava Piedrahita,9.9250,9.4000,,
Penn State,2026,5,no meet title,Feb-06-2026,LSU,Ava Cash,9.8000,9.8750,,
Penn State,2026,5,no meet title,Feb-06-2026,LSU,Amani Herring,,,9.8000,
Penn State,2026,5,no meet title,Feb-06-2026,LSU,Jessica Johanson,9.8000,9.7000,,9.8000
Penn State,2026,5,no meet title,Feb-06-2026,LSU,Allison Kaempfer,9.6750,,,
Penn State,2026,5,no meet title,Feb-06-2026,LSU,Alyssa Kramer,,,9.8000,9.8750
Penn State,2026,5,no meet title,Feb-06-2026,LSU,Dani Latronica,9.6250,9.8000,9.9000,
Penn State,2026,5,no meet title,Feb-06-2026,LSU,Elizabeth Leary,9.7250,9.8500,,9.8500
Penn State,2026,5,no meet title,Feb-06-2026,LSU,Ashley Maul,,,9.8500,
