team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Pennsylvania,2026,1,no meet title,Jan-11-2026,Cornell,Jordan Barrow,9.8500,9.8250,9.7500,
Pennsylvania,2026,1,no meet title,Jan-11-2026,Cornell,Mimi Fletcher,,,9.7250,9.7750
Pennsylvania,2026,1,no meet title,Jan-11-2026,Cornell,Manama Fofana,9.7750,,9.6500,
Pennsylvania,2026,1,no meet title,Jan-11-2026,Cornell,Skylar Goodstadt,,9.7250,,
Pennsylvania,2026,1,no meet title,Jan-11-2026,Cornell,Ava Hooten,,,,9.7750
Pennsylvania,2026,1,no meet title,Jan-11-2026,Cornell,Marissa Lassiter,9.7500,,,9.7000
Pennsylvania,2026,1,no meet title,Jan-11-2026,Cornell,Maggie Murphy,,,9.6500,9.7000
Pennsylvania,2026,1,no meet title,Jan-11-2026,Cornell,Carly Oniki,,9.7000,,
Pennsylvania,2026,1,no meet title,Jan-11-2026,Cornell,Sophia Paris,,9.7750,,
Pennsylvania,2026,1,no meet title,Jan-11-2026,Cornell,Ananya Patanakul,9.1500,,,
Pennsylvania,2026,1,no meet title,Jan-11-2026,Cornell,Alyssa Rosen,,,,9.7250
Pennsylvania,2026,1,no meet title,Jan-11-2026,Cornell,Luci Toczydlowski,,9.8250,,
Pennsylvania,2026,1,no meet title,Jan-11-2026,Cornell,Alisha Werlen,9.7750,8.3500,9.7500,9.6500
Pennsylvania,2026,1,no meet title,Jan-11-2026,Cornell,Ruth Whaley,,,9.1000,
Pennsylvania,2026,1,no meet title,Jan-11-2026,Cornell,Sienna Zuccaro,9.6500,,,
Pennsylvania,2026,2,no meet title,Jan-18-2026,George Washington,Jordan Barrow,9.7000,9.7500,9.2000,
Pennsylvania,2026,2,no meet title,Jan-18-2026,George Washington,Mimi Fletcher,,,9.7250,9.6500
Pennsylvania,2026,2,no meet title,Jan-18-2026,George Washington,Manama Fofana,9.7000,,9.7250,
Pennsylvania,2026,2,no meet title,Jan-18-2026,George Washington,Skylar Goodstadt,,9.6500,,
Pennsylvania,2026,2,no meet title,Jan-18-2026,George Washington,Ava Hooten,,,,9.6250
Pennsylvania,2026,2,no meet title,Jan-18-2026,George Washington,Marissa Lassiter,9.7500,,,9.7500
Pennsylvania,2026,2,no meet title,Jan-18-2026,George Washington,Maggie Murphy,,,9.8000,9.7500
Pennsylvania,2026,2,no meet title,Jan-18-2026,George Washington,Carly Oniki,,9.6000,,
Pennsylvania,2026,2,no meet title,Jan-18-2026,George Washington,Sophia Paris,,9.7500,,
Pennsylvania,2026,2,no meet title,Jan-18-2026,George Washington,Ananya Patanakul,9.7750,,,
Pennsylvania,2026,2,no meet title,Jan-18-2026,George Washington,Alyssa Rosen,,,,9.5250
Pennsylvania,2026,2,no meet title,Jan-18-2026,George Washington,Luci Toczydlowski,,9.7500,,
Pennsylvania,2026,2,no meet title,Jan-18-2026,George Washington,Alisha Werlen,9.6250,,9.5000,9.6500
Pennsylvania,2026,2,no meet title,Jan-18-2026,George Washington,Ruth Whaley,,9.3000,9.6750,
Pennsylvania,2026,2,no meet title,Jan-18-2026,George Washington,Sienna Zuccaro,9.8000,,,
Pennsylvania,2026,3,no meet title,Jan-23-2026,Temple,Jordan Barrow,9.7250,9.7250,8.9750,
Pennsylvania,2026,3,no meet title,Jan-23-2026,Temple,Mimi Fletcher,,,9.7750,9.8000
Pennsylvania,2026,3,no meet title,Jan-23-2026,Temple,Manama Fofana,9.8000,,9.7750,9.8500
Pennsylvania,2026,3,no meet title,Jan-23-2026,Temple,Skylar Goodstadt,,9.6500,,
Pennsylvania,2026,3,no meet title,Jan-23-2026,Temple,Ava Hooten,,,,9.8750
Pennsylvania,2026,3,no meet title,Jan-23-2026,Temple,Marissa Lassiter,9.7500,,,9.8500
Pennsylvania,2026,3,no meet title,Jan-23-2026,Temple,Maggie Murphy,,,9.5500,9.6500
Pennsylvania,2026,3,no meet title,Jan-23-2026,Temple,Carly Oniki,,9.5250,,
Pennsylvania,2026,3,no meet title,Jan-23-2026,Temple,Sophia Paris,,9.6750,,
Pennsylvania,2026,3,no meet title,Jan-23-2026,Temple,Ananya Patanakul,9.8000,,,
Pennsylvania,2026,3,no meet title,Jan-23-2026,Temple,Alyssa Rosen,,,,9.0000
Pennsylvania,2026,3,no meet title,Jan-23-2026,Temple,Luci Toczydlowski,,9.8000,,
Pennsylvania,2026,3,no meet title,Jan-23-2026,Temple,Alisha Werlen,9.7500,,9.8500,
Pennsylvania,2026,3,no meet title,Jan-23-2026,Temple,Ruth Whaley,,9.6750,9.7500,
Pennsylvania,2026,3,no meet title,Jan-23-2026,Temple,Sienna Zuccaro,9.6750,,,
Pennsylvania,2026,4,no meet title,Feb-01-2026,Pennsylvania,Jordan Barrow,9.7750,9.7500,,
Pennsylvania,2026,4,no meet title,Feb-01-2026,Pennsylvania,Mimi Fletcher,,,9.6500,9.7750
Pennsylvania,2026,4,no meet title,Feb-01-2026,Pennsylvania,Manama Fofana,9.8250,,9.7750,9.8750
Pennsylvania,2026,4,no meet title,Feb-01-2026,Pennsylvania,Skylar Goodstadt,,8.7500,,
Pennsylvania,2026,4,no meet title,Feb-01-2026,Pennsylvania,Ava Hooten,,,,9.7250
Pennsylvania,2026,4,no meet title,Feb-01-2026,Pennsylvania,Marissa Lassiter,9.6000,,,9.7500
Pennsylvania,2026,4,no meet title,Feb-01-2026,Pennsylvania,Maggie Murphy,9.8000,,9.7750,9.8250
Pennsylvania,2026,4,no meet title,Feb-01-2026,Pennsylvania,Carly Oniki,,9.6000,9.7000,
Pennsylvania,2026,4,no meet title,Feb-01-2026,Pennsylvania,Sophia Paris,,9.7500,,
Pennsylvania,2026,4,no meet title,Feb-01-2026,Pennsylvania,Ananya Patanakul,9.7750,,,
Pennsylvania,2026,4,no meet title,Feb-01-2026,Pennsylvania,Luci Toczydlowski,,9.7500,,
Pennsylvania,2026,4,no meet title,Feb-01-2026,Pennsylvania,Alisha Werlen,9.6000,,9.7750,9.7000
Pennsylvania,2026,4,no meet title,Feb-01-2026,Pennsylvania,Ruth Whaley,,9.6250,9.6750,
Pennsylvania,2026,5,no meet title,Feb-06-2026,Pennsylvania,Jordan Barrow,9.8500,9.7750,,
Pennsylvania,2026,5,no meet title,Feb-06-2026,Pennsylvania,Mimi Fletcher,,,9.8000,9.7750
Pennsylvania,2026,5,no meet title,Feb-06-2026,Pennsylvania,Manama Fofana,9.8250,,9.9250,9.8250
Pennsylvania,2026,5,no meet title,Feb-06-2026,Pennsylvania,Skylar Goodstadt,,9.6750,,
Pennsylvania,2026,5,no meet title,Feb-06-2026,Pennsylvania,Ava Hooten,,,,9.8250
Pennsylvania,2026,5,no meet title,Feb-06-2026,Pennsylvania,Marissa Lassiter,9.7750,9.7250,,9.8500
Pennsylvania,2026,5,no meet title,Feb-06-2026,Pennsylvania,Maggie Murphy,9.6500,,9.8500,9.8000
Pennsylvania,2026,5,no meet title,Feb-06-2026,Pennsylvania,Carly Oniki,,,9.8500,
Pennsylvania,2026,5,no meet title,Feb-06-2026,Pennsylvania,Sophia Paris,,9.7000,,
Pennsylvania,2026,5,no meet title,Feb-06-2026,Pennsylvania,Ananya Patanakul,9.7500,,,
Pennsylvania,2026,5,no meet title,Feb-06-2026,Pennsylvania,Alyssa Rosen,,,,9.7500
Pennsylvania,2026,5,no meet title,Feb-06-2026,Pennsylvania,Luci Toczydlowski,,9.7500,,
Pennsylvania,2026,5,no meet title,Feb-06-2026,Pennsylvania,Alisha Werlen,,,9.8750,
Pennsylvania,2026,5,no meet title,Feb-06-2026,Pennsylvania,Ruth Whaley,,9.6750,9.8750,
Pennsylvania,2026,5,no meet title,Feb-06-2026,Pennsylvania,Sienna Zuccaro,9.7250,,,
Pennsylvania,2026,6,no meet title,Feb-15-2026,Pennsylvania,Jordan Barrow,9.8000,9.1250,9.8750,
Pennsylvania,2026,6,no meet title,Feb-15-2026,Pennsylvania,Mimi Fletcher,,,9.1500,9.7250
Pennsylvania,2026,6,no meet title,Feb-15-2026,Pennsylvania,Manama Fofana,9.7750,,9.8250,9.8750
Pennsylvania,2026,6,no meet title,Feb-15-2026,Pennsylvania,Skylar Goodstadt,,9.7000,,
Pennsylvania,2026,6,no meet title,Feb-15-2026,Pennsylvania,Ava Hooten,,,,9.8750
Pennsylvania,2026,6,no meet title,Feb-15-2026,Pennsylvania,Marissa Lassiter,9.6250,9.6500,,9.8750
Pennsylvania,2026,6,no meet title,Feb-15-2026,Pennsylvania,Maggie Murphy,9.6500,,9.7000,9.8000
Pennsylvania,2026,6,no meet title,Feb-15-2026,Pennsylvania,Sophia Paris,,9.8000,,
Pennsylvania,2026,6,no meet title,Feb-15-2026,Pennsylvania,Ananya Patanakul,9.7500,,,
Pennsylvania,2026,6,no meet title,Feb-15-2026,Pennsylvania,Alyssa Rosen,,,,9.7750
Pennsylvania,2026,6,no meet title,Feb-15-2026,Pennsylvania,Luci Toczydlowski,,9.7750,,
Pennsylvania,2026,6,no meet title,Feb-15-2026,Pennsylvania,Alisha Werlen,,,9.8250,
Pennsylvania,2026,6,no meet title,Feb-15-2026,Pennsylvania,Ruth Whaley,,9.8000,9.7500,
Pennsylvania,2026,6,no meet title,Feb-15-2026,Pennsylvania,Sienna Zuccaro,9.6750,,,
Pennsylvania,2026,7,no meet title,Feb-22-2026,Yale,Jordan Barrow,9.8250,9.7750,9.9000,
Pennsylvania,2026,7,no meet title,Feb-22-2026,Yale,Mimi Fletcher,,,9.8000,9.7250
Pennsylvania,2026,7,no meet title,Feb-22-2026,Yale,Manama Fofana,9.8000,,9.8000,9.8750
Pennsylvania,2026,7,no meet title,Feb-22-2026,Yale,Skylar Goodstadt,,9.7750,,
Pennsylvania,2026,7,no meet title,Feb-22-2026,Yale,Ava Hooten,,,,9.7500
Pennsylvania,2026,7,no meet title,Feb-22-2026,Yale,Marissa Lassiter,9.7500,9.7000,,9.8000
Pennsylvania,2026,7,no meet title,Feb-22-2026,Yale,Maggie Murphy,9.7250,,9.8000,9.7750
Pennsylvania,2026,7,no meet title,Feb-22-2026,Yale,Sophia Paris,,9.6750,,
Pennsylvania,2026,7,no meet title,Feb-22-2026,Yale,Ananya Patanakul,9.7750,,,
Pennsylvania,2026,7,no meet title,Feb-22-2026,Yale,Alyssa Rosen,,,,9.7000
Pennsylvania,2026,7,no meet title,Feb-22-2026,Yale,Luci Toczydlowski,,9.8500,,
Pennsylvania,2026,7,no meet title,Feb-22-2026,Yale,Alisha Werlen,,,9.0750,
Pennsylvania,2026,7,no meet title,Feb-22-2026,Yale,Ruth Whaley,,9.7750,9.8250,
Pennsylvania,2026,7,no meet title,Feb-22-2026,Yale,Sienna Zuccaro,9.7000,,,
Pennsylvania,2026,8,no meet title,Mar-05-2026,Temple,Jordan Barrow,9.7000,9.8000,9.8500,
Pennsylvania,2026,8,no meet title,Mar-05-2026,Temple,Mimi Fletcher,,,9.7500,9.7250
Pennsylvania,2026,8,no meet title,Mar-05-2026,Temple,Manama Fofana,9.5750,,9.8000,9.8000
Pennsylvania,2026,8,no meet title,Mar-05-2026,Temple,Skylar Goodstadt,,9.6750,,
Pennsylvania,2026,8,no meet title,Mar-05-2026,Temple,Ava Hooten,,,,9.8000
Pennsylvania,2026,8,no meet title,Mar-05-2026,Temple,Marissa Lassiter,9.7500,9.8000,,9.7500
Pennsylvania,2026,8,no meet title,Mar-05-2026,Temple,Maggie Murphy,9.8250,,9.7500,9.8000
Pennsylvania,2026,8,no meet title,Mar-05-2026,Temple,Sophia Paris,,9.7250,,
Pennsylvania,2026,8,no meet title,Mar-05-2026,Temple,Ananya Patanakul,9.6750,,,
Pennsylvania,2026,8,no meet title,Mar-05-2026,Temple,Alyssa Rosen,,,,9.7500
Pennsylvania,2026,8,no meet title,Mar-05-2026,Temple,Luci Toczydlowski,,9.6750,,
Pennsylvania,2026,8,no meet title,Mar-05-2026,Temple,Alisha Werlen,,,9.7250,
Pennsylvania,2026,8,no meet title,Mar-05-2026,Temple,Ruth Whaley,,9.7000,9.7250,
Pennsylvania,2026,8,no meet title,Mar-05-2026,Temple,Sienna Zuccaro,9.6500,,,
Pennsylvania,2026,9,Unite for Her Pink Meet,Mar-07-2026,,Jordan Barrow,9.8250,9.8000,9.8750,
Pennsylvania,2026,9,Unite for Her Pink Meet,Mar-07-2026,,Mimi Fletcher,,,9.7750,9.7500
Pennsylvania,2026,9,Unite for Her Pink Meet,Mar-07-2026,,Manama Fofana,9.8000,,9.7250,9.8250
Pennsylvania,2026,9,Unite for Her Pink Meet,Mar-07-2026,,Skylar Goodstadt,,9.6500,,
Pennsylvania,2026,9,Unite for Her Pink Meet,Mar-07-2026,,Ava Hooten,,,,9.7750
Pennsylvania,2026,9,Unite for Her Pink Meet,Mar-07-2026,,Marissa Lassiter,9.7500,8.9500,,9.8000
Pennsylvania,2026,9,Unite for Her Pink Meet,Mar-07-2026,,Maggie Murphy,9.8000,,8.8750,9.6750
Pennsylvania,2026,9,Unite for Her Pink Meet,Mar-07-2026,,Sophia Paris,,9.7750,,
Pennsylvania,2026,9,Unite for Her Pink Meet,Mar-07-2026,,Ananya Patanakul,9.7000,,,
Pennsylvania,2026,9,Unite for Her Pink Meet,Mar-07-2026,,Alyssa Rosen,,,,9.7250
Pennsylvania,2026,9,Unite for Her Pink Meet,Mar-07-2026,,Luci Toczydlowski,,9.7250,,
Pennsylvania,2026,9,Unite for Her Pink Meet,Mar-07-2026,,Alisha Werlen,,,9.7750,
Pennsylvania,2026,9,Unite for Her Pink Meet,Mar-07-2026,,Ruth Whaley,,9.6500,9.8000,
Pennsylvania,2026,9,Unite for Her Pink Meet,Mar-07-2026,,Sienna Zuccaro,9.7250,,,
Pennsylvania,2026,10,no meet title,Mar-13-2026,Towson,Jordan Barrow,9.8500,9.8000,9.7000,
Pennsylvania,2026,10,no meet title,Mar-13-2026,Towson,Mimi Fletcher,,9.6500,9.7750,9.7000
Pennsylvania,2026,10,no meet title,Mar-13-2026,Towson,Manama Fofana,9.7750,,9.8000,9.7000
Pennsylvania,2026,10,no meet title,Mar-13-2026,Towson,Skylar Goodstadt,,,,
Pennsylvania,2026,10,no meet title,Mar-13-2026,Towson,Ava Hooten,,,,9.7250
Pennsylvania,2026,10,no meet title,Mar-13-2026,Towson,Marissa Lassiter,9.6000,9.7500,,9.7250
Pennsylvania,2026,10,no meet title,Mar-13-2026,Towson,Maggie Murphy,9.8000,,9.7500,9.6750
Pennsylvania,2026,10,no meet title,Mar-13-2026,Towson,Sophia Paris,,9.8250,,
Pennsylvania,2026,10,no meet title,Mar-13-2026,Towson,Ananya Patanakul,9.8000,,,
Pennsylvania,2026,10,no meet title,Mar-13-2026,Towson,Alyssa Rosen,,,,9.7000
Pennsylvania,2026,10,no meet title,Mar-13-2026,Towson,Luci Toczydlowski,,9.8250,,
