team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Pittsburgh,2026,1,no meet title,Jan-11-2026,Texas Woman's,Madi Bell,,,,9.7500
Pittsburgh,2026,1,no meet title,Jan-11-2026,Texas Woman's,Layla Bobek,9.7250,,9.7500,
Pittsburgh,2026,1,no meet title,Jan-11-2026,Texas Woman's,Camryn Chiu,,9.8500,9.8500,
Pittsburgh,2026,1,no meet title,Jan-11-2026,Texas Woman's,McKenzie Clark,,,,9.8250
Pittsburgh,2026,1,no meet title,Jan-11-2026,Texas Woman's,Hallie Copperwheat,,9.8250,9.8000,9.8000
Pittsburgh,2026,1,no meet title,Jan-11-2026,Texas Woman's,Kennedy Duke,9.6750,9.7750,,
Pittsburgh,2026,1,no meet title,Jan-11-2026,Texas Woman's,Olivia Giunta,9.7250,,,
Pittsburgh,2026,1,no meet title,Jan-11-2026,Texas Woman's,Makenzie Grant,9.7000,,,
Pittsburgh,2026,1,no meet title,Jan-11-2026,Texas Woman's,Lailah Green,9.7500,,,
Pittsburgh,2026,1,no meet title,Jan-11-2026,Texas Woman's,Meika Lee,,9.1750,9.7500,9.9000
Pittsburgh,2026,1,no meet title,Jan-11-2026,Texas Woman's,Mali Morgan,,,9.3750,9.7750
Pittsburgh,2026,1,no meet title,Jan-11-2026,Texas Woman's,Lila Pileggi,9.7000,,,
Pittsburgh,2026,1,no meet title,Jan-11-2026,Texas Woman's,Jaime Pratt,,9.8500,,9.6750
Pittsburgh,2026,1,no meet title,Jan-11-2026,Texas Woman's,Julie Rottum Madso,,,,
Pittsburgh,2026,1,no meet title,Jan-11-2026,Texas Woman's,Emily Todd,,9.8500,9.1250,
Pittsburgh,2026,2,no meet title,Jan-18-2026,Pittsburgh,Madi Bell,,,,9.7500
Pittsburgh,2026,2,no meet title,Jan-18-2026,Pittsburgh,Layla Bobek,9.7250,,9.8000,9.5500
Pittsburgh,2026,2,no meet title,Jan-18-2026,Pittsburgh,Camryn Chiu,,9.7500,9.5750,
Pittsburgh,2026,2,no meet title,Jan-18-2026,Pittsburgh,McKenzie Clark,,,,9.8000
Pittsburgh,2026,2,no meet title,Jan-18-2026,Pittsburgh,Hallie Copperwheat,,9.7000,9.7750,
Pittsburgh,2026,2,no meet title,Jan-18-2026,Pittsburgh,Kennedy Duke,9.7250,9.7500,,
Pittsburgh,2026,2,no meet title,Jan-18-2026,Pittsburgh,Olivia Giunta,9.6750,,,
Pittsburgh,2026,2,no meet title,Jan-18-2026,Pittsburgh,Makenzie Grant,9.7250,,,
