team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Rhode Island College,2026,1,no meet title,Jan-11-2026,Brown,Mila Beckhom,9.0500,,,
Rhode Island College,2026,1,no meet title,Jan-11-2026,Brown,Madeline Brandt,,,9.3500,9.8500
Rhode Island College,2026,1,no meet title,Jan-11-2026,Brown,Abigail Bunch,,9.4500,9.3500,
Rhode Island College,2026,1,no meet title,Jan-11-2026,Brown,Presley Cuen,,8.8750,,9.8000
Rhode Island College,2026,1,no meet title,Jan-11-2026,Brown,Payton Greene,9.6250,9.1500,,
Rhode Island College,2026,1,no meet title,Jan-11-2026,Brown,Elizabeth Hoyos,,8.8500,,
Rhode Island College,2026,1,no meet title,Jan-11-2026,Brown,Ella Hutcheons,,,8.2000,
Rhode Island College,2026,1,no meet title,Jan-11-2026,Brown,Ivy Jimenez,9.4500,,9.5000,
Rhode Island College,2026,1,no meet title,Jan-11-2026,Brown,Aaliyah Krause,9.5500,9.0000,9.4750,9.7000
Rhode Island College,2026,1,no meet title,Jan-11-2026,Brown,Ana Pepin,,,,9.6500
Rhode Island College,2026,1,no meet title,Jan-11-2026,Brown,Molly Pompeii,9.6750,,,
Rhode Island College,2026,1,no meet title,Jan-11-2026,Brown,Liz Shrewsbury,,,,9.7750
Rhode Island College,2026,1,no meet title,Jan-11-2026,Brown,Payton Smith,9.5250,9.1750,,
Rhode Island College,2026,1,no meet title,Jan-11-2026,Brown,Carson Ann Whitt,,,9.3000,9.7500
Rhode Island College,2026,2,no meet title,Jan-17-2026,Southern Conn.,Madeline Brandt,,,8.9000,9.7000
Rhode Island College,2026,2,no meet title,Jan-17-2026,Southern Conn.,Abigail Bunch,,9.3500,9.3750,
Rhode Island College,2026,2,no meet title,Jan-17-2026,Southern Conn.,Presley Cuen,,9.1750,,9.5000
Rhode Island College,2026,2,no meet title,Jan-17-2026,Southern Conn.,Grace Deis,,,9.1250,
Rhode Island College,2026,2,no meet title,Jan-17-2026,Southern Conn.,Payton Greene,9.6250,9.1250,,
Rhode Island College,2026,2,no meet title,Jan-17-2026,Southern Conn.,Elizabeth Hoyos,,8.7250,,
Rhode Island College,2026,2,no meet title,Jan-17-2026,Southern Conn.,Ivy Jimenez,9.5250,,9.3750,
Rhode Island College,2026,2,no meet title,Jan-17-2026,Southern Conn.,Aaliyah Krause,9.5500,9.1500,9.1000,9.6750
Rhode Island College,2026,2,no meet title,Jan-17-2026,Southern Conn.,Molly Pompeii,9.3750,,,9.5000
Rhode Island College,2026,2,no meet title,Jan-17-2026,Southern Conn.,Liz Shrewsbury,,,,9.6750
Rhode Island College,2026,2,no meet title,Jan-17-2026,Southern Conn.,Payton Smith,9.3000,7.8500,,
Rhode Island College,2026,2,no meet title,Jan-17-2026,Southern Conn.,Emily Voss,9.4750,,,
Rhode Island College,2026,2,no meet title,Jan-17-2026,Southern Conn.,Carson Ann Whitt,,,9.2500,8.8500
Rhode Island College,2026,3,no meet title,Feb-01-2026,Ithaca College,Madeline Brandt,,,9.5000,9.4500
Rhode Island College,2026,3,no meet title,Feb-01-2026,Ithaca College,Abigail Bunch,,9.0250,9.4500,
Rhode Island College,2026,3,no meet title,Feb-01-2026,Ithaca College,Presley Cuen,,9.1750,,9.6500
Rhode Island College,2026,3,no meet title,Feb-01-2026,Ithaca College,Payton Greene,9.4500,9.2500,8.5000,9.2750
Rhode Island College,2026,3,no meet title,Feb-01-2026,Ithaca College,Dominique Harris,,,8.9250,
Rhode Island College,2026,3,no meet title,Feb-01-2026,Ithaca College,Elizabeth Hoyos,,9.5750,,
Rhode Island College,2026,3,no meet title,Feb-01-2026,Ithaca College,Ivy Jimenez,9.0750,,9.5250,
Rhode Island College,2026,3,no meet title,Feb-01-2026,Ithaca College,Aaliyah Krause,9.4750,9.5750,8.9000,9.6750
Rhode Island College,2026,3,no meet title,Feb-01-2026,Ithaca College,Molly Pompeii,9.1000,,,9.6500
