team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Rutgers,2026,1,no meet title,Jan-04-2026,Rutgers,Delaney Adrian,,9.7750,9.8250,9.8750
Rutgers,2026,1,no meet title,Jan-04-2026,Rutgers,Lisa Chevaire,9.7250,,,9.7000
Rutgers,2026,1,no meet title,Jan-04-2026,Rutgers,Gabrielle Dildy,9.8000,9.8250,9.8000,9.9000
Rutgers,2026,1,no meet title,Jan-04-2026,Rutgers,Campbell Earley,,9.8000,,
Rutgers,2026,1,no meet title,Jan-04-2026,Rutgers,Elliot Goldsmith,9.6750,,,9.8000
Rutgers,2026,1,no meet title,Jan-04-2026,Rutgers,Vivienne Larsen,9.4500,,,
Rutgers,2026,1,no meet title,Jan-04-2026,Rutgers,Emily Leese,9.9000,,9.2500,9.8250
Rutgers,2026,1,no meet title,Jan-04-2026,Rutgers,Matis Rains,,9.8000,9.6500,
Rutgers,2026,1,no meet title,Jan-04-2026,Rutgers,Ginger Richards,,9.7500,,
Rutgers,2026,1,no meet title,Jan-04-2026,Rutgers,Rachael Riley,9.6250,,9.6750,
Rutgers,2026,1,no meet title,Jan-04-2026,Rutgers,Reagan Schenkel,,9.7500,,9.7750
Rutgers,2026,1,no meet title,Jan-04-2026,Rutgers,Keeley Smith,,,9.6000,
Rutgers,2026,2,no meet title,Jan-11-2026,Ball State,Delaney Adrian,,9.8250,9.7000,9.7250
Rutgers,2026,2,no meet title,Jan-11-2026,Ball State,Lisa Chevaire,9.7500,,,9.6750
Rutgers,2026,2,no meet title,Jan-11-2026,Ball State,Gabrielle Dildy,9.8500,9.7500,9.8250,9.8750
Rutgers,2026,2,no meet title,Jan-11-2026,Ball State,Campbell Earley,,9.8000,,
Rutgers,2026,2,no meet title,Jan-11-2026,Ball State,Elliot Goldsmith,9.7250,,,9.8250
Rutgers,2026,2,no meet title,Jan-11-2026,Ball State,Vivienne Larsen,9.6750,,,
Rutgers,2026,2,no meet title,Jan-11-2026,Ball State,Emily Leese,9.7500,,8.4250,9.9000
Rutgers,2026,2,no meet title,Jan-11-2026,Ball State,Matis Rains,,9.7750,9.7750,
Rutgers,2026,2,no meet title,Jan-11-2026,Ball State,Ginger Richards,,9.5500,,
Rutgers,2026,2,no meet title,Jan-11-2026,Ball State,Rachael Riley,9.7000,,9.1500,
Rutgers,2026,2,no meet title,Jan-11-2026,Ball State,Reagan Schenkel,,9.7750,,9.2500
Rutgers,2026,2,no meet title,Jan-11-2026,Ball State,Keeley Smith,,,9.8250,
Rutgers,2026,3,no meet title,Jan-17-2026,Rutgers,Delaney Adrian,,9.8500,9.5500,9.7750
Rutgers,2026,3,no meet title,Jan-17-2026,Rutgers,Rachel Beaulieu,,,8.9750,
Rutgers,2026,3,no meet title,Jan-17-2026,Rutgers,Lisa Chevaire,9.5750,,,9.6750
Rutgers,2026,3,no meet title,Jan-17-2026,Rutgers,Gabrielle Dildy,9.7500,9.8250,9.6000,9.8500
Rutgers,2026,3,no meet title,Jan-17-2026,Rutgers,Campbell Earley,,9.7500,,
Rutgers,2026,3,no meet title,Jan-17-2026,Rutgers,Elliot Goldsmith,9.7250,,,9.8500
Rutgers,2026,3,no meet title,Jan-17-2026,Rutgers,Vivienne Larsen,9.7000,,,
Rutgers,2026,3,no meet title,Jan-17-2026,Rutgers,Valentina Lorente-Garcia,9.6750,,,
Rutgers,2026,3,no meet title,Jan-17-2026,Rutgers,Matis Rains,,9.6750,9.1250,
Rutgers,2026,3,no meet title,Jan-17-2026,Rutgers,Ginger Richards,,9.7000,,
Rutgers,2026,3,no meet title,Jan-17-2026,Rutgers,Rachael Riley,9.8000,,9.8000,
Rutgers,2026,3,no meet title,Jan-17-2026,Rutgers,Reagan Schenkel,,9.7750,,9.3500
Rutgers,2026,3,no meet title,Jan-17-2026,Rutgers,Kimmi Shiau,,,,9.6500
Rutgers,2026,3,no meet title,Jan-17-2026,Rutgers,Keeley Smith,,,9.6750,
Rutgers,2026,4,no meet title,Jan-23-2026,Washington,Delaney Adrian,,9.6750,9.0000,9.8500
