team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
S.E. Missouri,2026,1,no meet title,Jan-09-2026,S.E. Missouri,Sydney Crouch,,,,8.8500
S.E. Missouri,2026,1,no meet title,Jan-09-2026,S.E. Missouri,Kennedy Fisher,,,9.4000,
S.E. Missouri,2026,1,no meet title,Jan-09-2026,S.E. Missouri,Kailyn Hamilton,,9.7000,,9.6750
S.E. Missouri,2026,1,no meet title,Jan-09-2026,S.E. Missouri,Joselene Hernandez,9.5500,9.5500,,
S.E. Missouri,2026,1,no meet title,Jan-09-2026,S.E. Missouri,Taylor Ingle,9.8250,9.8750,9.1500,9.8500
S.E. Missouri,2026,1,no meet title,Jan-09-2026,S.E. Missouri,Ava Johnston,,9.8000,,
S.E. Missouri,2026,1,no meet title,Jan-09-2026,S.E. Missouri,Gracie Jones,,9.7250,,
S.E. Missouri,2026,1,no meet title,Jan-09-2026,S.E. Missouri,Jaidan Kossuth,9.7250,,9.7000,
S.E. Missouri,2026,1,no meet title,Jan-09-2026,S.E. Missouri,Ailey Kuehn,,,9.6250,
S.E. Missouri,2026,1,no meet title,Jan-09-2026,S.E. Missouri,Amelia May,,9.6500,,
S.E. Missouri,2026,1,no meet title,Jan-09-2026,S.E. Missouri,Amaia McKinnie,8.5000,,,
S.E. Missouri,2026,1,no meet title,Jan-09-2026,S.E. Missouri,Anna Lee Phillips,8.5500,,,9.6000
S.E. Missouri,2026,1,no meet title,Jan-09-2026,S.E. Missouri,Nyah Reader,9.5750,,9.8000,9.8500
S.E. Missouri,2026,1,no meet title,Jan-09-2026,S.E. Missouri,Reagan Sams,,,9.8000,9.5250
S.E. Missouri,2026,2,Windy City,Jan-16-2026,,Kailyn Hamilton,9.6500,9.6000,,9.2750
S.E. Missouri,2026,2,Windy City,Jan-16-2026,,Joselene Hernandez,9.6750,9.5500,,
S.E. Missouri,2026,2,Windy City,Jan-16-2026,,Taylor Ingle,9.8000,9.7000,9.7750,9.8000
S.E. Missouri,2026,2,Windy City,Jan-16-2026,,Ava Johnston,,9.7500,,
S.E. Missouri,2026,2,Windy City,Jan-16-2026,,Gracie Jones,,9.7250,,
S.E. Missouri,2026,2,Windy City,Jan-16-2026,,Jaidan Kossuth,9.6000,,9.8250,9.4750
S.E. Missouri,2026,2,Windy City,Jan-16-2026,,Ailey Kuehn,9.6000,,9.2500,
S.E. Missouri,2026,2,Windy City,Jan-16-2026,,Amelia May,,9.4000,,
S.E. Missouri,2026,2,Windy City,Jan-16-2026,,Leah Parton,,,9.8250,
S.E. Missouri,2026,2,Windy City,Jan-16-2026,,Anna Lee Phillips,,,,9.4750
S.E. Missouri,2026,2,Windy City,Jan-16-2026,,Nyah Reader,9.6000,,9.7500,9.2000
S.E. Missouri,2026,2,Windy City,Jan-16-2026,,Reagan Sams,,,9.8250,9.6750
S.E. Missouri,2026,3,no meet title,Jan-23-2026,Arkansas,Sydney Crouch,,,,8.6500
S.E. Missouri,2026,3,no meet title,Jan-23-2026,Arkansas,Kailyn Hamilton,9.6250,9.6000,,
S.E. Missouri,2026,3,no meet title,Jan-23-2026,Arkansas,Joselene Hernandez,9.6500,9.3500,,
S.E. Missouri,2026,3,no meet title,Jan-23-2026,Arkansas,Taylor Ingle,9.6250,9.6750,9.7750,9.8250
S.E. Missouri,2026,3,no meet title,Jan-23-2026,Arkansas,Ava Johnston,,9.6250,,
S.E. Missouri,2026,3,no meet title,Jan-23-2026,Arkansas,Gracie Jones,,9.7250,,
S.E. Missouri,2026,3,no meet title,Jan-23-2026,Arkansas,Jaidan Kossuth,9.5750,,9.7750,9.7500
S.E. Missouri,2026,3,no meet title,Jan-23-2026,Arkansas,Ailey Kuehn,9.6750,,9.7000,
S.E. Missouri,2026,3,no meet title,Jan-23-2026,Arkansas,Amelia May,,8.8750,,
S.E. Missouri,2026,3,no meet title,Jan-23-2026,Arkansas,Leah Parton,,,8.8500,
S.E. Missouri,2026,3,no meet title,Jan-23-2026,Arkansas,Anna Lee Phillips,,,,9.5750
S.E. Missouri,2026,3,no meet title,Jan-23-2026,Arkansas,Nyah Reader,9.5500,,9.8250,9.7000
S.E. Missouri,2026,3,no meet title,Jan-23-2026,Arkansas,Reagan Sams,,,8.7500,9.7750
S.E. Missouri,2026,4,no meet title,Feb-01-2026,S.E. Missouri,Kailyn Hamilton,9.6750,8.5500,,9.6750
S.E. Missouri,2026,4,no meet title,Feb-01-2026,S.E. Missouri,Joselene Hernandez,9.7500,9.6500,,
S.E. Missouri,2026,4,no meet title,Feb-01-2026,S.E. Missouri,Taylor Ingle,9.8500,9.7750,9.0500,9.8750
S.E. Missouri,2026,4,no meet title,Feb-01-2026,S.E. Missouri,Ava Johnston,,9.8750,,
S.E. Missouri,2026,4,no meet title,Feb-01-2026,S.E. Missouri,Gracie Jones,,9.5000,,
S.E. Missouri,2026,4,no meet title,Feb-01-2026,S.E. Missouri,Jaidan Kossuth,9.7500,,9.7750,9.8000
S.E. Missouri,2026,4,no meet title,Feb-01-2026,S.E. Missouri,Ailey Kuehn,9.6250,,9.8000,
S.E. Missouri,2026,4,no meet title,Feb-01-2026,S.E. Missouri,Amelia May,,9.6750,,
S.E. Missouri,2026,4,no meet title,Feb-01-2026,S.E. Missouri,Leah Parton,,,9.7750,
S.E. Missouri,2026,4,no meet title,Feb-01-2026,S.E. Missouri,Anna Lee Phillips,,,,9.8000
S.E. Missouri,2026,4,no meet title,Feb-01-2026,S.E. Missouri,Nyah Reader,9.6250,,9.8250,9.6500
S.E. Missouri,2026,4,no meet title,Feb-01-2026,S.E. Missouri,Reagan Sams,,,9.3250,9.7250
S.E. Missouri,2026,5,no meet title,Feb-06-2026,S.E. Missouri,Kennedy Fisher,,,,
S.E. Missouri,2026,5,no meet title,Feb-06-2026,S.E. Missouri,Kailyn Hamilton,9.6500,9.7750,,9.7500
S.E. Missouri,2026,5,no meet title,Feb-06-2026,S.E. Missouri,Joselene Hernandez,9.7000,9.6000,,
S.E. Missouri,2026,5,no meet title,Feb-06-2026,S.E. Missouri,Taylor Ingle,9.7750,9.8250,9.6750,9.8750
S.E. Missouri,2026,5,no meet title,Feb-06-2026,S.E. Missouri,Ava Johnston,,9.7750,,
S.E. Missouri,2026,5,no meet title,Feb-06-2026,S.E. Missouri,Gracie Jones,,9.5750,,
S.E. Missouri,2026,5,no meet title,Feb-06-2026,S.E. Missouri,Jaidan Kossuth,9.6250,,9.8000,9.8250
S.E. Missouri,2026,5,no meet title,Feb-06-2026,S.E. Missouri,Ailey Kuehn,9.7000,,9.5250,
S.E. Missouri,2026,5,no meet title,Feb-06-2026,S.E. Missouri,Amelia May,,9.6750,,
S.E. Missouri,2026,5,no meet title,Feb-06-2026,S.E. Missouri,Jordan Napolitano,,,9.7000,
S.E. Missouri,2026,5,no meet title,Feb-06-2026,S.E. Missouri,Leah Parton,,,9.8500,
S.E. Missouri,2026,5,no meet title,Feb-06-2026,S.E. Missouri,Anna Lee Phillips,,,,9.6500
S.E. Missouri,2026,5,no meet title,Feb-06-2026,S.E. Missouri,Nyah Reader,9.6250,,9.8250,9.5500
S.E. Missouri,2026,5,no meet title,Feb-06-2026,S.E. Missouri,Reagan Sams,,,,9.8000
S.E. Missouri,2026,6,no meet title,Feb-14-2026,Illinois State,Sydney Crouch,,9.4000,,
S.E. Missouri,2026,6,no meet title,Feb-14-2026,Illinois State,Kailyn Hamilton,9.6500,9.6750,,
S.E. Missouri,2026,6,no meet title,Feb-14-2026,Illinois State,Joselene Hernandez,9.7500,,,
S.E. Missouri,2026,6,no meet title,Feb-14-2026,Illinois State,Taylor Ingle,9.8500,9.5750,9.7750,9.7250
S.E. Missouri,2026,6,no meet title,Feb-14-2026,Illinois State,Ava Johnston,,8.3250,,
S.E. Missouri,2026,6,no meet title,Feb-14-2026,Illinois State,Gracie Jones,,9.5750,,
S.E. Missouri,2026,6,no meet title,Feb-14-2026,Illinois State,Jaidan Kossuth,9.7500,,9.8500,9.7000
S.E. Missouri,2026,6,no meet title,Feb-14-2026,Illinois State,Ailey Kuehn,9.7250,,,
S.E. Missouri,2026,6,no meet title,Feb-14-2026,Illinois State,Amelia May,,9.4250,,
S.E. Missouri,2026,6,no meet title,Feb-14-2026,Illinois State,Jordan Napolitano,,,9.8250,
S.E. Missouri,2026,6,no meet title,Feb-14-2026,Illinois State,Leah Parton,,,9.8750,9.7500
S.E. Missouri,2026,6,no meet title,Feb-14-2026,Illinois State,Anna Lee Phillips,,,,9.4250
S.E. Missouri,2026,6,no meet title,Feb-14-2026,Illinois State,Nyah Reader,9.6250,,9.6500,9.8000
S.E. Missouri,2026,6,no meet title,Feb-14-2026,Illinois State,Reagan Sams,,,9.5000,9.8250
S.E. Missouri,2026,7,no meet title,Feb-20-2026,Northern Illinois,Kailyn Hamilton,9.7250,9.5500,,
S.E. Missouri,2026,7,no meet title,Feb-20-2026,Northern Illinois,Joselene Hernandez,9.7000,9.5000,,
S.E. Missouri,2026,7,no meet title,Feb-20-2026,Northern Illinois,Taylor Ingle,9.8250,9.7000,9.7750,9.8000
S.E. Missouri,2026,7,no meet title,Feb-20-2026,Northern Illinois,Ava Johnston,,9.6750,,
S.E. Missouri,2026,7,no meet title,Feb-20-2026,Northern Illinois,Gracie Jones,,9.6750,,
S.E. Missouri,2026,7,no meet title,Feb-20-2026,Northern Illinois,Jaidan Kossuth,9.7250,,9.8750,9.7000
S.E. Missouri,2026,7,no meet title,Feb-20-2026,Northern Illinois,Ailey Kuehn,9.6750,,9.4000,
S.E. Missouri,2026,7,no meet title,Feb-20-2026,Northern Illinois,Amelia May,,9.6000,,
S.E. Missouri,2026,7,no meet title,Feb-20-2026,Northern Illinois,Jordan Napolitano,,,9.7500,
S.E. Missouri,2026,7,no meet title,Feb-20-2026,Northern Illinois,Leah Parton,,,9.8000,9.6500
S.E. Missouri,2026,7,no meet title,Feb-20-2026,Northern Illinois,Anna Lee Phillips,,,,9.4000
S.E. Missouri,2026,7,no meet title,Feb-20-2026,Northern Illinois,Nyah Reader,9.6500,,9.7000,7.8750
S.E. Missouri,2026,7,no meet title,Feb-20-2026,Northern Illinois,Reagan Sams,,,,9.6000
S.E. Missouri,2026,8,no meet title,Feb-27-2026,S.E. Missouri,Sydney Crouch,,9.4500,,
S.E. Missouri,2026,8,no meet title,Feb-27-2026,S.E. Missouri,Kennedy Fisher,,,,
S.E. Missouri,2026,8,no meet title,Feb-27-2026,S.E. Missouri,Kailyn Hamilton,9.7500,9.5500,,9.6750
S.E. Missouri,2026,8,no meet title,Feb-27-2026,S.E. Missouri,Joselene Hernandez,9.8250,,,
S.E. Missouri,2026,8,no meet title,Feb-27-2026,S.E. Missouri,Taylor Ingle,9.8250,9.7250,9.6500,9.8250
S.E. Missouri,2026,8,no meet title,Feb-27-2026,S.E. Missouri,Ava Johnston,,9.7250,,
S.E. Missouri,2026,8,no meet title,Feb-27-2026,S.E. Missouri,Gracie Jones,,9.6750,,
