team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Sacramento State,2026,1,no meet title,Jan-11-2026,Sacramento State,McKenna Carnesi,,9.6500,,
Sacramento State,2026,1,no meet title,Jan-11-2026,Sacramento State,Kaela Copeland,,,9.7500,9.7500
Sacramento State,2026,1,no meet title,Jan-11-2026,Sacramento State,Kaitlyn Driessen,,,9.7750,
Sacramento State,2026,1,no meet title,Jan-11-2026,Sacramento State,Lexi Frank,9.6500,,,9.6500
Sacramento State,2026,1,no meet title,Jan-11-2026,Sacramento State,Cadence Gaumont,9.6000,,,
Sacramento State,2026,1,no meet title,Jan-11-2026,Sacramento State,Kara Houghton,,9.6500,9.7750,9.8250
Sacramento State,2026,1,no meet title,Jan-11-2026,Sacramento State,Maliyah James,,9.6750,,
Sacramento State,2026,1,no meet title,Jan-11-2026,Sacramento State,Athena Jones,9.4750,,9.7500,9.5750
Sacramento State,2026,1,no meet title,Jan-11-2026,Sacramento State,Jillianne Lastra,,9.7500,,
Sacramento State,2026,1,no meet title,Jan-11-2026,Sacramento State,Sarah Lutrel,9.7250,9.5500,9.8500,9.5250
Sacramento State,2026,1,no meet title,Jan-11-2026,Sacramento State,Makayla Townsend,,8.8500,,
Sacramento State,2026,1,no meet title,Jan-11-2026,Sacramento State,Rose Wilson,9.6500,,,
Sacramento State,2026,1,no meet title,Jan-11-2026,Sacramento State,Rylin Zimmerman,9.6750,,9.1750,9.6500
Sacramento State,2026,2,no meet title,Jan-16-2026,Oregon State,McKenna Carnesi,,9.8250,,
Sacramento State,2026,2,no meet title,Jan-16-2026,Oregon State,Kaela Copeland,,,9.7000,9.6500
Sacramento State,2026,2,no meet title,Jan-16-2026,Oregon State,Kaitlyn Driessen,,,9.7000,
Sacramento State,2026,2,no meet title,Jan-16-2026,Oregon State,Lexi Frank,9.7000,,,
Sacramento State,2026,2,no meet title,Jan-16-2026,Oregon State,Cadence Gaumont,9.0000,,,9.7250
Sacramento State,2026,2,no meet title,Jan-16-2026,Oregon State,Kayla Herrera,9.5000,,,
Sacramento State,2026,2,no meet title,Jan-16-2026,Oregon State,Kara Houghton,,9.8000,9.6500,9.8250
Sacramento State,2026,2,no meet title,Jan-16-2026,Oregon State,Maliyah James,,9.5000,,
Sacramento State,2026,2,no meet title,Jan-16-2026,Oregon State,Athena Jones,,,9.6750,9.8250
Sacramento State,2026,2,no meet title,Jan-16-2026,Oregon State,Jillianne Lastra,,9.6750,,
Sacramento State,2026,2,no meet title,Jan-16-2026,Oregon State,Sarah Lutrel,9.7000,9.5750,9.1250,9.8000
Sacramento State,2026,2,no meet title,Jan-16-2026,Oregon State,Makayla Townsend,,9.6250,,
Sacramento State,2026,2,no meet title,Jan-16-2026,Oregon State,Rose Wilson,9.7250,,,
Sacramento State,2026,2,no meet title,Jan-16-2026,Oregon State,Rylin Zimmerman,9.7500,,9.0750,9.7750
Sacramento State,2026,3,no meet title,Jan-23-2026,Sacramento State,McKenna Carnesi,,9.7500,,
Sacramento State,2026,3,no meet title,Jan-23-2026,Sacramento State,Kaela Copeland,,,9.7750,9.7500
Sacramento State,2026,3,no meet title,Jan-23-2026,Sacramento State,Kaitlyn Driessen,,,9.8000,
Sacramento State,2026,3,no meet title,Jan-23-2026,Sacramento State,Lexi Frank,9.7250,,9.8000,9.2750
Sacramento State,2026,3,no meet title,Jan-23-2026,Sacramento State,Kara Houghton,,9.8250,9.8250,9.2250
Sacramento State,2026,3,no meet title,Jan-23-2026,Sacramento State,Maliyah James,,9.0750,,
Sacramento State,2026,3,no meet title,Jan-23-2026,Sacramento State,Athena Jones,9.5750,,9.8500,9.7000
Sacramento State,2026,3,no meet title,Jan-23-2026,Sacramento State,Jillianne Lastra,,9.8250,,
Sacramento State,2026,3,no meet title,Jan-23-2026,Sacramento State,Sarah Lutrel,9.7500,8.8500,9.7750,9.7250
Sacramento State,2026,3,no meet title,Jan-23-2026,Sacramento State,Makayla Townsend,9.6750,9.6500,,
Sacramento State,2026,3,no meet title,Jan-23-2026,Sacramento State,Rose Wilson,9.8000,,,
Sacramento State,2026,3,no meet title,Jan-23-2026,Sacramento State,Rylin Zimmerman,9.8000,,,9.7500
Sacramento State,2026,4,no meet title,Jan-30-2026,Boise State,McKenna Carnesi,,9.6500,,
Sacramento State,2026,4,no meet title,Jan-30-2026,Boise State,Chloe Cohen,,9.7000,,
Sacramento State,2026,4,no meet title,Jan-30-2026,Boise State,Kaela Copeland,,,8.8500,9.7500
Sacramento State,2026,4,no meet title,Jan-30-2026,Boise State,Emily Countryman,,,,9.0000
Sacramento State,2026,4,no meet title,Jan-30-2026,Boise State,Kaitlyn Driessen,,,9.6500,
Sacramento State,2026,4,no meet title,Jan-30-2026,Boise State,Lexi Frank,9.6750,,9.8250,8.9500
Sacramento State,2026,4,no meet title,Jan-30-2026,Boise State,Cadence Gaumont,9.5000,,,
Sacramento State,2026,4,no meet title,Jan-30-2026,Boise State,Kara Houghton,,9.8250,9.7500,9.8000
Sacramento State,2026,4,no meet title,Jan-30-2026,Boise State,Athena Jones,9.5250,,9.6500,9.7500
Sacramento State,2026,4,no meet title,Jan-30-2026,Boise State,Jillianne Lastra,,9.6750,,
Sacramento State,2026,4,no meet title,Jan-30-2026,Boise State,Sarah Lutrel,9.7250,9.5000,9.6750,9.8000
Sacramento State,2026,4,no meet title,Jan-30-2026,Boise State,Makayla Townsend,9.6250,9.7000,,
Sacramento State,2026,4,no meet title,Jan-30-2026,Boise State,Rose Wilson,9.6750,,,
Sacramento State,2026,5,no meet title,Feb-09-2026,Utah State,McKenna Carnesi,,9.8500,,
Sacramento State,2026,5,no meet title,Feb-09-2026,Utah State,Chloe Cohen,,8.9250,,
Sacramento State,2026,5,no meet title,Feb-09-2026,Utah State,Kaela Copeland,,,9.6500,9.6250
Sacramento State,2026,5,no meet title,Feb-09-2026,Utah State,Emily Countryman,,,,9.6000
Sacramento State,2026,5,no meet title,Feb-09-2026,Utah State,Kaitlyn Driessen,,,9.7750,
Sacramento State,2026,5,no meet title,Feb-09-2026,Utah State,Lexi Frank,9.7000,,9.0500,9.8000
Sacramento State,2026,5,no meet title,Feb-09-2026,Utah State,Kara Houghton,,9.8500,9.0000,9.7500
Sacramento State,2026,5,no meet title,Feb-09-2026,Utah State,Maliyah James,,,,
Sacramento State,2026,5,no meet title,Feb-09-2026,Utah State,Athena Jones,9.5000,,9.6250,9.7000
Sacramento State,2026,5,no meet title,Feb-09-2026,Utah State,Jillianne Lastra,,8.5500,,
Sacramento State,2026,5,no meet title,Feb-09-2026,Utah State,Sarah Lutrel,9.5750,9.1000,8.9250,9.0250
Sacramento State,2026,5,no meet title,Feb-09-2026,Utah State,Makayla Townsend,9.7250,9.7000,,
Sacramento State,2026,5,no meet title,Feb-09-2026,Utah State,Rose Wilson,9.5750,,,
Sacramento State,2026,6,no meet title,Feb-15-2026,Sacramento State,McKenna Carnesi,,9.6000,,
Sacramento State,2026,6,no meet title,Feb-15-2026,Sacramento State,Chloe Cohen,,9.3750,,
Sacramento State,2026,6,no meet title,Feb-15-2026,Sacramento State,Kaela Copeland,,,9.7750,9.6250
Sacramento State,2026,6,no meet title,Feb-15-2026,Sacramento State,Emily Countryman,,,,8.7750
Sacramento State,2026,6,no meet title,Feb-15-2026,Sacramento State,Kaitlyn Driessen,,,9.2750,
Sacramento State,2026,6,no meet title,Feb-15-2026,Sacramento State,Lexi Frank,9.6500,,9.5500,9.7500
Sacramento State,2026,6,no meet title,Feb-15-2026,Sacramento State,Cadence Gaumont,9.7000,,,
Sacramento State,2026,6,no meet title,Feb-15-2026,Sacramento State,Kayla Herrera,,9.4750,,
Sacramento State,2026,6,no meet title,Feb-15-2026,Sacramento State,Kara Houghton,,9.7250,9.7750,9.8750
Sacramento State,2026,6,no meet title,Feb-15-2026,Sacramento State,Athena Jones,9.5250,,9.7750,9.8000
Sacramento State,2026,6,no meet title,Feb-15-2026,Sacramento State,Jillianne Lastra,,9.7000,,
Sacramento State,2026,6,no meet title,Feb-15-2026,Sacramento State,Sarah Lutrel,9.7500,,8.5250,9.8250
Sacramento State,2026,6,no meet title,Feb-15-2026,Sacramento State,Makayla Townsend,9.6500,9.6000,,
Sacramento State,2026,6,no meet title,Feb-15-2026,Sacramento State,Rose Wilson,9.7500,,,
Sacramento State,2026,7,no meet title,Feb-22-2026,Sacramento State,McKenna Carnesi,,9.6000,,
Sacramento State,2026,7,no meet title,Feb-22-2026,Sacramento State,Kaela Copeland,,,9.6500,9.6000
Sacramento State,2026,7,no meet title,Feb-22-2026,Sacramento State,Emily Countryman,,,,9.6500
Sacramento State,2026,7,no meet title,Feb-22-2026,Sacramento State,Kaitlyn Driessen,,,9.8750,
Sacramento State,2026,7,no meet title,Feb-22-2026,Sacramento State,Lexi Frank,9.7000,,9.8000,9.7500
Sacramento State,2026,7,no meet title,Feb-22-2026,Sacramento State,Cadence Gaumont,9.7500,,,
Sacramento State,2026,7,no meet title,Feb-22-2026,Sacramento State,Kayla Herrera,,9.6000,,
Sacramento State,2026,7,no meet title,Feb-22-2026,Sacramento State,Kara Houghton,,9.7750,9.7500,9.8250
Sacramento State,2026,7,no meet title,Feb-22-2026,Sacramento State,Maliyah James,,9.6250,,
Sacramento State,2026,7,no meet title,Feb-22-2026,Sacramento State,Athena Jones,9.5000,,9.8250,9.7500
Sacramento State,2026,7,no meet title,Feb-22-2026,Sacramento State,Jillianne Lastra,,9.7000,,
Sacramento State,2026,7,no meet title,Feb-22-2026,Sacramento State,Sarah Lutrel,9.7000,,9.7500,9.6500
Sacramento State,2026,7,no meet title,Feb-22-2026,Sacramento State,Makayla Townsend,9.7750,9.0000,,
Sacramento State,2026,7,no meet title,Feb-22-2026,Sacramento State,Rose Wilson,9.7000,,,
Sacramento State,2026,8,no meet title,Feb-27-2026,Sacramento State,McKenna Carnesi,,9.8000,,
Sacramento State,2026,8,no meet title,Feb-27-2026,Sacramento State,Chloe Cohen,,9.8000,,
Sacramento State,2026,8,no meet title,Feb-27-2026,Sacramento State,Kaela Copeland,,,9.7750,9.7250
Sacramento State,2026,8,no meet title,Feb-27-2026,Sacramento State,Emily Countryman,,,,9.6000
Sacramento State,2026,8,no meet title,Feb-27-2026,Sacramento State,Kaitlyn Driessen,,,9.9000,
Sacramento State,2026,8,no meet title,Feb-27-2026,Sacramento State,Lexi Frank,9.6250,,9.8750,9.7000
Sacramento State,2026,8,no meet title,Feb-27-2026,Sacramento State,Cadence Gaumont,9.7000,,,
Sacramento State,2026,8,no meet title,Feb-27-2026,Sacramento State,Kayla Herrera,9.4750,9.7500,,
Sacramento State,2026,8,no meet title,Feb-27-2026,Sacramento State,Kara Houghton,,9.8250,8.7750,9.8750
Sacramento State,2026,8,no meet title,Feb-27-2026,Sacramento State,Maliyah James,,8.8500,,
Sacramento State,2026,8,no meet title,Feb-27-2026,Sacramento State,Athena Jones,9.5250,,9.5500,9.8250
Sacramento State,2026,8,no meet title,Feb-27-2026,Sacramento State,Jillianne Lastra,,9.8000,,
Sacramento State,2026,8,no meet title,Feb-27-2026,Sacramento State,Sarah Lutrel,9.6500,,9.9000,9.6250
Sacramento State,2026,8,no meet title,Feb-27-2026,Sacramento State,Rose Wilson,9.6750,,,
Sacramento State,2026,9,no meet title,Mar-01-2026,San Jose State,McKenna Carnesi,,9.8000,,
Sacramento State,2026,9,no meet title,Mar-01-2026,San Jose State,Chloe Cohen,,9.7000,,
Sacramento State,2026,9,no meet title,Mar-01-2026,San Jose State,Kaela Copeland,,,9.5750,9.6750
Sacramento State,2026,9,no meet title,Mar-01-2026,San Jose State,Emily Countryman,,,,9.7750
Sacramento State,2026,9,no meet title,Mar-01-2026,San Jose State,Kaitlyn Driessen,,,9.8250,
Sacramento State,2026,9,no meet title,Mar-01-2026,San Jose State,Lexi Frank,9.0500,,9.6750,9.8500
Sacramento State,2026,9,no meet title,Mar-01-2026,San Jose State,Cadence Gaumont,9.7500,,,
Sacramento State,2026,9,no meet title,Mar-01-2026,San Jose State,Kayla Herrera,9.5500,9.7500,,
Sacramento State,2026,9,no meet title,Mar-01-2026,San Jose State,Kara Houghton,,9.6500,9.0500,9.9000
Sacramento State,2026,9,no meet title,Mar-01-2026,San Jose State,Maliyah James,,9.0250,,
