team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
San Jose State,2026,1,no meet title,Jan-11-2026,Arizona State,Marissa Ashton,,,9.7750,9.7000
San Jose State,2026,1,no meet title,Jan-11-2026,Arizona State,Ava Johnson,9.7250,,,9.8500
San Jose State,2026,1,no meet title,Jan-11-2026,Arizona State,Kaviana Jurries,9.7250,,,
San Jose State,2026,1,no meet title,Jan-11-2026,Arizona State,Victoria Kisch,,9.8000,,
San Jose State,2026,1,no meet title,Jan-11-2026,Arizona State,Kaylee Larson,,,,9.7500
San Jose State,2026,1,no meet title,Jan-11-2026,Arizona State,Samantha Macasu,9.8000,9.8250,9.7000,
San Jose State,2026,1,no meet title,Jan-11-2026,Arizona State,Sophie Patterson,9.8750,9.7250,9.6500,9.7250
San Jose State,2026,1,no meet title,Jan-11-2026,Arizona State,Genesis PeBenito,,9.7500,9.7500,9.2500
San Jose State,2026,1,no meet title,Jan-11-2026,Arizona State,Mikaela Pitts,9.9250,,,
San Jose State,2026,1,no meet title,Jan-11-2026,Arizona State,Olivia Reardon,,9.0750,9.0000,
San Jose State,2026,1,no meet title,Jan-11-2026,Arizona State,Devyn Valuch,9.8000,9.7000,9.6750,9.6750
San Jose State,2026,2,no meet title,Jan-18-2026,UC Davis,Marissa Ashton,,,9.7750,9.7000
San Jose State,2026,2,no meet title,Jan-18-2026,UC Davis,Ava Johnson,9.7750,,,9.8250
San Jose State,2026,2,no meet title,Jan-18-2026,UC Davis,Kaviana Jurries,9.8500,,,
San Jose State,2026,2,no meet title,Jan-18-2026,UC Davis,Victoria Kisch,,9.6250,,
San Jose State,2026,2,no meet title,Jan-18-2026,UC Davis,Kaylee Larson,,,,9.8000
San Jose State,2026,2,no meet title,Jan-18-2026,UC Davis,Samantha Macasu,9.6750,9.7250,9.7750,
San Jose State,2026,2,no meet title,Jan-18-2026,UC Davis,Sophie Patterson,9.8250,9.5500,9.7750,9.5750
San Jose State,2026,2,no meet title,Jan-18-2026,UC Davis,Genesis PeBenito,,9.8000,9.8000,9.8000
San Jose State,2026,2,no meet title,Jan-18-2026,UC Davis,Mikaela Pitts,9.8250,,,
San Jose State,2026,2,no meet title,Jan-18-2026,UC Davis,Olivia Reardon,,9.6250,9.8000,
San Jose State,2026,2,no meet title,Jan-18-2026,UC Davis,Devyn Valuch,9.7750,8.3000,9.7250,9.6500
San Jose State,2026,3,no meet title,Jan-23-2026,Utah State,Marissa Ashton,,,9.7250,9.7000
San Jose State,2026,3,no meet title,Jan-23-2026,Utah State,Ava Johnson,9.7000,,,9.7750
San Jose State,2026,3,no meet title,Jan-23-2026,Utah State,Kaviana Jurries,9.8750,,,
San Jose State,2026,3,no meet title,Jan-23-2026,Utah State,Victoria Kisch,,9.6500,,
San Jose State,2026,3,no meet title,Jan-23-2026,Utah State,Kaylee Larson,,,,9.8000
San Jose State,2026,3,no meet title,Jan-23-2026,Utah State,Samantha Macasu,9.7250,9.8500,9.7500,
