team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Simpson,2026,1,no meet title,Jan-11-2026,Hamline,Emmie Barton,9.6500,,9.3750,9.4500
Simpson,2026,1,no meet title,Jan-11-2026,Hamline,Kaley Bristow,,,,9.1000
Simpson,2026,1,no meet title,Jan-11-2026,Hamline,Izzy Brown,,,9.4250,
Simpson,2026,1,no meet title,Jan-11-2026,Hamline,BraeDee Cason,,,8.8000,
Simpson,2026,1,no meet title,Jan-11-2026,Hamline,Emma Charles,9.5250,8.9750,,
Simpson,2026,1,no meet title,Jan-11-2026,Hamline,Avril Crespin,,8.8250,,
Simpson,2026,1,no meet title,Jan-11-2026,Hamline,Alexa Denton,,7.5000,,
Simpson,2026,1,no meet title,Jan-11-2026,Hamline,Bella Dix,,,,9.4750
Simpson,2026,1,no meet title,Jan-11-2026,Hamline,Olivia Hedary,9.3250,,8.3250,9.3500
Simpson,2026,1,no meet title,Jan-11-2026,Hamline,Brooklen Morgan,,,8.7500,9.4250
Simpson,2026,1,no meet title,Jan-11-2026,Hamline,Kendall Pinkelman,9.4000,,,
Simpson,2026,1,no meet title,Jan-11-2026,Hamline,Wynter Poolaw,8.5000,8.9750,,
Simpson,2026,1,no meet title,Jan-11-2026,Hamline,Evalyn Resnick,,9.5000,9.7000,
Simpson,2026,1,no meet title,Jan-11-2026,Hamline,Liz Sisler,,9.5250,,
Simpson,2026,1,no meet title,Jan-11-2026,Hamline,Kaelyn Tally,9.6500,,,9.5000
Simpson,2026,2,no meet title,Jan-17-2026,Simpson,Emmie Barton,9.7000,,9.5250,9.7000
Simpson,2026,2,no meet title,Jan-17-2026,Simpson,Kaley Bristow,,,,9.6250
Simpson,2026,2,no meet title,Jan-17-2026,Simpson,Izzy Brown,,8.7250,8.8250,
Simpson,2026,2,no meet title,Jan-17-2026,Simpson,Emma Charles,9.5250,9.2250,,
Simpson,2026,2,no meet title,Jan-17-2026,Simpson,Avril Crespin,,8.9000,,
Simpson,2026,2,no meet title,Jan-17-2026,Simpson,Bella Dix,,,,9.4500
Simpson,2026,2,no meet title,Jan-17-2026,Simpson,Olivia Hedary,9.5500,8.7750,9.2750,9.6750
Simpson,2026,2,no meet title,Jan-17-2026,Simpson,Brooklen Morgan,,,8.8500,9.5750
Simpson,2026,2,no meet title,Jan-17-2026,Simpson,Kendall Pinkelman,9.4250,,,
Simpson,2026,2,no meet title,Jan-17-2026,Simpson,Evalyn Resnick,,9.5000,9.7000,
Simpson,2026,2,no meet title,Jan-17-2026,Simpson,Liz Sisler,,9.2500,,
Simpson,2026,2,no meet title,Jan-17-2026,Simpson,Kaelyn Tally,9.7250,,,9.7750
Simpson,2026,2,no meet title,Jan-17-2026,Simpson,Rachel Welch,9.4500,,9.5750,
Simpson,2026,3,no meet title,Jan-24-2026,Simpson,Emmie Barton,9.6500,,9.6250,9.5750
Simpson,2026,3,no meet title,Jan-24-2026,Simpson,Kaley Bristow,,,,8.8250
Simpson,2026,3,no meet title,Jan-24-2026,Simpson,Izzy Brown,,8.9500,8.8750,
Simpson,2026,3,no meet title,Jan-24-2026,Simpson,Emma Charles,8.8500,8.5500,,
Simpson,2026,3,no meet title,Jan-24-2026,Simpson,Annika Cole,,,,9.5500
Simpson,2026,3,no meet title,Jan-24-2026,Simpson,Alexa Denton,,8.8250,,
Simpson,2026,3,no meet title,Jan-24-2026,Simpson,Bella Dix,9.4250,,,
Simpson,2026,3,no meet title,Jan-24-2026,Simpson,Olivia Hedary,,8.1750,9.6500,9.4500
Simpson,2026,3,no meet title,Jan-24-2026,Simpson,Brooklen Morgan,,,9.4750,8.2500
Simpson,2026,3,no meet title,Jan-24-2026,Simpson,Kendall Pinkelman,9.5250,,,
Simpson,2026,3,no meet title,Jan-24-2026,Simpson,Evalyn Resnick,,9.5750,9.6750,
Simpson,2026,3,no meet title,Jan-24-2026,Simpson,Liz Sisler,,9.5000,,
Simpson,2026,3,no meet title,Jan-24-2026,Simpson,Kaelyn Tally,9.6000,,,9.6000
Simpson,2026,3,no meet title,Jan-24-2026,Simpson,Rachel Welch,9.5250,,9.6000,
Simpson,2026,4,no meet title,Feb-01-2026,Winona State,Emmie Barton,9.7500,8.9750,9.2250,9.5750
Simpson,2026,4,no meet title,Feb-01-2026,Winona State,Kaley Bristow,,,,8.2250
Simpson,2026,4,no meet title,Feb-01-2026,Winona State,Izzy Brown,,,8.3750,9.6000
Simpson,2026,4,no meet title,Feb-01-2026,Winona State,Emma Charles,9.6500,9.2750,,
Simpson,2026,4,no meet title,Feb-01-2026,Winona State,Annika Cole,,,,9.4750
Simpson,2026,4,no meet title,Feb-01-2026,Winona State,Alexa Denton,,8.3750,,
Simpson,2026,4,no meet title,Feb-01-2026,Winona State,Olivia Hedary,9.3000,7.8750,9.0250,
Simpson,2026,4,no meet title,Feb-01-2026,Winona State,Brooklen Morgan,,,8.3500,9.4750
Simpson,2026,4,no meet title,Feb-01-2026,Winona State,Kendall Pinkelman,9.6250,,,
Simpson,2026,4,no meet title,Feb-01-2026,Winona State,Evalyn Resnick,,9.5750,9.7750,
Simpson,2026,4,no meet title,Feb-01-2026,Winona State,Liz Sisler,,9.6250,,
Simpson,2026,4,no meet title,Feb-01-2026,Winona State,Kaelyn Tally,9.7500,,,9.2500
Simpson,2026,4,no meet title,Feb-01-2026,Winona State,Rachel Welch,9.5000,,9.5500,
Simpson,2026,5,no meet title,Feb-06-2026,S.E. Missouri,Emmie Barton,8.9250,,8.8000,9.3000
Simpson,2026,5,no meet title,Feb-06-2026,S.E. Missouri,Izzy Brown,,,,9.6500
Simpson,2026,5,no meet title,Feb-06-2026,S.E. Missouri,Emma Charles,9.5750,8.4500,9.7000,
Simpson,2026,5,no meet title,Feb-06-2026,S.E. Missouri,Annika Cole,,,,9.7250
Simpson,2026,5,no meet title,Feb-06-2026,S.E. Missouri,Avril Crespin,,9.2000,,
Simpson,2026,5,no meet title,Feb-06-2026,S.E. Missouri,Alexa Denton,9.4750,9.7750,,
Simpson,2026,5,no meet title,Feb-06-2026,S.E. Missouri,Bella Dix,,,,9.7000
Simpson,2026,5,no meet title,Feb-06-2026,S.E. Missouri,Olivia Hedary,,,9.6000,
Simpson,2026,5,no meet title,Feb-06-2026,S.E. Missouri,Brooklen Morgan,,,9.1500,9.7750
Simpson,2026,5,no meet title,Feb-06-2026,S.E. Missouri,Kendall Pinkelman,9.6000,,,
Simpson,2026,5,no meet title,Feb-06-2026,S.E. Missouri,Evalyn Resnick,,9.8000,8.4000,
Simpson,2026,5,no meet title,Feb-06-2026,S.E. Missouri,Liz Sisler,,9.2500,,
Simpson,2026,5,no meet title,Feb-06-2026,S.E. Missouri,Kaelyn Tally,9.7250,,,9.7750
Simpson,2026,5,no meet title,Feb-06-2026,S.E. Missouri,Rachel Welch,9.4500,9.2750,9.6250,
Simpson,2026,6,no meet title,Feb-15-2026,Simpson,Kaley Bristow,,,,9.6500
Simpson,2026,6,no meet title,Feb-15-2026,Simpson,Izzy Brown,,,9.2750,9.6500
Simpson,2026,6,no meet title,Feb-15-2026,Simpson,Emma Charles,9.6250,9.1750,8.7500,
Simpson,2026,6,no meet title,Feb-15-2026,Simpson,Annika Cole,,,,9.5750
Simpson,2026,6,no meet title,Feb-15-2026,Simpson,Avril Crespin,,9.2750,,
Simpson,2026,6,no meet title,Feb-15-2026,Simpson,Alexa Denton,9.4500,9.1750,,
Simpson,2026,6,no meet title,Feb-15-2026,Simpson,Bella Dix,9.6000,,,9.7500
Simpson,2026,6,no meet title,Feb-15-2026,Simpson,Olivia Hedary,,,9.1250,
Simpson,2026,6,no meet title,Feb-15-2026,Simpson,Brooklen Morgan,,,9.1000,9.7000
Simpson,2026,6,no meet title,Feb-15-2026,Simpson,Kendall Pinkelman,9.7000,,,
Simpson,2026,6,no meet title,Feb-15-2026,Simpson,Evalyn Resnick,,9.5250,,
Simpson,2026,6,no meet title,Feb-15-2026,Simpson,Olivia Short,,,9.0250,
Simpson,2026,6,no meet title,Feb-15-2026,Simpson,Liz Sisler,,9.6750,,
Simpson,2026,6,no meet title,Feb-15-2026,Simpson,Kaelyn Tally,9.8000,,,9.8000
Simpson,2026,6,no meet title,Feb-15-2026,Simpson,Rachel Welch,9.4750,8.9500,9.0000,
Simpson,2026,7,no meet title,Feb-20-2026,UW-Stout,Emmie Barton,,,9.3750,
Simpson,2026,7,no meet title,Feb-20-2026,UW-Stout,Kaley Bristow,,,,9.5500
Simpson,2026,7,no meet title,Feb-20-2026,UW-Stout,Izzy Brown,,,,9.3000
Simpson,2026,7,no meet title,Feb-20-2026,UW-Stout,Emma Charles,9.7000,9.2500,8.9250,
Simpson,2026,7,no meet title,Feb-20-2026,UW-Stout,Annika Cole,,,,8.7250
Simpson,2026,7,no meet title,Feb-20-2026,UW-Stout,Avril Crespin,,7.8000,,
Simpson,2026,7,no meet title,Feb-20-2026,UW-Stout,Alexa Denton,9.4250,9.5500,,
Simpson,2026,7,no meet title,Feb-20-2026,UW-Stout,Bella Dix,9.3000,,,9.7000
Simpson,2026,7,no meet title,Feb-20-2026,UW-Stout,Olivia Hedary,9.5250,,9.1500,
Simpson,2026,7,no meet title,Feb-20-2026,UW-Stout,Abbie Lain,,,8.5000,
