team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Southern Conn.,2026,1,no meet title,Jan-11-2026,Brown,Zoe Axell,9.4750,8.3000,9.1000,9.7250
Southern Conn.,2026,1,no meet title,Jan-11-2026,Brown,Maria Damiano,,,9.5250,
Southern Conn.,2026,1,no meet title,Jan-11-2026,Brown,Gabriela Dinisoe,,9.0000,9.7750,
Southern Conn.,2026,1,no meet title,Jan-11-2026,Brown,Haley Fitzgerald,,,,9.4250
Southern Conn.,2026,1,no meet title,Jan-11-2026,Brown,Hannah Fitzgerald,9.6750,9.3000,,
Southern Conn.,2026,1,no meet title,Jan-11-2026,Brown,Ava Kelly,9.4750,,,9.3000
Southern Conn.,2026,1,no meet title,Jan-11-2026,Brown,Gianna Schibi,9.4750,9.6750,,
Southern Conn.,2026,1,no meet title,Jan-11-2026,Brown,Lola Sepulveda,9.6500,9.5750,9.6500,9.7000
Southern Conn.,2026,1,no meet title,Jan-11-2026,Brown,Angelina Stanfa,,,9.5250,9.8500
Southern Conn.,2026,1,no meet title,Jan-11-2026,Brown,Jordan Villani,9.7000,9.0000,9.3500,9.6750
Southern Conn.,2026,2,no meet title,Jan-17-2026,Southern Conn.,Zoe Axell,,9.4500,,9.7750
Southern Conn.,2026,2,no meet title,Jan-17-2026,Southern Conn.,Maria Chronopoulos,,,8.9000,
Southern Conn.,2026,2,no meet title,Jan-17-2026,Southern Conn.,Maria Damiano,,,9.6250,
Southern Conn.,2026,2,no meet title,Jan-17-2026,Southern Conn.,Gabriela Dinisoe,,9.4000,9.5000,
Southern Conn.,2026,2,no meet title,Jan-17-2026,Southern Conn.,Autumn Everett,9.7250,,,
Southern Conn.,2026,2,no meet title,Jan-17-2026,Southern Conn.,Haley Fitzgerald,,,9.8000,9.4250
Southern Conn.,2026,2,no meet title,Jan-17-2026,Southern Conn.,Hannah Fitzgerald,9.5750,9.5000,,
Southern Conn.,2026,2,no meet title,Jan-17-2026,Southern Conn.,Ava Kelly,9.6750,,,
Southern Conn.,2026,2,no meet title,Jan-17-2026,Southern Conn.,Abby Royer,,,,9.9500
Southern Conn.,2026,2,no meet title,Jan-17-2026,Southern Conn.,Gianna Schibi,9.5000,9.1750,,
Southern Conn.,2026,2,no meet title,Jan-17-2026,Southern Conn.,Lola Sepulveda,9.7250,9.5000,9.5000,9.7250
Southern Conn.,2026,2,no meet title,Jan-17-2026,Southern Conn.,Angelina Stanfa,,,8.9250,9.6250
Southern Conn.,2026,2,no meet title,Jan-17-2026,Southern Conn.,Jordan Villani,9.6500,8.5000,,9.5750
Southern Conn.,2026,3,no meet title,Feb-01-2026,Brown,Libby Allen,9.6250,,9.6000,
Southern Conn.,2026,3,no meet title,Feb-01-2026,Brown,Zoe Axell,,9.5000,,9.7500
Southern Conn.,2026,3,no meet title,Feb-01-2026,Brown,Maria Chronopoulos,,,9.7000,
Southern Conn.,2026,3,no meet title,Feb-01-2026,Brown,Gabriela Dinisoe,,9.4500,9.7500,
Southern Conn.,2026,3,no meet title,Feb-01-2026,Brown,Autumn Everett,9.4000,,,
Southern Conn.,2026,3,no meet title,Feb-01-2026,Brown,Haley Fitzgerald,,,8.9750,9.5750
Southern Conn.,2026,3,no meet title,Feb-01-2026,Brown,Hannah Fitzgerald,9.6750,9.6250,,
Southern Conn.,2026,3,no meet title,Feb-01-2026,Brown,Ava Kelly,9.6750,,,
Southern Conn.,2026,3,no meet title,Feb-01-2026,Brown,Abby Royer,,,,9.9500
Southern Conn.,2026,3,no meet title,Feb-01-2026,Brown,Gianna Schibi,,9.6500,,
Southern Conn.,2026,3,no meet title,Feb-01-2026,Brown,Lola Sepulveda,9.7000,9.5750,9.0750,9.8250
Southern Conn.,2026,3,no meet title,Feb-01-2026,Brown,Angelina Stanfa,,,9.5500,9.7000
Southern Conn.,2026,3,no meet title,Feb-01-2026,Brown,Jordan Villani,9.7250,9.6250,,9.7250
Southern Conn.,2026,4,no meet title,Feb-07-2026,Yale,Libby Allen,9.6500,,9.5250,
Southern Conn.,2026,4,no meet title,Feb-07-2026,Yale,Zoe Axell,,9.6750,,9.7250
Southern Conn.,2026,4,no meet title,Feb-07-2026,Yale,Maria Chronopoulos,,,9.6250,
Southern Conn.,2026,4,no meet title,Feb-07-2026,Yale,Maria Damiano,,,9.6750,
Southern Conn.,2026,4,no meet title,Feb-07-2026,Yale,Gabriela Dinisoe,,9.6250,8.9250,
Southern Conn.,2026,4,no meet title,Feb-07-2026,Yale,Hannah Fitzgerald,9.6000,9.6250,,
Southern Conn.,2026,4,no meet title,Feb-07-2026,Yale,Ava Kelly,9.6250,,,9.6500
Southern Conn.,2026,4,no meet title,Feb-07-2026,Yale,Abby Royer,,,,9.8750
Southern Conn.,2026,4,no meet title,Feb-07-2026,Yale,Gianna Schibi,9.3250,9.5250,,
Southern Conn.,2026,4,no meet title,Feb-07-2026,Yale,Lola Sepulveda,9.6500,9.6750,8.2500,9.7250
Southern Conn.,2026,4,no meet title,Feb-07-2026,Yale,Angelina Stanfa,,,9.6750,9.7500
Southern Conn.,2026,4,no meet title,Feb-07-2026,Yale,Jordan Villani,9.7500,9.5750,,9.5750
