team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Southern Utah,2026,1,no meet title,Jan-09-2026,Southern Utah,Elliot Bringhurst,9.7500,,9.8000,
Southern Utah,2026,1,no meet title,Jan-09-2026,Southern Utah,Marisa de Groot,,,9.5000,
Southern Utah,2026,1,no meet title,Jan-09-2026,Southern Utah,Maria Ferguson,,9.0750,9.6000,
Southern Utah,2026,1,no meet title,Jan-09-2026,Southern Utah,Alyssa Fernandez,,,,9.7750
Southern Utah,2026,1,no meet title,Jan-09-2026,Southern Utah,Trista Goodman,,9.7500,,
Southern Utah,2026,1,no meet title,Jan-09-2026,Southern Utah,Berlin Hall,9.6750,,,9.8750
Southern Utah,2026,1,no meet title,Jan-09-2026,Southern Utah,Mia Hampton,9.7000,9.8500,9.8750,9.8500
Southern Utah,2026,1,no meet title,Jan-09-2026,Southern Utah,Mackenzie Kelly,9.6750,,,
Southern Utah,2026,1,no meet title,Jan-09-2026,Southern Utah,Carilia Martinez,,,,9.8500
Southern Utah,2026,1,no meet title,Jan-09-2026,Southern Utah,Kendall McGuire,,9.8000,,
Southern Utah,2026,1,no meet title,Jan-09-2026,Southern Utah,Rylee Miller,,,9.8000,
Southern Utah,2026,1,no meet title,Jan-09-2026,Southern Utah,Sage Paladino,,,,9.8000
Southern Utah,2026,1,no meet title,Jan-09-2026,Southern Utah,Kayla Pardue,9.8500,,,
Southern Utah,2026,1,no meet title,Jan-09-2026,Southern Utah,Niya Randolph,9.8000,9.9000,9.8500,9.8500
Southern Utah,2026,1,no meet title,Jan-09-2026,Southern Utah,Alex Routsis,,9.4500,,
Southern Utah,2026,2,Best of Utah,Jan-12-2026,,Elliot Bringhurst,9.8000,,9.1000,
Southern Utah,2026,2,Best of Utah,Jan-12-2026,,Marisa de Groot,,,9.6000,
Southern Utah,2026,2,Best of Utah,Jan-12-2026,,Maria Ferguson,,9.8000,9.7250,
Southern Utah,2026,2,Best of Utah,Jan-12-2026,,Alyssa Fernandez,,,,9.7500
Southern Utah,2026,2,Best of Utah,Jan-12-2026,,Trista Goodman,,9.2250,,
Southern Utah,2026,2,Best of Utah,Jan-12-2026,,Berlin Hall,9.7250,,,9.8750
Southern Utah,2026,2,Best of Utah,Jan-12-2026,,Mia Hampton,9.8250,9.7500,9.7500,9.8250
Southern Utah,2026,2,Best of Utah,Jan-12-2026,,Mackenzie Kelly,9.7500,,,
Southern Utah,2026,2,Best of Utah,Jan-12-2026,,Carilia Martinez,,,,9.8250
Southern Utah,2026,2,Best of Utah,Jan-12-2026,,Kendall McGuire,,9.7000,,
Southern Utah,2026,2,Best of Utah,Jan-12-2026,,Rylee Miller,,,9.8500,
Southern Utah,2026,2,Best of Utah,Jan-12-2026,,Sage Paladino,,,,9.6750
Southern Utah,2026,2,Best of Utah,Jan-12-2026,,Kayla Pardue,9.8500,,,
Southern Utah,2026,2,Best of Utah,Jan-12-2026,,Niya Randolph,9.8250,9.7750,9.8250,9.7000
Southern Utah,2026,2,Best of Utah,Jan-12-2026,,Alex Routsis,,9.8750,,
Southern Utah,2026,3,no meet title,Jan-17-2026,Utah State,Elliot Bringhurst,9.7500,,9.2500,
Southern Utah,2026,3,no meet title,Jan-17-2026,Utah State,Ariel Collum,,9.7000,,
Southern Utah,2026,3,no meet title,Jan-17-2026,Utah State,Marisa de Groot,,,9.8250,
Southern Utah,2026,3,no meet title,Jan-17-2026,Utah State,Maria Ferguson,,8.7500,9.7750,
Southern Utah,2026,3,no meet title,Jan-17-2026,Utah State,Alyssa Fernandez,,,,9.7750
Southern Utah,2026,3,no meet title,Jan-17-2026,Utah State,Berlin Hall,9.6000,,,9.7750
Southern Utah,2026,3,no meet title,Jan-17-2026,Utah State,Mia Hampton,,9.7500,9.8500,9.8000
Southern Utah,2026,3,no meet title,Jan-17-2026,Utah State,Mackenzie Kelly,9.7750,,,
Southern Utah,2026,3,no meet title,Jan-17-2026,Utah State,Vinciane Le Pen,9.6500,,,
Southern Utah,2026,3,no meet title,Jan-17-2026,Utah State,Carilia Martinez,,,,9.7250
Southern Utah,2026,3,no meet title,Jan-17-2026,Utah State,Kendall McGuire,,9.7750,,
Southern Utah,2026,3,no meet title,Jan-17-2026,Utah State,Rylee Miller,,,9.7750,
Southern Utah,2026,3,no meet title,Jan-17-2026,Utah State,Sage Paladino,,,,9.7750
Southern Utah,2026,3,no meet title,Jan-17-2026,Utah State,Kayla Pardue,9.7000,,,
Southern Utah,2026,3,no meet title,Jan-17-2026,Utah State,Niya Randolph,9.8250,9.8250,9.8750,9.7500
Southern Utah,2026,3,no meet title,Jan-17-2026,Utah State,Alex Routsis,,9.8250,,
Southern Utah,2026,4,no meet title,Feb-01-2026,San Jose State,Elliot Bringhurst,9.7250,,,
Southern Utah,2026,4,no meet title,Feb-01-2026,San Jose State,Ariel Collum,,9.8000,,
Southern Utah,2026,4,no meet title,Feb-01-2026,San Jose State,Marisa de Groot,,,9.2000,
Southern Utah,2026,4,no meet title,Feb-01-2026,San Jose State,Maria Ferguson,,9.6250,9.6750,
Southern Utah,2026,4,no meet title,Feb-01-2026,San Jose State,Berlin Hall,9.8000,,,9.8500
Southern Utah,2026,4,no meet title,Feb-01-2026,San Jose State,Mia Hampton,,9.9000,9.7750,9.8500
Southern Utah,2026,4,no meet title,Feb-01-2026,San Jose State,Mackenzie Kelly,9.8000,,,
Southern Utah,2026,4,no meet title,Feb-01-2026,San Jose State,Vinciane Le Pen,9.8000,,,
Southern Utah,2026,4,no meet title,Feb-01-2026,San Jose State,Carilia Martinez,,,,9.8500
Southern Utah,2026,4,no meet title,Feb-01-2026,San Jose State,Kendall McGuire,,9.6000,,
Southern Utah,2026,4,no meet title,Feb-01-2026,San Jose State,Rylee Miller,,,9.8750,9.7750
Southern Utah,2026,4,no meet title,Feb-01-2026,San Jose State,Emma Nipper,,,9.6250,
Southern Utah,2026,4,no meet title,Feb-01-2026,San Jose State,Sage Paladino,,,,9.7000
Southern Utah,2026,4,no meet title,Feb-01-2026,San Jose State,Kayla Pardue,9.7500,,,
Southern Utah,2026,4,no meet title,Feb-01-2026,San Jose State,Niya Randolph,9.8000,9.8000,9.7500,9.5750
Southern Utah,2026,4,no meet title,Feb-01-2026,San Jose State,Alex Routsis,,9.7250,,
Southern Utah,2026,5,no meet title,Feb-06-2026,Southern Utah,Elliot Bringhurst,9.7000,,9.8500,
Southern Utah,2026,5,no meet title,Feb-06-2026,Southern Utah,Ariel Collum,,9.8000,,
Southern Utah,2026,5,no meet title,Feb-06-2026,Southern Utah,Maria Ferguson,,9.8500,9.0250,
Southern Utah,2026,5,no meet title,Feb-06-2026,Southern Utah,Berlin Hall,9.7000,,,9.8250
Southern Utah,2026,5,no meet title,Feb-06-2026,Southern Utah,Mia Hampton,,9.8000,9.6750,9.8500
Southern Utah,2026,5,no meet title,Feb-06-2026,Southern Utah,Mackenzie Kelly,9.6250,,,
Southern Utah,2026,5,no meet title,Feb-06-2026,Southern Utah,Vinciane Le Pen,9.5750,,,
Southern Utah,2026,5,no meet title,Feb-06-2026,Southern Utah,Carilia Martinez,,,,9.8250
Southern Utah,2026,5,no meet title,Feb-06-2026,Southern Utah,Kendall McGuire,,9.7250,,
Southern Utah,2026,5,no meet title,Feb-06-2026,Southern Utah,Rylee Miller,,,9.7000,9.8250
Southern Utah,2026,5,no meet title,Feb-06-2026,Southern Utah,Emma Nipper,,,9.8750,
Southern Utah,2026,5,no meet title,Feb-06-2026,Southern Utah,Sage Paladino,,,,9.8250
Southern Utah,2026,5,no meet title,Feb-06-2026,Southern Utah,Kayla Pardue,9.9250,,,
Southern Utah,2026,5,no meet title,Feb-06-2026,Southern Utah,Niya Randolph,9.8250,9.8250,9.8750,9.7750
Southern Utah,2026,5,no meet title,Feb-06-2026,Southern Utah,Alex Routsis,,9.8250,,
Southern Utah,2026,6,no meet title,Feb-09-2026,Utah State,Elliot Bringhurst,9.7500,,9.8750,
Southern Utah,2026,6,no meet title,Feb-09-2026,Utah State,Ariel Collum,,9.9000,,
Southern Utah,2026,6,no meet title,Feb-09-2026,Utah State,Maria Ferguson,,9.8000,9.7250,
Southern Utah,2026,6,no meet title,Feb-09-2026,Utah State,Berlin Hall,9.7500,,,9.7750
Southern Utah,2026,6,no meet title,Feb-09-2026,Utah State,Mia Hampton,,9.0750,9.6250,9.8500
