team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Springfield College,2026,1,no meet title,Jan-11-2026,Brown,Scarlette Ayakawa,,,9.3750,
Springfield College,2026,1,no meet title,Jan-11-2026,Brown,Sydney Bendick,,8.1500,,
Springfield College,2026,1,no meet title,Jan-11-2026,Brown,Brianna Cassin,9.4250,,,
Springfield College,2026,1,no meet title,Jan-11-2026,Brown,Reagan Charlton,,,9.5000,
Springfield College,2026,1,no meet title,Jan-11-2026,Brown,Kora Donley,8.9750,,9.3750,9.7000
Springfield College,2026,1,no meet title,Jan-11-2026,Brown,Elsie Gardiner,,,,8.8500
Springfield College,2026,1,no meet title,Jan-11-2026,Brown,Claire Geiger,9.4500,8.8250,,8.8000
Springfield College,2026,1,no meet title,Jan-11-2026,Brown,Brooke Ginter,,,9.5000,8.1000
Springfield College,2026,1,no meet title,Jan-11-2026,Brown,Nicolette Giogas,9.2500,8.5000,,
Springfield College,2026,1,no meet title,Jan-11-2026,Brown,Sage Kaplan,9.5250,9.1250,8.1250,
Springfield College,2026,1,no meet title,Jan-11-2026,Brown,Ava Kelley,,,,9.1750
Springfield College,2026,1,no meet title,Jan-11-2026,Brown,Liz Lehan,,7.9000,,
Springfield College,2026,1,no meet title,Jan-11-2026,Brown,Emma Skowronek,,9.2750,,
Springfield College,2026,1,no meet title,Jan-11-2026,Brown,Stacy Taylor,9.5250,,,9.6500
Springfield College,2026,1,no meet title,Jan-11-2026,Brown,Abigail Walters,,,8.4500,
Springfield College,2026,2,no meet title,Jan-17-2026,Southern Conn.,Scarlette Ayakawa,,,8.5250,
Springfield College,2026,2,no meet title,Jan-17-2026,Southern Conn.,Sydney Bendick,,9.1500,,
Springfield College,2026,2,no meet title,Jan-17-2026,Southern Conn.,Brianna Cassin,9.4750,,,9.4000
Springfield College,2026,2,no meet title,Jan-17-2026,Southern Conn.,Reagan Charlton,,,9.6250,
Springfield College,2026,2,no meet title,Jan-17-2026,Southern Conn.,Kora Donley,9.5500,,9.2250,9.6500
Springfield College,2026,2,no meet title,Jan-17-2026,Southern Conn.,Claire Geiger,9.4750,8.9000,,9.5250
Springfield College,2026,2,no meet title,Jan-17-2026,Southern Conn.,Brooke Ginter,,,9.5500,
Springfield College,2026,2,no meet title,Jan-17-2026,Southern Conn.,Nicolette Giogas,9.6750,8.5000,,
Springfield College,2026,2,no meet title,Jan-17-2026,Southern Conn.,Sage Kaplan,9.6000,9.1000,,
Springfield College,2026,2,no meet title,Jan-17-2026,Southern Conn.,Ava Kelley,,,9.7250,9.1000
Springfield College,2026,2,no meet title,Jan-17-2026,Southern Conn.,Liz Lehan,,8.3500,,
Springfield College,2026,2,no meet title,Jan-17-2026,Southern Conn.,Julia Reer,,,,9.6500
