team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Stanford,2026,1,no meet title,Jan-11-2026,Denver,Ana Barbosu,9.8000,9.8250,9.9000,9.8750
Stanford,2026,1,no meet title,Jan-11-2026,Denver,Claire Dean,,,9.8000,9.6750
Stanford,2026,1,no meet title,Jan-11-2026,Denver,Summer Gronski,6.3000,,,
Stanford,2026,1,no meet title,Jan-11-2026,Denver,Levi Jung-Ruivivar,,9.8750,9.7250,9.8250
Stanford,2026,1,no meet title,Jan-11-2026,Denver,Temple Landry,,,9.8000,
Stanford,2026,1,no meet title,Jan-11-2026,Denver,Taralyn Nguyen,9.9000,,,
Stanford,2026,1,no meet title,Jan-11-2026,Denver,Anna Roberts,9.7750,9.8000,,9.8250
Stanford,2026,1,no meet title,Jan-11-2026,Denver,Sienna Robinson,,9.7250,9.9250,9.9250
Stanford,2026,1,no meet title,Jan-11-2026,Denver,Ui Soma,9.8000,9.8250,9.5250,
Stanford,2026,1,no meet title,Jan-11-2026,Denver,Ava Sorrento,,9.7250,,
Stanford,2026,1,no meet title,Jan-11-2026,Denver,Alana Walker,9.7250,,,9.8250
Stanford,2026,2,no meet title,Jan-18-2026,North Carolina,Ana Barbosu,9.7250,9.8750,9.9250,9.9000
Stanford,2026,2,no meet title,Jan-18-2026,North Carolina,Claire Dean,,,9.5250,
Stanford,2026,2,no meet title,Jan-18-2026,North Carolina,Summer Gronski,9.8250,,,
Stanford,2026,2,no meet title,Jan-18-2026,North Carolina,Levi Jung-Ruivivar,,9.8500,9.8500,9.8000
Stanford,2026,2,no meet title,Jan-18-2026,North Carolina,Temple Landry,,,9.9250,
Stanford,2026,2,no meet title,Jan-18-2026,North Carolina,Taralyn Nguyen,8.6750,,,9.8500
Stanford,2026,2,no meet title,Jan-18-2026,North Carolina,Anna Roberts,9.8000,9.9000,9.9250,9.9750
Stanford,2026,2,no meet title,Jan-18-2026,North Carolina,Sienna Robinson,,9.8750,9.9250,9.8750
Stanford,2026,2,no meet title,Jan-18-2026,North Carolina,Ui Soma,9.7750,9.9250,,
Stanford,2026,2,no meet title,Jan-18-2026,North Carolina,Ava Sorrento,,9.8500,,
Stanford,2026,2,no meet title,Jan-18-2026,North Carolina,Alana Walker,9.6500,,,9.8750
Stanford,2026,3,no meet title,Jan-25-2026,Stanford,Ana Barbosu,9.8500,9.8250,9.8500,9.9250
Stanford,2026,3,no meet title,Jan-25-2026,Stanford,Claire Dean,,,9.8750,9.0250
Stanford,2026,3,no meet title,Jan-25-2026,Stanford,Summer Gronski,9.8250,,,
Stanford,2026,3,no meet title,Jan-25-2026,Stanford,Levi Jung-Ruivivar,,9.9000,9.8500,
Stanford,2026,3,no meet title,Jan-25-2026,Stanford,Temple Landry,,,9.9000,
Stanford,2026,3,no meet title,Jan-25-2026,Stanford,Taralyn Nguyen,9.7250,,,9.8750
Stanford,2026,3,no meet title,Jan-25-2026,Stanford,Anna Roberts,9.9000,9.8500,9.8000,9.9000
Stanford,2026,3,no meet title,Jan-25-2026,Stanford,Sienna Robinson,,9.9250,9.8500,9.8500
Stanford,2026,3,no meet title,Jan-25-2026,Stanford,Ui Soma,7.8000,9.8250,,
Stanford,2026,3,no meet title,Jan-25-2026,Stanford,Ava Sorrento,,9.8500,,
Stanford,2026,3,no meet title,Jan-25-2026,Stanford,Alana Walker,9.7000,,,9.8500
Stanford,2026,4,no meet title,Jan-30-2026,Stanford,Ana Barbosu,9.8250,9.8750,9.4000,9.8750
Stanford,2026,4,no meet title,Jan-30-2026,Stanford,Claire Dean,,,9.8750,
Stanford,2026,4,no meet title,Jan-30-2026,Stanford,Summer Gronski,9.8500,,,
Stanford,2026,4,no meet title,Jan-30-2026,Stanford,Levi Jung-Ruivivar,9.7000,9.8000,9.1500,9.8500
Stanford,2026,4,no meet title,Jan-30-2026,Stanford,Temple Landry,,,9.8750,
Stanford,2026,4,no meet title,Jan-30-2026,Stanford,Taralyn Nguyen,9.8000,,,9.8750
Stanford,2026,4,no meet title,Jan-30-2026,Stanford,Anna Roberts,9.8750,9.9250,9.9500,9.8250
Stanford,2026,4,no meet title,Jan-30-2026,Stanford,Sienna Robinson,,9.9500,9.9250,9.8500
Stanford,2026,4,no meet title,Jan-30-2026,Stanford,Ui Soma,9.8500,9.9000,,
Stanford,2026,4,no meet title,Jan-30-2026,Stanford,Ava Sorrento,,9.8000,,
Stanford,2026,4,no meet title,Jan-30-2026,Stanford,Alana Walker,,,,9.8500
Stanford,2026,5,no meet title,Feb-06-2026,Stanford,Ana Barbosu,,9.8500,,
Stanford,2026,5,no meet title,Feb-06-2026,Stanford,Claire Dean,,,9.8250,9.8750
Stanford,2026,5,no meet title,Feb-06-2026,Stanford,Jaimie Dugan,9.8000,,,
Stanford,2026,5,no meet title,Feb-06-2026,Stanford,Summer Gronski,9.8750,,,
Stanford,2026,5,no meet title,Feb-06-2026,Stanford,Levi Jung-Ruivivar,9.7000,9.9500,9.6500,9.9500
