team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Temple,2026,1,no meet title,Jan-04-2026,Rutgers,Ella Beck,,,8.9000,9.5750
Temple,2026,1,no meet title,Jan-04-2026,Rutgers,Hailey Best,9.3500,,9.2750,
Temple,2026,1,no meet title,Jan-04-2026,Rutgers,Mariella Brueck,,9.0750,,9.3000
Temple,2026,1,no meet title,Jan-04-2026,Rutgers,Amelia Budd,9.7250,8.8750,,9.7750
Temple,2026,1,no meet title,Jan-04-2026,Rutgers,Reese DeHaan,,9.7750,,
Temple,2026,1,no meet title,Jan-04-2026,Rutgers,Robyn Dunne,,9.8250,9.7000,
Temple,2026,1,no meet title,Jan-04-2026,Rutgers,Jade Harden,9.6500,,,
Temple,2026,1,no meet title,Jan-04-2026,Rutgers,Nazstazia-Simone Henry-Jubitana,,9.4750,,
Temple,2026,1,no meet title,Jan-04-2026,Rutgers,Kyrstin Johnson,9.5750,,,9.7250
Temple,2026,1,no meet title,Jan-04-2026,Rutgers,Nikki Rengifo,9.6500,,8.9750,9.7500
Temple,2026,1,no meet title,Jan-04-2026,Rutgers,Ava Sutphen,,9.8000,,
Temple,2026,1,no meet title,Jan-04-2026,Rutgers,Brooklyn Thomas,9.6750,,9.0250,9.7250
Temple,2026,1,no meet title,Jan-04-2026,Rutgers,Megan White,,,9.6000,
Temple,2026,2,no meet title,Jan-09-2026,Florida,Ella Beck,,9.3500,9.7250,9.7000
Temple,2026,2,no meet title,Jan-09-2026,Florida,Hailey Best,,,9.7250,
Temple,2026,2,no meet title,Jan-09-2026,Florida,Mariella Brueck,,9.5500,,
Temple,2026,2,no meet title,Jan-09-2026,Florida,Amelia Budd,9.7750,,,9.6500
Temple,2026,2,no meet title,Jan-09-2026,Florida,Reese DeHaan,,9.4250,8.8250,
Temple,2026,2,no meet title,Jan-09-2026,Florida,Robyn Dunne,,9.7250,9.8000,9.8000
Temple,2026,2,no meet title,Jan-09-2026,Florida,Tali Flanigan,9.6750,,,
Temple,2026,2,no meet title,Jan-09-2026,Florida,Jade Harden,9.7250,,,
Temple,2026,2,no meet title,Jan-09-2026,Florida,Nazstazia-Simone Henry-Jubitana,,9.8250,,
Temple,2026,2,no meet title,Jan-09-2026,Florida,Kyrstin Johnson,9.7250,,,9.5750
Temple,2026,2,no meet title,Jan-09-2026,Florida,Nikki Rengifo,9.8000,,,9.8000
Temple,2026,2,no meet title,Jan-09-2026,Florida,Ava Sutphen,,8.9000,,
Temple,2026,2,no meet title,Jan-09-2026,Florida,Brooklyn Thomas,9.4750,,9.5000,9.8000
Temple,2026,2,no meet title,Jan-09-2026,Florida,Megan White,,,9.8000,
Temple,2026,3,no meet title,Jan-17-2026,Temple,Ella Beck,,,9.4500,9.6750
Temple,2026,3,no meet title,Jan-17-2026,Temple,Hailey Best,,,9.6750,
Temple,2026,3,no meet title,Jan-17-2026,Temple,Mariella Brueck,,9.5500,,9.8000
