team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Texas Woman's,2026,1,no meet title,Jan-11-2026,Texas Woman's,Juliaunna Baker,,9.8250,,
Texas Woman's,2026,1,no meet title,Jan-11-2026,Texas Woman's,Bailey Bourgeois,,9.7750,,9.8250
Texas Woman's,2026,1,no meet title,Jan-11-2026,Texas Woman's,Caroline Bowns,,9.8000,9.7250,
Texas Woman's,2026,1,no meet title,Jan-11-2026,Texas Woman's,Brooke Ferrari,,9.9000,,
Texas Woman's,2026,1,no meet title,Jan-11-2026,Texas Woman's,Kyleigh Ghanbari,9.6000,,,9.9000
Texas Woman's,2026,1,no meet title,Jan-11-2026,Texas Woman's,Amane' Glenn,,,,
Texas Woman's,2026,1,no meet title,Jan-11-2026,Texas Woman's,Ruby Goad,,,9.7750,
Texas Woman's,2026,1,no meet title,Jan-11-2026,Texas Woman's,Sophie Hernandez,9.7000,,9.7250,9.8250
Texas Woman's,2026,1,no meet title,Jan-11-2026,Texas Woman's,Sophia Isbell,9.8250,,9.8500,9.8250
Texas Woman's,2026,1,no meet title,Jan-11-2026,Texas Woman's,Jordan Loock,9.6000,,,
Texas Woman's,2026,1,no meet title,Jan-11-2026,Texas Woman's,Maddy Murphy,9.6250,,,
Texas Woman's,2026,1,no meet title,Jan-11-2026,Texas Woman's,Alaina Reid,9.7500,9.7750,9.8000,
Texas Woman's,2026,1,no meet title,Jan-11-2026,Texas Woman's,Sofia Steffan,,,8.7500,
Texas Woman's,2026,1,no meet title,Jan-11-2026,Texas Woman's,Kami Zarlengo,,9.7000,,9.7500
Texas Woman's,2026,2,no meet title,Jan-16-2026,Texas Woman's,Juliaunna Baker,,8.9250,,
Texas Woman's,2026,2,no meet title,Jan-16-2026,Texas Woman's,Bailey Bourgeois,,9.6500,,9.6750
Texas Woman's,2026,2,no meet title,Jan-16-2026,Texas Woman's,Caroline Bowns,,9.8250,9.7250,
Texas Woman's,2026,2,no meet title,Jan-16-2026,Texas Woman's,Brooke Ferrari,,9.7750,,
Texas Woman's,2026,2,no meet title,Jan-16-2026,Texas Woman's,Kyleigh Ghanbari,9.7000,,,9.8750
Texas Woman's,2026,2,no meet title,Jan-16-2026,Texas Woman's,Ruby Goad,,,9.7500,
Texas Woman's,2026,2,no meet title,Jan-16-2026,Texas Woman's,Sophie Hernandez,9.6750,,9.8250,9.8750
Texas Woman's,2026,2,no meet title,Jan-16-2026,Texas Woman's,Sophia Isbell,9.8250,,9.3250,9.8500
Texas Woman's,2026,2,no meet title,Jan-16-2026,Texas Woman's,Jordan Loock,9.7000,,,
Texas Woman's,2026,2,no meet title,Jan-16-2026,Texas Woman's,Maddy Murphy,9.7250,,,
Texas Woman's,2026,2,no meet title,Jan-16-2026,Texas Woman's,Alaina Reid,9.7250,9.8000,9.7250,
Texas Woman's,2026,2,no meet title,Jan-16-2026,Texas Woman's,Sofia Steffan,,,9.7000,
Texas Woman's,2026,2,no meet title,Jan-16-2026,Texas Woman's,Kami Zarlengo,,9.7750,,9.7750
Texas Woman's,2026,3,no meet title,Jan-23-2026,Temple,Juliaunna Baker,,9.6250,,
Texas Woman's,2026,3,no meet title,Jan-23-2026,Temple,Bailey Bourgeois,,9.7250,,9.6000
Texas Woman's,2026,3,no meet title,Jan-23-2026,Temple,Caroline Bowns,,9.1500,9.5500,
Texas Woman's,2026,3,no meet title,Jan-23-2026,Temple,Brooke Ferrari,,9.6250,,
